L,MON,SZN,TAR,LDC_SST_CanESM5,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,27.418499999999995,28.166666666666668,-0.7481666666666733,0.7481666666666733
4.5,1991-02-01,MJJ,1991-06-15,27.6601,28.166666666666668,-0.5065666666666679,0.5065666666666679
3.5,1991-03-01,MJJ,1991-06-15,27.90100000000001,28.166666666666668,-0.2656666666666574,0.2656666666666574
2.5,1991-04-01,MJJ,1991-06-15,27.79740000000004,28.166666666666668,-0.3692666666666291,0.3692666666666291
1.5,1991-05-01,MJJ,1991-06-15,27.855999999999995,28.166666666666668,-0.3106666666666733,0.3106666666666733
10.5,1993-11-01,ASO,1994-09-15,26.47380000000004,27.35,-0.8761999999999617,0.8761999999999617
9.5,1993-12-01,ASO,1994-09-15,26.346400000000017,27.35,-1.0035999999999845,1.0035999999999845
8.5,1994-01-01,ASO,1994-09-15,26.517800000000022,27.35,-0.832199999999979,0.832199999999979
7.5,1994-02-01,ASO,1994-09-15,26.853400000000022,27.35,-0.4965999999999795,0.4965999999999795
6.5,1994-03-01,ASO,1994-09-15,26.89500000000004,27.35,-0.45499999999996277,0.45499999999996277
5.5,1994-04-01,ASO,1994-09-15,26.867999999999995,27.35,-0.4820000000000064,0.4820000000000064
4.5,1994-05-01,ASO,1994-09-15,26.86280000000005,27.35,-0.48719999999995167,0.48719999999995167
3.5,1994-06-01,ASO,1994-09-15,27.01890000000003,27.35,-0.33109999999997086,0.33109999999997086
2.5,1994-07-01,ASO,1994-09-15,26.795500000000004,27.35,-0.5544999999999973,0.5544999999999973
1.5,1994-08-01,ASO,1994-09-15,26.735600000000034,27.35,-0.6143999999999679,0.6143999999999679
10.5,1996-07-01,AMJ,1997-05-15,27.863500000000045,28.459999999999997,-0.5964999999999527,0.5964999999999527
9.5,1996-08-01,AMJ,1997-05-15,28.149200000000008,28.459999999999997,-0.31079999999998975,0.31079999999998975
8.5,1996-09-01,AMJ,1997-05-15,27.9683,28.459999999999997,-0.491699999999998,0.491699999999998
7.5,1996-10-01,AMJ,1997-05-15,28.192800000000034,28.459999999999997,-0.26719999999996347,0.26719999999996347
6.5,1996-11-01,AMJ,1997-05-15,27.884600000000034,28.459999999999997,-0.5753999999999628,0.5753999999999628
5.5,1996-12-01,AMJ,1997-05-15,27.971600000000024,28.459999999999997,-0.48839999999997374,0.48839999999997374
4.5,1997-01-01,AMJ,1997-05-15,27.620400000000018,28.459999999999997,-0.8395999999999795,0.8395999999999795
3.5,1997-02-01,AMJ,1997-05-15,27.93580000000003,28.459999999999997,-0.5241999999999685,0.5241999999999685
2.5,1997-03-01,AMJ,1997-05-15,28.21890000000002,28.459999999999997,-0.2410999999999781,0.2410999999999781
1.5,1997-04-01,AMJ,1997-05-15,28.324900000000014,28.459999999999997,-0.13509999999998357,0.13509999999998357
10.5,2001-08-01,MJJ,2002-06-15,28.15730000000002,28.236666666666668,-0.07936666666664749,0.07936666666664749
9.5,2001-09-01,MJJ,2002-06-15,27.95930000000004,28.236666666666668,-0.27736666666662657,0.27736666666662657
