YR,MON,NINO3.4
2016,9,26.14
2016,10,25.98
2016,11,25.94
2016,12,26.1
2017,1,26.12
2017,2,26.67
2017,3,27.32
2017,4,28.03
2017,5,28.3
2017,6,28.06
2017,7,27.54
2017,8,26.7
2017,9,26.29
2017,10,26.15
2017,11,25.74
2017,12,25.62
2018,1,25.57
2018,2,25.97
2018,3,26.48
2018,4,27.31
2018,5,27.73
2018,6,27.77
2018,7,27.42
2018,8,26.94
2018,9,27.19
2018,10,27.62
2018,11,27.61
2018,12,27.49
2019,1,27.19
2019,2,27.46
2019,3,28.09
2019,4,28.44
2019,5,28.48
2019,6,28.18
2019,7,27.64
2019,8,26.9
2019,9,26.75
2019,10,27.2
2019,11,27.22
2019,12,27.12
2020,1,27.15
2020,2,27.12
2020,3,27.76
2020,4,28.18
2020,5,27.66
2020,6,27.39
2020,7,26.99
2020,8,26.26
2020,9,25.89
2020,10,25.46
2020,11,25.28
2020,12,25.44
2021,1,25.55
2021,2,25.75
