L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1,MEAN_SST_COLA_CESM1_ONETWO,VAR_SST_COLA_CESM1_ONETWO,MEAN_SST_COLA_CESM1_THREE,VAR_SST_COLA_CESM1_THREE,MEAN_SST_COLA_CESM1_FOUR,VAR_SST_COLA_CESM1_FOUR
1.5,1,2,JFM,26.716516,0.9778996304672187,23.795888666666663,0.4023210803429884,25.912147666666662,0.8362499787081603,28.23513,0.6166283337517257
1.5,2,3,FMA,27.143831666666664,0.6651436431162983,24.444665666666666,0.3212837230667809,26.578873333333338,0.606206237443679,28.353961,0.4163226769610336
1.5,3,4,MAM,27.680017,0.4764141197296202,24.364965333333338,0.4962264374740225,27.031897333333333,0.462719290716781,28.680026333333338,0.3379196704654016
1.5,4,5,AMJ,27.869485333333333,0.2831650461260916,23.344465666666668,0.7177394823702311,26.845576666666663,0.3707614463678162,28.910354,0.2065122850386221
1.5,5,6,MJJ,27.326013666666665,0.5065866121708508,21.945054333333335,0.9339382506736784,25.800083333333337,0.7008354064781593,28.821855333333335,0.1891999640809203
1.5,6,7,JJA,26.523578,0.8799591017252991,20.896921333333335,0.9206763725567816,24.699513000000003,0.9680480087941392,28.582591333333333,0.3193446204947139
1.5,7,8,JAS,26.14878966666667,1.0509596454816776,20.336373,0.9085118143941374,24.303659999999997,1.031846654131035,28.37406766666667,0.4970872887771244
1.5,8,9,ASO,25.895536,1.1419796621745988,20.085883333333335,0.6928429563402303,24.057964,1.0307015603627592,28.246404666666667,0.6138859906188503
1.5,9,10,SON,26.219412666666667,1.2187977499965055,20.372307999999997,0.6493535145475863,24.43095933333333,1.1384448279098849,28.426643,0.6296741911044833
1.5,10,11,OND,26.507773666666665,1.2440780682659542,20.977759666666664,0.7711790008033335,24.898243666666666,1.2648896259412643,28.551987333333333,0.6241394771305738
1.5,11,12,NDJ,26.557379333333333,1.3533950685940344,21.797863333333332,0.8395731306988519,25.195914,1.373561546300689,28.472411333333337,0.7264858287085045
1.5,12,1,DJF,26.52467366666667,1.2922438663781957,22.719232,0.7656174046993104,25.43332333333333,1.2647123888643668,28.296991,0.6661695246299996
2.5,1,3,FMA,26.925056,0.7785956024866089,24.114113333333332,0.2708033881885059,26.253663666666668,0.6062981761619541,28.273194333333333,0.5283911588805751
2.5,2,4,MAM,27.491252999999997,0.49676868923429884,23.981617000000004,0.3876736355389673,26.757518666666662,0.4947065479360936,28.581871666666665,0.2989010450971268
2.5,3,5,AMJ,27.843526333333333,0.4296691864279194,23.343277333333333,0.6952956199029892,26.785411333333332,0.4798906820188506,28.916335333333333,0.2387011181843675
2.5,4,6,MJJ,27.547578,0.4720599955627124,22.139914666666662,0.8692661602050559,26.008838333333333,0.6790911852764366,28.97181,0.1805066769724141
2.5,5,7,JJA,26.495537333333335,1.103342542393391,20.831874666666668,0.9048670283154012,24.594034,1.2095385377765533,28.57208766666667,0.3606314054322977
2.5,6,8,JAS,25.529543666666665,1.5200260909867243,20.18381533333333,0.7673806566947123,23.599839333333332,1.2873527261512634,28.129699,0.6643130308782749
2.5,7,9,ASO,25.377189666666663,1.6016528143780229,20.127624,0.6751591484800004,23.531899666666668,1.2354017136447146,28.013933333333338,0.8619914838091949
2.5,8,10,SON,25.434610666666668,1.6140258482546308,20.34475033333333,0.5019443048585066,23.665721666666663,1.193189674979887,28.016364666666668,0.940142190425747
2.5,9,11,OND,25.998258333333336,1.6033369626367358,20.999914666666665,0.5011807999636781,24.332396000000003,1.3135092549213787,28.316485,0.8393299947568963
2.5,10,12,NDJ,26.260753,1.5446488404252992,21.845064666666666,0.5571579719291958,24.894326999999997,1.3609543319251722,28.397406333333333,0.7777711573619541
2.5,11,1,DJF,26.271654666666667,1.4112640429012298,22.786154,0.5435516695903443,25.247566000000003,1.1927835267282767,28.230567666666666,0.785161731397816
2.5,12,2,JFM,26.411913666666667,1.143369098333471,23.613801,0.4361074126989664,25.635104333333334,0.9447642421909188,28.116093666666664,0.6360249893619544
3.5,1,4,MAM,27.276989,0.6234815441500114,23.582957333333336,0.2817504800064366,26.429282666666666,0.4873505658271267,28.503424666666668,0.4016234240188492
3.5,2,5,AMJ,27.639843666666668,0.4507638414719425,22.837866,0.5507220728662054,26.485028333333332,0.4777881545729886,28.810926666666667,0.2273806657333336
3.5,3,6,MJJ,27.527460666666663,0.6478473382001146,22.029854,0.8943687531213793,25.983548,0.7763695971958605,28.937076333333337,0.2171875633274722
