SZN,LDC_SST_COLA_CESM1
JFM,26.083061584158415
FMA,26.76548344262295
MAM,27.41580161849711
AMJ,27.80253714953271
MJJ,27.545466210526314
JJA,26.950179
JAS,26.137574733333334
ASO,25.469544583333334
SON,25.034465
OND,25.16497325
NDJ,25.421846875
DJF,25.642370999999997
