M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
4,2.5,4,6,MJJ,27.604876333333333,0.4106339193274712
5,2.5,4,6,MJJ,27.517158666666667,0.4828632172947115
6,2.5,4,6,MJJ,27.544251666666664,0.43376779556609396
7,2.5,4,6,MJJ,27.548051666666666,0.4749966448350574
8,2.5,4,6,MJJ,27.620921333333335,0.4738974490326434
9,2.5,4,6,MJJ,27.526056999999998,0.4926774862562068
10,2.5,4,6,MJJ,27.513759666666665,0.40198740397574606
1,2.5,5,7,JJA,26.59006733333333,0.9876357970960935
2,2.5,5,7,JJA,26.472542999999998,1.0101579781044827
3,2.5,5,7,JJA,26.531490333333334,1.0371492493067822
4,2.5,5,7,JJA,26.469165666666665,1.210541551032297
5,2.5,5,7,JJA,26.45471,1.176067629724138
6,2.5,5,7,JJA,26.532770333333335,1.1799935186309205
7,2.5,5,7,JJA,26.49170333333333,1.0540850067954013
