SZN,LDC_SST_CanSIPS_IC4
JFM,27.079671111111132
FMA,27.492377142857165
MAM,27.805196000000024
AMJ,27.496895000000016
MJJ,27.184729090909112
JJA,26.707675000000023
JAS,26.497940350877215
ASO,26.225425000000026
SON,26.36882626262629
OND,26.541336000000022
NDJ,26.686646000000025
DJF,26.828512000000018
