SZN,LDC_SST_CanESM5
JFM,26.939463366336657
FMA,27.45534098360658
MAM,27.877438150289038
AMJ,28.035261682243014
MJJ,27.78851526315792
JJA,27.450531111111136
JAS,27.15302333333336
ASO,26.98444250000002
SON,26.827493000000022
OND,26.738956250000022
NDJ,26.637026250000027
DJF,26.613768888888913
