L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5,MEAN_SST_CanESM5_ONETWO,VAR_SST_CanESM5_ONETWO,MEAN_SST_CanESM5_THREE,VAR_SST_CanESM5_THREE,MEAN_SST_CanESM5_FOUR,VAR_SST_CanESM5_FOUR
1.5,1,2,JFM,27.02965333333336,0.8712351412614936,26.462150000000022,0.2601838405172439,26.575790000000023,0.7007612595517183,28.452833333333356,0.4740523264367825
1.5,2,3,FMA,27.42438000000002,0.5379013457844846,27.275530000000018,0.177753661482759,27.23355333333335,0.4170699880919542,28.56635333333336,0.3417185942988413
1.5,3,4,MAM,27.81716000000002,0.3151230720758619,27.207640000000023,0.1793935307586228,27.580443333333353,0.2118473149540281,28.82204000000003,0.2581640990344837
1.5,4,5,AMJ,27.936003333333353,0.2392275336293106,26.29968000000002,0.2766778554482781,27.402646666666683,0.1919215087816103,28.956580000000024,0.1788099140689654
1.5,5,6,MJJ,27.722560000000023,0.21204998685977014,25.042160000000024,0.4176412866206925,26.76828333333336,0.2469300931609238,28.976930000000024,0.1595671538965536
1.5,6,7,JJA,27.345373333333352,0.2671442954494255,24.058256666666693,0.5552246535747117,26.150643333333353,0.3166092508160898,28.92492666666669,0.1724399302988513
1.5,7,8,JAS,27.101530000000025,0.356811252237931,23.31134333333336,0.6499096390919474,25.73313666666669,0.4429590437816019,28.92147666666669,0.2018360639195406
1.5,8,9,ASO,26.79675000000002,0.488385334909195,22.875600000000023,0.6698088986206848,25.342536666666692,0.5725279403333366,28.850883333333353,0.3147885138505774
1.5,9,10,SON,26.68220666666669,0.7756848979160906,22.83756666666669,0.5352901312643656,25.194366666666692,0.7451185147126524,28.82243333333336,0.4745712774712635
1.5,10,11,OND,26.61941333333336,1.0822552968028718,23.252096666666695,0.5066332348160836,25.21120000000003,0.9882145234482724,28.754966666666693,0.5999317312643576
1.5,11,12,NDJ,26.63364666666669,1.3282889333655175,24.043406666666687,0.4785735840919555,25.460380000000026,1.205168483034477,28.617590000000018,0.6518085602413703
1.5,12,1,DJF,26.746100000000023,1.256190358973561,25.15773666666669,0.4697213251609178,25.90382666666669,1.0986504516781623,28.488610000000016,0.6253014285172381
2.5,1,3,FMA,27.37344000000002,0.5796226387224133,27.18874333333336,0.1228658197816058,27.126670000000026,0.4119328525172386,28.599423333333352,0.3008012604712648
2.5,2,4,MAM,27.768090000000026,0.3437671937091948,27.10957666666669,0.1459532990919489,27.459780000000023,0.2421779168275852,28.830883333333357,0.2003737890229883
2.5,3,5,AMJ,27.95276333333335,0.2390682804356322,26.376870000000014,0.2054712876896545,27.364403333333357,0.1443013679195401,29.039896666666696,0.181164171367817
2.5,4,6,MJJ,27.77039666666669,0.21388557002643643,25.317610000000027,0.2356194354137951,26.817633333333355,0.1695510850574704,29.032873333333352,0.142202754436782
2.5,5,7,JJA,27.378440000000015,0.23922627578103514,24.38505666666669,0.3172580232298782,26.131250000000023,0.2584535081034488,28.966683333333354,0.1473873207471234
2.5,6,8,JAS,27.010423333333357,0.2775510696074692,23.831710000000022,0.4007700126551761,25.706076666666693,0.3171916708160934,28.864570000000025,0.1832573966551711
2.5,7,9,ASO,26.91506333333336,0.4357696100218402,23.54795000000002,0.4673297336206927,25.558436666666687,0.4642497720574691,28.922510000000027,0.264932297482762
2.5,8,10,SON,26.717546666666692,0.6350986336402306,23.481780000000025,0.4809255830344793,25.348363333333356,0.6366110665402205,28.850340000000024,0.4110824921379297
2.5,9,11,OND,26.578323333333348,0.9309227206132196,23.749646666666692,0.4038204446436766,25.267160000000025,0.8274647045517228,28.73205333333336,0.5375127577471263
2.5,10,12,NDJ,26.497920000000025,1.126051032037355,24.44981000000002,0.36359728368965,25.404890000000016,0.9869739195517204,28.56710333333336,0.566857156885052
