L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO,MEAN_SST_GEM52_NEMO_ONETWO,VAR_SST_GEM52_NEMO_ONETWO,MEAN_SST_GEM52_NEMO_THREE,VAR_SST_GEM52_NEMO_THREE,MEAN_SST_GEM52_NEMO_FOUR,VAR_SST_GEM52_NEMO_FOUR
7.5,7,2,JFM,25.458910000000017,1.1138154310649413,25.78824333333336,0.2236082128850636,26.815373333333355,0.4930918834022963,26.82514333333336,0.8294269197816098
7.5,8,3,FMA,25.533090000000023,0.9689763545178158,26.110990000000022,0.1921729643793149,27.335263333333355,0.3880215341264382,26.70467666666669,0.6993700494367774
7.5,9,4,MAM,25.478056666666685,0.7157108506195394,25.356150000000024,0.1876498425862063,27.598370000000024,0.2860913414827596,26.65737000000002,0.490266684931038
7.5,10,5,AMJ,25.273313333333363,0.6473455046528753,23.875790000000016,0.2454831161034485,27.312993333333353,0.2252042585747071,26.623186666666697,0.4110231418850654
7.5,11,6,MJJ,24.939700000000023,0.5906440686316102,22.57993333333336,0.3028246333333284,26.599196666666685,0.1851180906781643,26.514186666666692,0.3757381680919548
7.5,12,7,JJA,24.60545666666669,0.5674422500856326,21.912466666666692,0.2625292636781603,25.941230000000026,0.1782503959655136,26.36056666666669,0.3478348298850616
8.5,1,9,ASO,23.981516666666685,0.47670086212126367,21.52422000000002,0.1950543968275862,25.46327333333336,0.2118160599540186,25.864866666666693,0.2359821450574713
8.5,2,10,SON,23.969053333333356,0.6623431041390796,21.981166666666688,0.2117263022988545,25.568836666666687,0.1938694327471375,25.80517000000002,0.3966221821724101
8.5,3,11,OND,24.086653333333356,0.8325624062712619,22.67865666666669,0.223741561850572,25.72135333333335,0.2465040687816108,25.89749000000002,0.544723525758616
8.5,4,12,NDJ,24.281016666666687,0.8323425260425271,23.57515333333336,0.1757981384367848,25.91442000000002,0.2707424685517274,26.02553333333336,0.585853101609197
8.5,5,1,DJF,24.699543333333356,0.9273275531379312,24.62701666666669,0.1451355207471308,26.263386666666698,0.4381396487816066,26.25660666666669,0.6948052089195491
8.5,6,2,JFM,25.096406666666688,0.916099353275286,25.569653333333356,0.1349638894712642,26.82306333333336,0.3680327079195373,26.408630000000024,0.7628201635517228
8.5,7,3,FMA,25.591050000000017,0.9475657963057491,26.08319666666669,0.168405718954023,27.435010000000023,0.3970120864482744,26.714190000000023,0.7209285236896489
8.5,8,4,MAM,25.564553333333357,0.7845095792206902,25.460380000000026,0.2084802368275828,27.666233333333352,0.2995563036781627,26.671416666666687,0.5672453435057444
8.5,9,5,AMJ,25.32148333333335,0.562050677194253,24.03854333333336,0.2307734935747143,27.44422000000002,0.2158759988965517,26.60452333333336,0.3789268473678076
8.5,10,6,MJJ,24.882716666666685,0.5570967953517239,22.543026666666695,0.212100919954024,26.77498666666669,0.1909426956781623,26.433840000000025,0.3356517866206911
8.5,11,7,JJA,24.416166666666687,0.5764160836781617,21.75701666666669,0.2149678766091923,26.05859666666669,0.1566103699885074,26.17685000000002,0.3268359205172396
8.5,12,8,JAS,24.132903333333353,0.5396868458701161,21.501410000000018,0.1953070554137922,25.603120000000025,0.1624957016551703,25.988230000000023,0.3137246511379335
9.5,1,10,SON,23.84223333333336,0.47508741045632136,21.83940333333335,0.1389664355057495,25.538233333333356,0.2404262574712619,25.63566000000002,0.2448082445517247
9.5,2,11,OND,23.89594000000002,0.67526956645287,22.506656666666693,0.1662595225402298,25.67514666666669,0.2432827646436776,25.665666666666688,0.4073012229885022
9.5,3,12,NDJ,24.054660000000023,0.8024817347994244,23.375500000000024,0.1559646317241402,25.893936666666686,0.2987570886091948,25.76481333333336,0.5492570108505803
9.5,4,1,DJF,24.32864666666669,0.738619985624713,24.40416333333335,0.1058225003333318,26.26997666666669,0.275713665988503,25.869830000000025,0.5605462925172374
9.5,5,2,JFM,24.814436666666687,0.7788241988833328,25.370290000000026,0.0864561264482753,26.811980000000016,0.3790605968275848,26.114813333333355,0.6202312549885135
9.5,6,3,FMA,25.24675333333336,0.7759641323017252,25.88469666666669,0.1071741851609213,27.453160000000025,0.3008690238620717,26.33143333333335,0.6522614491954019
9.5,7,4,MAM,25.62921000000002,0.8054518056212627,25.429486666666683,0.1880792742988497,27.74235666666669,0.3191464170229927,26.689063333333355,0.6022146748160903
9.5,8,5,AMJ,25.40683333333336,0.6022716669051722,24.167263333333366,0.2376902161953993,27.52151000000002,0.2247105133448305,26.620466666666687,0.4530972319540252
9.5,9,6,MJJ,24.923876666666683,0.5063643679712639,22.656350000000025,0.21339832189655,26.88684000000002,0.1842140383448258,26.42532333333336,0.2995432646091973
9.5,10,7,JJA,24.36938666666669,0.5485526899068982,21.70997333333336,0.1639725109885048,26.219036666666685,0.1608312086091911,26.117956666666693,0.2883449342643681
9.5,11,8,JAS,23.956743333333353,0.5435736417183921,21.354783333333355,0.1561985310919608,25.71835666666669,0.1393387997816117,25.813880000000022,0.3038967092413845
9.5,12,9,ASO,23.85180333333335,0.5048325681965522,21.44607000000002,0.1577810904482774,25.52195000000002,0.1560192612068977,25.682750000000024,0.2907175832758638
10.5,1,11,OND,23.75587000000002,0.4860004470362071,22.37688000000002,0.0996591844137883,25.65838333333335,0.2959352000574681,25.483873333333356,0.2540138647816047
10.5,2,12,NDJ,23.887203333333357,0.6362434427913782,23.248916666666688,0.1081913331609196,25.855356666666687,0.2843244059885083,25.555923333333357,0.3993703308160942
10.5,3,1,DJF,24.134460000000026,0.6996700711856315,24.243390000000023,0.1003499533448295,26.23724333333336,0.3014053894367842,25.631533333333355,0.5156156774712671
10.5,4,2,JFM,24.497416666666695,0.6323983811390798,25.19316000000002,0.0601526700689643,26.821446666666688,0.2512295674023028,25.75644000000002,0.5132115376551627
10.5,5,3,FMA,24.97861666666669,0.6698570383431042,25.66396666666669,0.0738945202298855,27.44709000000002,0.3101714230000016,26.05789666666669,0.5379936782643665
10.5,6,4,MAM,25.30440333333335,0.6680292489109192,25.21845333333335,0.1276717922298892,27.782473333333353,0.2662461944367841,26.343256666666697,0.540540081160919
10.5,7,5,AMJ,25.47080666666669,0.6734440165637949,24.13731000000002,0.2068352064482748,27.591213333333357,0.2518753205057474,26.644176666666688,0.4861188659885003
10.5,8,6,MJJ,24.997160000000022,0.5282942192212637,22.77618000000002,0.2109858202758616,26.96858000000002,0.1783296285517269,26.43645666666669,0.3675855294367757
10.5,9,7,JJA,24.376450000000023,0.5136593509448264,21.754326666666696,0.1512011406436799,26.298540000000024,0.1598663976551741,26.105260000000023,0.2485609411034491
10.5,10,8,JAS,23.91393000000003,0.5381309180517246,21.31093333333336,0.1381044416091966,25.866156666666697,0.1383367921953977,25.766543333333356,0.2640011501264344
10.5,11,9,ASO,23.67567000000002,0.49144979047183907,21.31363000000002,0.1250686697586211,25.62366333333336,0.1323522748160914,25.51388666666669,0.2841865805057518
10.5,12,10,SON,23.71894000000002,0.48517293351379315,21.776050000000023,0.1215714625862031,25.61327333333336,0.1738564544367845,25.46037333333335,0.2705379537471244
