L,MON,LDC_SST_GFDL_SPEAR,LDC_SST_GFDL_SPEAR_ONETWO,LDC_SST_GFDL_SPEAR_THREE,LDC_SST_GFDL_SPEAR_FOUR
7.5,0000 1 Jul 1998,25.09365,25.98266,25.13929,26.14322
8.5,0000 1 Jul 1998,25.85872,26.64966,26.04852,26.60683
9.5,0000 1 Jul 1998,26.49386,25.90527,26.44618,27.14068
10.5,0000 1 Jul 1998,26.68016,24.39159,26.19817,27.45942
1.5,0000 1 Aug 1998,25.26827,21.39986,24.32678,27.0673
2.5,0000 1 Aug 1998,25.15985,21.14222,24.21755,26.80846
3.5,0000 1 Aug 1998,25.0363,21.66641,24.18399,26.62787
4.5,0000 1 Aug 1998,24.82966,22.84207,24.1524,26.41389
5.5,0000 1 Aug 1998,24.75941,24.50407,24.30763,26.2909
6.5,0000 1 Aug 1998,25.03116,25.96014,24.86174,26.34543
7.5,0000 1 Aug 1998,25.65394,26.48075,25.63755,26.65581
8.5,0000 1 Aug 1998,26.22609,25.54362,26.05337,27.08686
9.5,0000 1 Aug 1998,26.42607,23.92183,25.84569,27.39678
10.5,0000 1 Aug 1998,26.21014,22.26536,25.15754,27.43728
1.5,0000 1 Sep 1998,25.28867,21.06676,24.09273,27.2938
2.5,0000 1 Sep 1998,25.01658,21.42904,23.95552,27.02799
3.5,0000 1 Sep 1998,24.82241,22.576,24.04179,26.71171
4.5,0000 1 Sep 1998,24.84815,24.22289,24.48762,26.46021
5.5,0000 1 Sep 1998,25.21873,25.74326,25.22341,26.44976
6.5,0000 1 Sep 1998,25.86955,26.28483,25.99568,26.76791
7.5,0000 1 Sep 1998,26.38695,25.46548,26.25316,27.21172
8.5,0000 1 Sep 1998,26.50693,23.91723,25.94352,27.48834
9.5,0000 1 Sep 1998,26.19689,22.33113,25.18344,27.4727
10.5,0000 1 Sep 1998,25.74904,21.2135,24.4697,27.27322
1.5,0000 1 Oct 1998,24.82649,21.49797,23.76406,26.80894
2.5,0000 1 Oct 1998,24.59677,22.34215,23.73542,26.50107
3.5,0000 1 Oct 1998,24.60323,23.85335,24.12355,26.31724
4.5,0000 1 Oct 1998,25.00739,25.39157,24.89582,26.38557
5.5,0000 1 Oct 1998,25.70159,25.95851,25.77072,26.73695
6.5,0000 1 Oct 1998,26.25788,25.19151,26.05267,27.2164
7.5,0000 1 Oct 1998,26.45249,23.66838,25.81331,27.5092
8.5,0000 1 Oct 1998,26.19899,22.2361,25.09472,27.50381
9.5,0000 1 Oct 1998,25.77664,21.1917,24.43159,27.30489
10.5,0000 1 Oct 1998,25.47349,20.60419,24.06619,27.13554
1.5,0000 1 Nov 1998,24.99351,23.30302,24.22735,26.86888
2.5,0000 1 Nov 1998,24.98588,24.53671,24.50607,26.67974
3.5,0000 1 Nov 1998,25.34488,25.81788,25.20821,26.70383
4.5,0000 1 Nov 1998,25.97555,26.22925,25.99694,27.0097
5.5,0000 1 Nov 1998,26.50051,25.31439,26.27007,27.46277
6.5,0000 1 Nov 1998,26.65247,23.79271,25.99471,27.73273
7.5,0000 1 Nov 1998,26.33497,22.27293,25.23435,27.69288
8.5,0000 1 Nov 1998,25.8225,21.23806,24.50903,27.42239
9.5,0000 1 Nov 1998,25.42804,20.56203,24.048,27.17175
10.5,0000 1 Nov 1998,25.29589,20.39427,23.96442,27.05154
1.5,0000 1 Dec 1998,25.09291,24.42485,24.47024,26.99373
2.5,0000 1 Dec 1998,25.48686,25.71414,25.2979,26.90296
3.5,0000 1 Dec 1998,26.11749,25.93131,26.05313,27.12579
4.5,0000 1 Dec 1998,26.60204,24.99914,26.29577,27.52506
5.5,0000 1 Dec 1998,26.73559,23.56627,26.02036,27.7543
6.5,0000 1 Dec 1998,26.40603,22.18931,25.28798,27.69382
7.5,0000 1 Dec 1998,25.88048,21.24542,24.57753,27.42242
8.5,0000 1 Dec 1998,25.47399,20.60708,24.105,27.17964
9.5,0000 1 Dec 1998,25.34108,20.40858,23.99369,27.08006
10.5,0000 1 Dec 1998,25.34163,20.69306,24.06602,27.04206
1.5,0000 1 Jan 1999,25.60567,25.78261,25.41731,26.7772
2.5,0000 1 Jan 1999,26.12394,26.27444,26.03537,27.09861
3.5,0000 1 Jan 1999,26.58276,25.59148,26.32182,27.56739
4.5,0000 1 Jan 1999,26.81935,24.28472,26.20234,27.87909
5.5,0000 1 Jan 1999,26.68139,22.79865,25.66601,27.91622
6.5,0000 1 Jan 1999,26.25989,21.66931,24.99717,27.74023
7.5,0000 1 Jan 1999,25.89133,20.96629,24.51135,27.54656
8.5,0000 1 Jan 1999,25.70384,20.7057,24.33498,27.45296
9.5,0000 1 Jan 1999,25.66334,20.9415,24.37346,27.39286
10.5,0000 1 Jan 1999,25.56722,21.62958,24.40451,27.29266
1.5,0000 1 Feb 1999,26.29541,25.67648,26.15788,27.30897
2.5,0000 1 Feb 1999,26.86237,25.10918,26.46213,27.80508
3.5,0000 1 Feb 1999,27.06167,23.88958,26.29819,28.07984
4.5,0000 1 Feb 1999,26.7654,22.631,25.62995,28.05719
5.5,0000 1 Feb 1999,26.19807,21.52101,24.81807,27.82213
6.5,0000 1 Feb 1999,25.7065,20.74769,24.25139,27.54405
7.5,0000 1 Feb 1999,25.49121,20.49397,24.09373,27.35706
8.5,0000 1 Feb 1999,25.47161,20.71145,24.16102,27.24671
9.5,0000 1 Feb 1999,25.38014,21.35831,24.20377,27.10279
10.5,0000 1 Feb 1999,25.22549,22.53927,24.32363,26.88241
1.5,0000 1 Mar 1999,26.95527,24.94733,26.59051,27.72357
2.5,0000 1 Mar 1999,27.20167,23.55379,26.41192,28.12262
3.5,0000 1 Mar 1999,26.98652,22.44427,25.80208,28.20318
4.5,0000 1 Mar 1999,26.48186,21.60145,25.06885,28.04221
5.5,0000 1 Mar 1999,25.96258,20.826,24.47566,27.74811
6.5,0000 1 Mar 1999,25.63692,20.47942,24.20816,27.49181
7.5,0000 1 Mar 1999,25.51587,20.64835,24.17809,27.30226
8.5,0000 1 Mar 1999,25.39789,21.34778,24.19093,27.1427
9.5,0000 1 Mar 1999,25.23126,22.57384,24.29594,26.92361
10.5,0000 1 Mar 1999,25.20529,24.21719,24.69038,26.76259
1.5,0000 1 Apr 1999,27.19874,23.47025,26.55793,27.95538
2.5,0000 1 Apr 1999,26.94974,22.35204,25.82239,28.05547
3.5,0000 1 Apr 1999,26.37108,21.43943,24.98198,27.89062
4.5,0000 1 Apr 1999,25.77513,20.66499,24.30387,27.56669
5.5,0000 1 Apr 1999,25.43498,20.30103,24.02013,27.28253
6.5,0000 1 Apr 1999,25.31023,20.46447,23.97818,27.0873
7.5,0000 1 Apr 1999,25.18926,21.13743,23.98578,26.92605
8.5,0000 1 Apr 1999,24.9978,22.38527,24.05885,26.72257
9.5,0000 1 Apr 1999,24.94528,24.11405,24.41659,26.56771
10.5,0000 1 Apr 1999,25.28599,25.61169,25.12354,26.68221
1.5,0000 1 May 1999,26.82948,21.87673,25.71525,27.8719
2.5,0000 1 May 1999,26.32345,20.69803,24.86835,27.75093
3.5,0000 1 May 1999,25.73769,19.95513,24.15617,27.45351
4.5,0000 1 May 1999,25.33885,19.7242,23.79825,27.16378
5.5,0000 1 May 1999,25.13828,20.01223,23.7078,26.9286
6.5,0000 1 May 1999,24.96144,20.75004,23.68422,26.73917
7.5,0000 1 May 1999,24.73357,22.03456,23.74405,26.542
8.5,0000 1 May 1999,24.69084,23.77451,24.12204,26.4269
9.5,0000 1 May 1999,25.03383,25.39162,24.88192,26.54928
10.5,0000 1 May 1999,25.74201,26.03601,25.71919,26.96234
1.5,0000 1 Jun 1999,26.59088,21.09583,25.26101,27.91397
2.5,0000 1 Jun 1999,26.11184,20.24091,24.6025,27.67651
3.5,0000 1 Jun 1999,25.7044,20.02184,24.17238,27.45993
4.5,0000 1 Jun 1999,25.51045,20.34534,24.06124,27.28238
5.5,0000 1 Jun 1999,25.36097,21.12074,24.06989,27.11961
6.5,0000 1 Jun 1999,25.17574,22.4119,24.20534,26.8983
7.5,0000 1 Jun 1999,25.11533,24.05753,24.54695,26.74118
8.5,0000 1 Jun 1999,25.35532,25.45424,25.12639,26.82049
9.5,0000 1 Jun 1999,25.91241,25.90593,25.77072,27.15526
10.5,0000 1 Jun 1999,26.43591,25.1049,26.0514,27.57098
1.5,0000 1 Jul 1999,25.99383,20.04531,24.4276,27.6143
2.5,0000 1 Jul 1999,25.62282,19.75513,24.00891,27.39506
3.5,0000 1 Jul 1999,25.38301,20.05811,23.85876,27.18409
4.5,0000 1 Jul 1999,25.1636,20.8178,23.79396,26.97891
5.5,0000 1 Jul 1999,24.90461,22.12341,23.84971,26.74876
6.5,0000 1 Jul 1999,24.81879,23.85515,24.19782,26.58931
7.5,0000 1 Jul 1999,25.10493,25.37271,24.87299,26.67108
8.5,0000 1 Jul 1999,25.72802,25.91693,25.60362,27.04754
9.5,0000 1 Jul 1999,26.36012,25.18401,25.97816,27.54619
10.5,0000 1 Jul 1999,26.69869,23.91122,25.91291,27.87345
1.5,0000 1 Aug 1999,25.68719,20.24911,24.23487,27.39444
2.5,0000 1 Aug 1999,25.5335,20.36432,24.09042,27.22667
3.5,0000 1 Aug 1999,25.33829,21.03776,23.99696,27.05988
4.5,0000 1 Aug 1999,25.09943,22.36178,24.05597,26.84558
5.5,0000 1 Aug 1999,25.00613,24.1106,24.36165,26.67569
6.5,0000 1 Aug 1999,25.21098,25.48933,24.89514,26.74388
7.5,0000 1 Aug 1999,25.78501,25.8631,25.55592,27.09141
8.5,0000 1 Aug 1999,26.35203,25.02907,25.90092,27.53336
9.5,0000 1 Aug 1999,26.68549,23.77948,25.88412,27.84184
10.5,0000 1 Aug 1999,26.60034,22.55157,25.42788,27.88186
1.5,0000 1 Sep 1999,25.66822,20.67251,24.21352,27.37965
2.5,0000 1 Sep 1999,25.5261,21.21093,24.17187,27.17558
3.5,0000 1 Sep 1999,25.24188,22.44075,24.2083,26.93746
4.5,0000 1 Sep 1999,25.06866,24.11291,24.3975,26.77448
5.5,0000 1 Sep 1999,25.21395,25.44079,24.83957,26.83219
6.5,0000 1 Sep 1999,25.7178,25.7215,25.39817,27.14236
7.5,0000 1 Sep 1999,26.28793,24.91518,25.77576,27.55453
8.5,0000 1 Sep 1999,26.61298,23.71366,25.78832,27.82813
9.5,0000 1 Sep 1999,26.55058,22.60053,25.3923,27.8652
10.5,0000 1 Sep 1999,26.28141,21.75965,24.92414,27.76317
1.5,0000 1 Oct 1999,25.52043,20.98982,23.95502,27.4752
2.5,0000 1 Oct 1999,25.33767,22.29217,24.13677,27.25173
3.5,0000 1 Oct 1999,25.25423,24.05568,24.54879,27.0503
4.5,0000 1 Oct 1999,25.52655,25.62053,25.25388,27.07653
5.5,0000 1 Oct 1999,26.1191,26.23953,26.02958,27.38185
6.5,0000 1 Oct 1999,26.74954,25.6258,26.45403,27.85153
7.5,0000 1 Oct 1999,27.09817,24.43776,26.42353,28.18495
8.5,0000 1 Oct 1999,27.01459,23.18776,25.93685,28.26261
9.5,0000 1 Oct 1999,26.6867,22.25901,25.37215,28.14468
10.5,0000 1 Oct 1999,26.38012,21.66036,24.96786,28.0106
1.5,0000 1 Nov 1999,25.17018,22.33456,23.92004,27.3623
2.5,0000 1 Nov 1999,25.15925,23.99438,24.45906,27.13227
3.5,0000 1 Nov 1999,25.4988,25.51388,25.28851,27.1044
4.5,0000 1 Nov 1999,26.12113,26.10467,26.0357,27.39103
5.5,0000 1 Nov 1999,26.75023,25.46749,26.40736,27.85471
6.5,0000 1 Nov 1999,27.06267,24.26314,26.29455,28.17679
7.5,0000 1 Nov 1999,26.96675,23.0538,25.84188,28.22322
8.5,0000 1 Nov 1999,26.60079,22.12807,25.23786,28.07311
9.5,0000 1 Nov 1999,26.24995,21.52388,24.78913,27.91307
10.5,0000 1 Nov 1999,26.10818,21.30011,24.62926,27.89417
1.5,0000 1 Dec 1999,25.1124,24.18795,24.40381,27.16334
2.5,0000 1 Dec 1999,25.50694,25.54525,25.23075,27.16236
3.5,0000 1 Dec 1999,26.13321,26.15562,26.00438,27.41841
4.5,0000 1 Dec 1999,26.7082,25.57995,26.37306,27.81714
5.5,0000 1 Dec 1999,27.01991,24.42713,26.29675,28.15544
6.5,0000 1 Dec 1999,26.91143,23.10979,25.78361,28.24192
7.5,0000 1 Dec 1999,26.58066,22.12706,25.20917,28.13293
8.5,0000 1 Dec 1999,26.24431,21.49634,24.77899,27.963
9.5,0000 1 Dec 1999,26.11089,21.27287,24.63634,27.88846
10.5,0000 1 Dec 1999,26.13297,21.49105,24.68996,27.91247
1.5,0000 1 Jan 2000,25.55085,25.45587,25.28099,27.08215
2.5,0000 1 Jan 2000,26.22127,26.00908,26.10715,27.39871
3.5,0000 1 Jan 2000,26.80477,25.55296,26.44583,27.87491
4.5,0000 1 Jan 2000,27.10918,24.47183,26.37736,28.20934
5.5,0000 1 Jan 2000,26.99131,23.22095,25.88216,28.28982
6.5,0000 1 Jan 2000,26.60525,22.24977,25.25408,28.14995
7.5,0000 1 Jan 2000,26.22423,21.62115,24.77706,27.94561
8.5,0000 1 Jan 2000,26.0493,21.33204,24.58437,27.85634
9.5,0000 1 Jan 2000,26.06351,21.52106,24.64114,27.84869
10.5,0000 1 Jan 2000,26.06935,22.09405,24.75022,27.83327
1.5,0000 1 Feb 2000,26.2124,26.32496,26.19786,27.33015
2.5,0000 1 Feb 2000,26.87233,25.76565,26.59005,27.82489
3.5,0000 1 Feb 2000,27.23678,24.62218,26.57435,28.22782
4.5,0000 1 Feb 2000,27.20159,23.37781,26.12175,28.40238
5.5,0000 1 Feb 2000,26.91732,22.44844,25.55138,28.3963
6.5,0000 1 Feb 2000,26.60711,21.88278,25.10373,28.31931
7.5,0000 1 Feb 2000,26.45387,21.66123,24.91645,28.3235
8.5,0000 1 Feb 2000,26.48577,21.84827,24.98777,28.36266
9.5,0000 1 Feb 2000,26.51152,22.47299,25.13686,28.35005
10.5,0000 1 Feb 2000,26.45343,23.6175,25.38154,28.19084
1.5,0000 1 Mar 2000,26.96942,25.73185,26.95697,27.77971
2.5,0000 1 Mar 2000,27.35022,24.71894,26.82329,28.21162
3.5,0000 1 Mar 2000,27.25983,23.654,26.27576,28.36719
4.5,0000 1 Mar 2000,26.96018,22.77639,25.6732,28.36463
5.5,0000 1 Mar 2000,26.64491,22.18762,25.24365,28.278
6.5,0000 1 Mar 2000,26.48231,21.91258,25.04958,28.26661
7.5,0000 1 Mar 2000,26.49605,22.03169,25.08091,28.28908
8.5,0000 1 Mar 2000,26.52082,22.58287,25.20719,28.27668
9.5,0000 1 Mar 2000,26.47938,23.66371,25.45432,28.11493
10.5,0000 1 Mar 2000,26.45545,25.07153,25.82113,27.92326
1.5,0000 1 Apr 2000,27.30264,23.76769,26.73013,28.05392
2.5,0000 1 Apr 2000,27.19301,22.83413,26.15794,28.23553
3.5,0000 1 Apr 2000,26.80157,22.21595,25.51363,28.19432
4.5,0000 1 Apr 2000,26.41014,21.67231,25.01768,28.06558
5.5,0000 1 Apr 2000,26.17589,21.36969,24.76746,27.99008
6.5,0000 1 Apr 2000,26.1232,21.45153,24.72294,27.97247
7.5,0000 1 Apr 2000,26.09319,21.98886,24.75746,27.9436
8.5,0000 1 Apr 2000,25.99982,23.03297,24.90961,27.78213
9.5,0000 1 Apr 2000,25.96103,24.46891,25.29576,27.602
10.5,0000 1 Apr 2000,26.15885,25.64381,25.84985,27.5708
1.5,0000 1 May 2000,27.25213,23.20203,26.49803,28.18717
2.5,0000 1 May 2000,26.99729,22.30761,25.85089,28.27593
3.5,0000 1 May 2000,26.63701,21.68804,25.27603,28.24687
4.5,0000 1 May 2000,26.41396,21.40088,24.96644,28.24205
5.5,0000 1 May 2000,26.38938,21.54547,24.92381,28.2585
6.5,0000 1 May 2000,26.40064,22.12577,24.98637,28.24817
7.5,0000 1 May 2000,26.30425,23.15799,25.12476,28.10439
8.5,0000 1 May 2000,26.18896,24.53199,25.41187,27.89349
9.5,0000 1 May 2000,26.32147,25.72262,25.93064,27.82043
10.5,0000 1 May 2000,26.73952,26.073,26.50991,27.95267
1.5,0000 1 Jun 2000,26.81116,21.81873,25.53455,28.09345
2.5,0000 1 Jun 2000,26.46581,21.11333,24.99723,28.07618
3.5,0000 1 Jun 2000,26.19964,20.79788,24.61795,28.04294
4.5,0000 1 Jun 2000,26.07929,20.98272,24.52198,28.01728
5.5,0000 1 Jun 2000,26.01378,21.66446,24.54277,27.98668
6.5,0000 1 Jun 2000,25.90801,22.80161,24.7054,27.85809
7.5,0000 1 Jun 2000,25.87169,24.32245,25.09136,27.68516
8.5,0000 1 Jun 2000,26.09488,25.60318,25.70269,27.67516
9.5,0000 1 Jun 2000,26.62927,25.96807,26.40291,27.89446
10.5,0000 1 Jun 2000,27.13905,25.25296,26.73014,28.24404
1.5,0000 1 Jul 2000,26.59604,20.82945,24.97614,28.25545
2.5,0000 1 Jul 2000,26.35475,20.661,24.70467,28.22383
3.5,0000 1 Jul 2000,26.23951,20.91186,24.63392,28.19354
4.5,0000 1 Jul 2000,26.21577,21.66105,24.73095,28.12488
5.5,0000 1 Jul 2000,26.1224,22.91304,24.92806,27.93966
6.5,0000 1 Jul 2000,26.02191,24.53545,25.2477,27.70405
7.5,0000 1 Jul 2000,26.13488,25.79691,25.73451,27.61047
8.5,0000 1 Jul 2000,26.55317,26.12493,26.30042,27.76709
9.5,0000 1 Jul 2000,27.0289,25.18677,26.57017,28.09344
10.5,0000 1 Jul 2000,27.27046,23.88927,26.45692,28.35542
1.5,0000 1 Aug 2000,26.1405,20.69239,24.52376,28.11203
2.5,0000 1 Aug 2000,26.10357,20.88967,24.46941,28.07703
3.5,0000 1 Aug 2000,26.10907,21.55694,24.55446,28.05715
4.5,0000 1 Aug 2000,26.07358,22.78357,24.80931,27.9523
5.5,0000 1 Aug 2000,26.05541,24.37167,25.18912,27.8245
6.5,0000 1 Aug 2000,26.26329,25.67846,25.75862,27.84065
7.5,0000 1 Aug 2000,26.76419,26.10224,26.41152,28.07363
8.5,0000 1 Aug 2000,27.30308,25.43143,26.81193,28.40909
9.5,0000 1 Aug 2000,27.57069,24.30849,26.77217,28.64866
10.5,0000 1 Aug 2000,27.35927,23.11726,26.20419,28.64249
1.5,0000 1 Sep 2000,26.31962,20.78148,24.65058,28.27273
2.5,0000 1 Sep 2000,26.3152,21.61346,24.7387,28.26742
3.5,0000 1 Sep 2000,26.26779,22.90817,24.98748,28.12709
4.5,0000 1 Sep 2000,26.26319,24.56427,25.43131,27.93757
5.5,0000 1 Sep 2000,26.43488,25.95725,26.07585,27.86531
6.5,0000 1 Sep 2000,26.87143,26.37483,26.67859,28.06529
7.5,0000 1 Sep 2000,27.35591,25.63593,26.98187,28.42777
8.5,0000 1 Sep 2000,27.62387,24.40852,26.86316,28.71795
9.5,0000 1 Sep 2000,27.47608,23.18215,26.35198,28.78378
10.5,0000 1 Sep 2000,27.08028,22.31598,25.75887,28.63894
1.5,0000 1 Oct 2000,26.31275,21.7917,24.86054,28.21234
2.5,0000 1 Oct 2000,26.29913,23.01804,25.08948,28.13639
3.5,0000 1 Oct 2000,26.31858,24.60833,25.48069,28.05502
4.5,0000 1 Oct 2000,26.57583,25.95505,26.11642,28.09179
5.5,0000 1 Oct 2000,27.06779,26.44908,26.78248,28.31806
6.5,0000 1 Oct 2000,27.57375,25.85777,27.1684,28.65351
7.5,0000 1 Oct 2000,27.83427,24.77888,27.10165,28.90166
8.5,0000 1 Oct 2000,27.67603,23.61776,26.56394,28.96581
9.5,0000 1 Oct 2000,27.33304,22.75592,25.97318,28.89175
10.5,0000 1 Oct 2000,27.05437,22.17606,25.58519,28.81816
1.5,0000 1 Nov 2000,26.0358,22.71914,24.84796,27.91864
2.5,0000 1 Nov 2000,26.10504,24.39211,25.33121,27.77227
3.5,0000 1 Nov 2000,26.4016,25.75104,25.9815,27.83319
4.5,0000 1 Nov 2000,26.94826,26.35401,26.6957,28.08032
5.5,0000 1 Nov 2000,27.48133,25.83768,27.12172,28.42898
6.5,0000 1 Nov 2000,27.73217,24.73677,27.06083,28.67071
7.5,0000 1 Nov 2000,27.52198,23.47584,26.45935,28.70794
8.5,0000 1 Nov 2000,27.03471,22.41729,25.68413,28.57007
9.5,0000 1 Nov 2000,26.6115,21.72437,25.13501,28.3992
10.5,0000 1 Nov 2000,26.44708,21.46569,24.96668,28.34923
1.5,0000 1 Dec 2000,26.14367,24.46599,25.34219,27.80409
2.5,0000 1 Dec 2000,26.48035,25.91532,26.07287,27.90651
3.5,0000 1 Dec 2000,27.01457,26.54198,26.79566,28.15543
4.5,0000 1 Dec 2000,27.54386,26.13802,27.21313,28.51113
5.5,0000 1 Dec 2000,27.84198,25.11965,27.17152,28.80125
6.5,0000 1 Dec 2000,27.69284,23.84247,26.62171,28.88638
7.5,0000 1 Dec 2000,27.26654,22.78267,25.9402,28.76068
8.5,0000 1 Dec 2000,26.87513,22.05763,25.43098,28.60124
9.5,0000 1 Dec 2000,26.75582,21.7759,25.27148,28.58067
10.5,0000 1 Dec 2000,26.87186,21.93606,25.38277,28.66971
1.5,0000 1 Jan 2001,26.39014,25.89588,26.08387,27.66028
2.5,0000 1 Jan 2001,27.0237,26.7273,26.94739,27.99569
3.5,0000 1 Jan 2001,27.58664,26.37063,27.35233,28.42143
4.5,0000 1 Jan 2001,27.86039,25.3492,27.262,28.73572
5.5,0000 1 Jan 2001,27.73121,24.11594,26.72733,28.83301
6.5,0000 1 Jan 2001,27.36511,23.07646,26.09153,28.79812
7.5,0000 1 Jan 2001,27.07482,22.38875,25.66962,28.76138
8.5,0000 1 Jan 2001,27.03481,22.09292,25.57062,28.86197
9.5,0000 1 Jan 2001,27.23363,22.25017,25.73666,29.03399
10.5,0000 1 Jan 2001,27.4139,22.86435,25.95495,29.12342
1.5,0000 1 Feb 2001,27.01086,26.27481,26.71193,28.11033
2.5,0000 1 Feb 2001,27.57657,26.02622,27.16962,28.55527
3.5,0000 1 Feb 2001,27.88159,25.26735,27.22237,28.84899
4.5,0000 1 Feb 2001,27.7473,24.15275,26.72394,28.92611
5.5,0000 1 Feb 2001,27.35796,23.09236,26.04231,28.82395
6.5,0000 1 Feb 2001,26.99375,22.33555,25.55016,28.7108
7.5,0000 1 Feb 2001,26.92651,22.06039,25.44518,28.75661
8.5,0000 1 Feb 2001,27.09013,22.24986,25.61201,28.8808
9.5,0000 1 Feb 2001,27.26904,22.88279,25.83878,28.95511
10.5,0000 1 Feb 2001,27.31236,23.96054,26.10668,28.84102
1.5,0000 1 Mar 2001,27.62563,26.02469,27.55391,28.34805
2.5,0000 1 Mar 2001,27.85226,25.05183,27.37445,28.64865
3.5,0000 1 Mar 2001,27.63497,23.86734,26.72491,28.70164
4.5,0000 1 Mar 2001,27.19073,22.87315,25.97274,28.59824
5.5,0000 1 Mar 2001,26.78328,22.10494,25.42156,28.45416
6.5,0000 1 Mar 2001,26.61556,21.7181,25.20354,28.43179
7.5,0000 1 Mar 2001,26.69102,21.84304,25.28643,28.49572
8.5,0000 1 Mar 2001,26.75928,22.46313,25.42289,28.53615
9.5,0000 1 Mar 2001,26.73134,23.57685,25.64431,28.4108
10.5,0000 1 Mar 2001,26.65837,24.91629,25.93312,28.20227
1.5,0000 1 Apr 2001,27.8281,24.75202,27.28482,28.76843
2.5,0000 1 Apr 2001,27.79316,23.63544,26.86223,28.94426
3.5,0000 1 Apr 2001,27.48098,22.96036,26.2682,28.91409
4.5,0000 1 Apr 2001,27.1623,22.32875,25.79347,28.83077
5.5,0000 1 Apr 2001,27.05241,21.98303,25.59905,28.87099
6.5,0000 1 Apr 2001,27.18265,22.1273,25.69042,28.9879
7.5,0000 1 Apr 2001,27.37309,22.80799,25.90142,29.09731
8.5,0000 1 Apr 2001,27.43848,23.95178,26.14578,29.03803
9.5,0000 1 Apr 2001,27.39552,25.28501,26.45354,28.87559
10.5,0000 1 Apr 2001,27.42372,26.39824,26.94112,28.68789
1.5,0000 1 May 2001,27.6489,23.34474,26.79676,28.71108
2.5,0000 1 May 2001,27.44695,22.57995,26.25033,28.82222
3.5,0000 1 May 2001,27.21526,22.06127,25.79329,28.88618
4.5,0000 1 May 2001,27.1983,21.90453,25.66162,29.02819
5.5,0000 1 May 2001,27.39032,22.19046,25.81644,29.18877
6.5,0000 1 May 2001,27.61203,22.9472,26.06626,29.26512
7.5,0000 1 May 2001,27.65899,24.07991,26.30304,29.1602
8.5,0000 1 May 2001,27.55883,25.38502,26.5605,28.95579
9.5,0000 1 May 2001,27.523,26.39065,26.96548,28.76705
10.5,0000 1 May 2001,27.69486,26.69172,27.42946,28.65727
1.5,0000 1 Jun 2001,27.18084,21.66197,25.72129,28.63932
2.5,0000 1 Jun 2001,26.86725,21.06076,25.20732,28.60953
3.5,0000 1 Jun 2001,26.68887,20.86875,24.94313,28.65407
4.5,0000 1 Jun 2001,26.7217,21.21607,25.0138,28.73457
5.5,0000 1 Jun 2001,26.78377,22.06172,25.18371,28.77748
6.5,0000 1 Jun 2001,26.76172,23.41633,25.46509,28.66018
7.5,0000 1 Jun 2001,26.71171,24.9552,25.84754,28.45873
8.5,0000 1 Jun 2001,26.83733,26.19315,26.39082,28.33985
9.5,0000 1 Jun 2001,27.23818,26.53397,26.99066,28.40607
10.5,0000 1 Jun 2001,27.66375,25.85825,27.27364,28.62524
1.5,0000 1 Jul 2001,27.22483,21.08683,25.52476,28.8993
2.5,0000 1 Jul 2001,27.14449,20.99405,25.37203,29.03565
3.5,0000 1 Jul 2001,27.21196,21.43837,25.4735,29.1616
4.5,0000 1 Jul 2001,27.36137,22.35738,25.72601,29.22776
5.5,0000 1 Jul 2001,27.39062,23.69925,26.00709,29.12128
6.5,0000 1 Jul 2001,27.33723,25.1716,26.31116,28.95386
7.5,0000 1 Jul 2001,27.39017,26.24287,26.74854,28.81102
8.5,0000 1 Jul 2001,27.68294,26.6452,27.31065,28.78873
9.5,0000 1 Jul 2001,28.03144,26.02202,27.5996,28.89679
10.5,0000 1 Jul 2001,28.14211,24.82524,27.3758,29.01244
1.5,0000 1 Aug 2001,26.61197,20.46446,24.79252,28.57718
2.5,0000 1 Aug 2001,26.54714,20.88028,24.83391,28.5325
3.5,0000 1 Aug 2001,26.59191,21.72943,24.97113,28.56423
4.5,0000 1 Aug 2001,26.59322,23.05798,25.21801,28.49387
5.5,0000 1 Aug 2001,26.57604,24.68475,25.65154,28.35524
6.5,0000 1 Aug 2001,26.73322,26.01989,26.21058,28.31206
7.5,0000 1 Aug 2001,27.19436,26.57141,26.89407,28.47135
8.5,0000 1 Aug 2001,27.71322,26.04555,27.29438,28.75331
9.5,0000 1 Aug 2001,27.99531,24.95511,27.27804,28.9902
10.5,0000 1 Aug 2001,27.84832,23.67277,26.72917,29.05909
1.5,0000 1 Sep 2001,26.53789,20.72373,24.73449,28.63182
2.5,0000 1 Sep 2001,26.48627,21.54251,24.85349,28.48414
3.5,0000 1 Sep 2001,26.34641,22.82912,24.99858,28.28661
4.5,0000 1 Sep 2001,26.28258,24.51484,25.42407,28.06711
5.5,0000 1 Sep 2001,26.46099,25.83355,26.03262,28.00084
6.5,0000 1 Sep 2001,26.95166,26.10803,26.68703,28.18546
7.5,0000 1 Sep 2001,27.44736,25.33472,26.96653,28.52024
8.5,0000 1 Sep 2001,27.68605,24.1648,26.84771,28.7729
9.5,0000 1 Sep 2001,27.51181,23.0672,26.29759,28.82725
10.5,0000 1 Sep 2001,27.11419,22.17791,25.66385,28.71093
1.5,0000 1 Oct 2001,26.63213,21.40958,25.00724,28.72162
2.5,0000 1 Oct 2001,26.59843,22.7857,25.26535,28.5654
3.5,0000 1 Oct 2001,26.58711,24.55972,25.66765,28.38496
4.5,0000 1 Oct 2001,26.78473,26.01354,26.30656,28.30096
