SZN,LDC_SST_GFDL_SPEAR
JFM,25.7499187
FMA,26.342599399999997
MAM,26.810056714285714
AMJ,26.958180750000004
MJJ,26.951540799999997
JJA,26.4576245
JAS,25.941078555555556
ASO,25.728705222222224
SON,25.7478598
OND,25.68382408333333
NDJ,25.521118416666663
DJF,25.4724724
