M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
24,1.5,8,9,ASO,26.187295666666667,0.9946847737771257
1,1.5,9,10,SON,25.911083333333334,1.413078896609195
2,1.5,9,10,SON,25.959955666666666,1.533086013294367
3,1.5,9,10,SON,26.064312333333337,1.551759138301264
4,1.5,9,10,SON,26.009316333333334,1.6496906324309177
5,1.5,9,10,SON,26.06054933333333,1.5259639816271284
6,1.5,9,10,SON,26.058955333333333,1.3334423061223004
7,1.5,9,10,SON,26.078231333333335,1.4636574842878145
8,1.5,9,10,SON,26.090401333333332,1.3494096546809176
9,1.5,9,10,SON,26.189344666666667,1.2813454775222965
10,1.5,9,10,SON,26.23803366666667,1.3659858550171242
11,1.5,9,10,SON,26.21758833333333,1.3488937852971257
12,1.5,9,10,SON,26.289829666666666,1.452379185175751
13,1.5,9,10,SON,26.274252,1.2689916185406878
14,1.5,9,10,SON,26.305996333333333,1.3052858263550562
15,1.5,9,10,SON,26.267163999999998,1.2031501525903459
16,1.5,9,10,SON,26.260777,1.261780292876897
17,1.5,9,10,SON,26.402677666666666,1.2691401615495397
18,1.5,9,10,SON,26.458801,1.2421824869403462
19,1.5,9,10,SON,26.490920000000003,1.2352798995655176
20,1.5,9,10,SON,26.486534,1.1770866542386236
21,1.5,9,10,SON,26.500157666666667,1.236168313797817
22,1.5,9,10,SON,26.532185000000002,1.1653284978741356
23,1.5,9,10,SON,26.532313666666667,1.1466194983757483
24,1.5,9,10,SON,26.52569,1.1516795593862057
1,1.5,10,11,OND,26.614891,1.5124723344093105
2,1.5,10,11,OND,26.62890133333333,1.4560279297843686
3,1.5,10,11,OND,26.56710766666667,1.4366308929426428
4,1.5,10,11,OND,26.645477333333336,1.364662900344368
5,1.5,10,11,OND,26.663130333333335,1.5314621043550587
6,1.5,10,11,OND,26.663223333333335,1.420121139919539
7,1.5,10,11,OND,26.679346333333335,1.4090526731205733
8,1.5,10,11,OND,26.719012666666668,1.4540058149443669
9,1.5,10,11,OND,26.655391,1.3229940374093092
10,1.5,10,11,OND,26.656426333333336,1.3993645796722989
11,1.5,10,11,OND,26.71912166666667,1.4047056716833328
12,1.5,10,11,OND,26.674751,1.2057295383541373
13,1.5,10,11,OND,26.745902666666666,1.2477383529719548
14,1.5,10,11,OND,26.718752333333335,1.3038687311495396
15,1.5,10,11,OND,26.671180333333332,1.337478940920574
16,1.5,10,11,OND,26.688625333333334,1.4217343645843687
17,1.5,10,11,OND,26.713286,1.237503116431724
18,1.5,10,11,OND,26.771838333333335,1.3243015183040234
19,1.5,10,11,OND,26.775216666666665,1.2764543961264367
20,1.5,10,11,OND,26.770090333333332,1.3863525336998848
21,1.5,10,11,OND,26.770956,1.353998288293792
22,1.5,10,11,OND,26.821786666666664,1.3328349971609186
23,1.5,10,11,OND,26.814373999999997,1.3918002540731036
24,1.5,10,11,OND,26.800410333333332,1.351454865168851
1,1.5,11,12,NDJ,26.921316666666666,1.6399358052091957
2,1.5,11,12,NDJ,26.861485666666667,1.562668376294369
3,1.5,11,12,NDJ,26.899357333333334,1.6117765866960905
4,1.5,11,12,NDJ,26.928053,1.5766064182286212
5,1.5,11,12,NDJ,26.97487,1.6761565546413786
6,1.5,11,12,NDJ,26.91819033333333,1.5691146643274716
7,1.5,11,12,NDJ,26.924469,1.5316300288231022
8,1.5,11,12,NDJ,26.998227666666665,1.4252278951909185
9,1.5,11,12,NDJ,26.900575333333332,1.4561814589843654
10,1.5,11,12,NDJ,26.972937333333334,1.451105628109886
11,1.5,11,12,NDJ,26.993698,1.3581051583131036
12,1.5,11,12,NDJ,26.960297333333333,1.410967289482299
13,1.5,11,12,NDJ,26.898146666666666,1.486865815974712
14,1.5,11,12,NDJ,26.91056166666667,1.4676306157936776
15,1.5,11,12,NDJ,26.909561333333333,1.4919968831498862
16,1.5,11,12,NDJ,26.881817666666667,1.4400921794047128
17,1.5,11,12,NDJ,26.919884333333336,1.3266881554598864
18,1.5,11,12,NDJ,26.846082000000003,1.397471465726897
19,1.5,11,12,NDJ,26.858531666666668,1.4101993481867818
20,1.5,11,12,NDJ,26.863074333333333,1.3732270667702298
21,1.5,11,12,NDJ,26.87113533333333,1.338521666694713
22,1.5,11,12,NDJ,26.880810666666665,1.2739835350616087
23,1.5,11,12,NDJ,26.869230666666667,1.345205132661609
24,1.5,11,12,NDJ,26.864909,1.3285418356989647
1,1.5,12,1,DJF,26.833948333333336,1.2952097113936776
2,1.5,12,1,DJF,26.854655666666666,1.2572787180667806
3,1.5,12,1,DJF,26.819253333333332,1.2390435352091953
4,1.5,12,1,DJF,26.820898,1.1729171950648285
5,1.5,12,1,DJF,26.866347333333334,1.442556995613332
6,1.5,12,1,DJF,26.824295,1.2191387886948277
7,1.5,12,1,DJF,26.878956000000002,1.2304172132041373
8,1.5,12,1,DJF,26.825693333333334,1.27610751791954
9,1.5,12,1,DJF,26.7883,1.3015315956896536
10,1.5,12,1,DJF,26.855539,1.3338838297127589
11,1.5,12,1,DJF,26.835606,1.2359367833489638
12,1.5,12,1,DJF,26.868995666666667,1.2490797218529897
13,1.5,12,1,DJF,26.796242333333335,1.2999587279564375
14,1.5,12,1,DJF,26.769064333333333,1.1730635404943666
15,1.5,12,1,DJF,26.811791333333336,1.260160784777472
16,1.5,12,1,DJF,26.829981666666665,1.1984484404074722
17,1.5,12,1,DJF,26.824441999999998,1.1374252419820692
18,1.5,12,1,DJF,26.833689333333332,1.1963211847236783
19,1.5,12,1,DJF,26.81577,1.2297937600068976
20,1.5,12,1,DJF,26.828168333333334,1.2542065986074717
21,1.5,12,1,DJF,26.802823,1.146899048538967
22,1.5,12,1,DJF,26.769567333333335,1.2527129481788501
23,1.5,12,1,DJF,26.820578,1.2231686268579305
24,1.5,12,1,DJF,26.808625,1.1421424596327598
1,2.5,1,3,FMA,27.159913,0.6978299384906892
2,2.5,1,3,FMA,27.156922333333334,0.7052378696254032
3,2.5,1,3,FMA,27.192591333333333,0.5462810852602299
4,2.5,1,3,FMA,27.131671333333333,0.7014375944395396
5,2.5,1,3,FMA,27.243251,0.9221890570506895
6,2.5,1,3,FMA,27.170955666666668,0.8001047935909196
7,2.5,1,3,FMA,27.159762666666666,0.600057469992645
8,2.5,1,3,FMA,27.177373666666664,0.6834032126722981
9,2.5,1,3,FMA,27.227009333333335,0.6101356959788503
10,2.5,1,3,FMA,27.093867333333332,0.6686295839167806
11,2.5,1,3,FMA,27.24575533333333,0.6427314540947116
12,2.5,1,3,FMA,27.286167,0.5564928102906906
13,2.5,1,3,FMA,27.20951266666667,0.6055249149788507
14,2.5,1,3,FMA,27.252694,0.44146015286620743
15,2.5,1,3,FMA,27.298915,0.4872582882051732
16,2.5,1,3,FMA,27.289629666666666,0.46988281015505784
17,2.5,1,3,FMA,27.205202,0.7036975606648288
18,2.5,1,3,FMA,27.151738,0.5908616298441383
19,2.5,1,3,FMA,27.230314,0.5046734433075858
20,2.5,1,3,FMA,27.204969333333334,0.5552616624271265
21,2.5,1,3,FMA,27.202667666666667,0.6816583601150575
22,2.5,1,3,FMA,27.195676,0.6806022798179306
23,2.5,1,3,FMA,27.17682,0.7226277183724137
24,2.5,1,3,FMA,27.159725666666667,0.6691370409081612
1,2.5,2,4,MAM,27.698791000000003,0.53249330609207
2,2.5,2,4,MAM,27.67311266666667,0.47076950516505794
3,2.5,2,4,MAM,27.649402666666667,0.4866302107029891
4,2.5,2,4,MAM,27.675945333333335,0.4773903613016099
5,2.5,2,4,MAM,27.809567333333334,0.5463856261098825
6,2.5,2,4,MAM,27.793102666666666,0.498794731627126
7,2.5,2,4,MAM,27.759490333333336,0.4408780288378162
8,2.5,2,4,MAM,27.784323333333337,0.357369218229885
9,2.5,2,4,MAM,27.693528333333333,0.4284527039454033
10,2.5,2,4,MAM,27.76531633333333,0.48583881427229825
11,2.5,2,4,MAM,27.800756666666665,0.47380096594712756
12,2.5,2,4,MAM,27.738452,0.4397031850234486
13,2.5,2,4,MAM,27.713704333333332,0.2894087532529874
14,2.5,2,4,MAM,27.730580999999997,0.35771982987138007
15,2.5,2,4,MAM,27.740434999999998,0.3653532065293103
16,2.5,2,4,MAM,27.829058999999997,0.3469562618851725
17,2.5,2,4,MAM,27.729278,0.42124518161655156
18,2.5,2,4,MAM,27.79605333333333,0.40266090405057436
19,2.5,2,4,MAM,27.818352,0.4409187981682768
20,2.5,2,4,MAM,27.850917,0.39525985098724054
21,2.5,2,4,MAM,27.839178333333333,0.3921443833522987
22,2.5,2,4,MAM,27.848136333333333,0.41842066860333077
23,2.5,2,4,MAM,27.828045999999997,0.39023922921793
24,2.5,2,4,MAM,27.88971133333333,0.286902678936092
1,2.5,3,5,AMJ,28.267735000000002,0.31542113131551786
2,2.5,3,5,AMJ,28.16951933333333,0.3746042114891976
3,2.5,3,5,AMJ,28.277756333333333,0.4658174046102308
4,2.5,3,5,AMJ,28.242822,0.3769000554027575
5,2.5,3,5,AMJ,28.299593,0.3842278647044825
6,2.5,3,5,AMJ,28.258424333333334,0.45477715199091856
7,2.5,3,5,AMJ,28.382466666666666,0.4051805145747138
8,2.5,3,5,AMJ,28.23974966666667,0.4031172799067807
9,2.5,3,5,AMJ,28.359406,0.3627827391627583
10,2.5,3,5,AMJ,28.404750333333332,0.33612343993436816
11,2.5,3,5,AMJ,28.423633,0.33351271295275875
12,2.5,3,5,AMJ,28.421751333333336,0.39230247183953876
