SZN,LDC_SST_CanESM5
JFM,27.750075555555576
FMA,28.23590285714288
MAM,28.62904600000002
AMJ,28.42472000000002
MJJ,28.117630909090927
JJA,27.773182142857166
JAS,27.536196491228097
ASO,27.272451136363657
SON,27.325221212121235
OND,27.39950900000002
NDJ,27.42938100000002
DJF,27.500005000000023
