SZN,LDC_SST_CanSIPS_IC4
JFM,25.39399400000002
FMA,25.78677200000002
MAM,25.999445714285738
AMJ,25.90949250000002
MJJ,26.09199800000002
JJA,25.717668333333357
JAS,25.459137777777798
ASO,25.259641111111133
SON,25.272649000000023
OND,25.238831666666687
NDJ,25.170502500000023
DJF,25.154555000000023
