L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
9.5,0000 1 Aug 1997,301.843,299.8964,301.1522,302.2767
10.5,0000 1 Aug 1997,301.3352,298.3033,299.9933,302.2764
1.5,0000 1 Sep 1997,302.3411,298.4302,301.1299,302.9982
2.5,0000 1 Sep 1997,302.5412,298.989,301.3071,303.062
3.5,0000 1 Sep 1997,302.5291,299.7052,301.4813,302.8896
4.5,0000 1 Sep 1997,302.2981,300.5378,301.636,302.5799
5.5,0000 1 Sep 1997,302.0513,301.3087,301.7961,302.3253
6.5,0000 1 Sep 1997,301.9221,301.6664,301.9533,302.1687
7.5,0000 1 Sep 1997,301.8541,301.1661,301.7689,302.1103
8.5,0000 1 Sep 1997,301.5617,299.9118,300.9893,302.1159
9.5,0000 1 Sep 1997,301.0317,298.3151,299.8287,302.0827
10.5,0000 1 Sep 1997,300.4158,297.0371,298.8162,302.0208
1.5,0000 1 Oct 1997,302.5746,298.727,301.377,302.861
2.5,0000 1 Oct 1997,302.5182,299.5132,301.5164,302.7448
3.5,0000 1 Oct 1997,302.2561,300.3948,301.5972,302.5041
4.5,0000 1 Oct 1997,301.9617,301.1663,301.6731,302.2542
5.5,0000 1 Oct 1997,301.8327,301.4569,301.7932,302.1014
6.5,0000 1 Oct 1997,301.7552,300.8895,301.5802,302.0486
7.5,0000 1 Oct 1997,301.4668,299.6156,300.789,302.0808
8.5,0000 1 Oct 1997,300.9549,298.0544,299.6958,302.0657
9.5,0000 1 Oct 1997,300.4147,296.8103,298.791,302.0213
10.5,0000 1 Oct 1997,300.0687,296.1453,298.4028,301.9474
1.5,0000 1 Nov 1997,302.501,299.4382,301.6726,302.6056
2.5,0000 1 Nov 1997,302.2175,300.3278,301.6619,302.4115
3.5,0000 1 Nov 1997,301.847,301.0714,301.6032,302.1395
4.5,0000 1 Nov 1997,301.674,301.3202,301.6386,301.994
5.5,0000 1 Nov 1997,301.597,300.6397,301.337,302.0146
6.5,0000 1 Nov 1997,301.3528,299.2946,300.5757,302.104
7.5,0000 1 Nov 1997,300.8176,297.678,299.4545,302.0901
8.5,0000 1 Nov 1997,300.2298,296.516,298.5576,301.9664
9.5,0000 1 Nov 1997,299.8254,295.905,298.105,301.8504
10.5,0000 1 Nov 1997,299.5746,295.8233,297.9492,301.7366
1.5,0000 1 Dec 1997,302.3511,300.6545,301.9357,302.4933
2.5,0000 1 Dec 1997,302.1033,301.323,301.9557,302.2421
3.5,0000 1 Dec 1997,301.9354,301.5064,301.9969,302.0882
4.5,0000 1 Dec 1997,301.7708,300.8591,301.6142,302.0411
5.5,0000 1 Dec 1997,301.3564,299.4879,300.6598,302.0529
6.5,0000 1 Dec 1997,300.7402,297.8785,299.4059,302.0067
7.5,0000 1 Dec 1997,300.1131,296.6409,298.4583,301.8925
8.5,0000 1 Dec 1997,299.7393,295.9584,298.0577,301.7765
9.5,0000 1 Dec 1997,299.4836,295.8554,297.9359,301.6384
10.5,0000 1 Dec 1997,299.2107,296.2219,297.855,301.4077
1.5,0000 1 Jan 1998,301.8443,301.418,301.7973,302.0324
2.5,0000 1 Jan 1998,301.6372,301.4097,301.6967,301.8576
3.5,0000 1 Jan 1998,301.468,300.6912,301.2823,301.8124
4.5,0000 1 Jan 1998,301.1339,299.2982,300.3975,301.8639
5.5,0000 1 Jan 1998,300.5966,297.7052,299.2988,301.8405
6.5,0000 1 Jan 1998,300.0403,296.467,298.4185,301.7473
7.5,0000 1 Jan 1998,299.6725,295.8152,298.004,301.6449
8.5,0000 1 Jan 1998,299.4468,295.6817,297.8645,301.5473
9.5,0000 1 Jan 1998,299.2192,296.0237,297.7999,301.3799
10.5,0000 1 Jan 1998,298.9384,296.6627,297.722,301.1528
1.5,0000 1 Feb 1998,301.7289,301.7482,302.0256,301.7257
2.5,0000 1 Feb 1998,301.5113,301.0073,301.5931,301.646
3.5,0000 1 Feb 1998,301.0706,299.6423,300.6005,301.6511
4.5,0000 1 Feb 1998,300.4324,298.0243,299.3309,301.6102
5.5,0000 1 Feb 1998,299.7661,296.7466,298.3059,301.4931
6.5,0000 1 Feb 1998,299.4194,295.9813,297.9001,301.365
7.5,0000 1 Feb 1998,299.2408,295.7323,297.7932,301.2502
8.5,0000 1 Feb 1998,299.0563,295.9524,297.7231,301.0758
9.5,0000 1 Feb 1998,298.7791,296.5594,297.5897,300.8681
10.5,0000 1 Feb 1998,298.5473,297.5063,297.6116,300.6577
1.5,0000 1 Mar 1998,301.6447,301.3866,301.7889,301.7873
2.5,0000 1 Mar 1998,301.2126,300.0807,300.8294,301.8283
3.5,0000 1 Mar 1998,300.6319,298.4643,299.6292,301.8088
4.5,0000 1 Mar 1998,300.0215,297.1299,298.6045,301.7216
5.5,0000 1 Mar 1998,299.6726,296.3264,298.1543,301.5957
6.5,0000 1 Mar 1998,299.4803,296.0355,298.0019,301.5026
7.5,0000 1 Mar 1998,299.2501,296.1963,297.9,301.3338
8.5,0000 1 Mar 1998,298.9428,296.7086,297.7485,301.1015
9.5,0000 1 Mar 1998,298.6591,297.5822,297.7469,300.83
10.5,0000 1 Mar 1998,298.6276,298.6742,298.1075,300.6373
1.5,0000 1 Apr 1998,301.1739,300.2612,300.909,301.7671
2.5,0000 1 Apr 1998,300.555,298.706,299.6761,301.741
3.5,0000 1 Apr 1998,299.9562,297.3556,298.5849,301.7096
4.5,0000 1 Apr 1998,299.6562,296.501,298.1514,301.6492
5.5,0000 1 Apr 1998,299.5395,296.181,298.0884,301.5966
6.5,0000 1 Apr 1998,299.3417,296.3548,298.0312,301.447
7.5,0000 1 Apr 1998,299.0479,296.8874,297.8962,301.2169
8.5,0000 1 Apr 1998,298.7829,297.7484,297.9332,300.9001
9.5,0000 1 Apr 1998,298.7502,298.8103,298.2866,300.6434
10.5,0000 1 Apr 1998,299.0211,299.8124,298.932,300.5668
1.5,0000 1 May 1998,300.71,299.2173,300.0236,301.8545
2.5,0000 1 May 1998,299.9933,297.9763,298.8502,301.764
3.5,0000 1 May 1998,299.6416,297.0796,298.3572,301.6562
4.5,0000 1 May 1998,299.53,296.6624,298.2569,301.5431
5.5,0000 1 May 1998,299.3473,296.692,298.1501,301.3801
6.5,0000 1 May 1998,299.0707,297.0662,297.9475,301.1989
7.5,0000 1 May 1998,298.8008,297.8052,297.8708,300.9604
8.5,0000 1 May 1998,298.7289,298.8181,298.1566,300.7166
9.5,0000 1 May 1998,298.9857,299.8216,298.8153,300.5936
10.5,0000 1 May 1998,299.5154,300.3612,299.5943,300.748
1.5,0000 1 Jun 1998,299.6386,298.1027,298.6924,301.632
2.5,0000 1 Jun 1998,299.3128,297.2447,298.2103,301.4333
3.5,0000 1 Jun 1998,299.2155,296.8175,298.0982,301.2341
4.5,0000 1 Jun 1998,299.0987,296.7878,298.0423,301.0081
5.5,0000 1 Jun 1998,298.8716,297.1002,297.8665,300.8121
6.5,0000 1 Jun 1998,298.6694,297.8457,297.8502,300.6153
7.5,0000 1 Jun 1998,298.6855,298.8527,298.2076,300.4709
8.5,0000 1 Jun 1998,299.0222,299.8642,298.9305,300.4688
9.5,0000 1 Jun 1998,299.6466,300.378,299.7318,300.7372
10.5,0000 1 Jun 1998,300.2189,300.1629,300.1479,301.1536
1.5,0000 1 Jul 1998,299.2044,296.9054,298.1347,301.3759
2.5,0000 1 Jul 1998,299.0699,296.7176,297.9837,301.1719
3.5,0000 1 Jul 1998,298.9572,296.7626,297.8774,300.9249
4.5,0000 1 Jul 1998,298.7245,297.0803,297.7129,300.6806
5.5,0000 1 Jul 1998,298.5114,297.7926,297.7363,300.4376
6.5,0000 1 Jul 1998,298.5123,298.773,298.1112,300.284
7.5,0000 1 Jul 1998,298.8621,299.7957,298.8106,300.3096
8.5,0000 1 Jul 1998,299.4127,300.3447,299.5065,300.5843
9.5,0000 1 Jul 1998,299.9362,300.1287,299.8865,300.9765
10.5,0000 1 Jul 1998,300.2152,299.253,299.8164,301.2943
1.5,0000 1 Aug 1998,299.1685,296.698,298.1731,301.133
2.5,0000 1 Aug 1998,299.1426,296.8672,298.064,301.0536
3.5,0000 1 Aug 1998,299.0122,297.2538,297.9481,300.9364
4.5,0000 1 Aug 1998,298.885,297.9947,298.023,300.7915
5.5,0000 1 Aug 1998,298.9568,299.0044,298.5077,300.6651
6.5,0000 1 Aug 1998,299.3712,300.0409,299.291,300.7111
7.5,0000 1 Aug 1998,300.0098,300.5978,300.1109,301.0024
8.5,0000 1 Aug 1998,300.5909,300.3393,300.5008,301.4584
9.5,0000 1 Aug 1998,300.8541,299.4194,300.3802,301.8173
10.5,0000 1 Aug 1998,300.7924,298.2654,299.8415,302.0263
1.5,0000 1 Sep 1998,298.9943,296.1196,297.8416,300.9388
2.5,0000 1 Sep 1998,298.818,296.8192,297.6921,300.8281
3.5,0000 1 Sep 1998,298.6794,297.6667,297.7469,300.712
4.5,0000 1 Sep 1998,298.7163,298.7686,298.1891,300.615
5.5,0000 1 Sep 1998,299.0728,299.84,298.9153,300.6313
6.5,0000 1 Sep 1998,299.6722,300.4555,299.7075,300.8729
7.5,0000 1 Sep 1998,300.2713,300.2169,300.1518,301.281
8.5,0000 1 Sep 1998,300.5814,299.3149,300.0965,301.6337
9.5,0000 1 Sep 1998,300.5446,298.1797,299.6072,301.8341
10.5,0000 1 Sep 1998,300.3497,297.2747,299.0889,301.9257
1.5,0000 1 Oct 1998,298.3764,296.2758,297.261,300.5171
2.5,0000 1 Oct 1998,298.1947,297.3421,297.3126,300.3643
3.5,0000 1 Oct 1998,298.3217,298.5193,297.825,300.2918
4.5,0000 1 Oct 1998,298.8219,299.6715,298.7679,300.3785
5.5,0000 1 Oct 1998,299.5991,300.3147,299.7691,300.6935
6.5,0000 1 Oct 1998,300.2734,300.1492,300.2764,301.163
7.5,0000 1 Oct 1998,300.6093,299.3059,300.1948,301.5463
8.5,0000 1 Oct 1998,300.5204,298.2451,299.6234,301.7626
9.5,0000 1 Oct 1998,300.2792,297.3615,299.0635,301.8545
10.5,0000 1 Oct 1998,300.0888,296.8455,298.7638,301.9031
1.5,0000 1 Nov 1998,298.4229,297.1778,297.5571,300.4101
2.5,0000 1 Nov 1998,298.3889,298.4377,297.8321,300.3175
3.5,0000 1 Nov 1998,298.7135,299.556,298.5541,300.3697
4.5,0000 1 Nov 1998,299.3971,300.1879,299.5103,300.6452
5.5,0000 1 Nov 1998,300.0724,299.9546,300.0716,301.0641
6.5,0000 1 Nov 1998,300.4459,299.1164,300.0544,301.4127
7.5,0000 1 Nov 1998,300.4065,298.0629,299.5259,301.621
8.5,0000 1 Nov 1998,300.2209,297.2168,299.0088,301.7486
9.5,0000 1 Nov 1998,300.0909,296.7265,298.7187,301.8927
10.5,0000 1 Nov 1998,300.0561,296.671,298.6794,302.0407
1.5,0000 1 Dec 1998,298.4535,297.9981,297.9137,300.3254
2.5,0000 1 Dec 1998,298.7997,299.368,298.6557,300.3702
3.5,0000 1 Dec 1998,299.3828,300.0554,299.449,300.6409
4.5,0000 1 Dec 1998,299.932,299.8636,299.875,301.0024
5.5,0000 1 Dec 1998,300.2023,299.0162,299.7853,301.2953
6.5,0000 1 Dec 1998,300.1749,297.9486,299.2867,301.4725
7.5,0000 1 Dec 1998,300.037,297.0873,298.8301,301.6053
8.5,0000 1 Dec 1998,299.9478,296.6147,298.6193,301.7455
9.5,0000 1 Dec 1998,299.9465,296.5623,298.624,301.8779
10.5,0000 1 Dec 1998,299.9684,296.8737,298.711,301.9406
1.5,0000 1 Jan 1999,299.0376,299.557,299.0686,300.2009
2.5,0000 1 Jan 1999,299.7481,300.2099,299.8787,300.6405
3.5,0000 1 Jan 1999,300.2825,299.9949,300.2073,301.1683
4.5,0000 1 Jan 1999,300.4774,299.1007,300.039,301.5215
5.5,0000 1 Jan 1999,300.3495,297.989,299.4671,301.6757
6.5,0000 1 Jan 1999,300.101,297.067,298.896,301.7175
7.5,0000 1 Jan 1999,299.8884,296.5379,298.5534,301.7523
8.5,0000 1 Jan 1999,299.7929,296.4209,298.4543,301.7994
9.5,0000 1 Jan 1999,299.7556,296.6683,298.4748,301.8053
10.5,0000 1 Jan 1999,299.6567,297.1969,298.4924,301.7118
1.5,0000 1 Feb 1999,299.6351,299.9727,299.726,300.6107
2.5,0000 1 Feb 1999,300.1837,299.8428,300.0464,301.1875
3.5,0000 1 Feb 1999,300.363,298.991,299.881,301.5721
4.5,0000 1 Feb 1999,300.2613,297.9185,299.3665,301.728
5.5,0000 1 Feb 1999,300.0003,297.0476,298.8249,301.7318
6.5,0000 1 Feb 1999,299.7693,296.5327,298.4827,301.7003
7.5,0000 1 Feb 1999,299.6368,296.3918,298.353,301.6993
8.5,0000 1 Feb 1999,299.5841,296.6407,298.3558,301.6858
9.5,0000 1 Feb 1999,299.5049,297.1595,298.3857,301.5981
10.5,0000 1 Feb 1999,299.406,297.9344,298.5069,301.4117
1.5,0000 1 Mar 1999,300.0503,299.8958,300.0287,300.9057
2.5,0000 1 Mar 1999,300.2597,298.8706,299.8133,301.3456
3.5,0000 1 Mar 1999,300.1826,297.6962,299.2992,301.516
4.5,0000 1 Mar 1999,299.9292,296.7327,298.7602,301.5187
5.5,0000 1 Mar 1999,299.7206,296.2015,298.4322,301.504
6.5,0000 1 Mar 1999,299.6031,296.0646,298.2845,301.5348
7.5,0000 1 Mar 1999,299.5453,296.3398,298.2691,301.5597
8.5,0000 1 Mar 1999,299.4469,296.9038,298.2806,301.5192
9.5,0000 1 Mar 1999,299.3418,297.748,298.4283,301.3579
10.5,0000 1 Mar 1999,299.3803,298.7962,298.8185,301.1848
1.5,0000 1 Apr 1999,300.1438,298.6526,299.6934,301.2732
2.5,0000 1 Apr 1999,300.0695,297.6087,299.1497,301.4472
3.5,0000 1 Apr 1999,299.809,296.6385,298.6095,301.4378
4.5,0000 1 Apr 1999,299.5624,296.0563,298.2328,301.4016
5.5,0000 1 Apr 1999,299.4156,295.934,298.0683,301.3851
6.5,0000 1 Apr 1999,299.3283,296.2327,298.0451,301.3675
7.5,0000 1 Apr 1999,299.2097,296.8213,298.0577,301.29
8.5,0000 1 Apr 1999,299.0776,297.6842,298.1991,301.1179
9.5,0000 1 Apr 1999,299.0905,298.7162,298.5563,300.9407
10.5,0000 1 Apr 1999,299.4065,299.7201,299.1713,300.9284
1.5,0000 1 May 1999,299.8751,297.1919,298.9714,301.1637
2.5,0000 1 May 1999,299.4937,296.5755,298.3281,301.1446
3.5,0000 1 May 1999,299.1795,296.1163,297.9083,301.0606
4.5,0000 1 May 1999,298.9864,296.003,297.7408,300.986
5.5,0000 1 May 1999,298.8619,296.2413,297.6999,300.9107
6.5,0000 1 May 1999,298.701,296.7588,297.6522,300.8315
7.5,0000 1 May 1999,298.5876,297.6224,297.7589,300.7096
8.5,0000 1 May 1999,298.6429,298.6636,298.1345,300.6105
9.5,0000 1 May 1999,298.9903,299.6551,298.8189,300.6457
10.5,0000 1 May 1999,299.6045,300.1471,299.6204,300.88
1.5,0000 1 Jun 1999,299.7136,296.3436,298.6337,301.2738
2.5,0000 1 Jun 1999,299.4036,296.1717,298.2128,301.1652
3.5,0000 1 Jun 1999,299.1611,296.2095,297.9747,301.0638
4.5,0000 1 Jun 1999,298.9816,296.4781,297.8521,300.9618
5.5,0000 1 Jun 1999,298.7826,296.9363,297.739,300.8611
6.5,0000 1 Jun 1999,298.6435,297.6592,297.7912,300.7072
7.5,0000 1 Jun 1999,298.6717,298.6448,298.1314,300.5811
8.5,0000 1 Jun 1999,298.9744,299.6529,298.7551,300.589
9.5,0000 1 Jun 1999,299.4875,300.2038,299.4674,300.8142
10.5,0000 1 Jun 1999,300.0283,299.9576,299.9028,301.1854
1.5,0000 1 Jul 1999,299.3269,295.6177,298.1553,301.0922
2.5,0000 1 Jul 1999,299.0625,295.9371,297.9107,300.9735
3.5,0000 1 Jul 1999,298.8616,296.3468,297.724,300.855
4.5,0000 1 Jul 1999,298.6691,296.9075,297.6147,300.7147
5.5,0000 1 Jul 1999,298.5446,297.7102,297.7369,300.5307
6.5,0000 1 Jul 1999,298.6306,298.7022,298.1643,300.4128
7.5,0000 1 Jul 1999,299.0093,299.7053,298.8392,300.4888
8.5,0000 1 Jul 1999,299.5712,300.2954,299.5607,300.8116
9.5,0000 1 Jul 1999,300.1449,300.1449,300.0236,301.2456
10.5,0000 1 Jul 1999,300.4745,299.351,300.0407,301.5905
1.5,0000 1 Aug 1999,298.8685,295.1264,297.5764,300.7783
2.5,0000 1 Aug 1999,298.628,295.7975,297.4207,300.631
3.5,0000 1 Aug 1999,298.3889,296.531,297.3156,300.4788
4.5,0000 1 Aug 1999,298.2362,297.4257,297.4125,300.314
5.5,0000 1 Aug 1999,298.3091,298.485,297.8451,300.2174
6.5,0000 1 Aug 1999,298.7148,299.5172,298.5677,300.2946
7.5,0000 1 Aug 1999,299.3525,300.1024,299.3828,300.6157
8.5,0000 1 Aug 1999,299.9861,299.9164,299.8787,301.0656
9.5,0000 1 Aug 1999,300.3279,299.1112,299.8765,301.4636
10.5,0000 1 Aug 1999,300.3336,298.1163,299.4488,301.6749
1.5,0000 1 Sep 1999,298.4641,295.3192,297.262,300.5354
2.5,0000 1 Sep 1999,298.2444,296.2891,297.1884,300.3743
3.5,0000 1 Sep 1999,298.1346,297.2966,297.3121,300.2613
4.5,0000 1 Sep 1999,298.2662,298.4849,297.7913,300.2314
5.5,0000 1 Sep 1999,298.7368,299.6002,298.6201,300.3525
6.5,0000 1 Sep 1999,299.4218,300.2664,299.495,300.6897
7.5,0000 1 Sep 1999,300.0561,300.1112,299.9914,301.124
8.5,0000 1 Sep 1999,300.3544,299.3075,299.9168,301.4614
9.5,0000 1 Sep 1999,300.3103,298.2611,299.4522,301.6329
10.5,0000 1 Sep 1999,300.1363,297.4076,298.9917,301.719
1.5,0000 1 Oct 1999,298.4461,295.7671,297.1726,300.7481
2.5,0000 1 Oct 1999,298.2276,297.0742,297.3133,300.5165
3.5,0000 1 Oct 1999,298.3071,298.3251,297.7674,300.3725
4.5,0000 1 Oct 1999,298.726,299.4567,298.5453,300.4131
5.5,0000 1 Oct 1999,299.39,300.0968,299.4149,300.7163
6.5,0000 1 Oct 1999,300.0076,299.9362,299.8932,301.162
7.5,0000 1 Oct 1999,300.3702,299.1577,299.8893,301.5295
8.5,0000 1 Oct 1999,300.3857,298.1515,299.4633,301.7401
9.5,0000 1 Oct 1999,300.246,297.3151,299.014,301.8501
10.5,0000 1 Oct 1999,300.1141,296.8533,298.759,301.9413
1.5,0000 1 Nov 1999,298.2833,296.6619,297.2166,300.6614
2.5,0000 1 Nov 1999,298.2759,298.1588,297.6801,300.4874
3.5,0000 1 Nov 1999,298.6428,299.4033,298.483,300.4738
4.5,0000 1 Nov 1999,299.2825,300.0581,299.3598,300.7089
5.5,0000 1 Nov 1999,299.8838,299.8504,299.8083,301.1064
6.5,0000 1 Nov 1999,300.1922,299.0087,299.7276,301.4351
7.5,0000 1 Nov 1999,300.147,298.0054,299.2483,301.5918
8.5,0000 1 Nov 1999,299.9776,297.2246,298.7978,301.6534
9.5,0000 1 Nov 1999,299.8512,296.7845,298.5531,301.7251
10.5,0000 1 Nov 1999,299.8152,296.7299,298.5117,301.8275
1.5,0000 1 Dec 1999,298.1761,297.8595,297.6146,300.2973
2.5,0000 1 Dec 1999,298.4992,299.2813,298.3425,300.2938
3.5,0000 1 Dec 1999,299.1114,299.9906,299.1628,300.5619
4.5,0000 1 Dec 1999,299.6928,299.7781,299.6067,300.9476
5.5,0000 1 Dec 1999,299.9812,298.927,299.5465,301.2518
6.5,0000 1 Dec 1999,299.9797,297.8784,299.0732,301.425
7.5,0000 1 Dec 1999,299.8729,297.0956,298.6605,301.5363
8.5,0000 1 Dec 1999,299.798,296.7077,298.4651,301.6631
9.5,0000 1 Dec 1999,299.806,296.7017,298.4813,301.8071
10.5,0000 1 Dec 1999,299.8549,297.0409,298.6033,301.9256
1.5,0000 1 Jan 2000,298.3331,299.1311,298.0951,300.2067
2.5,0000 1 Jan 2000,298.87,299.9336,298.9041,300.39
3.5,0000 1 Jan 2000,299.4661,299.7308,299.4028,300.7437
4.5,0000 1 Jan 2000,299.8104,298.8278,299.3876,301.07
5.5,0000 1 Jan 2000,299.8815,297.7962,299.032,301.2913
6.5,0000 1 Jan 2000,299.828,297.0755,298.6697,301.445
7.5,0000 1 Jan 2000,299.805,296.7556,298.5339,301.5991
8.5,0000 1 Jan 2000,299.8477,296.8116,298.5854,301.7636
9.5,0000 1 Jan 2000,299.9321,297.1756,298.749,301.8803
10.5,0000 1 Jan 2000,299.9602,297.7454,298.9024,301.877
1.5,0000 1 Feb 2000,299.1812,300.0467,299.2872,300.4279
2.5,0000 1 Feb 2000,299.7673,299.9284,299.708,300.9232
3.5,0000 1 Feb 2000,300.128,299.103,299.7159,301.3576
4.5,0000 1 Feb 2000,300.1825,298.0804,299.3562,301.6033
5.5,0000 1 Feb 2000,300.0769,297.2879,298.9441,301.7117
6.5,0000 1 Feb 2000,299.9833,296.8803,298.7461,301.7962
7.5,0000 1 Feb 2000,299.9792,296.8695,298.7355,301.9341
8.5,0000 1 Feb 2000,300.0419,297.1975,298.845,302.0639
9.5,0000 1 Feb 2000,300.0815,297.7423,298.967,302.1055
10.5,0000 1 Feb 2000,300.0763,298.5005,299.1596,301.9866
1.5,0000 1 Mar 2000,300.0182,300.1042,300.1407,300.7297
2.5,0000 1 Mar 2000,300.3464,299.277,300.0044,301.2404
3.5,0000 1 Mar 2000,300.3115,298.1286,299.5015,301.5532
4.5,0000 1 Mar 2000,300.1601,297.2126,299.0438,301.6927
5.5,0000 1 Mar 2000,300.0293,296.7349,298.7973,301.7798
6.5,0000 1 Mar 2000,299.986,296.6933,298.7358,301.8987
7.5,0000 1 Mar 2000,300.0142,297.0363,298.7997,302.0185
8.5,0000 1 Mar 2000,300.0453,297.59,298.8955,302.0483
9.5,0000 1 Mar 2000,300.0266,298.3659,299.069,301.9203
10.5,0000 1 Mar 2000,300.0714,299.2992,299.4057,301.7415
1.5,0000 1 Apr 2000,300.2264,298.7834,299.8907,301.0851
2.5,0000 1 Apr 2000,300.1534,297.8703,299.3737,301.3644
3.5,0000 1 Apr 2000,299.9951,297.0431,298.903,301.5107
4.5,0000 1 Apr 2000,299.8573,296.5775,298.6395,301.5955
5.5,0000 1 Apr 2000,299.8055,296.5189,298.5579,301.6996
6.5,0000 1 Apr 2000,299.809,296.8372,298.5802,301.8106
7.5,0000 1 Apr 2000,299.8044,297.4051,298.6598,301.8293
8.5,0000 1 Apr 2000,299.7752,298.2152,298.8444,301.7028
9.5,0000 1 Apr 2000,299.8179,299.1736,299.2023,301.5272
10.5,0000 1 Apr 2000,300.0874,300.0966,299.7286,301.505
1.5,0000 1 May 2000,300.3553,297.7718,299.5609,301.385
2.5,0000 1 May 2000,300.1084,297.1558,298.9691,301.5534
3.5,0000 1 May 2000,299.8692,296.7411,298.6142,301.6388
4.5,0000 1 May 2000,299.7387,296.681,298.4862,301.7197
5.5,0000 1 May 2000,299.6701,296.9648,298.4703,301.7753
6.5,0000 1 May 2000,299.6115,297.4763,298.5032,301.7448
7.5,0000 1 May 2000,299.528,298.2161,298.6307,301.5603
8.5,0000 1 May 2000,299.5289,299.1186,298.9142,301.3378
9.5,0000 1 May 2000,299.7629,299.9999,299.4188,301.2679
10.5,0000 1 May 2000,300.2563,300.4587,300.0412,301.4669
1.5,0000 1 Jun 2000,299.9579,296.6849,298.89,301.4027
2.5,0000 1 Jun 2000,299.6738,296.5507,298.4612,301.4731
3.5,0000 1 Jun 2000,299.5218,296.5821,298.2701,301.5482
4.5,0000 1 Jun 2000,299.4792,296.8896,298.2946,301.5913
5.5,0000 1 Jun 2000,299.439,297.4367,298.392,301.5616
6.5,0000 1 Jun 2000,299.3871,298.2005,298.5858,301.4042
7.5,0000 1 Jun 2000,299.4714,299.1556,298.9804,301.2365
8.5,0000 1 Jun 2000,299.8121,300.0478,299.5565,301.2549
9.5,0000 1 Jun 2000,300.3523,300.5587,300.1805,301.5198
10.5,0000 1 Jun 2000,300.877,300.2702,300.5253,301.9456
1.5,0000 1 Jul 2000,299.6961,295.7912,298.3484,301.4959
2.5,0000 1 Jul 2000,299.4537,296.1391,298.1516,301.5477
3.5,0000 1 Jul 2000,299.3356,296.5755,298.1035,301.5714
4.5,0000 1 Jul 2000,299.2811,297.1859,298.1684,301.519
5.5,0000 1 Jul 2000,299.2262,298.0036,298.3704,301.3525
6.5,0000 1 Jul 2000,299.3008,299.022,298.8013,301.1785
7.5,0000 1 Jul 2000,299.6629,299.9915,299.4805,301.1509
8.5,0000 1 Jul 2000,300.2531,300.5533,300.199,301.3791
9.5,0000 1 Jul 2000,300.8432,300.3086,300.6049,301.8067
10.5,0000 1 Jul 2000,301.1317,299.4469,300.498,302.1953
1.5,0000 1 Aug 2000,299.4777,295.3574,298.0435,301.5069
2.5,0000 1 Aug 2000,299.3142,296.0674,297.9692,301.4979
3.5,0000 1 Aug 2000,299.1993,296.8004,297.9844,301.4659
4.5,0000 1 Aug 2000,299.1043,297.7003,298.1536,301.3015
5.5,0000 1 Aug 2000,299.1482,298.8025,298.5847,301.114
6.5,0000 1 Aug 2000,299.4434,299.8636,299.2259,301.0525
7.5,0000 1 Aug 2000,299.9958,300.4851,299.9612,301.2478
8.5,0000 1 Aug 2000,300.5442,300.2675,300.3521,301.6181
9.5,0000 1 Aug 2000,300.8609,299.4168,300.2959,301.9509
10.5,0000 1 Aug 2000,300.809,298.347,299.8202,302.0987
1.5,0000 1 Sep 2000,299.1745,295.4543,297.7059,301.4308
2.5,0000 1 Sep 2000,298.9756,296.4709,297.7157,301.3533
3.5,0000 1 Sep 2000,298.875,297.5086,297.9023,301.22
4.5,0000 1 Sep 2000,298.9763,298.6988,298.4167,301.0733
5.5,0000 1 Sep 2000,299.3171,299.8392,299.1384,301.0539
6.5,0000 1 Sep 2000,299.9499,300.4868,299.9666,301.2781
7.5,0000 1 Sep 2000,300.558,300.2966,300.3734,301.7054
8.5,0000 1 Sep 2000,300.919,299.4601,300.3455,302.0801
9.5,0000 1 Sep 2000,300.8754,298.4005,299.8553,302.2522
10.5,0000 1 Sep 2000,300.6387,297.5671,299.3626,302.2655
1.5,0000 1 Oct 2000,299.1366,296.2961,297.8906,301.3898
2.5,0000 1 Oct 2000,299.0363,297.5086,298.0491,301.2988
3.5,0000 1 Oct 2000,299.1023,298.6919,298.4723,301.1948
4.5,0000 1 Oct 2000,299.4515,299.771,299.2212,301.1745
5.5,0000 1 Oct 2000,300.0305,300.4197,300.054,301.3405
6.5,0000 1 Oct 2000,300.6742,300.2853,300.579,301.6881
7.5,0000 1 Oct 2000,301.0439,299.5031,300.5455,302.0229
8.5,0000 1 Oct 2000,301.0655,298.4707,300.0937,302.2366
9.5,0000 1 Oct 2000,300.835,297.6324,299.5599,302.3088
10.5,0000 1 Oct 2000,300.6109,297.1912,299.2324,302.3654
1.5,0000 1 Nov 2000,298.9925,296.8717,297.8612,301.293
2.5,0000 1 Nov 2000,299.0468,298.3412,298.3375,301.1937
3.5,0000 1 Nov 2000,299.4203,299.6099,299.1308,301.216
4.5,0000 1 Nov 2000,300.0458,300.3536,299.9765,301.4149
5.5,0000 1 Nov 2000,300.644,300.2086,300.4294,301.7774
6.5,0000 1 Nov 2000,300.9258,299.3693,300.3242,302.0829
7.5,0000 1 Nov 2000,300.8484,298.2768,299.8089,302.2168
8.5,0000 1 Nov 2000,300.59,297.4061,299.2859,302.1998
9.5,0000 1 Nov 2000,300.3478,296.9163,298.9402,302.1889
10.5,0000 1 Nov 2000,300.2221,296.8714,298.8242,302.2497
1.5,0000 1 Dec 2000,299.219,297.7224,298.5403,301.0716
