L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
9.5,0000 1 Sep 1991,301.053,297.9197,299.7921,302.2425
10.5,0000 1 Sep 1991,300.7443,296.9924,299.2086,302.2558
1.5,0000 1 Oct 1991,300.4925,296.5717,298.8287,302.5885
2.5,0000 1 Oct 1991,300.4153,297.7231,299.0535,302.3728
3.5,0000 1 Oct 1991,300.3637,298.8833,299.4002,302.0926
4.5,0000 1 Oct 1991,300.4928,299.9171,299.9302,301.9102
5.5,0000 1 Oct 1991,300.845,300.4133,300.4847,301.9368
6.5,0000 1 Oct 1991,301.1902,300.0572,300.6596,302.1268
7.5,0000 1 Oct 1991,301.3031,299.0844,300.376,302.3173
8.5,0000 1 Oct 1991,301.0781,297.898,299.7225,302.3783
9.5,0000 1 Oct 1991,300.7062,296.9488,299.0756,302.3238
10.5,0000 1 Oct 1991,300.3646,296.364,298.6288,302.2842
1.5,0000 1 Nov 1991,300.729,297.3605,299.2858,302.3973
2.5,0000 1 Nov 1991,300.6118,298.6057,299.5262,302.1193
3.5,0000 1 Nov 1991,300.6743,299.6836,299.9452,301.9603
4.5,0000 1 Nov 1991,300.9316,300.2056,300.4125,301.9923
5.5,0000 1 Nov 1991,301.1906,299.8528,300.5496,302.1448
6.5,0000 1 Nov 1991,301.2429,298.8748,300.2538,302.2651
7.5,0000 1 Nov 1991,300.9923,297.6707,299.5819,302.2574
8.5,0000 1 Nov 1991,300.5687,296.7387,298.8789,302.1655
9.5,0000 1 Nov 1991,300.196,296.1674,298.3654,302.112
10.5,0000 1 Nov 1991,299.9926,296.0362,298.1843,302.1167
1.5,0000 1 Dec 1991,301.1347,298.3538,299.8688,302.3431
2.5,0000 1 Dec 1991,301.1197,299.5352,300.2264,302.1935
3.5,0000 1 Dec 1991,301.2184,300.1519,300.5835,302.142
4.5,0000 1 Dec 1991,301.3502,299.8736,300.6524,302.2238
5.5,0000 1 Dec 1991,301.3165,298.9184,300.2852,302.2932
6.5,0000 1 Dec 1991,301.0223,297.7194,299.553,302.2929
7.5,0000 1 Dec 1991,300.5945,296.7444,298.8195,302.2258
8.5,0000 1 Dec 1991,300.2278,296.1502,298.3476,302.1972
9.5,0000 1 Dec 1991,300.0398,296.0117,298.2154,302.2211
10.5,0000 1 Dec 1991,299.9883,296.3074,298.2968,302.2315
1.5,0000 1 Jan 1992,301.6726,299.8225,300.7018,302.3231
2.5,0000 1 Jan 1992,301.6602,300.5816,301.0049,302.2371
3.5,0000 1 Jan 1992,301.5692,300.2484,300.8871,302.2422
