SZN,LDC_SST_GEM52_NEMO
JFM,26.40927000000002
FMA,26.74885714285716
MAM,26.98133200000002
AMJ,26.569087500000023
MJJ,26.251814545454565
JJA,25.64216964285717
JAS,25.459668421052655
ASO,25.178393181818205
SON,25.412442424242446
OND,25.683161000000023
NDJ,25.943898000000022
DJF,26.157012000000023
