SZN,OBS_MEAN_NINO3.4_L3
JFM,27.96074074074074
FMA,28.285714285714285
MAM,28.558
AMJ,28.5875
MJJ,28.392222222222227
JJA,28.188333333333333
JAS,28.04111111111111
ASO,27.774814814814814
SON,27.849333333333334
OND,27.986
NDJ,27.96933333333333
DJF,27.87366666666667
