L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.330704062357107,0.3724105303191043,0.6196143592833,0.950240225064316,1.1583782739135104,1.3304743905190468,1.3701145823260197
2.5,0.4147585854005891,0.4488840270952585,0.633693160960254,0.9656374046286932,1.4344750836307183,1.626268226846494,1.7641384846894252
3.5,0.382986566156212,0.5103506189789512,0.6604489640944252,0.9270128824273228,1.301672245614353,1.844581207895259,1.915707513609728
4.5,0.4118779873162022,0.4387302586511729,0.7395152716742338,0.9164969879654316,1.2446322746322416,1.6639426973650622,2.125285330296198
5.5,0.4758510217982949,0.4213522399607854,0.6246152725535393,1.0220762709333189,1.20589279653444,1.5993532816827398,1.930847006257131
6.5,0.5116555904546456,0.427917633428836,0.5697969006301864,0.8739924816226582,1.3236799716473373,1.5241590420561495,1.8694218917630645
7.5,0.4413442123361493,0.4639082391177298,0.529187892352098,0.7884672611964656,1.1432938272998086,1.6309575333709774,1.7608252387195886
8.5,0.4415213268631704,0.463146406823673,0.6457789870697749,0.7504189359000576,1.062295297456212,1.3708458669625576,1.8067871380159384
9.5,,,,,,,
10.5,,,,,,,
