L,MON,LDC_SST_GEM5_NEMO
4.5,0000 1 Apr 1992,298.8679
5.5,0000 1 Apr 1992,298.4938
6.5,0000 1 Apr 1992,298.4093
7.5,0000 1 Apr 1992,298.3045
8.5,0000 1 Apr 1992,298.1699
9.5,0000 1 Apr 1992,298.0766
10.5,0000 1 Apr 1992,298.0877
1.5,0000 1 May 1992,300.8097
2.5,0000 1 May 1992,299.7844
3.5,0000 1 May 1992,298.9249
4.5,0000 1 May 1992,298.4711
5.5,0000 1 May 1992,298.2589
6.5,0000 1 May 1992,298.0948
7.5,0000 1 May 1992,297.9253
8.5,0000 1 May 1992,297.7751
9.5,0000 1 May 1992,297.7047
10.5,0000 1 May 1992,297.6849
1.5,0000 1 Jun 1992,299.7362
2.5,0000 1 Jun 1992,298.9465
3.5,0000 1 Jun 1992,298.5988
4.5,0000 1 Jun 1992,298.4612
5.5,0000 1 Jun 1992,298.4087
6.5,0000 1 Jun 1992,298.3445
7.5,0000 1 Jun 1992,298.2946
8.5,0000 1 Jun 1992,298.2694
9.5,0000 1 Jun 1992,298.2968
10.5,0000 1 Jun 1992,298.2424
1.5,0000 1 Jul 1992,299.1493
2.5,0000 1 Jul 1992,298.6693
3.5,0000 1 Jul 1992,298.6868
4.5,0000 1 Jul 1992,298.7182
5.5,0000 1 Jul 1992,298.6638
6.5,0000 1 Jul 1992,298.5802
7.5,0000 1 Jul 1992,298.5775
8.5,0000 1 Jul 1992,298.6295
9.5,0000 1 Jul 1992,298.6459
10.5,0000 1 Jul 1992,298.4348
1.5,0000 1 Aug 1992,298.9483
2.5,0000 1 Aug 1992,298.7861
3.5,0000 1 Aug 1992,298.7829
4.5,0000 1 Aug 1992,298.7128
5.5,0000 1 Aug 1992,298.6435
6.5,0000 1 Aug 1992,298.6451
7.5,0000 1 Aug 1992,298.7053
8.5,0000 1 Aug 1992,298.679
9.5,0000 1 Aug 1992,298.4461
10.5,0000 1 Aug 1992,297.899
1.5,0000 1 Sep 1992,298.9538
2.5,0000 1 Sep 1992,298.7433
3.5,0000 1 Sep 1992,298.639
4.5,0000 1 Sep 1992,298.5041
5.5,0000 1 Sep 1992,298.3783
6.5,0000 1 Sep 1992,298.2993
7.5,0000 1 Sep 1992,298.2297
8.5,0000 1 Sep 1992,298.1155
9.5,0000 1 Sep 1992,297.7863
10.5,0000 1 Sep 1992,297.3155
1.5,0000 1 Oct 1992,298.7859
2.5,0000 1 Oct 1992,298.63
3.5,0000 1 Oct 1992,298.5388
4.5,0000 1 Oct 1992,298.4532
5.5,0000 1 Oct 1992,298.4127
6.5,0000 1 Oct 1992,298.3611
7.5,0000 1 Oct 1992,298.1201
8.5,0000 1 Oct 1992,297.5853
9.5,0000 1 Oct 1992,296.9788
10.5,0000 1 Oct 1992,296.511
1.5,0000 1 Nov 1992,299.0266
2.5,0000 1 Nov 1992,298.7351
3.5,0000 1 Nov 1992,298.5771
4.5,0000 1 Nov 1992,298.5677
5.5,0000 1 Nov 1992,298.5693
6.5,0000 1 Nov 1992,298.462
7.5,0000 1 Nov 1992,298.0808
8.5,0000 1 Nov 1992,297.581
9.5,0000 1 Nov 1992,297.1446
10.5,0000 1 Nov 1992,296.9254
1.5,0000 1 Dec 1992,298.8889
2.5,0000 1 Dec 1992,298.6229
3.5,0000 1 Dec 1992,298.5555
4.5,0000 1 Dec 1992,298.5002
5.5,0000 1 Dec 1992,298.3218
6.5,0000 1 Dec 1992,297.936
7.5,0000 1 Dec 1992,297.4532
8.5,0000 1 Dec 1992,297.0439
9.5,0000 1 Dec 1992,296.7978
10.5,0000 1 Dec 1992,296.6695
1.5,0000 1 Jan 1993,299.4532
2.5,0000 1 Jan 1993,299.2811
3.5,0000 1 Jan 1993,299.146
4.5,0000 1 Jan 1993,298.8699
5.5,0000 1 Jan 1993,298.2912
6.5,0000 1 Jan 1993,297.6173
7.5,0000 1 Jan 1993,297.0455
8.5,0000 1 Jan 1993,296.7176
9.5,0000 1 Jan 1993,296.545
10.5,0000 1 Jan 1993,296.4324
1.5,0000 1 Feb 1993,299.9407
2.5,0000 1 Feb 1993,299.9507
3.5,0000 1 Feb 1993,299.8024
4.5,0000 1 Feb 1993,299.2745
5.5,0000 1 Feb 1993,298.4982
6.5,0000 1 Feb 1993,297.7873
7.5,0000 1 Feb 1993,297.3989
8.5,0000 1 Feb 1993,297.2593
9.5,0000 1 Feb 1993,297.1407
10.5,0000 1 Feb 1993,297.0078
1.5,0000 1 Mar 1993,300.3788
