L,MON,LDC_SST_GEM5_NEMO
1.5,0000 1 Aug 1996,298.3932
2.5,0000 1 Aug 1996,298.028
3.5,0000 1 Aug 1996,298.0008
4.5,0000 1 Aug 1996,297.9863
5.5,0000 1 Aug 1996,297.9283
6.5,0000 1 Aug 1996,297.9607
7.5,0000 1 Aug 1996,298.0769
8.5,0000 1 Aug 1996,298.2357
9.5,0000 1 Aug 1996,298.2592
10.5,0000 1 Aug 1996,298.0686
1.5,0000 1 Sep 1996,298.3508
2.5,0000 1 Sep 1996,298.078
3.5,0000 1 Sep 1996,297.9922
4.5,0000 1 Sep 1996,297.9055
5.5,0000 1 Sep 1996,297.8683
6.5,0000 1 Sep 1996,297.9457
7.5,0000 1 Sep 1996,298.1112
8.5,0000 1 Sep 1996,298.1994
9.5,0000 1 Sep 1996,298.0371
10.5,0000 1 Sep 1996,297.6548
1.5,0000 1 Oct 1996,298.557
2.5,0000 1 Oct 1996,298.3406
3.5,0000 1 Oct 1996,298.2086
4.5,0000 1 Oct 1996,298.0901
5.5,0000 1 Oct 1996,298.0944
6.5,0000 1 Oct 1996,298.1989
7.5,0000 1 Oct 1996,298.2493
8.5,0000 1 Oct 1996,298.0374
9.5,0000 1 Oct 1996,297.6508
10.5,0000 1 Oct 1996,297.3134
1.5,0000 1 Nov 1996,298.5146
2.5,0000 1 Nov 1996,298.3723
3.5,0000 1 Nov 1996,298.3426
4.5,0000 1 Nov 1996,298.3822
5.5,0000 1 Nov 1996,298.4695
6.5,0000 1 Nov 1996,298.5238
7.5,0000 1 Nov 1996,298.352
8.5,0000 1 Nov 1996,298.0185
9.5,0000 1 Nov 1996,297.6785
10.5,0000 1 Nov 1996,297.4978
1.5,0000 1 Dec 1996,298.4438
2.5,0000 1 Dec 1996,298.3581
3.5,0000 1 Dec 1996,298.4228
4.5,0000 1 Dec 1996,298.4938
5.5,0000 1 Dec 1996,298.5307
6.5,0000 1 Dec 1996,298.3827
7.5,0000 1 Dec 1996,298.0656
8.5,0000 1 Dec 1996,297.7383
9.5,0000 1 Dec 1996,297.581
10.5,0000 1 Dec 1996,297.5564
1.5,0000 1 Jan 1997,298.667
2.5,0000 1 Jan 1997,298.7464
3.5,0000 1 Jan 1997,298.9762
4.5,0000 1 Jan 1997,299.118
5.5,0000 1 Jan 1997,298.9789
6.5,0000 1 Jan 1997,298.6294
7.5,0000 1 Jan 1997,298.3033
8.5,0000 1 Jan 1997,298.1875
9.5,0000 1 Jan 1997,298.2105
10.5,0000 1 Jan 1997,298.233
1.5,0000 1 Feb 1997,299.3882
2.5,0000 1 Feb 1997,299.5769
3.5,0000 1 Feb 1997,299.6248
4.5,0000 1 Feb 1997,299.3945
5.5,0000 1 Feb 1997,298.9777
6.5,0000 1 Feb 1997,298.608
7.5,0000 1 Feb 1997,298.4739
8.5,0000 1 Feb 1997,298.5248
9.5,0000 1 Feb 1997,298.6095
10.5,0000 1 Feb 1997,298.6785
1.5,0000 1 Mar 1997,300.2548
2.5,0000 1 Mar 1997,300.2985
3.5,0000 1 Mar 1997,299.9912
4.5,0000 1 Mar 1997,299.5
5.5,0000 1 Mar 1997,299.0824
6.5,0000 1 Mar 1997,298.9294
7.5,0000 1 Mar 1997,298.9913
8.5,0000 1 Mar 1997,299.0934
9.5,0000 1 Mar 1997,299.1263
10.5,0000 1 Mar 1997,299.0986
1.5,0000 1 Apr 1997,300.6772
2.5,0000 1 Apr 1997,300.388
3.5,0000 1 Apr 1997,299.9548
4.5,0000 1 Apr 1997,299.6264
5.5,0000 1 Apr 1997,299.5857
6.5,0000 1 Apr 1997,299.7624
7.5,0000 1 Apr 1997,299.9922
8.5,0000 1 Apr 1997,300.1389
9.5,0000 1 Apr 1997,300.1474
10.5,0000 1 Apr 1997,300.0896
1.5,0000 1 May 1997,301.1183
2.5,0000 1 May 1997,300.7953
3.5,0000 1 May 1997,300.509
4.5,0000 1 May 1997,300.4634
5.5,0000 1 May 1997,300.6177
6.5,0000 1 May 1997,300.7993
7.5,0000 1 May 1997,300.8667
8.5,0000 1 May 1997,300.7731
9.5,0000 1 May 1997,300.6119
10.5,0000 1 May 1997,300.4323
1.5,0000 1 Jun 1997,301.4042
2.5,0000 1 Jun 1997,301.1057
3.5,0000 1 Jun 1997,300.9528
4.5,0000 1 Jun 1997,300.9783
5.5,0000 1 Jun 1997,301.0421
6.5,0000 1 Jun 1997,301.0033
7.5,0000 1 Jun 1997,300.8629
8.5,0000 1 Jun 1997,300.6788
9.5,0000 1 Jun 1997,300.5099
10.5,0000 1 Jun 1997,300.151
1.5,0000 1 Jul 1997,301.292
2.5,0000 1 Jul 1997,301.1691
3.5,0000 1 Jul 1997,301.239
4.5,0000 1 Jul 1997,301.3372
5.5,0000 1 Jul 1997,301.3015
6.5,0000 1 Jul 1997,301.1161
7.5,0000 1 Jul 1997,300.8621
8.5,0000 1 Jul 1997,300.6352
9.5,0000 1 Jul 1997,300.3261
10.5,0000 1 Jul 1997,299.6283
1.5,0000 1 Aug 1997,301.7034
2.5,0000 1 Aug 1997,301.7163
3.5,0000 1 Aug 1997,301.726
4.5,0000 1 Aug 1997,301.601
5.5,0000 1 Aug 1997,301.3212
6.5,0000 1 Aug 1997,300.9523
7.5,0000 1 Aug 1997,300.5974
8.5,0000 1 Aug 1997,300.1804
9.5,0000 1 Aug 1997,299.3517
10.5,0000 1 Aug 1997,298.1387
1.5,0000 1 Sep 1997,301.9796
2.5,0000 1 Sep 1997,301.8773
3.5,0000 1 Sep 1997,301.6461
4.5,0000 1 Sep 1997,301.2941
5.5,0000 1 Sep 1997,300.9093
6.5,0000 1 Sep 1997,300.5343
7.5,0000 1 Sep 1997,300.0234
8.5,0000 1 Sep 1997,299.1463
9.5,0000 1 Sep 1997,297.9669
10.5,0000 1 Sep 1997,296.8766
1.5,0000 1 Oct 1997,302.1888
2.5,0000 1 Oct 1997,301.9148
3.5,0000 1 Oct 1997,301.4901
4.5,0000 1 Oct 1997,301.0263
5.5,0000 1 Oct 1997,300.6284
6.5,0000 1 Oct 1997,300.1565
7.5,0000 1 Oct 1997,299.3122
8.5,0000 1 Oct 1997,298.1464
9.5,0000 1 Oct 1997,296.9735
10.5,0000 1 Oct 1997,296.2845
1.5,0000 1 Nov 1997,302.0691
2.5,0000 1 Nov 1997,301.6175
3.5,0000 1 Nov 1997,301.0791
4.5,0000 1 Nov 1997,300.6575
5.5,0000 1 Nov 1997,300.257
6.5,0000 1 Nov 1997,299.5539
7.5,0000 1 Nov 1997,298.4436
8.5,0000 1 Nov 1997,297.2467
9.5,0000 1 Nov 1997,296.4422
10.5,0000 1 Nov 1997,296.0011
1.5,0000 1 Dec 1997,301.8175
2.5,0000 1 Dec 1997,301.2547
3.5,0000 1 Dec 1997,300.7947
4.5,0000 1 Dec 1997,300.4427
5.5,0000 1 Dec 1997,299.7336
6.5,0000 1 Dec 1997,298.6318
7.5,0000 1 Dec 1997,297.4204
8.5,0000 1 Dec 1997,296.7032
9.5,0000 1 Dec 1997,296.3624
10.5,0000 1 Dec 1997,296.1506
1.5,0000 1 Jan 1998,301.5604
2.5,0000 1 Jan 1998,301.1234
3.5,0000 1 Jan 1998,300.7563
4.5,0000 1 Jan 1998,300.1481
5.5,0000 1 Jan 1998,299.0722
6.5,0000 1 Jan 1998,297.8532
7.5,0000 1 Jan 1998,297.0237
8.5,0000 1 Jan 1998,296.6473
9.5,0000 1 Jan 1998,296.4149
10.5,0000 1 Jan 1998,296.1995
1.5,0000 1 Feb 1998,301.3226
2.5,0000 1 Feb 1998,300.8271
3.5,0000 1 Feb 1998,299.9689
4.5,0000 1 Feb 1998,298.7584
5.5,0000 1 Feb 1998,297.5579
6.5,0000 1 Feb 1998,296.87
7.5,0000 1 Feb 1998,296.5894
8.5,0000 1 Feb 1998,296.3893
9.5,0000 1 Feb 1998,296.2209
10.5,0000 1 Feb 1998,296.1263
1.5,0000 1 Mar 1998,301.3668
2.5,0000 1 Mar 1998,300.3698
3.5,0000 1 Mar 1998,299.0064
4.5,0000 1 Mar 1998,297.6739
5.5,0000 1 Mar 1998,297.0475
6.5,0000 1 Mar 1998,296.9001
7.5,0000 1 Mar 1998,296.8506
8.5,0000 1 Mar 1998,296.7245
9.5,0000 1 Mar 1998,296.6002
10.5,0000 1 Mar 1998,296.5843
1.5,0000 1 Apr 1998,300.4003
2.5,0000 1 Apr 1998,298.9478
3.5,0000 1 Apr 1998,297.6238
4.5,0000 1 Apr 1998,296.9738
5.5,0000 1 Apr 1998,296.8132
6.5,0000 1 Apr 1998,296.7039
7.5,0000 1 Apr 1998,296.6187
8.5,0000 1 Apr 1998,296.5976
9.5,0000 1 Apr 1998,296.6948
10.5,0000 1 Apr 1998,296.8925
1.5,0000 1 May 1998,299.1688
2.5,0000 1 May 1998,297.8004
3.5,0000 1 May 1998,297.1562
4.5,0000 1 May 1998,297.1137
5.5,0000 1 May 1998,297.0356
6.5,0000 1 May 1998,296.8969
7.5,0000 1 May 1998,296.773
8.5,0000 1 May 1998,296.7686
9.5,0000 1 May 1998,296.8702
10.5,0000 1 May 1998,297.0312
1.5,0000 1 Jun 1998,297.6029
2.5,0000 1 Jun 1998,296.9797
3.5,0000 1 Jun 1998,296.9511
4.5,0000 1 Jun 1998,296.8808
5.5,0000 1 Jun 1998,296.7533
6.5,0000 1 Jun 1998,296.6667
7.5,0000 1 Jun 1998,296.708
8.5,0000 1 Jun 1998,296.9007
9.5,0000 1 Jun 1998,297.0884
10.5,0000 1 Jun 1998,297.1016
1.5,0000 1 Jul 1998,297.1379
2.5,0000 1 Jul 1998,296.8364
3.5,0000 1 Jul 1998,296.934
4.5,0000 1 Jul 1998,296.8859
5.5,0000 1 Jul 1998,296.8491
6.5,0000 1 Jul 1998,296.9223
7.5,0000 1 Jul 1998,297.1129
8.5,0000 1 Jul 1998,297.2866
9.5,0000 1 Jul 1998,297.3674
10.5,0000 1 Jul 1998,297.2745
1.5,0000 1 Aug 1998,297.03
2.5,0000 1 Aug 1998,296.7676
3.5,0000 1 Aug 1998,296.7506
4.5,0000 1 Aug 1998,296.7534
5.5,0000 1 Aug 1998,296.8699
6.5,0000 1 Aug 1998,297.0768
7.5,0000 1 Aug 1998,297.3401
8.5,0000 1 Aug 1998,297.5247
9.5,0000 1 Aug 1998,297.5473
10.5,0000 1 Aug 1998,297.2818
1.5,0000 1 Sep 1998,297.4261
2.5,0000 1 Sep 1998,296.9865
3.5,0000 1 Sep 1998,296.8635
4.5,0000 1 Sep 1998,296.8086
5.5,0000 1 Sep 1998,296.9825
6.5,0000 1 Sep 1998,297.1753
7.5,0000 1 Sep 1998,297.332
8.5,0000 1 Sep 1998,297.2531
9.5,0000 1 Sep 1998,296.9296
10.5,0000 1 Sep 1998,296.4619
1.5,0000 1 Oct 1998,296.9939
2.5,0000 1 Oct 1998,296.7745
3.5,0000 1 Oct 1998,296.8037
4.5,0000 1 Oct 1998,296.8802
5.5,0000 1 Oct 1998,297.01
6.5,0000 1 Oct 1998,297.1074
7.5,0000 1 Oct 1998,297.0747
8.5,0000 1 Oct 1998,296.8655
9.5,0000 1 Oct 1998,296.5161
10.5,0000 1 Oct 1998,296.2032
1.5,0000 1 Nov 1998,296.8986
2.5,0000 1 Nov 1998,296.7438
3.5,0000 1 Nov 1998,296.8598
4.5,0000 1 Nov 1998,296.942
5.5,0000 1 Nov 1998,296.9426
6.5,0000 1 Nov 1998,296.9223
7.5,0000 1 Nov 1998,296.6862
8.5,0000 1 Nov 1998,296.3953
9.5,0000 1 Nov 1998,296.1335
10.5,0000 1 Nov 1998,296.0208
1.5,0000 1 Dec 1998,296.8173
2.5,0000 1 Dec 1998,296.8611
3.5,0000 1 Dec 1998,297.0754
4.5,0000 1 Dec 1998,297.1888
5.5,0000 1 Dec 1998,297.1264
6.5,0000 1 Dec 1998,296.8369
7.5,0000 1 Dec 1998,296.4281
8.5,0000 1 Dec 1998,296.1045
9.5,0000 1 Dec 1998,295.9666
10.5,0000 1 Dec 1998,295.9183
1.5,0000 1 Jan 1999,297.3822
2.5,0000 1 Jan 1999,297.4355
3.5,0000 1 Jan 1999,297.5062
4.5,0000 1 Jan 1999,297.4119
5.5,0000 1 Jan 1999,297.0911
6.5,0000 1 Jan 1999,296.648
7.5,0000 1 Jan 1999,296.2612
8.5,0000 1 Jan 1999,296.0745
9.5,0000 1 Jan 1999,296.0431
10.5,0000 1 Jan 1999,296.0444
1.5,0000 1 Feb 1999,297.6623
2.5,0000 1 Feb 1999,297.4965
3.5,0000 1 Feb 1999,297.3526
4.5,0000 1 Feb 1999,297.0106
5.5,0000 1 Feb 1999,296.5778
6.5,0000 1 Feb 1999,296.2292
7.5,0000 1 Feb 1999,296.0846
8.5,0000 1 Feb 1999,296.0352
9.5,0000 1 Feb 1999,296.0222
10.5,0000 1 Feb 1999,296.0279
1.5,0000 1 Mar 1999,297.9789
2.5,0000 1 Mar 1999,297.3118
3.5,0000 1 Mar 1999,296.7396
4.5,0000 1 Mar 1999,296.3535
5.5,0000 1 Mar 1999,296.0957
6.5,0000 1 Mar 1999,295.9493
7.5,0000 1 Mar 1999,295.8846
8.5,0000 1 Mar 1999,295.8457
9.5,0000 1 Mar 1999,295.8654
10.5,0000 1 Mar 1999,295.9729
1.5,0000 1 Apr 1999,298.3862
2.5,0000 1 Apr 1999,297.3342
3.5,0000 1 Apr 1999,296.5495
4.5,0000 1 Apr 1999,296.1091
5.5,0000 1 Apr 1999,295.8858
6.5,0000 1 Apr 1999,295.7349
7.5,0000 1 Apr 1999,295.6439
8.5,0000 1 Apr 1999,295.6226
9.5,0000 1 Apr 1999,295.6955
10.5,0000 1 Apr 1999,295.93
1.5,0000 1 May 1999,298.2771
2.5,0000 1 May 1999,297.3566
3.5,0000 1 May 1999,296.7996
4.5,0000 1 May 1999,296.5157
5.5,0000 1 May 1999,296.3369
6.5,0000 1 May 1999,296.2018
7.5,0000 1 May 1999,296.1377
8.5,0000 1 May 1999,296.2131
9.5,0000 1 May 1999,296.3867
10.5,0000 1 May 1999,296.6365
1.5,0000 1 Jun 1999,298.0779
2.5,0000 1 Jun 1999,297.3143
3.5,0000 1 Jun 1999,296.9649
4.5,0000 1 Jun 1999,296.8086
5.5,0000 1 Jun 1999,296.6921
6.5,0000 1 Jun 1999,296.6075
7.5,0000 1 Jun 1999,296.5801
8.5,0000 1 Jun 1999,296.6784
9.5,0000 1 Jun 1999,296.8448
10.5,0000 1 Jun 1999,297.0322
1.5,0000 1 Jul 1999,297.5361
2.5,0000 1 Jul 1999,296.8947
3.5,0000 1 Jul 1999,296.7444
4.5,0000 1 Jul 1999,296.6646
5.5,0000 1 Jul 1999,296.6296
6.5,0000 1 Jul 1999,296.6706
7.5,0000 1 Jul 1999,296.7794
8.5,0000 1 Jul 1999,296.9495
9.5,0000 1 Jul 1999,297.1231
10.5,0000 1 Jul 1999,297.1666
1.5,0000 1 Aug 1999,297.2869
2.5,0000 1 Aug 1999,296.735
3.5,0000 1 Aug 1999,296.5883
4.5,0000 1 Aug 1999,296.561
5.5,0000 1 Aug 1999,296.5795
6.5,0000 1 Aug 1999,296.6747
7.5,0000 1 Aug 1999,296.8524
8.5,0000 1 Aug 1999,297.0154
9.5,0000 1 Aug 1999,297.0414
10.5,0000 1 Aug 1999,296.8607
1.5,0000 1 Sep 1999,297.1573
2.5,0000 1 Sep 1999,296.5957
3.5,0000 1 Sep 1999,296.3711
4.5,0000 1 Sep 1999,296.2842
5.5,0000 1 Sep 1999,296.3464
6.5,0000 1 Sep 1999,296.5474
7.5,0000 1 Sep 1999,296.7688
8.5,0000 1 Sep 1999,296.8601
9.5,0000 1 Sep 1999,296.7369
10.5,0000 1 Sep 1999,296.4955
1.5,0000 1 Oct 1999,297.3096
2.5,0000 1 Oct 1999,296.8809
3.5,0000 1 Oct 1999,296.8031
4.5,0000 1 Oct 1999,296.8479
5.5,0000 1 Oct 1999,296.9525
6.5,0000 1 Oct 1999,297.0929
7.5,0000 1 Oct 1999,297.182
8.5,0000 1 Oct 1999,297.0208
9.5,0000 1 Oct 1999,296.6906
10.5,0000 1 Oct 1999,296.3703
1.5,0000 1 Nov 1999,297.0692
2.5,0000 1 Nov 1999,296.8173
3.5,0000 1 Nov 1999,296.9033
4.5,0000 1 Nov 1999,297.0098
5.5,0000 1 Nov 1999,297.1304
6.5,0000 1 Nov 1999,297.1793
7.5,0000 1 Nov 1999,297.0506
8.5,0000 1 Nov 1999,296.7763
9.5,0000 1 Nov 1999,296.4973
10.5,0000 1 Nov 1999,296.3914
1.5,0000 1 Dec 1999,296.9834
2.5,0000 1 Dec 1999,296.8646
3.5,0000 1 Dec 1999,297.0389
4.5,0000 1 Dec 1999,297.1216
5.5,0000 1 Dec 1999,297.1155
6.5,0000 1 Dec 1999,296.9333
7.5,0000 1 Dec 1999,296.6365
8.5,0000 1 Dec 1999,296.3496
9.5,0000 1 Dec 1999,296.2266
10.5,0000 1 Dec 1999,296.2224
1.5,0000 1 Jan 2000,297.0366
2.5,0000 1 Jan 2000,297.0169
3.5,0000 1 Jan 2000,297.1701
4.5,0000 1 Jan 2000,297.326
5.5,0000 1 Jan 2000,297.2443
6.5,0000 1 Jan 2000,296.9632
7.5,0000 1 Jan 2000,296.7043
8.5,0000 1 Jan 2000,296.5896
9.5,0000 1 Jan 2000,296.6218
10.5,0000 1 Jan 2000,296.6898
1.5,0000 1 Feb 2000,298.0635
2.5,0000 1 Feb 2000,298.0744
3.5,0000 1 Feb 2000,298.0251
4.5,0000 1 Feb 2000,297.8153
5.5,0000 1 Feb 2000,297.4335
6.5,0000 1 Feb 2000,297.0594
7.5,0000 1 Feb 2000,296.8774
8.5,0000 1 Feb 2000,296.8617
9.5,0000 1 Feb 2000,296.8661
10.5,0000 1 Feb 2000,296.842
1.5,0000 1 Mar 2000,298.4987
2.5,0000 1 Mar 2000,298.1303
3.5,0000 1 Mar 2000,297.6516
4.5,0000 1 Mar 2000,297.2478
5.5,0000 1 Mar 2000,296.9381
6.5,0000 1 Mar 2000,296.7851
7.5,0000 1 Mar 2000,296.7494
8.5,0000 1 Mar 2000,296.762
9.5,0000 1 Mar 2000,296.7934
10.5,0000 1 Mar 2000,296.8576
1.5,0000 1 Apr 2000,299.0174
2.5,0000 1 Apr 2000,298.403
3.5,0000 1 Apr 2000,297.8582
4.5,0000 1 Apr 2000,297.4453
5.5,0000 1 Apr 2000,297.2269
6.5,0000 1 Apr 2000,297.1714
7.5,0000 1 Apr 2000,297.1646
8.5,0000 1 Apr 2000,297.1448
9.5,0000 1 Apr 2000,297.1374
10.5,0000 1 Apr 2000,297.1822
1.5,0000 1 May 2000,299.0381
2.5,0000 1 May 2000,298.3039
3.5,0000 1 May 2000,297.8289
4.5,0000 1 May 2000,297.6291
5.5,0000 1 May 2000,297.5767
6.5,0000 1 May 2000,297.5387
7.5,0000 1 May 2000,297.5276
8.5,0000 1 May 2000,297.5188
9.5,0000 1 May 2000,297.5417
10.5,0000 1 May 2000,297.623
1.5,0000 1 Jun 2000,298.3598
2.5,0000 1 Jun 2000,297.6664
3.5,0000 1 Jun 2000,297.4089
4.5,0000 1 Jun 2000,297.4065
5.5,0000 1 Jun 2000,297.398
6.5,0000 1 Jun 2000,297.3873
7.5,0000 1 Jun 2000,297.3972
8.5,0000 1 Jun 2000,297.4713
9.5,0000 1 Jun 2000,297.6525
10.5,0000 1 Jun 2000,297.8342
1.5,0000 1 Jul 2000,298.5329
2.5,0000 1 Jul 2000,298.0862
3.5,0000 1 Jul 2000,298.0344
4.5,0000 1 Jul 2000,298.0556
5.5,0000 1 Jul 2000,298.0815
6.5,0000 1 Jul 2000,298.0503
7.5,0000 1 Jul 2000,298.0914
8.5,0000 1 Jul 2000,298.2269
9.5,0000 1 Jul 2000,298.3355
10.5,0000 1 Jul 2000,298.2831
1.5,0000 1 Aug 2000,298.1361
2.5,0000 1 Aug 2000,297.7301
3.5,0000 1 Aug 2000,297.7101
4.5,0000 1 Aug 2000,297.719
5.5,0000 1 Aug 2000,297.7087
6.5,0000 1 Aug 2000,297.7874
7.5,0000 1 Aug 2000,297.9603
8.5,0000 1 Aug 2000,298.1217
9.5,0000 1 Aug 2000,298.1406
10.5,0000 1 Aug 2000,297.8256
1.5,0000 1 Sep 2000,298.6714
2.5,0000 1 Sep 2000,298.3195
3.5,0000 1 Sep 2000,298.1774
4.5,0000 1 Sep 2000,298.0916
5.5,0000 1 Sep 2000,298.0888
6.5,0000 1 Sep 2000,298.1479
7.5,0000 1 Sep 2000,298.222
8.5,0000 1 Sep 2000,298.1874
9.5,0000 1 Sep 2000,297.9033
10.5,0000 1 Sep 2000,297.3995
1.5,0000 1 Oct 2000,298.3132
2.5,0000 1 Oct 2000,298.053
3.5,0000 1 Oct 2000,297.9867
4.5,0000 1 Oct 2000,297.994
5.5,0000 1 Oct 2000,298.0663
6.5,0000 1 Oct 2000,298.1464
7.5,0000 1 Oct 2000,298.1089
8.5,0000 1 Oct 2000,297.7984
9.5,0000 1 Oct 2000,297.2962
10.5,0000 1 Oct 2000,296.8306
1.5,0000 1 Nov 2000,298.2718
2.5,0000 1 Nov 2000,298.0064
3.5,0000 1 Nov 2000,297.8915
4.5,0000 1 Nov 2000,297.829
5.5,0000 1 Nov 2000,297.8181
6.5,0000 1 Nov 2000,297.8192
7.5,0000 1 Nov 2000,297.6535
8.5,0000 1 Nov 2000,297.3139
9.5,0000 1 Nov 2000,296.9674
10.5,0000 1 Nov 2000,296.7617
1.5,0000 1 Dec 2000,298.1893
2.5,0000 1 Dec 2000,298.0169
3.5,0000 1 Dec 2000,298.0641
4.5,0000 1 Dec 2000,298.1759
5.5,0000 1 Dec 2000,298.1995
6.5,0000 1 Dec 2000,298.0034
7.5,0000 1 Dec 2000,297.6315
8.5,0000 1 Dec 2000,297.2609
9.5,0000 1 Dec 2000,297.0667
10.5,0000 1 Dec 2000,297.0111
1.5,0000 1 Jan 2001,298.2912
2.5,0000 1 Jan 2001,298.2457
3.5,0000 1 Jan 2001,298.2895
4.5,0000 1 Jan 2001,298.2527
5.5,0000 1 Jan 2001,297.9734
6.5,0000 1 Jan 2001,297.5333
7.5,0000 1 Jan 2001,297.157
8.5,0000 1 Jan 2001,296.9847
9.5,0000 1 Jan 2001,296.978
10.5,0000 1 Jan 2001,296.9691
1.5,0000 1 Feb 2001,298.8076
2.5,0000 1 Feb 2001,298.6837
3.5,0000 1 Feb 2001,298.5
4.5,0000 1 Feb 2001,298.1102
5.5,0000 1 Feb 2001,297.614
6.5,0000 1 Feb 2001,297.2104
7.5,0000 1 Feb 2001,297.0269
8.5,0000 1 Feb 2001,297.0135
9.5,0000 1 Feb 2001,297.0352
10.5,0000 1 Feb 2001,297.0529
1.5,0000 1 Mar 2001,299.1969
2.5,0000 1 Mar 2001,298.7769
3.5,0000 1 Mar 2001,298.2683
4.5,0000 1 Mar 2001,297.7575
5.5,0000 1 Mar 2001,297.3768
6.5,0000 1 Mar 2001,297.2149
7.5,0000 1 Mar 2001,297.2091
8.5,0000 1 Mar 2001,297.2208
9.5,0000 1 Mar 2001,297.2114
10.5,0000 1 Mar 2001,297.1912
1.5,0000 1 Apr 2001,299.6322
2.5,0000 1 Apr 2001,299.0065
3.5,0000 1 Apr 2001,298.4635
4.5,0000 1 Apr 2001,298.0912
5.5,0000 1 Apr 2001,297.9843
6.5,0000 1 Apr 2001,298.0204
7.5,0000 1 Apr 2001,298.0608
8.5,0000 1 Apr 2001,298.046
9.5,0000 1 Apr 2001,298.0187
10.5,0000 1 Apr 2001,298.0448
1.5,0000 1 May 2001,299.4492
2.5,0000 1 May 2001,298.6919
3.5,0000 1 May 2001,298.2074
4.5,0000 1 May 2001,298.067
5.5,0000 1 May 2001,298.1321
6.5,0000 1 May 2001,298.2089
7.5,0000 1 May 2001,298.2398
8.5,0000 1 May 2001,298.2131
9.5,0000 1 May 2001,298.1731
10.5,0000 1 May 2001,298.2266
1.5,0000 1 Jun 2001,298.9794
2.5,0000 1 Jun 2001,298.2727
3.5,0000 1 Jun 2001,298.0764
4.5,0000 1 Jun 2001,298.1368
5.5,0000 1 Jun 2001,298.2565
6.5,0000 1 Jun 2001,298.3132
7.5,0000 1 Jun 2001,298.2954
8.5,0000 1 Jun 2001,298.2671
9.5,0000 1 Jun 2001,298.3423
10.5,0000 1 Jun 2001,298.4077
1.5,0000 1 Jul 2001,299.3142
2.5,0000 1 Jul 2001,298.9111
3.5,0000 1 Jul 2001,298.8666
4.5,0000 1 Jul 2001,298.9099
5.5,0000 1 Jul 2001,298.9503
6.5,0000 1 Jul 2001,298.9396
7.5,0000 1 Jul 2001,298.9476
8.5,0000 1 Jul 2001,298.9761
9.5,0000 1 Jul 2001,298.9269
10.5,0000 1 Jul 2001,298.6842
1.5,0000 1 Aug 2001,298.6743
2.5,0000 1 Aug 2001,298.4144
3.5,0000 1 Aug 2001,298.4048
4.5,0000 1 Aug 2001,298.3852
5.5,0000 1 Aug 2001,298.3601
6.5,0000 1 Aug 2001,298.4246
7.5,0000 1 Aug 2001,298.5712
8.5,0000 1 Aug 2001,298.6703
9.5,0000 1 Aug 2001,298.5887
10.5,0000 1 Aug 2001,298.1911
1.5,0000 1 Sep 2001,298.7932
2.5,0000 1 Sep 2001,298.444
3.5,0000 1 Sep 2001,298.3166
4.5,0000 1 Sep 2001,298.1886
5.5,0000 1 Sep 2001,298.1634
6.5,0000 1 Sep 2001,298.2002
7.5,0000 1 Sep 2001,298.2462
8.5,0000 1 Sep 2001,298.1568
9.5,0000 1 Sep 2001,297.8098
10.5,0000 1 Sep 2001,297.2934
1.5,0000 1 Oct 2001,298.8542
2.5,0000 1 Oct 2001,298.5972
3.5,0000 1 Oct 2001,298.4677
4.5,0000 1 Oct 2001,298.3986
5.5,0000 1 Oct 2001,298.4435
6.5,0000 1 Oct 2001,298.4825
7.5,0000 1 Oct 2001,298.3691
8.5,0000 1 Oct 2001,298.0173
9.5,0000 1 Oct 2001,297.5339
10.5,0000 1 Oct 2001,297.0776
1.5,0000 1 Nov 2001,298.9723
2.5,0000 1 Nov 2001,298.7832
3.5,0000 1 Nov 2001,298.6673
4.5,0000 1 Nov 2001,298.6169
5.5,0000 1 Nov 2001,298.6447
6.5,0000 1 Nov 2001,298.6072
7.5,0000 1 Nov 2001,298.3053
8.5,0000 1 Nov 2001,297.8356
9.5,0000 1 Nov 2001,297.4242
10.5,0000 1 Nov 2001,297.2179
1.5,0000 1 Dec 2001,299.0164
2.5,0000 1 Dec 2001,298.8658
3.5,0000 1 Dec 2001,298.7902
4.5,0000 1 Dec 2001,298.7542
5.5,0000 1 Dec 2001,298.6372
6.5,0000 1 Dec 2001,298.2668
7.5,0000 1 Dec 2001,297.7636
8.5,0000 1 Dec 2001,297.3162
9.5,0000 1 Dec 2001,297.0721
10.5,0000 1 Dec 2001,296.9613
1.5,0000 1 Jan 2002,299.0838
2.5,0000 1 Jan 2002,299.0185
3.5,0000 1 Jan 2002,299.0525
4.5,0000 1 Jan 2002,298.9643
5.5,0000 1 Jan 2002,298.5525
6.5,0000 1 Jan 2002,297.9341
7.5,0000 1 Jan 2002,297.3472
8.5,0000 1 Jan 2002,296.9812
9.5,0000 1 Jan 2002,296.8186
10.5,0000 1 Jan 2002,296.7456
1.5,0000 1 Feb 2002,299.8976
2.5,0000 1 Feb 2002,299.836
3.5,0000 1 Feb 2002,299.5981
4.5,0000 1 Feb 2002,298.9537
5.5,0000 1 Feb 2002,298.1956
6.5,0000 1 Feb 2002,297.5849
7.5,0000 1 Feb 2002,297.2961
8.5,0000 1 Feb 2002,297.1561
9.5,0000 1 Feb 2002,297.056
10.5,0000 1 Feb 2002,296.9876
1.5,0000 1 Mar 2002,300.0481
2.5,0000 1 Mar 2002,299.6898
