Table of NASA GMAO 062,,,,,,,,,
,,,,,,,,,
L,,,,,,,,CFSv2,
3.5,0000 1 Nov 1960,25.9846,,,,,,8.5,28.04889
4.5,0000 1 Nov 1960,26.29701,,,,,Nov,1.5,26.90832
5.5,0000 1 Nov 1960,26.78272,,,,,,2.5,26.96739
6.5,0000 1 Nov 1960,27.12354,,,,,,3.5,27.12228
7.5,0000 1 Nov 1960,27.08878,,,,,,4.5,27.42544
1.5,0000 1 Dec 1960,26.23103,,,,,,5.5,27.89235
2.5,0000 1 Dec 1960,26.16779,,,,,,6.5,28.22137
3.5,0000 1 Dec 1960,26.44009,,,,,,7.5,28.04207
4.5,0000 1 Dec 1960,26.89215,,,,,,8.5,27.30222
5.5,0000 1 Dec 1960,27.19695,,,,,Dec,1.5,26.8243
6.5,0000 1 Dec 1960,27.12803,,,,,,2.5,26.90953
7.5,0000 1 Dec 1960,26.70004,,,,,,3.5,27.24036
,,,,,,,,4.5,27.75706
,,,,,,,,5.5,28.10554
,,,,,,,,6.5,27.93196
,,,,,,,,7.5,27.23512
,,,,,,,,8.5,26.45772
