SZN,LDC_SST_GFDL_SPEAR
JFM,27.265509
FMA,27.686624714285717
MAM,28.0588564
AMJ,27.875294000000004
MJJ,27.560800727272728
JJA,27.150596428571426
JAS,26.868345087719298
ASO,26.60727840909091
SON,26.824539494949494
OND,27.0272288
NDJ,27.0800221
DJF,27.075695
