L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
8.5,0000 1 Sep 1991,298.8344,297.07,300.3695,300.2813
9.5,0000 1 Sep 1991,298.2683,295.7077,299.7921,299.9921
10.5,0000 1 Sep 1991,297.5823,294.8889,299.2086,299.556
1.5,0000 1 Oct 1991,300.3664,296.7567,298.8287,302.1722
2.5,0000 1 Oct 1991,300.2248,297.942,299.0535,301.8871
3.5,0000 1 Oct 1991,300.0647,298.8006,299.4002,301.5594
4.5,0000 1 Oct 1991,299.8571,299.3877,299.9302,301.1931
5.5,0000 1 Oct 1991,299.6995,299.4879,300.4847,300.8969
6.5,0000 1 Oct 1991,299.4469,298.6459,300.6596,300.6946
7.5,0000 1 Oct 1991,298.9738,297.2337,300.376,300.4534
8.5,0000 1 Oct 1991,298.2175,295.7682,299.7225,300.0611
9.5,0000 1 Oct 1991,297.4165,294.8111,299.0756,299.5515
10.5,0000 1 Oct 1991,296.8156,294.3025,298.6288,299.0589
1.5,0000 1 Nov 1991,300.7449,297.5002,299.2858,302.1746
2.5,0000 1 Nov 1991,300.5195,298.6574,299.5262,301.851
3.5,0000 1 Nov 1991,300.238,299.4105,299.9452,301.5099
4.5,0000 1 Nov 1991,300.013,299.5909,300.4125,301.2424
5.5,0000 1 Nov 1991,299.7639,298.7982,300.5496,301.0289
6.5,0000 1 Nov 1991,299.3398,297.4529,300.2538,300.7775
7.5,0000 1 Nov 1991,298.6433,296.0908,299.5819,300.3798
8.5,0000 1 Nov 1991,297.852,295.2252,298.8789,299.854
9.5,0000 1 Nov 1991,297.2103,294.687,298.3654,299.3346
10.5,0000 1 Nov 1991,296.8024,294.4658,298.1843,298.8836
1.5,0000 1 Dec 1991,300.9323,298.4397,299.8688,302.0835
2.5,0000 1 Dec 1991,300.6264,299.3537,300.2264,301.7567
3.5,0000 1 Dec 1991,300.4188,299.6133,300.5835,301.5287
4.5,0000 1 Dec 1991,300.2201,298.9876,300.6524,301.353
5.5,0000 1 Dec 1991,299.8234,297.8232,300.2852,301.105
6.5,0000 1 Dec 1991,299.122,296.5179,299.553,300.7048
7.5,0000 1 Dec 1991,298.3568,295.6064,298.8195,300.2288
8.5,0000 1 Dec 1991,297.7605,295.0904,298.3476,299.7706
9.5,0000 1 Dec 1991,297.4405,294.9487,298.2154,299.4049
10.5,0000 1 Dec 1991,297.2346,295.2229,298.2968,299.0869
1.5,0000 1 Jan 1992,301.2371,299.5281,300.7018,301.9358
2.5,0000 1 Jan 1992,301.1824,300.1102,301.0049,301.8284
3.5,0000 1 Jan 1992,301.0395,299.7211,300.8871,301.757
4.5,0000 1 Jan 1992,300.5815,298.7513,300.2737,301.533
5.5,0000 1 Jan 1992,299.7209,297.539,299.3059,301.0473
6.5,0000 1 Jan 1992,298.7551,296.5691,298.4431,300.4042
7.5,0000 1 Jan 1992,297.9976,295.8271,297.9145,299.813
8.5,0000 1 Jan 1992,297.5496,295.4245,297.7248,299.3613
9.5,0000 1 Jan 1992,297.2608,295.4118,297.6966,299.0168
10.5,0000 1 Jan 1992,297.0456,295.7473,297.702,298.7381
1.5,0000 1 Feb 1992,301.346,300.1104,301.1131,301.92
