L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
5.5,0000 1 Aug 1998,297.1216,297.6347,298.5077,298.4395
6.5,0000 1 Aug 1998,297.4003,298.49,299.291,298.4031
7.5,0000 1 Aug 1998,297.6132,298.7708,300.1109,298.4544
8.5,0000 1 Aug 1998,297.6677,298.1534,300.5008,298.5643
9.5,0000 1 Aug 1998,297.5658,296.897,300.3802,298.6108
10.5,0000 1 Aug 1998,297.2402,295.6064,299.8415,298.494
1.5,0000 1 Sep 1998,297.2306,295.6405,297.8416,299.3533
2.5,0000 1 Sep 1998,296.9648,296.2316,297.6921,298.9116
3.5,0000 1 Sep 1998,297.0478,296.9142,297.7469,298.7875
4.5,0000 1 Sep 1998,297.2135,297.781,298.1891,298.6449
5.5,0000 1 Sep 1998,297.4823,298.5851,298.9153,298.564
6.5,0000 1 Sep 1998,297.6761,298.8351,299.7075,298.6007
7.5,0000 1 Sep 1998,297.7083,298.0686,300.1518,298.7151
8.5,0000 1 Sep 1998,297.5451,296.6937,300.0965,298.7581
9.5,0000 1 Sep 1998,297.2312,295.319,299.6072,298.6555
10.5,0000 1 Sep 1998,296.8022,294.4543,299.0889,298.3984
1.5,0000 1 Oct 1998,297.0579,295.9503,297.261,299.3245
2.5,0000 1 Oct 1998,296.956,296.7852,297.3126,299.0059
3.5,0000 1 Oct 1998,297.1115,297.6619,297.825,298.8122
4.5,0000 1 Oct 1998,297.2746,298.477,298.7679,298.6224
5.5,0000 1 Oct 1998,297.4352,298.6512,299.7691,298.5464
6.5,0000 1 Oct 1998,297.4213,297.7721,300.2764,298.5828
7.5,0000 1 Oct 1998,297.284,296.339,300.1948,298.6137
8.5,0000 1 Oct 1998,296.9604,294.99,299.6234,298.5139
9.5,0000 1 Oct 1998,296.5709,294.2266,299.0635,298.2793
10.5,0000 1 Oct 1998,296.208,293.8929,298.7638,297.9882
1.5,0000 1 Nov 1998,297.0168,296.4878,297.5571,299.2709
2.5,0000 1 Nov 1998,297.0346,297.6446,297.8321,298.9637
3.5,0000 1 Nov 1998,297.2915,298.5072,298.5541,298.8069
4.5,0000 1 Nov 1998,297.4046,298.6583,299.5103,298.6956
5.5,0000 1 Nov 1998,297.3853,297.7318,300.0716,298.7212
6.5,0000 1 Nov 1998,297.2413,296.287,300.0544,298.7267
7.5,0000 1 Nov 1998,296.9637,294.9653,299.5259,298.6086
8.5,0000 1 Nov 1998,296.5596,294.1842,299.0088,298.3427
9.5,0000 1 Nov 1998,296.2128,293.8805,298.7187,298.0329
10.5,0000 1 Nov 1998,296.0178,293.9087,298.6794,297.7923
1.5,0000 1 Dec 1998,297.0512,297.2951,297.9137,299.125
2.5,0000 1 Dec 1998,297.2028,298.2616,298.6557,298.789
3.5,0000 1 Dec 1998,297.4144,298.3655,299.449,298.7475
4.5,0000 1 Dec 1998,297.4442,297.444,299.875,298.7871
5.5,0000 1 Dec 1998,297.3101,296.1483,299.7853,298.7753
6.5,0000 1 Dec 1998,296.9693,294.9255,299.2867,298.6169
7.5,0000 1 Dec 1998,296.5054,294.239,298.8301,298.3292
8.5,0000 1 Dec 1998,296.1311,293.8877,298.6193,298.017
9.5,0000 1 Dec 1998,295.9357,293.9387,298.624,297.7745
10.5,0000 1 Dec 1998,295.8978,294.3772,298.711,297.6062
1.5,0000 1 Jan 1999,297.4642,298.1772,299.0686,298.883
2.5,0000 1 Jan 1999,297.5772,298.3681,299.8787,298.8253
3.5,0000 1 Jan 1999,297.6274,297.5408,300.2073,299.0365
4.5,0000 1 Jan 1999,297.5163,296.2283,300.039,299.124
5.5,0000 1 Jan 1999,297.1906,295.0857,299.4671,298.9785
6.5,0000 1 Jan 1999,296.7344,294.4232,298.896,298.6589
7.5,0000 1 Jan 1999,296.359,294.1561,298.5534,298.3308
8.5,0000 1 Jan 1999,296.1861,294.2119,298.4543,298.0744
9.5,0000 1 Jan 1999,296.1469,294.5777,298.4748,297.9111
10.5,0000 1 Jan 1999,296.134,295.153,298.4924,297.7966
1.5,0000 1 Feb 1999,297.9119,298.4628,299.726,299.2855
2.5,0000 1 Feb 1999,297.7475,297.5589,300.0464,299.2675
3.5,0000 1 Feb 1999,297.5074,296.1836,299.881,299.2471
4.5,0000 1 Feb 1999,297.0775,294.9822,299.3665,299.0718
5.5,0000 1 Feb 1999,296.6096,294.2796,298.8249,298.7552
6.5,0000 1 Feb 1999,296.2757,294.0347,298.4827,298.4231
7.5,0000 1 Feb 1999,296.1304,294.0936,298.353,298.1538
8.5,0000 1 Feb 1999,296.0951,294.4967,298.3558,297.9732
9.5,0000 1 Feb 1999,296.1117,295.0584,298.3857,297.8864
10.5,0000 1 Feb 1999,296.1967,295.9236,298.5069,297.8491
1.5,0000 1 Mar 1999,298.1632,297.661,300.0287,299.4822
2.5,0000 1 Mar 1999,297.5132,296.2667,299.8133,299.3651
3.5,0000 1 Mar 1999,296.8438,295.1327,299.2992,299.1214
4.5,0000 1 Mar 1999,296.3737,294.3741,298.7602,298.7693
5.5,0000 1 Mar 1999,296.114,294.0552,298.4322,298.3803
6.5,0000 1 Mar 1999,296.0071,294.1207,298.2845,298.0673
7.5,0000 1 Mar 1999,295.9643,294.5751,298.2691,297.8504
8.5,0000 1 Mar 1999,295.9349,295.22,298.2806,297.7032
9.5,0000 1 Mar 1999,295.9771,296.0212,298.4283,297.5988
10.5,0000 1 Mar 1999,296.1892,296.9883,298.8185,297.5356
1.5,0000 1 Apr 1999,298.4019,296.6902,299.6934,299.9285
2.5,0000 1 Apr 1999,297.4127,295.5219,299.1497,299.4819
3.5,0000 1 Apr 1999,296.6436,294.6523,298.6095,299.0021
4.5,0000 1 Apr 1999,296.244,294.2193,298.2328,298.5824
5.5,0000 1 Apr 1999,296.0828,294.2304,298.0683,298.2419
6.5,0000 1 Apr 1999,295.974,294.6439,298.0451,297.982
7.5,0000 1 Apr 1999,295.8842,295.2484,298.0577,297.7991
8.5,0000 1 Apr 1999,295.9269,296.1275,298.1991,297.6801
9.5,0000 1 Apr 1999,296.1546,297.1585,298.5563,297.5833
10.5,0000 1 Apr 1999,296.4476,298.1124,299.1713,297.5631
1.5,0000 1 May 1999,298.232,295.6933,298.9714,300.0171
2.5,0000 1 May 1999,297.2961,294.8665,298.3281,299.4466
3.5,0000 1 May 1999,296.6765,294.4203,297.9083,298.9192
4.5,0000 1 May 1999,296.3961,294.4955,297.7408,298.514
5.5,0000 1 May 1999,296.2534,294.9444,297.6999,298.2023
6.5,0000 1 May 1999,296.1596,295.5619,297.6522,297.9874
7.5,0000 1 May 1999,296.1714,296.2886,297.7589,297.839
8.5,0000 1 May 1999,296.3451,297.1715,298.1345,297.7399
9.5,0000 1 May 1999,296.5981,298.0215,298.8189,297.7192
10.5,0000 1 May 1999,296.881,298.3741,299.6204,297.8208
1.5,0000 1 Jun 1999,298.0663,294.9496,298.6337,300.0784
2.5,0000 1 Jun 1999,297.2459,294.6082,298.2128,299.4415
3.5,0000 1 Jun 1999,296.8041,294.6464,297.9747,298.9662
4.5,0000 1 Jun 1999,296.633,295.0479,297.8521,298.6547
5.5,0000 1 Jun 1999,296.5282,295.6092,297.739,298.4212
6.5,0000 1 Jun 1999,296.4881,296.4289,297.7912,298.2244
7.5,0000 1 Jun 1999,296.598,297.4304,298.1314,298.0825
8.5,0000 1 Jun 1999,296.7751,298.3588,298.7551,298.0009
9.5,0000 1 Jun 1999,296.9589,298.6758,299.4674,298.0253
10.5,0000 1 Jun 1999,297.0569,297.8487,299.9028,298.1277
1.5,0000 1 Jul 1999,297.5297,294.4724,298.1553,299.7266
2.5,0000 1 Jul 1999,296.8978,294.6093,297.9107,299.1415
3.5,0000 1 Jul 1999,296.7606,295.0484,297.724,298.8214
4.5,0000 1 Jul 1999,296.6838,295.6523,297.6147,298.612
5.5,0000 1 Jul 1999,296.6468,296.4727,297.7369,298.446
6.5,0000 1 Jul 1999,296.7778,297.4533,298.1643,298.3389
7.5,0000 1 Jul 1999,297.0292,298.347,298.8392,298.2786
8.5,0000 1 Jul 1999,297.2397,298.7483,299.5607,298.2848
9.5,0000 1 Jul 1999,297.3349,298.0703,300.0236,298.3736
10.5,0000 1 Jul 1999,297.3099,296.706,300.0407,298.4544
1.5,0000 1 Aug 1999,297.3222,294.6272,297.5764,299.5084
2.5,0000 1 Aug 1999,296.7861,295.0875,297.4207,298.9706
3.5,0000 1 Aug 1999,296.6002,295.644,297.3156,298.7074
4.5,0000 1 Aug 1999,296.5526,296.4606,297.4125,298.5235
5.5,0000 1 Aug 1999,296.6248,297.4907,297.8451,298.3353
6.5,0000 1 Aug 1999,296.8282,298.429,298.5677,298.257
7.5,0000 1 Aug 1999,297.0872,298.8169,299.3828,298.3003
8.5,0000 1 Aug 1999,297.2606,298.1379,299.8787,298.4163
9.5,0000 1 Aug 1999,297.2496,296.8138,299.8765,298.4683
10.5,0000 1 Aug 1999,297.0079,295.4265,299.4488,298.377
1.5,0000 1 Sep 1999,297.0148,294.873,297.262,299.3797
2.5,0000 1 Sep 1999,296.5114,295.6915,297.1884,298.8551
3.5,0000 1 Sep 1999,296.4343,296.4639,297.3121,298.6394
4.5,0000 1 Sep 1999,296.6237,297.452,297.7913,298.5105
5.5,0000 1 Sep 1999,296.8609,298.4079,298.6201,298.4213
6.5,0000 1 Sep 1999,297.0979,298.8636,299.495,298.4191
7.5,0000 1 Sep 1999,297.2484,298.2288,299.9914,298.5191
8.5,0000 1 Sep 1999,297.3131,296.8767,299.9168,298.5954
9.5,0000 1 Sep 1999,297.1671,295.4286,299.4522,298.554
10.5,0000 1 Sep 1999,296.8539,294.5255,298.9917,298.3857
1.5,0000 1 Oct 1999,297.1334,295.227,297.1726,299.6473
2.5,0000 1 Oct 1999,296.6577,296.2594,297.3133,299.1853
3.5,0000 1 Oct 1999,296.6685,297.2741,297.7674,298.9231
4.5,0000 1 Oct 1999,296.9055,298.204,298.5453,298.7023
5.5,0000 1 Oct 1999,297.1517,298.4961,299.4149,298.6169
6.5,0000 1 Oct 1999,297.2965,297.7334,299.8932,298.6839
7.5,0000 1 Oct 1999,297.3248,296.4179,299.8893,298.7285
8.5,0000 1 Oct 1999,297.1681,295.2134,299.4633,298.6316
9.5,0000 1 Oct 1999,296.8625,294.5416,299.014,298.415
10.5,0000 1 Oct 1999,296.5908,294.2545,298.759,298.1856
1.5,0000 1 Nov 1999,297.0045,296.0776,297.2166,299.7619
2.5,0000 1 Nov 1999,296.8117,297.3636,297.6801,299.2634
3.5,0000 1 Nov 1999,296.9667,298.323,298.483,298.8793
4.5,0000 1 Nov 1999,297.1113,298.5862,299.3598,298.6503
5.5,0000 1 Nov 1999,297.2058,297.6635,299.8083,298.6245
6.5,0000 1 Nov 1999,297.2056,296.2157,299.7276,298.6412
7.5,0000 1 Nov 1999,297.0107,294.9101,299.2483,298.5544
8.5,0000 1 Nov 1999,296.6934,294.2373,298.7978,298.3489
9.5,0000 1 Nov 1999,296.421,293.9492,298.5531,298.1151
10.5,0000 1 Nov 1999,296.2993,293.9693,298.5117,297.9434
1.5,0000 1 Dec 1999,296.9125,297.2419,297.6146,299.247
2.5,0000 1 Dec 1999,296.8286,298.2308,298.3425,298.8553
3.5,0000 1 Dec 1999,297.0328,298.2113,299.1628,298.7537
4.5,0000 1 Dec 1999,297.1995,297.1591,299.6067,298.812
5.5,0000 1 Dec 1999,297.2367,295.7649,299.5465,298.8216
6.5,0000 1 Dec 1999,297.0793,294.7006,299.0732,298.7064
7.5,0000 1 Dec 1999,296.759,294.1695,298.6605,298.4835
8.5,0000 1 Dec 1999,296.4871,293.9823,298.4651,298.2418
9.5,0000 1 Dec 1999,296.3684,294.0789,298.4813,298.0581
10.5,0000 1 Dec 1999,296.3574,294.5052,298.6033,297.948
1.5,0000 1 Jan 2000,297.072,298.3067,298.0951,299.0898
2.5,0000 1 Jan 2000,297.1785,298.4681,298.9041,298.88
3.5,0000 1 Jan 2000,297.3786,297.4091,299.4028,298.9669
4.5,0000 1 Jan 2000,297.4467,295.9225,299.3876,299.031
5.5,0000 1 Jan 2000,297.2799,294.7394,299.032,298.9296
6.5,0000 1 Jan 2000,296.9784,294.1683,298.6697,298.7491
7.5,0000 1 Jan 2000,296.7238,293.9843,298.5339,298.5251
8.5,0000 1 Jan 2000,296.6056,294.0707,298.5854,298.3241
9.5,0000 1 Jan 2000,296.5515,294.5236,298.749,298.1629
10.5,0000 1 Jan 2000,296.5192,295.1962,298.9024,298.0722
1.5,0000 1 Feb 2000,297.9997,298.5881,299.2872,299.4839
2.5,0000 1 Feb 2000,297.9711,297.5934,299.708,299.5073
3.5,0000 1 Feb 2000,297.8853,296.2103,299.7159,299.5624
4.5,0000 1 Feb 2000,297.7068,295.0526,299.3562,299.4809
5.5,0000 1 Feb 2000,297.4174,294.4669,298.9441,299.2771
6.5,0000 1 Feb 2000,297.1097,294.2365,298.7461,299.0177
7.5,0000 1 Feb 2000,296.9229,294.2974,298.7355,298.7985
8.5,0000 1 Feb 2000,296.8454,294.6953,298.845,298.6323
9.5,0000 1 Feb 2000,296.8152,295.3371,298.967,298.5467
10.5,0000 1 Feb 2000,296.8283,296.1478,299.1596,298.4788
1.5,0000 1 Mar 2000,298.6399,297.8138,300.1407,299.7812
2.5,0000 1 Mar 2000,298.2863,296.4232,300.0044,299.7539
3.5,0000 1 Mar 2000,297.7804,295.2958,299.5015,299.6354
4.5,0000 1 Mar 2000,297.3289,294.6427,299.0438,299.3916
5.5,0000 1 Mar 2000,296.9861,294.3193,298.7973,299.0898
6.5,0000 1 Mar 2000,296.7589,294.3549,298.7358,298.8094
7.5,0000 1 Mar 2000,296.6599,294.7399,298.7997,298.6261
8.5,0000 1 Mar 2000,296.6445,295.2983,298.8955,298.5433
9.5,0000 1 Mar 2000,296.6908,296.0746,299.069,298.4684
10.5,0000 1 Mar 2000,296.8104,297.0424,299.4057,298.3712
1.5,0000 1 Apr 2000,299.0773,296.8729,299.8907,300.2868
2.5,0000 1 Apr 2000,298.4417,295.581,299.3737,300.1201
3.5,0000 1 Apr 2000,297.8613,294.8627,298.903,299.8298
4.5,0000 1 Apr 2000,297.4106,294.5397,298.6395,299.4892
5.5,0000 1 Apr 2000,297.133,294.5948,298.5579,299.2064
6.5,0000 1 Apr 2000,296.9892,294.988,298.5802,299.0155
7.5,0000 1 Apr 2000,296.9475,295.5951,298.6598,298.9361
8.5,0000 1 Apr 2000,296.9713,296.3661,298.8444,298.8798
9.5,0000 1 Apr 2000,297.1116,297.301,299.2023,298.8213
10.5,0000 1 Apr 2000,297.3637,298.2132,299.7286,298.7462
1.5,0000 1 May 2000,299.0243,296.1397,299.5609,300.4598
2.5,0000 1 May 2000,298.2917,295.3225,298.9691,300.1006
3.5,0000 1 May 2000,297.7719,294.9181,298.6142,299.7676
4.5,0000 1 May 2000,297.5298,294.9212,298.4862,299.4996
5.5,0000 1 May 2000,297.4104,295.2848,298.4703,299.3237
6.5,0000 1 May 2000,297.3203,295.8527,298.5032,299.1963
7.5,0000 1 May 2000,297.2786,296.5333,298.6307,299.1222
8.5,0000 1 May 2000,297.3509,297.3803,298.9142,299.0114
9.5,0000 1 May 2000,297.523,298.1655,299.4188,298.9071
10.5,0000 1 May 2000,297.7215,298.5562,300.0412,298.8567
1.5,0000 1 Jun 2000,298.4603,295.2384,298.89,300.3238
2.5,0000 1 Jun 2000,297.7303,294.7915,298.4612,299.8823
3.5,0000 1 Jun 2000,297.3651,294.7639,298.2701,299.5338
4.5,0000 1 Jun 2000,297.2418,295.1451,298.2946,299.3212
5.5,0000 1 Jun 2000,297.2092,295.7397,298.392,299.2224
6.5,0000 1 Jun 2000,297.2443,296.5599,298.5858,299.1863
7.5,0000 1 Jun 2000,297.3663,297.5411,298.9804,299.1104
8.5,0000 1 Jun 2000,297.5812,298.4754,299.5565,299.0118
9.5,0000 1 Jun 2000,297.8231,298.9259,300.1805,298.9759
10.5,0000 1 Jun 2000,297.9832,298.3686,300.5253,299.0285
1.5,0000 1 Jul 2000,298.5167,294.9532,298.3484,300.6214
2.5,0000 1 Jul 2000,298.0629,295.0923,298.1516,300.2605
3.5,0000 1 Jul 2000,297.9172,295.5292,298.1035,300.0386
4.5,0000 1 Jul 2000,297.8961,296.1215,298.1684,299.9683
5.5,0000 1 Jul 2000,297.9131,296.8654,298.3704,299.9467
6.5,0000 1 Jul 2000,297.9727,297.7826,298.8013,299.8717
7.5,0000 1 Jul 2000,298.1072,298.6648,299.4805,299.7302
8.5,0000 1 Jul 2000,298.2996,299.0751,300.199,299.6261
9.5,0000 1 Jul 2000,298.4445,298.4125,300.6049,299.6284
10.5,0000 1 Jul 2000,298.4199,297.0886,300.498,299.6165
1.5,0000 1 Aug 2000,298.1663,294.7946,298.0435,300.4056
2.5,0000 1 Aug 2000,297.7119,295.341,297.9692,299.9775
3.5,0000 1 Aug 2000,297.618,295.9311,297.9844,299.8186
4.5,0000 1 Aug 2000,297.6189,296.6233,298.1536,299.7265
5.5,0000 1 Aug 2000,297.6693,297.5422,298.5847,299.5894
6.5,0000 1 Aug 2000,297.8054,298.427,299.2259,299.4482
7.5,0000 1 Aug 2000,297.9951,298.8196,299.9612,299.3619
8.5,0000 1 Aug 2000,298.1631,298.1488,300.3521,299.3634
9.5,0000 1 Aug 2000,298.1861,296.8844,300.2959,299.3514
10.5,0000 1 Aug 2000,297.9315,295.5641,299.8202,299.2131
1.5,0000 1 Sep 2000,298.4586,295.2324,297.7059,300.6629
2.5,0000 1 Sep 2000,298.0891,296.1634,297.7157,300.3081
3.5,0000 1 Sep 2000,297.9929,296.9432,297.9023,300.1365
4.5,0000 1 Sep 2000,298.0203,297.8627,298.4167,299.9133
5.5,0000 1 Sep 2000,298.0846,298.7168,299.1384,299.6764
6.5,0000 1 Sep 2000,298.2091,299.047,299.9666,299.5522
7.5,0000 1 Sep 2000,298.308,298.2906,300.3734,299.5859
8.5,0000 1 Sep 2000,298.3187,296.9529,300.3455,299.6
9.5,0000 1 Sep 2000,298.0894,295.6219,299.8553,299.4799
10.5,0000 1 Sep 2000,297.6296,294.7791,299.3626,299.2122
1.5,0000 1 Oct 2000,298.2986,295.8885,297.8906,300.6441
2.5,0000 1 Oct 2000,298.0612,296.8686,298.0491,300.3898
3.5,0000 1 Oct 2000,298.067,297.7708,298.4723,300.1933
4.5,0000 1 Oct 2000,298.1597,298.6037,299.2212,299.9258
5.5,0000 1 Oct 2000,298.2787,298.9607,300.054,299.747
6.5,0000 1 Oct 2000,298.3885,298.2204,300.579,299.7131
7.5,0000 1 Oct 2000,298.4037,296.7836,300.5455,299.7012
8.5,0000 1 Oct 2000,298.1624,295.3976,300.0937,299.5723
9.5,0000 1 Oct 2000,297.7395,294.5561,299.5599,299.334
10.5,0000 1 Oct 2000,297.3014,294.2235,299.2324,299.0617
1.5,0000 1 Nov 2000,298.1902,296.2106,297.8612,300.5583
2.5,0000 1 Nov 2000,297.9966,297.4639,298.3375,300.1547
3.5,0000 1 Nov 2000,298.0741,298.3929,299.1308,299.8798
4.5,0000 1 Nov 2000,298.2195,298.6702,299.9765,299.7279
5.5,0000 1 Nov 2000,298.3257,297.8578,300.4294,299.7145
6.5,0000 1 Nov 2000,298.3123,296.51,300.3242,299.6964
7.5,0000 1 Nov 2000,298.1077,295.2982,299.8089,299.5602
8.5,0000 1 Nov 2000,297.7413,294.5993,299.2859,299.3113
9.5,0000 1 Nov 2000,297.3607,294.2835,298.9402,299.0573
10.5,0000 1 Nov 2000,297.0899,294.2887,298.8242,298.8586
1.5,0000 1 Dec 2000,298.3214,297.2679,298.5403,300.2851
2.5,0000 1 Dec 2000,298.2832,298.2742,299.2355,300.0077
3.5,0000 1 Dec 2000,298.4281,298.601,300.02,299.9173
4.5,0000 1 Dec 2000,298.5398,297.837,300.4443,299.9424
5.5,0000 1 Dec 2000,298.5386,296.5544,300.3747,299.9382
6.5,0000 1 Dec 2000,298.3121,295.3875,299.9184,299.8002
7.5,0000 1 Dec 2000,297.9385,294.7468,299.3891,299.5497
8.5,0000 1 Dec 2000,297.5485,294.4304,299.0352,299.2814
9.5,0000 1 Dec 2000,297.3105,294.4144,298.9155,299.0778
10.5,0000 1 Dec 2000,297.2032,294.7511,298.988,298.9505
1.5,0000 1 Jan 2001,298.4649,298.3985,299.4746,300.0279
2.5,0000 1 Jan 2001,298.4787,298.6691,300.276,299.8802
3.5,0000 1 Jan 2001,298.5495,297.8154,300.5854,299.9763
4.5,0000 1 Jan 2001,298.533,296.4981,300.4455,300.0296
5.5,0000 1 Jan 2001,298.2867,295.3646,299.9237,299.905
6.5,0000 1 Jan 2001,297.8417,294.7515,299.3882,299.637
7.5,0000 1 Jan 2001,297.4268,294.439,299.0307,299.3496
8.5,0000 1 Jan 2001,297.1903,294.4823,298.9209,299.0992
9.5,0000 1 Jan 2001,297.103,294.883,299.0023,298.92
10.5,0000 1 Jan 2001,297.0624,295.5231,299.1497,298.8131
1.5,0000 1 Feb 2001,298.9023,298.9829,300.2611,300.2816
2.5,0000 1 Feb 2001,298.813,298.0859,300.6275,300.2426
3.5,0000 1 Feb 2001,298.586,296.6895,300.495,300.1882
4.5,0000 1 Feb 2001,298.1709,295.4276,300.0108,299.995
5.5,0000 1 Feb 2001,297.6192,294.7473,299.4772,299.6539
6.5,0000 1 Feb 2001,297.1477,294.4407,299.11,299.2838
7.5,0000 1 Feb 2001,296.8861,294.4271,298.9662,298.9726
8.5,0000 1 Feb 2001,296.7941,294.8062,299.0206,298.7748
9.5,0000 1 Feb 2001,296.8028,295.3797,299.1523,298.6822
10.5,0000 1 Feb 2001,296.8774,296.2139,299.3433,298.6163
1.5,0000 1 Mar 2001,299.2466,298.0571,300.5401,300.5471
2.5,0000 1 Mar 2001,298.8432,296.6921,300.4081,300.4568
3.5,0000 1 Mar 2001,298.3091,295.471,299.9843,300.2711
4.5,0000 1 Mar 2001,297.7639,294.7505,299.4521,299.9706
5.5,0000 1 Mar 2001,297.3369,294.4319,299.1026,299.5963
6.5,0000 1 Mar 2001,297.0452,294.5107,298.9751,299.2761
7.5,0000 1 Mar 2001,296.9442,294.9387,299.0187,299.0516
8.5,0000 1 Mar 2001,296.8898,295.4678,299.1128,298.9249
9.5,0000 1 Mar 2001,296.9215,296.1857,299.2854,298.8179
10.5,0000 1 Mar 2001,297.058,297.101,299.595,298.682
1.5,0000 1 Apr 2001,299.624,297.2003,300.5569,301.0112
2.5,0000 1 Apr 2001,298.9586,295.8367,300.0722,300.8009
3.5,0000 1 Apr 2001,298.2816,295.0518,299.4886,300.4646
4.5,0000 1 Apr 2001,297.7908,294.7765,299.093,300.0804
5.5,0000 1 Apr 2001,297.5164,294.8606,298.9202,299.7488
6.5,0000 1 Apr 2001,297.4196,295.341,298.9336,299.5426
7.5,0000 1 Apr 2001,297.3904,295.9549,299.0331,299.4225
8.5,0000 1 Apr 2001,297.3861,296.6667,299.2378,299.3126
9.5,0000 1 Apr 2001,297.4447,297.492,299.5685,299.1629
10.5,0000 1 Apr 2001,297.5877,298.2953,300.0705,299.0123
1.5,0000 1 May 2001,299.4674,295.9982,299.6971,301.2196
2.5,0000 1 May 2001,298.7281,295.2661,299.1208,300.8091
3.5,0000 1 May 2001,298.1457,294.9038,298.7434,300.381
4.5,0000 1 May 2001,297.8492,294.9238,298.629,300.0415
5.5,0000 1 May 2001,297.7629,295.3304,298.6932,299.84
6.5,0000 1 May 2001,297.7191,295.9468,298.8091,299.7095
7.5,0000 1 May 2001,297.6781,296.7,298.9973,299.619
8.5,0000 1 May 2001,297.701,297.5636,299.3582,299.4656
9.5,0000 1 May 2001,297.8206,298.3724,299.8566,299.3013
10.5,0000 1 May 2001,298.0294,298.6652,300.4218,299.1982
1.5,0000 1 Jun 2001,299.0652,294.9714,299.1799,301.2093
2.5,0000 1 Jun 2001,298.4144,294.8065,298.6943,300.7993
3.5,0000 1 Jun 2001,298.1623,294.9695,298.445,300.482
4.5,0000 1 Jun 2001,298.106,295.4804,298.4359,300.28
5.5,0000 1 Jun 2001,298.0889,296.2177,298.5481,300.1711
6.5,0000 1 Jun 2001,298.0797,297.0184,298.785,300.0893
7.5,0000 1 Jun 2001,298.1365,297.8684,299.2254,299.9588
8.5,0000 1 Jun 2001,298.2855,298.6451,299.8414,299.8008
9.5,0000 1 Jun 2001,298.4686,299.0491,300.5045,299.6833
10.5,0000 1 Jun 2001,298.5532,298.4312,300.8411,299.6549
1.5,0000 1 Jul 2001,299.2194,294.7757,298.6308,301.5156
2.5,0000 1 Jul 2001,298.7605,295.1054,298.45,301.1495
3.5,0000 1 Jul 2001,298.6485,295.6221,298.4686,300.9105
4.5,0000 1 Jul 2001,298.6562,296.3174,298.5987,300.7838
5.5,0000 1 Jul 2001,298.6592,297.1497,298.8365,300.6646
6.5,0000 1 Jul 2001,298.6623,298.0674,299.2626,300.49
7.5,0000 1 Jul 2001,298.7451,298.8612,299.8864,300.269
8.5,0000 1 Jul 2001,298.8889,299.1994,300.5579,300.0988
9.5,0000 1 Jul 2001,298.9188,298.5706,300.9358,300.0211
10.5,0000 1 Jul 2001,298.7251,297.2746,300.8531,299.938
1.5,0000 1 Aug 2001,298.617,294.7119,298.1203,301.167
2.5,0000 1 Aug 2001,298.3673,295.4631,298.1449,300.8373
3.5,0000 1 Aug 2001,298.4109,296.2145,298.2713,300.6969
4.5,0000 1 Aug 2001,298.4443,297.033,298.5047,300.5999
5.5,0000 1 Aug 2001,298.4627,298.0016,298.9149,300.4276
6.5,0000 1 Aug 2001,298.5192,298.8243,299.5355,300.2063
7.5,0000 1 Aug 2001,298.6219,299.2235,300.283,300.0112
8.5,0000 1 Aug 2001,298.7003,298.5891,300.7324,299.9025
9.5,0000 1 Aug 2001,298.6145,297.2567,300.7001,299.8128
10.5,0000 1 Aug 2001,298.2738,295.7687,300.2188,299.6241
1.5,0000 1 Sep 2001,298.803,295.1068,297.8995,301.2762
2.5,0000 1 Sep 2001,298.511,296.2604,298.0258,300.8497
3.5,0000 1 Sep 2001,298.4213,297.1288,298.2516,300.5969
4.5,0000 1 Sep 2001,298.3776,297.9858,298.7406,300.333
5.5,0000 1 Sep 2001,298.4094,298.7083,299.4833,300.0656
6.5,0000 1 Sep 2001,298.5352,299.0101,300.2806,299.871
7.5,0000 1 Sep 2001,298.6147,298.3082,300.6636,299.7929
8.5,0000 1 Sep 2001,298.5418,296.9955,300.5481,299.7368
9.5,0000 1 Sep 2001,298.1953,295.6218,300.037,299.5744
10.5,0000 1 Sep 2001,297.6508,294.7346,299.5119,299.2735
1.5,0000 1 Oct 2001,298.7481,295.6156,297.8029,301.283
2.5,0000 1 Oct 2001,298.5295,296.8568,298.0328,300.9483
3.5,0000 1 Oct 2001,298.4701,297.8975,298.5069,300.6008
4.5,0000 1 Oct 2001,298.51,298.6838,299.2032,300.2096
5.5,0000 1 Oct 2001,298.6011,298.9099,299.9958,299.9292
6.5,0000 1 Oct 2001,298.6537,298.1488,300.4089,299.8404
7.5,0000 1 Oct 2001,298.557,296.8215,300.361,299.8233
8.5,0000 1 Oct 2001,298.2402,295.535,299.9033,299.6971
9.5,0000 1 Oct 2001,297.7763,294.745,299.439,299.4438
10.5,0000 1 Oct 2001,297.325,294.3858,299.1639,299.155
1.5,0000 1 Nov 2001,298.8813,296.3415,298.1206,301.3637
2.5,0000 1 Nov 2001,298.7208,297.6571,298.5181,301.0359
3.5,0000 1 Nov 2001,298.788,298.5994,299.1337,300.7155
4.5,0000 1 Nov 2001,298.9332,298.9002,299.8427,300.4631
5.5,0000 1 Nov 2001,299.0458,298.344,300.2225,300.3269
6.5,0000 1 Nov 2001,299.0001,297.2583,300.1365,300.2303
