L,MON,LDC_SST_NASA_GEOSS2S,LDC_SST_NASA_GEOSS2S_ONETWO,LDC_SST_NASA_GEOSS2S_THREE,LDC_SST_NASA_GEOSS2S_FOUR
3.5,0000 1 Jan 1992,29.15562,26.22288,28.25463,29.97425
4.5,0000 1 Jan 1992,29.48661,24.81174,28.27049,30.28055
5.5,0000 1 Jan 1992,29.48848,23.25571,27.88454,30.46706
6.5,0000 1 Jan 1992,29.15926,22.10827,27.25216,30.46341
7.5,0000 1 Jan 1992,28.65097,21.42346,26.58674,30.37297
1.5,0000 1 Feb 1992,28.92023,27.51036,28.39488,29.32376
2.5,0000 1 Feb 1992,29.21883,27.26592,28.72197,29.66276
3.5,0000 1 Feb 1992,29.37587,26.03028,28.5839,29.98406
4.5,0000 1 Feb 1992,29.0649,24.35004,27.85228,30.07626
5.5,0000 1 Feb 1992,28.39586,22.87515,26.86606,29.88715
6.5,0000 1 Feb 1992,27.6908,21.80556,25.97923,29.58086
7.5,0000 1 Feb 1992,27.34829,21.22625,25.56521,29.4055
1.5,0000 1 Mar 1992,29.30374,27.07865,28.75523,29.65198
2.5,0000 1 Mar 1992,29.54453,25.91899,28.7264,30.03966
3.5,0000 1 Mar 1992,29.31233,24.32865,28.09024,30.14332
4.5,0000 1 Mar 1992,28.75262,23.03424,27.2292,30.05541
5.5,0000 1 Mar 1992,28.13281,22.10045,26.45757,29.86472
6.5,0000 1 Mar 1992,27.78023,21.62206,26.0374,29.7941
7.5,0000 1 Mar 1992,27.62906,21.45522,25.86602,29.74858
1.5,0000 1 Apr 1992,29.74483,26.85495,29.05622,30.02293
2.5,0000 1 Apr 1992,29.82723,25.51731,28.75912,30.28895
3.5,0000 1 Apr 1992,29.56281,24.14246,28.1442,30.31181
4.5,0000 1 Apr 1992,29.22297,23.0622,27.56067,30.2642
5.5,0000 1 Apr 1992,28.99923,22.4232,27.22951,30.24504
6.5,0000 1 Apr 1992,29.00733,22.21522,27.21757,30.27263
7.5,0000 1 Apr 1992,28.98161,22.44899,27.26256,30.25876
1.5,0000 1 May 1992,29.21641,24.54607,28.07669,29.86016
2.5,0000 1 May 1992,28.86718,23.15713,27.35894,29.90181
3.5,0000 1 May 1992,28.56448,22.08363,26.78743,29.95443
4.5,0000 1 May 1992,28.51397,21.5639,26.56985,30.11583
5.5,0000 1 May 1992,28.64024,21.57015,26.6687,30.32178
6.5,0000 1 May 1992,28.67496,21.97688,26.80057,30.39638
7.5,0000 1 May 1992,28.45848,22.65428,26.77109,30.25423
1.5,0000 1 Jun 1992,27.36759,22.09797,25.76246,29.09019
2.5,0000 1 Jun 1992,26.75056,20.80176,24.96816,28.91122
3.5,0000 1 Jun 1992,26.50419,20.1735,24.66335,28.88835
4.5,0000 1 Jun 1992,26.53974,20.10784,24.65356,28.99887
5.5,0000 1 Jun 1992,26.50206,20.46054,24.70923,29.06847
6.5,0000 1 Jun 1992,26.35967,21.11522,24.71654,29.01336
7.5,0000 1 Jun 1992,26.18912,22.07931,24.86885,28.76864
1.5,0000 1 Jul 1992,26.57696,20.80272,24.61727,28.73553
2.5,0000 1 Jul 1992,26.23535,19.99948,24.1931,28.70194
3.5,0000 1 Jul 1992,26.20292,19.86275,24.20806,28.75691
4.5,0000 1 Jul 1992,26.22935,20.20509,24.30211,28.80472
5.5,0000 1 Jul 1992,26.14698,20.996,24.38721,28.71738
6.5,0000 1 Jul 1992,25.87294,22.17973,24.46124,28.41706
7.5,0000 1 Jul 1992,25.65179,23.19642,24.66645,27.97128
1.5,0000 1 Aug 1992,25.8358,20.55903,23.91983,28.40681
2.5,0000 1 Aug 1992,25.83933,20.2145,24.01783,28.43068
3.5,0000 1 Aug 1992,25.87307,20.31403,24.10306,28.46652
4.5,0000 1 Aug 1992,25.68702,20.82812,24.02906,28.42113
5.5,0000 1 Aug 1992,25.45736,21.67783,24.04153,28.19925
6.5,0000 1 Aug 1992,25.35486,22.4854,24.27115,27.90733
7.5,0000 1 Aug 1992,25.57502,22.7206,24.73801,27.75295
1.5,0000 1 Sep 1992,25.97871,20.29786,24.04321,28.40618
2.5,0000 1 Sep 1992,25.93647,20.47064,24.03515,28.44048
3.5,0000 1 Sep 1992,25.76523,21.04803,24.03191,28.42573
4.5,0000 1 Sep 1992,25.58949,21.97439,24.19747,28.2356
5.5,0000 1 Sep 1992,25.53811,22.92951,24.55677,27.95163
6.5,0000 1 Sep 1992,25.75468,23.22594,25.01778,27.71485
7.5,0000 1 Sep 1992,26.10677,22.58935,25.26885,27.71787
1.5,0000 1 Oct 1992,25.81804,20.78477,24.07663,28.27382
2.5,0000 1 Oct 1992,25.55124,21.39216,24.0014,28.10209
3.5,0000 1 Oct 1992,25.44256,22.44451,24.21719,27.90922
4.5,0000 1 Oct 1992,25.54119,23.24113,24.67401,27.74716
5.5,0000 1 Oct 1992,25.9113,23.39145,25.22264,27.76405
6.5,0000 1 Oct 1992,26.37598,22.72907,25.56914,27.98794
7.5,0000 1 Oct 1992,26.77535,21.76496,25.72595,28.26521
1.5,0000 1 Nov 1992,25.69999,22.22345,24.38685,28.13341
2.5,0000 1 Nov 1992,25.48783,23.0801,24.38895,27.86899
3.5,0000 1 Nov 1992,25.54489,23.8787,24.73199,27.77912
4.5,0000 1 Nov 1992,26.01819,24.0885,25.42459,27.86916
5.5,0000 1 Nov 1992,26.63415,23.50476,26.05542,28.11072
6.5,0000 1 Nov 1992,27.05388,22.52051,26.26651,28.33631
7.5,0000 1 Nov 1992,27.24576,21.71491,26.13329,28.54407
1.5,0000 1 Dec 1992,26.12564,23.79525,25.09721,28.24019
2.5,0000 1 Dec 1992,26.06534,25.04579,25.41568,28.03381
3.5,0000 1 Dec 1992,26.44136,25.3581,26.03928,28.03522
4.5,0000 1 Dec 1992,27.05866,24.69291,26.57907,28.27597
5.5,0000 1 Dec 1992,27.5462,23.37181,26.79949,28.57369
6.5,0000 1 Dec 1992,27.70201,22.18572,26.53599,28.82194
7.5,0000 1 Dec 1992,27.68234,21.38187,26.17217,29.04817
1.5,0000 1 Jan 1993,26.65077,25.60558,25.83984,28.51321
2.5,0000 1 Jan 1993,26.92768,25.95147,26.39082,28.54606
3.5,0000 1 Jan 1993,27.42235,24.84169,26.69784,28.77976
4.5,0000 1 Jan 1993,27.78547,23.06162,26.66136,29.03438
5.5,0000 1 Jan 1993,27.83913,21.45967,26.2239,29.18738
6.5,0000 1 Jan 1993,27.62565,20.68946,25.71296,29.25446
7.5,0000 1 Jan 1993,27.43637,20.49285,25.40442,29.40581
1.5,0000 1 Feb 1993,27.61159,27.12892,27.39772,28.85167
2.5,0000 1 Feb 1993,28.28638,26.62487,28.01676,29.23481
3.5,0000 1 Feb 1993,28.75708,25.19577,28.08898,29.65451
4.5,0000 1 Feb 1993,28.85797,23.62764,27.6699,29.95612
5.5,0000 1 Feb 1993,28.69838,22.49062,27.12543,30.10394
6.5,0000 1 Feb 1993,28.61121,22.0754,26.8355,30.21071
7.5,0000 1 Feb 1993,28.74752,22.15285,26.92745,30.38061
1.5,0000 1 Mar 1993,28.49657,27.05848,28.21713,29.25379
2.5,0000 1 Mar 1993,29.07156,26.03341,28.45144,29.76283
3.5,0000 1 Mar 1993,29.23924,24.76912,28.16132,30.09887
4.5,0000 1 Mar 1993,29.08903,23.64085,27.65523,30.24888
5.5,0000 1 Mar 1993,28.92419,22.90029,27.25708,30.35811
6.5,0000 1 Mar 1993,28.98095,22.47146,27.15182,30.47988
7.5,0000 1 Mar 1993,29.27451,22.54849,27.38739,30.65086
1.5,0000 1 Apr 1993,29.12557,26.36302,28.69905,29.67535
2.5,0000 1 Apr 1993,29.31899,25.47816,28.51005,30.03757
3.5,0000 1 Apr 1993,29.18644,24.56839,28.03883,30.1694
4.5,0000 1 Apr 1993,29.08301,23.83574,27.71216,30.17702
5.5,0000 1 Apr 1993,29.36187,23.53841,27.80189,30.41086
6.5,0000 1 Apr 1993,29.71102,23.64937,28.08797,30.62063
7.5,0000 1 Apr 1993,29.96848,24.15729,28.40092,30.76315
1.5,0000 1 May 1993,28.91796,24.48895,28.05008,29.64475
2.5,0000 1 May 1993,28.62264,23.36851,27.40229,29.80168
3.5,0000 1 May 1993,28.33691,22.44862,26.876,29.91115
4.5,0000 1 May 1993,28.25667,21.84613,26.615,30.04866
5.5,0000 1 May 1993,28.50471,21.65397,26.71026,30.2884
6.5,0000 1 May 1993,28.62624,21.92873,26.80752,30.41973
7.5,0000 1 May 1993,28.49563,22.6558,26.78409,30.35483
1.5,0000 1 Jun 1993,28.0638,22.48504,26.68289,29.34901
2.5,0000 1 Jun 1993,27.57074,21.32237,25.86468,29.39143
3.5,0000 1 Jun 1993,27.26928,20.64741,25.3152,29.49915
4.5,0000 1 Jun 1993,27.35369,20.48368,25.29214,29.70741
5.5,0000 1 Jun 1993,27.53291,20.92472,25.52736,29.8613
6.5,0000 1 Jun 1993,27.41829,21.88125,25.72907,29.68038
7.5,0000 1 Jun 1993,27.06144,22.95711,25.69783,29.3325
1.5,0000 1 Jul 1993,26.9074,21.18353,25.15865,28.9637
2.5,0000 1 Jul 1993,26.58081,20.49788,24.71499,28.9533
3.5,0000 1 Jul 1993,26.60946,20.40082,24.74242,29.02859
4.5,0000 1 Jul 1993,26.67753,20.95441,24.93973,29.10209
5.5,0000 1 Jul 1993,26.50205,21.78791,24.99883,28.89869
6.5,0000 1 Jul 1993,26.06845,22.89318,24.94455,28.39572
7.5,0000 1 Jul 1993,25.80383,23.84054,24.94609,27.88688
1.5,0000 1 Aug 1993,26.40909,20.83096,24.58704,28.76803
2.5,0000 1 Aug 1993,26.35323,20.49965,24.53437,28.76477
3.5,0000 1 Aug 1993,26.21438,20.67362,24.44616,28.68025
4.5,0000 1 Aug 1993,25.88693,21.30147,24.25032,28.49916
5.5,0000 1 Aug 1993,25.42342,22.3283,24.08814,28.09988
6.5,0000 1 Aug 1993,25.16475,23.10361,24.17136,27.64971
7.5,0000 1 Aug 1993,25.15527,23.11157,24.22582,27.37197
1.5,0000 1 Sep 1993,26.28801,20.71851,24.46654,28.6224
2.5,0000 1 Sep 1993,26.12336,20.83887,24.44053,28.46342
3.5,0000 1 Sep 1993,25.71621,21.49979,24.27077,28.1337
4.5,0000 1 Sep 1993,25.14224,22.46107,24.08821,27.57214
5.5,0000 1 Sep 1993,24.79557,23.35134,24.12062,27.02338
6.5,0000 1 Sep 1993,24.96931,23.42776,24.32884,26.8086
7.5,0000 1 Sep 1993,25.36544,22.47922,24.39882,26.95491
1.5,0000 1 Oct 1993,26.38031,21.03172,24.71173,28.59682
2.5,0000 1 Oct 1993,25.86325,21.5501,24.42098,28.10835
3.5,0000 1 Oct 1993,25.29858,22.45944,24.1918,27.48153
4.5,0000 1 Oct 1993,24.87858,23.27274,24.04324,26.97544
5.5,0000 1 Oct 1993,24.88914,23.33453,24.05504,26.80093
6.5,0000 1 Oct 1993,25.0871,22.34636,23.93235,26.98359
7.5,0000 1 Oct 1993,25.29884,20.87362,23.76277,27.20607
1.5,0000 1 Nov 1993,26.20394,22.52229,24.91795,28.31565
2.5,0000 1 Nov 1993,25.59904,23.16461,24.59553,27.70978
3.5,0000 1 Nov 1993,25.10705,24.11099,24.33074,27.22917
4.5,0000 1 Nov 1993,25.07605,24.18089,24.33337,27.03135
5.5,0000 1 Nov 1993,25.27594,23.08164,24.29736,27.09475
6.5,0000 1 Nov 1993,25.45918,21.24102,24.13112,27.19734
7.5,0000 1 Nov 1993,25.4828,19.79747,23.7833,27.32193
1.5,0000 1 Dec 1993,25.7073,23.47469,24.65613,27.8265
2.5,0000 1 Dec 1993,25.22524,24.28409,24.42111,27.39396
3.5,0000 1 Dec 1993,25.29865,24.32025,24.61193,27.24422
4.5,0000 1 Dec 1993,25.60805,23.34512,24.7689,27.33084
5.5,0000 1 Dec 1993,25.85311,21.73186,24.74076,27.43184
6.5,0000 1 Dec 1993,25.86435,20.52459,24.4479,27.52036
7.5,0000 1 Dec 1993,25.81531,19.85237,24.17938,27.59884
1.5,0000 1 Jan 1994,26.1268,24.90342,25.33355,27.8963
2.5,0000 1 Jan 1994,26.15722,24.96147,25.45413,27.57875
3.5,0000 1 Jan 1994,26.18063,23.71536,25.14853,27.52836
4.5,0000 1 Jan 1994,25.96638,21.72907,24.37319,27.66881
5.5,0000 1 Jan 1994,25.69542,19.97295,23.63504,27.74885
6.5,0000 1 Jan 1994,25.54029,19.11528,23.31713,27.81166
7.5,0000 1 Jan 1994,25.51914,18.86749,23.33932,27.89652
1.5,0000 1 Feb 1994,26.63395,26.21279,25.94788,28.06747
2.5,0000 1 Feb 1994,26.79237,24.82285,25.84558,28.23795
3.5,0000 1 Feb 1994,26.96626,22.82493,25.69944,28.47274
4.5,0000 1 Feb 1994,27.07825,21.06717,25.41537,28.6533
5.5,0000 1 Feb 1994,27.0095,20.21831,25.05901,28.79097
6.5,0000 1 Feb 1994,26.95959,20.00925,24.88459,28.98292
