L,MON,LDC_SST_NASA_GEOSS2S,LDC_SST_NASA_GEOSS2S_ONETWO,LDC_SST_NASA_GEOSS2S_THREE,LDC_SST_NASA_GEOSS2S_FOUR
6.5,0000 1 Jul 1995,25.58209,22.26091,24.3325,27.92225
7.5,0000 1 Jul 1995,25.42418,23.28634,24.60422,27.6432
1.5,0000 1 Aug 1995,25.75579,20.04842,24.04869,27.84233
2.5,0000 1 Aug 1995,25.63841,19.93786,23.88056,27.7895
3.5,0000 1 Aug 1995,25.65638,20.33575,23.9256,27.82721
4.5,0000 1 Aug 1995,25.54693,21.20693,24.09513,27.72408
5.5,0000 1 Aug 1995,25.34136,22.31288,24.28753,27.45883
6.5,0000 1 Aug 1995,25.29429,23.30725,24.58001,27.23688
7.5,0000 1 Aug 1995,25.57087,23.5701,24.96317,27.1647
1.5,0000 1 Sep 1995,25.13209,19.94702,23.43997,27.60207
2.5,0000 1 Sep 1995,25.06126,20.25374,23.49352,27.55389
3.5,0000 1 Sep 1995,24.96605,21.16711,23.68421,27.34271
4.5,0000 1 Sep 1995,24.76644,22.37302,23.86404,26.98331
5.5,0000 1 Sep 1995,24.65079,23.582,24.10485,26.69398
6.5,0000 1 Sep 1995,24.8327,23.73778,24.39465,26.65316
7.5,0000 1 Sep 1995,25.26574,22.84241,24.6216,26.88384
1.5,0000 1 Oct 1995,24.86821,20.64408,23.50176,27.21273
2.5,0000 1 Oct 1995,24.52825,21.28203,23.40217,26.83077
3.5,0000 1 Oct 1995,24.17031,22.35894,23.35994,26.46633
4.5,0000 1 Oct 1995,24.08239,23.43553,23.50182,26.28803
5.5,0000 1 Oct 1995,24.3947,23.71918,23.88855,26.41027
6.5,0000 1 Oct 1995,24.97203,22.9427,24.24426,26.76826
7.5,0000 1 Oct 1995,25.43422,21.56429,24.45116,27.15344
1.5,0000 1 Nov 1995,24.71741,21.89968,23.69749,26.92452
2.5,0000 1 Nov 1995,24.37776,23.00443,23.66365,26.53251
3.5,0000 1 Nov 1995,24.26654,24.16392,23.81563,26.41664
4.5,0000 1 Nov 1995,24.68079,24.33729,24.21969,26.69629
5.5,0000 1 Nov 1995,25.36176,23.31684,24.60325,27.19516
6.5,0000 1 Nov 1995,25.95412,21.90512,24.90607,27.58672
7.5,0000 1 Nov 1995,26.20196,20.96004,24.96749,27.75418
1.5,0000 1 Dec 1995,25.00192,23.52441,24.13234,27.21193
2.5,0000 1 Dec 1995,24.94013,24.69861,24.38785,26.97649
3.5,0000 1 Dec 1995,25.22978,25.09962,24.87242,26.95243
4.5,0000 1 Dec 1995,25.73619,24.17422,25.24616,27.20552
5.5,0000 1 Dec 1995,26.19602,22.49023,25.37498,27.48598
6.5,0000 1 Dec 1995,26.4255,20.969,25.14968,27.78214
7.5,0000 1 Dec 1995,26.52111,20.23001,24.90395,28.05838
1.5,0000 1 Jan 1996,25.82129,25.31653,25.48365,27.50228
2.5,0000 1 Jan 1996,26.31208,25.74147,26.01276,27.6879
3.5,0000 1 Jan 1996,26.86217,24.81552,26.29268,28.08526
4.5,0000 1 Jan 1996,27.242,23.06895,26.24103,28.5138
5.5,0000 1 Jan 1996,27.37465,21.61079,26.00485,28.79648
6.5,0000 1 Jan 1996,27.34848,20.80786,25.68527,29.03746
7.5,0000 1 Jan 1996,27.35781,20.55209,25.56234,29.25505
1.5,0000 1 Feb 1996,26.38461,26.07446,26.2089,27.7331
2.5,0000 1 Feb 1996,26.89484,24.93526,26.46989,28.05882
3.5,0000 1 Feb 1996,27.24036,23.15743,26.32249,28.44037
4.5,0000 1 Feb 1996,27.29464,21.49537,25.95046,28.65857
5.5,0000 1 Feb 1996,27.12781,20.6221,25.49152,28.74028
6.5,0000 1 Feb 1996,26.94258,20.24999,25.13513,28.79502
7.5,0000 1 Feb 1996,26.89034,20.25794,25.01521,28.94327
1.5,0000 1 Mar 1996,27.32063,26.00543,27.13501,28.1547
2.5,0000 1 Mar 1996,27.61648,24.25715,26.93974,28.59908
3.5,0000 1 Mar 1996,27.54132,22.34818,26.29906,28.87005
4.5,0000 1 Mar 1996,27.19379,21.02038,25.54368,28.92392
5.5,0000 1 Mar 1996,26.81069,20.3815,24.96796,28.83679
6.5,0000 1 Mar 1996,26.68096,20.20498,24.73166,28.86807
7.5,0000 1 Mar 1996,26.68715,20.36341,24.75387,28.93918
1.5,0000 1 Apr 1996,27.58371,23.65373,26.99173,28.47978
2.5,0000 1 Apr 1996,27.62739,22.32136,26.59663,28.76014
3.5,0000 1 Apr 1996,27.48197,21.349,26.03646,28.94291
4.5,0000 1 Apr 1996,27.32055,20.7894,25.67524,29.12945
5.5,0000 1 Apr 1996,27.45305,20.75872,25.72161,29.46422
6.5,0000 1 Apr 1996,27.79454,21.13071,26.07216,29.83454
7.5,0000 1 Apr 1996,28.19318,21.94209,26.50328,30.16677
1.5,0000 1 May 1996,27.17763,21.39403,25.86994,28.456
2.5,0000 1 May 1996,26.81627,20.1651,25.14771,28.47042
3.5,0000 1 May 1996,26.4139,19.48831,24.53661,28.39894
4.5,0000 1 May 1996,26.21822,19.28184,24.20331,28.39356
5.5,0000 1 May 1996,26.16723,19.46572,24.14431,28.43225
6.5,0000 1 May 1996,26.09879,19.99839,24.18686,28.42239
7.5,0000 1 May 1996,25.76318,20.9307,24.12851,28.19664
1.5,0000 1 Jun 1996,26.79129,20.53955,25.20403,28.29995
2.5,0000 1 Jun 1996,26.36632,19.63058,24.55524,28.15803
3.5,0000 1 Jun 1996,26.02048,19.24205,24.03755,28.05862
4.5,0000 1 Jun 1996,25.82112,19.33274,23.79094,28.04634
5.5,0000 1 Jun 1996,25.75225,19.7922,23.79199,28.06175
6.5,0000 1 Jun 1996,25.5642,20.67089,23.87122,27.98245
7.5,0000 1 Jun 1996,25.29373,21.78796,24.00153,27.74501
1.5,0000 1 Jul 1996,26.13489,19.39546,24.18101,28.06951
2.5,0000 1 Jul 1996,25.76393,18.93401,23.64035,28.00734
3.5,0000 1 Jul 1996,25.71503,19.05791,23.55672,28.05121
4.5,0000 1 Jul 1996,25.66614,19.61203,23.58619,28.10275
5.5,0000 1 Jul 1996,25.36984,20.56263,23.59328,27.92172
6.5,0000 1 Jul 1996,24.90238,21.87009,23.61108,27.55569
7.5,0000 1 Jul 1996,24.68308,22.94473,23.91288,27.20005
1.5,0000 1 Aug 1996,25.65527,19.36443,23.68674,27.81968
2.5,0000 1 Aug 1996,25.57642,19.28697,23.54839,27.75918
3.5,0000 1 Aug 1996,25.58756,19.81399,23.62882,27.77201
4.5,0000 1 Aug 1996,25.38502,20.8824,23.71995,27.72412
5.5,0000 1 Aug 1996,25.20973,22.17017,23.93747,27.63147
6.5,0000 1 Aug 1996,25.32118,23.33789,24.46578,27.51282
7.5,0000 1 Aug 1996,25.731,23.72767,25.166,27.47776
1.5,0000 1 Sep 1996,25.58084,19.8993,23.78452,27.91827
2.5,0000 1 Sep 1996,25.49966,20.31379,23.79017,27.87179
3.5,0000 1 Sep 1996,25.48285,21.27649,23.96622,27.79697
4.5,0000 1 Sep 1996,25.39926,22.54973,24.27532,27.56238
5.5,0000 1 Sep 1996,25.53206,23.59312,24.79956,27.44013
6.5,0000 1 Sep 1996,25.97029,23.76073,25.42026,27.49022
7.5,0000 1 Sep 1996,26.54294,23.16352,25.8558,27.83429
1.5,0000 1 Oct 1996,25.73813,20.17613,23.93603,27.99213
2.5,0000 1 Oct 1996,25.56469,21.07709,23.95634,27.88797
3.5,0000 1 Oct 1996,25.40739,22.42823,24.1555,27.75402
4.5,0000 1 Oct 1996,25.43975,23.81953,24.55998,27.66765
5.5,0000 1 Oct 1996,25.79249,24.32816,25.10394,27.76281
6.5,0000 1 Oct 1996,26.34874,23.69184,25.6371,27.99463
7.5,0000 1 Oct 1996,26.84907,22.53716,25.95127,28.30309
1.5,0000 1 Nov 1996,25.58898,21.58328,24.03637,28.05685
2.5,0000 1 Nov 1996,25.35586,22.96051,24.13188,27.88092
3.5,0000 1 Nov 1996,25.42278,24.2208,24.60193,27.69478
4.5,0000 1 Nov 1996,25.79055,24.6878,25.24256,27.64821
5.5,0000 1 Nov 1996,26.3903,24.07909,25.83769,27.82627
6.5,0000 1 Nov 1996,26.82809,22.88689,26.03978,28.09415
7.5,0000 1 Nov 1996,27.11452,21.71422,26.00808,28.42288
1.5,0000 1 Dec 1996,25.46915,23.30535,24.33891,27.74005
2.5,0000 1 Dec 1996,25.44481,24.74179,24.72724,27.58466
3.5,0000 1 Dec 1996,25.87976,25.12298,25.34127,27.7076
4.5,0000 1 Dec 1996,26.58699,24.49029,25.95785,28.08832
5.5,0000 1 Dec 1996,27.16565,23.25408,26.28777,28.53451
6.5,0000 1 Dec 1996,27.48614,22.36965,26.37243,28.85113
7.5,0000 1 Dec 1996,27.67218,21.95499,26.40236,29.11626
1.5,0000 1 Jan 1997,26.15987,24.95737,25.28848,28.4545
2.5,0000 1 Jan 1997,26.71927,25.40956,26.10872,28.71562
3.5,0000 1 Jan 1997,27.42017,24.87712,26.81271,29.13658
4.5,0000 1 Jan 1997,28.04129,23.84385,27.15528,29.59881
5.5,0000 1 Jan 1997,28.34282,23.04626,27.21499,29.83008
6.5,0000 1 Jan 1997,28.40269,22.52143,27.05906,29.95576
7.5,0000 1 Jan 1997,28.37163,22.18326,26.87571,30.0722
1.5,0000 1 Feb 1997,26.70658,27.04105,26.52184,28.40663
2.5,0000 1 Feb 1997,27.3165,26.5636,27.13173,28.76269
3.5,0000 1 Feb 1997,27.82337,25.10848,27.31183,29.13632
4.5,0000 1 Feb 1997,28.04956,23.38843,27.11558,29.3733
5.5,0000 1 Feb 1997,28.00962,22.31216,26.70908,29.47201
6.5,0000 1 Feb 1997,28.04465,21.83525,26.48214,29.62288
7.5,0000 1 Feb 1997,28.36669,21.92044,26.68514,30.00245
1.5,0000 1 Mar 1997,27.87976,27.49436,27.63486,29.19941
2.5,0000 1 Mar 1997,28.47516,26.53677,27.93454,29.7231
3.5,0000 1 Mar 1997,28.77683,25.11227,27.88453,30.03021
4.5,0000 1 Mar 1997,28.93209,23.83435,27.68738,30.24975
5.5,0000 1 Mar 1997,29.05022,23.00749,27.52849,30.40954
6.5,0000 1 Mar 1997,29.40208,22.86269,27.71731,30.63321
7.5,0000 1 Mar 1997,29.85278,23.40113,28.18675,30.85967
1.5,0000 1 Apr 1997,28.69616,26.63537,28.18623,29.74331
2.5,0000 1 Apr 1997,29.00527,25.93771,28.28141,30.05881
3.5,0000 1 Apr 1997,29.12214,25.1183,28.17941,30.23604
4.5,0000 1 Apr 1997,29.27882,24.54987,28.18975,30.41082
5.5,0000 1 Apr 1997,29.67833,24.44532,28.45597,30.65744
6.5,0000 1 Apr 1997,30.19047,24.92422,28.9306,30.94947
7.5,0000 1 Apr 1997,30.53343,25.78861,29.41699,30.98821
1.5,0000 1 May 1997,28.96526,26.12498,28.27877,29.93559
2.5,0000 1 May 1997,29.2175,25.25894,28.29289,30.15313
3.5,0000 1 May 1997,29.48053,24.56342,28.33748,30.35824
4.5,0000 1 May 1997,29.87469,24.36931,28.61873,30.59382
5.5,0000 1 May 1997,30.28722,24.75158,29.04672,30.84792
6.5,0000 1 May 1997,30.55897,25.61742,29.46841,30.97946
7.5,0000 1 May 1997,30.61086,26.71041,29.76182,30.87893
1.5,0000 1 Jun 1997,29.27563,25.4914,28.39705,29.89524
2.5,0000 1 Jun 1997,29.56219,24.95337,28.53326,30.09876
3.5,0000 1 Jun 1997,29.9528,24.90751,28.8364,30.35703
4.5,0000 1 Jun 1997,30.29338,25.46705,29.21908,30.55532
5.5,0000 1 Jun 1997,30.51801,26.1089,29.62226,30.70254
6.5,0000 1 Jun 1997,30.50063,27.01547,29.86798,30.54764
7.5,0000 1 Jun 1997,30.41189,27.83072,30.03546,30.24909
1.5,0000 1 Jul 1997,29.31705,25.36098,28.46144,29.90831
2.5,0000 1 Jul 1997,29.67157,25.10258,28.70504,30.33946
3.5,0000 1 Jul 1997,30.10704,25.16713,29.04568,30.71176
4.5,0000 1 Jul 1997,30.44627,25.65233,29.41133,30.88453
5.5,0000 1 Jul 1997,30.58318,26.39698,29.68522,30.76796
6.5,0000 1 Jul 1997,30.5403,27.24303,29.91089,30.47741
7.5,0000 1 Jul 1997,30.37212,27.96641,30.0545,30.19945
1.5,0000 1 Aug 1997,29.13533,24.31215,28.01526,29.92025
2.5,0000 1 Aug 1997,29.49006,24.17708,28.29173,30.19597
3.5,0000 1 Aug 1997,29.84544,24.69763,28.72447,30.35609
4.5,0000 1 Aug 1997,30.0518,25.83952,29.1421,30.34982
5.5,0000 1 Aug 1997,30.09205,27.01005,29.4635,30.20739
6.5,0000 1 Aug 1997,30.04401,28.09829,29.73349,30.09997
7.5,0000 1 Aug 1997,29.9909,28.52574,29.94563,30.0507
1.5,0000 1 Sep 1997,29.54391,24.97802,28.46556,30.31417
2.5,0000 1 Sep 1997,29.8765,25.25389,28.82771,30.57139
3.5,0000 1 Sep 1997,30.04196,25.78293,29.09166,30.56095
4.5,0000 1 Sep 1997,30.05302,26.39156,29.22738,30.37512
5.5,0000 1 Sep 1997,29.99026,26.9761,29.23831,30.22386
6.5,0000 1 Sep 1997,29.9879,26.83545,29.14485,30.25994
7.5,0000 1 Sep 1997,29.83961,25.8012,28.72291,30.40374
1.5,0000 1 Oct 1997,29.92945,25.53628,28.91977,30.2709
2.5,0000 1 Oct 1997,30.00187,26.05183,29.10535,30.29251
3.5,0000 1 Oct 1997,29.88423,26.48893,29.15498,30.13703
4.5,0000 1 Oct 1997,29.80193,26.68898,29.21409,29.95458
5.5,0000 1 Oct 1997,29.71433,26.3482,29.13878,29.86494
6.5,0000 1 Oct 1997,29.45799,25.30913,28.64373,29.89448
7.5,0000 1 Oct 1997,28.83317,23.79072,27.58544,29.89068
1.5,0000 1 Nov 1997,29.89989,27.00999,29.22793,29.895
2.5,0000 1 Nov 1997,29.80452,27.88665,29.35994,29.80071
3.5,0000 1 Nov 1997,29.59043,28.24019,29.39667,29.58042
4.5,0000 1 Nov 1997,29.55868,27.98164,29.50961,29.4993
5.5,0000 1 Nov 1997,29.50296,26.76386,29.22024,29.63831
6.5,0000 1 Nov 1997,29.03357,24.9016,28.19815,29.77689
7.5,0000 1 Nov 1997,27.69823,22.89573,26.40851,29.41948
1.5,0000 1 Dec 1997,29.67829,27.83619,29.38658,29.58458
2.5,0000 1 Dec 1997,29.55916,28.16466,29.44927,29.31048
3.5,0000 1 Dec 1997,29.47186,27.78325,29.39919,29.25236
4.5,0000 1 Dec 1997,29.27737,26.52032,28.95757,29.3454
5.5,0000 1 Dec 1997,28.68601,24.73987,27.90923,29.43629
6.5,0000 1 Dec 1997,27.40328,22.90022,26.32408,29.00456
7.5,0000 1 Dec 1997,26.03449,21.492,24.85581,28.26411
1.5,0000 1 Jan 1998,29.37321,28.63821,29.36074,29.03226
2.5,0000 1 Jan 1998,29.39969,28.45436,29.45285,29.04078
3.5,0000 1 Jan 1998,29.36181,27.07462,29.05887,29.2606
4.5,0000 1 Jan 1998,28.71408,24.86028,27.81736,29.42143
5.5,0000 1 Jan 1998,27.38088,22.50108,25.9878,29.11843
6.5,0000 1 Jan 1998,26.05123,20.96103,24.51128,28.50688
7.5,0000 1 Jan 1998,25.20936,20.11913,23.66041,27.87677
1.5,0000 1 Feb 1998,29.09683,28.71911,29.51829,28.71631
2.5,0000 1 Feb 1998,29.18858,27.98553,29.51589,28.81634
3.5,0000 1 Feb 1998,28.95192,26.12104,28.67875,29.01613
4.5,0000 1 Feb 1998,27.95343,23.77957,27.01142,28.97937
5.5,0000 1 Feb 1998,26.63074,21.74919,25.27236,28.62897
6.5,0000 1 Feb 1998,25.41902,20.57548,24.06863,28.00377
7.5,0000 1 Feb 1998,24.9173,20.14877,23.61093,27.46107
1.5,0000 1 Mar 1998,29.19983,28.28297,29.56876,29.07265
2.5,0000 1 Mar 1998,29.12962,26.7792,29.0001,29.30217
3.5,0000 1 Mar 1998,28.24148,24.62734,27.58654,29.25446
4.5,0000 1 Mar 1998,26.84252,22.5391,25.83822,28.77869
5.5,0000 1 Mar 1998,25.54311,21.10091,24.48232,28.05303
6.5,0000 1 Mar 1998,24.87372,20.41633,23.78638,27.40302
7.5,0000 1 Mar 1998,24.39968,20.29888,23.29588,26.9528
1.5,0000 1 Apr 1998,29.29883,27.03148,29.16456,29.31586
2.5,0000 1 Apr 1998,28.60085,24.76059,27.83649,29.40297
3.5,0000 1 Apr 1998,27.41834,22.53939,26.11632,29.15188
4.5,0000 1 Apr 1998,26.17651,21.00015,24.71407,28.54696
5.5,0000 1 Apr 1998,25.47883,20.33086,24.02541,27.91061
6.5,0000 1 Apr 1998,25.03959,20.22287,23.59979,27.44559
7.5,0000 1 Apr 1998,24.60814,20.52576,23.17182,27.10031
1.5,0000 1 May 1998,28.44195,24.86133,27.69071,29.19153
2.5,0000 1 May 1998,27.35774,22.64528,26.06698,28.97843
3.5,0000 1 May 1998,26.23314,21.13289,24.75669,28.47023
4.5,0000 1 May 1998,25.55859,20.46099,24.12839,27.95608
5.5,0000 1 May 1998,25.23267,20.29668,23.78728,27.63682
6.5,0000 1 May 1998,24.88029,20.45907,23.37164,27.38794
7.5,0000 1 May 1998,24.41102,20.93232,22.94828,27.09331
1.5,0000 1 Jun 1998,25.89857,22.60178,24.76512,28.17484
2.5,0000 1 Jun 1998,24.99291,20.75577,23.69667,27.60423
3.5,0000 1 Jun 1998,24.50348,19.89775,23.11664,27.10653
4.5,0000 1 Jun 1998,24.25238,19.70811,22.78541,26.84765
5.5,0000 1 Jun 1998,24.11144,19.95416,22.62582,26.70002
6.5,0000 1 Jun 1998,23.8372,20.61296,22.50908,26.49092
7.5,0000 1 Jun 1998,23.52837,21.60245,22.61742,26.18852
1.5,0000 1 Jul 1998,24.726,21.3149,23.76261,27.28472
2.5,0000 1 Jul 1998,24.40445,20.35443,23.32045,26.94531
3.5,0000 1 Jul 1998,24.34786,20.09988,23.12605,26.786
4.5,0000 1 Jul 1998,24.2315,20.23438,22.88976,26.71826
5.5,0000 1 Jul 1998,23.96252,20.83306,22.65751,26.57401
6.5,0000 1 Jul 1998,23.71072,21.75132,22.645,26.36279
7.5,0000 1 Jul 1998,23.77465,22.84078,23.11562,26.20929
1.5,0000 1 Aug 1998,24.66489,21.00229,23.73433,26.98737
2.5,0000 1 Aug 1998,24.74057,20.46372,23.58731,27.03774
3.5,0000 1 Aug 1998,24.82864,20.46818,23.43443,27.11894
4.5,0000 1 Aug 1998,24.65099,21.12032,23.34214,26.97507
5.5,0000 1 Aug 1998,24.24736,22.14344,23.27652,26.64618
6.5,0000 1 Aug 1998,24.10071,23.14884,23.4569,26.41807
7.5,0000 1 Aug 1998,24.42457,23.2497,23.8103,26.47121
1.5,0000 1 Sep 1998,24.3414,20.49931,23.26717,26.86105
2.5,0000 1 Sep 1998,24.21151,20.54454,23.10206,26.6923
3.5,0000 1 Sep 1998,24.14754,21.19565,23.05607,26.58946
4.5,0000 1 Sep 1998,23.95412,22.38564,23.13486,26.38203
5.5,0000 1 Sep 1998,23.98614,23.57121,23.58223,26.20452
6.5,0000 1 Sep 1998,24.52188,23.70484,24.22945,26.29416
7.5,0000 1 Sep 1998,25.21443,22.74419,24.70703,26.62574
1.5,0000 1 Oct 1998,24.56842,20.64561,23.30244,26.87225
2.5,0000 1 Oct 1998,24.19091,21.04548,22.98731,26.68239
3.5,0000 1 Oct 1998,23.82734,22.02214,22.88651,26.39112
4.5,0000 1 Oct 1998,23.67495,23.03314,23.13562,26.13757
5.5,0000 1 Oct 1998,23.98495,23.14926,23.52852,26.1718
6.5,0000 1 Oct 1998,24.51552,22.20221,23.79878,26.51762
7.5,0000 1 Oct 1998,24.93092,20.79778,23.79011,26.8826
1.5,0000 1 Nov 1998,24.34921,22.13554,23.49081,26.54002
2.5,0000 1 Nov 1998,23.96309,23.02646,23.26621,26.38359
3.5,0000 1 Nov 1998,24.03939,24.27457,23.59786,26.40724
4.5,0000 1 Nov 1998,24.63851,24.5955,24.3296,26.60804
5.5,0000 1 Nov 1998,25.39797,23.72754,24.95733,26.96249
6.5,0000 1 Nov 1998,25.88895,22.19348,25.0741,27.34102
7.5,0000 1 Nov 1998,26.05707,21.05334,24.85804,27.62966
1.5,0000 1 Dec 1998,23.97641,23.09574,23.14391,26.57671
2.5,0000 1 Dec 1998,24.0308,23.98096,23.51928,26.41177
3.5,0000 1 Dec 1998,24.62284,24.05864,24.24564,26.46972
4.5,0000 1 Dec 1998,25.37487,23.06578,24.75862,26.85496
5.5,0000 1 Dec 1998,25.91931,21.64023,24.9084,27.27859
6.5,0000 1 Dec 1998,26.06919,20.5652,24.73873,27.5734
7.5,0000 1 Dec 1998,26.08536,20.11615,24.62444,27.75083
1.5,0000 1 Jan 1999,24.64239,25.17716,24.42344,26.4425
2.5,0000 1 Jan 1999,25.03396,25.23574,24.94994,26.61632
3.5,0000 1 Jan 1999,25.62001,24.14482,25.25526,27.06229
4.5,0000 1 Jan 1999,26.10627,22.23607,25.23659,27.55474
5.5,0000 1 Jan 1999,26.28123,20.69958,24.80024,27.87937
6.5,0000 1 Jan 1999,26.22816,19.94535,24.47634,28.06769
7.5,0000 1 Jan 1999,26.20824,19.72702,24.37273,28.1806
1.5,0000 1 Feb 1999,25.69156,25.99788,25.5007,26.91661
2.5,0000 1 Feb 1999,26.07924,24.60517,25.4835,27.44993
3.5,0000 1 Feb 1999,26.30436,22.44631,25.1366,27.87524
4.5,0000 1 Feb 1999,26.27127,20.54602,24.57187,28.10263
5.5,0000 1 Feb 1999,26.04792,19.57132,24.02573,28.11034
6.5,0000 1 Feb 1999,25.84619,19.16268,23.72292,28.06036
7.5,0000 1 Feb 1999,25.88958,19.11204,23.75623,28.14418
1.5,0000 1 Mar 1999,26.30391,25.81758,26.11255,27.31324
2.5,0000 1 Mar 1999,26.43097,23.65644,25.66008,27.75602
3.5,0000 1 Mar 1999,26.39357,21.35677,24.9262,28.02662
4.5,0000 1 Mar 1999,26.14517,19.96945,24.21614,28.08819
5.5,0000 1 Mar 1999,25.86821,19.21727,23.71996,28.07257
6.5,0000 1 Mar 1999,25.73677,19.09984,23.56246,28.05987
7.5,0000 1 Mar 1999,25.74007,19.32695,23.59541,28.10829
1.5,0000 1 Apr 1999,27.02858,23.57438,26.33146,27.9024
2.5,0000 1 Apr 1999,26.73987,21.6404,25.35803,28.12372
3.5,0000 1 Apr 1999,26.22117,20.14676,24.35342,28.12814
4.5,0000 1 Apr 1999,25.76913,19.35391,23.6877,28.0142
5.5,0000 1 Apr 1999,25.44826,19.10253,23.30923,27.87982
6.5,0000 1 Apr 1999,25.28744,19.28379,23.17741,27.8079
7.5,0000 1 Apr 1999,25.12085,19.86053,23.15522,27.70082
1.5,0000 1 May 1999,26.85697,21.5689,25.64887,27.93033
2.5,0000 1 May 1999,26.23879,20.15594,24.58641,27.88424
3.5,0000 1 May 1999,25.46271,19.17038,23.53682,27.64923
4.5,0000 1 May 1999,24.88671,18.78324,22.80441,27.45053
5.5,0000 1 May 1999,24.62376,18.89627,22.49655,27.30635
6.5,0000 1 May 1999,24.51956,19.46152,22.51023,27.22298
7.5,0000 1 May 1999,24.23615,20.42102,22.58214,27.00022
1.5,0000 1 Jun 1999,26.52258,20.58085,24.90163,28.1143
2.5,0000 1 Jun 1999,26.14044,19.63869,24.24082,28.04898
3.5,0000 1 Jun 1999,25.79767,19.3344,23.77141,27.92606
4.5,0000 1 Jun 1999,25.5193,19.47466,23.49441,27.80447
5.5,0000 1 Jun 1999,25.28623,19.99986,23.37957,27.64154
6.5,0000 1 Jun 1999,24.98439,20.72224,23.36427,27.37798
7.5,0000 1 Jun 1999,24.74993,21.85944,23.55316,27.08781
1.5,0000 1 Jul 1999,25.58351,19.75039,23.8882,27.49955
2.5,0000 1 Jul 1999,25.02953,19.22283,23.18512,27.24204
3.5,0000 1 Jul 1999,24.77652,19.28667,22.88184,27.11436
4.5,0000 1 Jul 1999,24.66908,19.72466,22.77385,27.09689
5.5,0000 1 Jul 1999,24.46126,20.59027,22.83712,26.98821
6.5,0000 1 Jul 1999,24.22348,21.70563,23.01543,26.81266
7.5,0000 1 Jul 1999,24.3092,22.74665,23.50415,26.72044
1.5,0000 1 Aug 1999,24.81647,19.53823,23.03336,27.24253
2.5,0000 1 Aug 1999,24.57445,19.45192,22.79558,27.05581
3.5,0000 1 Aug 1999,24.43667,19.86069,22.75565,26.86012
4.5,0000 1 Aug 1999,24.1683,20.73449,22.82845,26.56681
5.5,0000 1 Aug 1999,23.94045,21.84234,23.00045,26.3077
6.5,0000 1 Aug 1999,24.01613,22.78772,23.38886,26.26546
7.5,0000 1 Aug 1999,24.43094,22.81776,23.85246,26.4826
1.5,0000 1 Sep 1999,24.50916,20.04561,22.98831,26.93323
2.5,0000 1 Sep 1999,24.2485,20.30411,22.77665,26.76112
3.5,0000 1 Sep 1999,24.09795,21.06157,22.75295,26.65223
4.5,0000 1 Sep 1999,24.0842,22.32962,23.05567,26.54886
5.5,0000 1 Sep 1999,24.22088,23.59678,23.50982,26.55295
6.5,0000 1 Sep 1999,24.64138,24.01096,24.06682,26.74293
7.5,0000 1 Sep 1999,25.28221,23.28813,24.62943,27.05601
1.5,0000 1 Oct 1999,24.52979,20.47241,23.00533,27.00057
2.5,0000 1 Oct 1999,23.93469,21.1702,22.64778,26.63561
3.5,0000 1 Oct 1999,23.57811,22.35969,22.6168,26.29346
4.5,0000 1 Oct 1999,23.5305,23.54256,22.89686,26.08642
5.5,0000 1 Oct 1999,23.89996,23.71306,23.38844,26.12032
6.5,0000 1 Oct 1999,24.4909,22.65189,23.74599,26.4598
7.5,0000 1 Oct 1999,25.05431,21.07333,24.03127,26.85506
1.5,0000 1 Nov 1999,24.3831,21.66122,23.17889,26.87556
2.5,0000 1 Nov 1999,23.92504,22.79617,23.02788,26.53743
3.5,0000 1 Nov 1999,23.90854,23.94395,23.25579,26.43732
4.5,0000 1 Nov 1999,24.42022,24.12895,23.74919,26.65399
5.5,0000 1 Nov 1999,25.22782,23.37016,24.46194,27.02042
6.5,0000 1 Nov 1999,25.838,22.07172,24.88589,27.34317
7.5,0000 1 Nov 1999,26.09638,21.15458,24.98688,27.56158
1.5,0000 1 Dec 1999,24.0734,23.41859,23.28666,26.58153
2.5,0000 1 Dec 1999,24.11264,24.70297,23.62187,26.44988
3.5,0000 1 Dec 1999,24.62047,25.07066,24.24927,26.58954
4.5,0000 1 Dec 1999,25.40702,24.02578,24.87815,26.90897
5.5,0000 1 Dec 1999,25.9425,22.34018,25.10559,27.25653
6.5,0000 1 Dec 1999,26.16635,20.95813,24.94855,27.53484
7.5,0000 1 Dec 1999,26.26998,20.29192,24.80067,27.75446
1.5,0000 1 Jan 2000,24.69734,24.96902,24.08972,26.78746
2.5,0000 1 Jan 2000,25.00732,25.10399,24.43077,26.97463
3.5,0000 1 Jan 2000,25.51939,23.81523,24.71388,27.26888
4.5,0000 1 Jan 2000,26.01085,22.01231,24.98646,27.52053
5.5,0000 1 Jan 2000,26.28006,20.4796,24.8692,27.695
6.5,0000 1 Jan 2000,26.33363,19.82279,24.61801,27.90661
7.5,0000 1 Jan 2000,26.44219,19.55863,24.52207,28.21096
1.5,0000 1 Feb 2000,25.40243,26.20526,25.25774,26.91517
2.5,0000 1 Feb 2000,25.96469,24.86286,25.66973,27.28084
3.5,0000 1 Feb 2000,26.49853,23.02581,25.86221,27.74211
4.5,0000 1 Feb 2000,26.81086,21.43738,25.71906,28.10575
5.5,0000 1 Feb 2000,26.89956,20.67789,25.41065,28.38903
6.5,0000 1 Feb 2000,26.89324,20.22327,25.14507,28.64386
7.5,0000 1 Feb 2000,27.01472,20.14099,25.15452,28.923
1.5,0000 1 Mar 2000,26.43084,26.03936,26.45733,27.42245
