SZN,LDC_SST_GEM52_NEMO
JFM,24.446863000000025
FMA,24.742858000000023
MAM,24.841748571428592
AMJ,24.64432000000002
MJJ,24.76988600000002
JJA,24.334515000000025
JAS,24.063874444444465
ASO,23.91167888888891
SON,24.03003900000002
OND,24.096855000000023
NDJ,24.14520416666669
DJF,24.202943000000023
