SZN,LDC_SST_NCEP_CFSv2
JFM,27.033982098765435
FMA,27.462867959183676
MAM,27.964258561151077
AMJ,28.261824941860464
MJJ,27.964308749999997
JJA,27.18042402777778
JAS,26.51228725
ASO,26.146413749999997
SON,25.969938374999998
OND,26.2527240625
NDJ,26.5500875
DJF,26.724303333333335
