L,MON,SZN,TAR,LDC_SST_GEM5_NEMO,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,23.121500000000026,26.396666666666665,-3.275166666666639,3.275166666666639
9.5,1994-11-01,JAS,1995-08-15,23.415900000000022,26.396666666666665,-2.980766666666643,2.980766666666643
8.5,1994-12-01,JAS,1995-08-15,23.45160000000004,26.396666666666665,-2.945066666666623,2.945066666666623
7.5,1995-01-01,JAS,1995-08-15,23.4581,26.396666666666665,-2.938566666666663,2.938566666666663
6.5,1995-02-01,JAS,1995-08-15,23.68530000000004,26.396666666666665,-2.711366666666624,2.711366666666624
5.5,1995-03-01,JAS,1995-08-15,24.10850000000005,26.396666666666665,-2.2881666666666156,2.2881666666666156
4.5,1995-04-01,JAS,1995-08-15,24.11220000000003,26.396666666666665,-2.284466666666635,2.284466666666635
3.5,1995-05-01,JAS,1995-08-15,24.45980000000003,26.396666666666665,-1.936866666666635,1.936866666666635
2.5,1995-06-01,JAS,1995-08-15,24.817000000000007,26.396666666666665,-1.5796666666666574,1.5796666666666574
1.5,1995-07-01,JAS,1995-08-15,25.209400000000016,26.396666666666665,-1.1872666666666483,1.1872666666666483
10.5,1997-09-01,JJA,1998-07-15,23.72660000000002,26.403333333333336,-2.676733333333317,2.676733333333317
9.5,1997-10-01,JJA,1998-07-15,23.823500000000024,26.403333333333336,-2.579833333333312,2.579833333333312
8.5,1997-11-01,JJA,1998-07-15,24.0967,26.403333333333336,-2.3066333333333375,2.3066333333333375
7.5,1997-12-01,JJA,1998-07-15,24.270399999999995,26.403333333333336,-2.132933333333341,2.132933333333341
6.5,1998-01-01,JJA,1998-07-15,24.703200000000038,26.403333333333336,-1.700133333333298,1.700133333333298
5.5,1998-02-01,JJA,1998-07-15,24.40790000000004,26.403333333333336,-1.9954333333332954,1.9954333333332954
4.5,1998-03-01,JJA,1998-07-15,24.523900000000026,26.403333333333336,-1.87943333333331,1.87943333333331
3.5,1998-04-01,JJA,1998-07-15,24.47380000000004,26.403333333333336,-1.9295333333332962,1.9295333333332962
2.5,1998-05-01,JJA,1998-07-15,24.650400000000047,26.403333333333336,-1.7529333333332886,1.7529333333332886
1.5,1998-06-01,JJA,1998-07-15,24.4529,26.403333333333336,-1.9504333333333363,1.9504333333333363
10.5,2005-01-01,OND,2005-11-15,23.506500000000017,26.146666666666665,-2.640166666666648,2.640166666666648
9.5,2005-02-01,OND,2005-11-15,23.654300000000035,26.146666666666665,-2.49236666666663,2.49236666666663
8.5,2005-03-01,OND,2005-11-15,23.923699999999997,26.146666666666665,-2.222966666666668,2.222966666666668
7.5,2005-04-01,OND,2005-11-15,24.141500000000008,26.146666666666665,-2.005166666666657,2.005166666666657
6.5,2005-05-01,OND,2005-11-15,24.583600000000047,26.146666666666665,-1.563066666666618,1.563066666666618
5.5,2005-06-01,OND,2005-11-15,25.09910000000002,26.146666666666665,-1.0475666666666434,1.0475666666666434
4.5,2005-07-01,OND,2005-11-15,25.111400000000003,26.146666666666665,-1.0352666666666615,1.0352666666666615
3.5,2005-08-01,OND,2005-11-15,25.467900000000043,26.146666666666665,-0.6787666666666219,0.6787666666666219
2.5,2005-09-01,OND,2005-11-15,25.058100000000024,26.146666666666665,-1.0885666666666403,1.0885666666666403
