SZN,LDC_SST_GEM52_NEMO
JFM,25.289296039603983
FMA,25.64511229508199
MAM,25.790105780346842
AMJ,25.790800467289742
MJJ,25.359598947368447
JJA,25.005994444444468
JAS,24.733569333333353
ASO,24.62695250000002
SON,24.537164000000026
OND,24.695077500000018
NDJ,24.84025750000002
DJF,25.002274444444467
