SZN,LDC_SST_COLA_CESM1
JFM,25.208398000000003
FMA,25.809912599999997
MAM,26.33109442857143
AMJ,26.68412225
MJJ,27.093942600000002
JJA,26.1366555
JAS,25.174553222222222
ASO,24.367562999999997
SON,24.2221983
OND,24.393062750000002
NDJ,24.574924333333335
DJF,24.806986600000002
