L,MON,LDC_SST_NASA_GMAO_062012
3.5,0000 1 Jul 1993,25.19692
4.5,0000 1 Jul 1993,24.98528
5.5,0000 1 Jul 1993,24.61859
6.5,0000 1 Jul 1993,24.32448
7.5,0000 1 Jul 1993,24.40171
1.5,0000 1 Aug 1993,25.44817
2.5,0000 1 Aug 1993,25.04399
3.5,0000 1 Aug 1993,24.78734
4.5,0000 1 Aug 1993,24.46218
5.5,0000 1 Aug 1993,24.22574
6.5,0000 1 Aug 1993,24.37009
7.5,0000 1 Aug 1993,24.93884
1.5,0000 1 Sep 1993,25.85001
2.5,0000 1 Sep 1993,25.4938
3.5,0000 1 Sep 1993,25.1028
4.5,0000 1 Sep 1993,24.7584
5.5,0000 1 Sep 1993,24.74506
6.5,0000 1 Sep 1993,25.11392
7.5,0000 1 Sep 1993,25.66557
1.5,0000 1 Oct 1993,26.22041
2.5,0000 1 Oct 1993,25.73451
3.5,0000 1 Oct 1993,25.27452
4.5,0000 1 Oct 1993,25.09834
5.5,0000 1 Oct 1993,25.38124
6.5,0000 1 Oct 1993,25.9034
7.5,0000 1 Oct 1993,26.24769
1.5,0000 1 Nov 1993,26.28106
2.5,0000 1 Nov 1993,25.84727
3.5,0000 1 Nov 1993,25.64679
4.5,0000 1 Nov 1993,25.82139
5.5,0000 1 Nov 1993,26.1879
6.5,0000 1 Nov 1993,26.42169
7.5,0000 1 Nov 1993,26.26392
1.5,0000 1 Dec 1993,26.02913
2.5,0000 1 Dec 1993,25.72423
3.5,0000 1 Dec 1993,25.85599
4.5,0000 1 Dec 1993,26.22762
5.5,0000 1 Dec 1993,26.49641
6.5,0000 1 Dec 1993,26.3585
7.5,0000 1 Dec 1993,25.79615
1.5,0000 1 Jan 1994,26.23884
2.5,0000 1 Jan 1994,26.43216
3.5,0000 1 Jan 1994,26.78638
4.5,0000 1 Jan 1994,26.98484
5.5,0000 1 Jan 1994,26.78182
6.5,0000 1 Jan 1994,26.17337
7.5,0000 1 Jan 1994,25.47369
1.5,0000 1 Feb 1994,26.69661
2.5,0000 1 Feb 1994,27.01676
3.5,0000 1 Feb 1994,27.16909
4.5,0000 1 Feb 1994,26.91399
5.5,0000 1 Feb 1994,26.1679
6.5,0000 1 Feb 1994,25.28281
7.5,0000 1 Feb 1994,24.70079
1.5,0000 1 Mar 1994,27.04287
2.5,0000 1 Mar 1994,27.15648
3.5,0000 1 Mar 1994,26.96765
4.5,0000 1 Mar 1994,26.42527
5.5,0000 1 Mar 1994,25.8038
6.5,0000 1 Mar 1994,25.38596
7.5,0000 1 Mar 1994,25.21848
1.5,0000 1 Apr 1994,27.57966
2.5,0000 1 Apr 1994,27.36696
3.5,0000 1 Apr 1994,26.78571
4.5,0000 1 Apr 1994,26.05934
5.5,0000 1 Apr 1994,25.58557
6.5,0000 1 Apr 1994,25.376
7.5,0000 1 Apr 1994,25.2311
1.5,0000 1 May 1994,27.0868
2.5,0000 1 May 1994,26.38055
3.5,0000 1 May 1994,25.67515
4.5,0000 1 May 1994,25.28392
5.5,0000 1 May 1994,25.16085
6.5,0000 1 May 1994,25.06764
7.5,0000 1 May 1994,24.84534
1.5,0000 1 Jun 1994,26.71755
2.5,0000 1 Jun 1994,25.96986
3.5,0000 1 Jun 1994,25.50101
4.5,0000 1 Jun 1994,25.32292
5.5,0000 1 Jun 1994,25.20374
6.5,0000 1 Jun 1994,24.98593
7.5,0000 1 Jun 1994,24.81686
1.5,0000 1 Jul 1994,25.80825
2.5,0000 1 Jul 1994,25.31314
3.5,0000 1 Jul 1994,25.21021
4.5,0000 1 Jul 1994,25.17816
5.5,0000 1 Jul 1994,25.01398
6.5,0000 1 Jul 1994,24.82696
7.5,0000 1 Jul 1994,24.93312
1.5,0000 1 Aug 1994,25.64041
2.5,0000 1 Aug 1994,25.30265
3.5,0000 1 Aug 1994,25.16756
4.5,0000 1 Aug 1994,25.02504
5.5,0000 1 Aug 1994,24.90127
6.5,0000 1 Aug 1994,25.02792
7.5,0000 1 Aug 1994,25.4575
1.5,0000 1 Sep 1994,26.10751
2.5,0000 1 Sep 1994,25.88539
3.5,0000 1 Sep 1994,25.69506
4.5,0000 1 Sep 1994,25.46669
5.5,0000 1 Sep 1994,25.45021
6.5,0000 1 Sep 1994,25.7998
7.5,0000 1 Sep 1994,26.30008
1.5,0000 1 Oct 1994,26.82886
2.5,0000 1 Oct 1994,26.66263
3.5,0000 1 Oct 1994,26.47702
4.5,0000 1 Oct 1994,26.44715
5.5,0000 1 Oct 1994,26.67841
6.5,0000 1 Oct 1994,27.02941
7.5,0000 1 Oct 1994,27.20718
1.5,0000 1 Nov 1994,27.37202
2.5,0000 1 Nov 1994,27.20385
3.5,0000 1 Nov 1994,27.18702
4.5,0000 1 Nov 1994,27.40378
5.5,0000 1 Nov 1994,27.72655
6.5,0000 1 Nov 1994,27.82354
7.5,0000 1 Nov 1994,27.44725
1.5,0000 1 Dec 1994,27.41745
2.5,0000 1 Dec 1994,27.30779
3.5,0000 1 Dec 1994,27.47156
4.5,0000 1 Dec 1994,27.72046
5.5,0000 1 Dec 1994,27.80155
6.5,0000 1 Dec 1994,27.43111
7.5,0000 1 Dec 1994,26.6091
1.5,0000 1 Jan 1995,26.97368
2.5,0000 1 Jan 1995,27.08666
3.5,0000 1 Jan 1995,27.26986
4.5,0000 1 Jan 1995,27.22361
5.5,0000 1 Jan 1995,26.73955
6.5,0000 1 Jan 1995,25.87706
7.5,0000 1 Jan 1995,25.02398
1.5,0000 1 Feb 1995,27.4821
2.5,0000 1 Feb 1995,27.64462
3.5,0000 1 Feb 1995,27.53113
4.5,0000 1 Feb 1995,26.8822
5.5,0000 1 Feb 1995,25.80105
6.5,0000 1 Feb 1995,24.75322
7.5,0000 1 Feb 1995,24.05088
1.5,0000 1 Mar 1995,27.60556
2.5,0000 1 Mar 1995,27.62893
3.5,0000 1 Mar 1995,27.22072
4.5,0000 1 Mar 1995,26.3657
5.5,0000 1 Mar 1995,25.44791
6.5,0000 1 Mar 1995,24.86283
7.5,0000 1 Mar 1995,24.59408
1.5,0000 1 Apr 1995,27.50364
2.5,0000 1 Apr 1995,27.02932
3.5,0000 1 Apr 1995,26.1154
4.5,0000 1 Apr 1995,25.18473
5.5,0000 1 Apr 1995,24.57612
6.5,0000 1 Apr 1995,24.3087
7.5,0000 1 Apr 1995,24.15734
1.5,0000 1 May 1995,26.58454
2.5,0000 1 May 1995,25.682
3.5,0000 1 May 1995,24.90038
4.5,0000 1 May 1995,24.41537
5.5,0000 1 May 1995,24.21898
6.5,0000 1 May 1995,24.1207
7.5,0000 1 May 1995,24.05384
1.5,0000 1 Jun 1995,26.15398
2.5,0000 1 Jun 1995,25.36783
3.5,0000 1 Jun 1995,24.84178
4.5,0000 1 Jun 1995,24.60102
5.5,0000 1 Jun 1995,24.47162
6.5,0000 1 Jun 1995,24.31429
7.5,0000 1 Jun 1995,24.23836
1.5,0000 1 Jul 1995,25.41354
2.5,0000 1 Jul 1995,24.78413
3.5,0000 1 Jul 1995,24.54182
4.5,0000 1 Jul 1995,24.43388
5.5,0000 1 Jul 1995,24.27913
6.5,0000 1 Jul 1995,24.20666
7.5,0000 1 Jul 1995,24.44693
1.5,0000 1 Aug 1995,24.94804
2.5,0000 1 Aug 1995,24.57697
3.5,0000 1 Aug 1995,24.48553
4.5,0000 1 Aug 1995,24.39022
5.5,0000 1 Aug 1995,24.36938
6.5,0000 1 Aug 1995,24.61317
7.5,0000 1 Aug 1995,25.15522
1.5,0000 1 Sep 1995,24.58817
2.5,0000 1 Sep 1995,24.34127
3.5,0000 1 Sep 1995,24.22229
4.5,0000 1 Sep 1995,24.14762
5.5,0000 1 Sep 1995,24.34307
6.5,0000 1 Sep 1995,24.94335
7.5,0000 1 Sep 1995,25.67697
1.5,0000 1 Oct 1995,24.70851
2.5,0000 1 Oct 1995,24.48793
3.5,0000 1 Oct 1995,24.32308
4.5,0000 1 Oct 1995,24.44946
5.5,0000 1 Oct 1995,24.99446
6.5,0000 1 Oct 1995,25.71592
7.5,0000 1 Oct 1995,26.25301
1.5,0000 1 Nov 1995,24.90837
2.5,0000 1 Nov 1995,24.53847
3.5,0000 1 Nov 1995,24.43453
4.5,0000 1 Nov 1995,24.82673
5.5,0000 1 Nov 1995,25.51262
6.5,0000 1 Nov 1995,26.0793
7.5,0000 1 Nov 1995,26.27456
1.5,0000 1 Dec 1995,25.00746
2.5,0000 1 Dec 1995,25.03666
3.5,0000 1 Dec 1995,25.45664
4.5,0000 1 Dec 1995,26.06815
5.5,0000 1 Dec 1995,26.53494
6.5,0000 1 Dec 1995,26.69148
7.5,0000 1 Dec 1995,26.54071
1.5,0000 1 Jan 1996,26.43501
2.5,0000 1 Jan 1996,26.75603
3.5,0000 1 Jan 1996,27.14532
4.5,0000 1 Jan 1996,27.37433
5.5,0000 1 Jan 1996,27.20819
6.5,0000 1 Jan 1996,26.69032
7.5,0000 1 Jan 1996,26.03343
1.5,0000 1 Feb 1996,26.26263
2.5,0000 1 Feb 1996,26.69599
3.5,0000 1 Feb 1996,27.01047
4.5,0000 1 Feb 1996,26.96841
5.5,0000 1 Feb 1996,26.52816
6.5,0000 1 Feb 1996,25.92399
7.5,0000 1 Feb 1996,25.43689
1.5,0000 1 Mar 1996,27.08006
2.5,0000 1 Mar 1996,27.42264
3.5,0000 1 Mar 1996,27.414
4.5,0000 1 Mar 1996,27.05299
5.5,0000 1 Mar 1996,26.50476
6.5,0000 1 Mar 1996,26.09981
7.5,0000 1 Mar 1996,25.88896
1.5,0000 1 Apr 1996,27.29143
2.5,0000 1 Apr 1996,27.21297
3.5,0000 1 Apr 1996,26.73292
4.5,0000 1 Apr 1996,26.04895
5.5,0000 1 Apr 1996,25.53298
6.5,0000 1 Apr 1996,25.27941
7.5,0000 1 Apr 1996,25.13055
1.5,0000 1 May 1996,26.82801
2.5,0000 1 May 1996,26.18079
3.5,0000 1 May 1996,25.4023
4.5,0000 1 May 1996,24.8094
5.5,0000 1 May 1996,24.4843
6.5,0000 1 May 1996,24.33372
7.5,0000 1 May 1996,24.21848
1.5,0000 1 Jun 1996,26.08852
2.5,0000 1 Jun 1996,25.31245
3.5,0000 1 Jun 1996,24.69473
4.5,0000 1 Jun 1996,24.34504
5.5,0000 1 Jun 1996,24.2087
6.5,0000 1 Jun 1996,24.18073
7.5,0000 1 Jun 1996,24.25691
1.5,0000 1 Jul 1996,25.49578
2.5,0000 1 Jul 1996,24.83019
3.5,0000 1 Jul 1996,24.53377
4.5,0000 1 Jul 1996,24.46615
5.5,0000 1 Jul 1996,24.3807
6.5,0000 1 Jul 1996,24.3679
7.5,0000 1 Jul 1996,24.63639
1.5,0000 1 Aug 1996,25.05532
2.5,0000 1 Aug 1996,24.65299
3.5,0000 1 Aug 1996,24.51412
4.5,0000 1 Aug 1996,24.38947
5.5,0000 1 Aug 1996,24.3563
6.5,0000 1 Aug 1996,24.57472
7.5,0000 1 Aug 1996,25.12181
1.5,0000 1 Sep 1996,25.33884
2.5,0000 1 Sep 1996,25.16046
3.5,0000 1 Sep 1996,25.07598
4.5,0000 1 Sep 1996,24.97614
5.5,0000 1 Sep 1996,25.11803
6.5,0000 1 Sep 1996,25.59725
7.5,0000 1 Sep 1996,26.22021
1.5,0000 1 Oct 1996,25.66865
2.5,0000 1 Oct 1996,25.48634
3.5,0000 1 Oct 1996,25.38568
4.5,0000 1 Oct 1996,25.47935
5.5,0000 1 Oct 1996,25.88523
6.5,0000 1 Oct 1996,26.44157
7.5,0000 1 Oct 1996,26.92697
1.5,0000 1 Nov 1996,25.62056
2.5,0000 1 Nov 1996,25.34183
3.5,0000 1 Nov 1996,25.32603
4.5,0000 1 Nov 1996,25.7108
5.5,0000 1 Nov 1996,26.30914
6.5,0000 1 Nov 1996,26.8168
7.5,0000 1 Nov 1996,27.02793
1.5,0000 1 Dec 1996,25.64807
2.5,0000 1 Dec 1996,25.55186
3.5,0000 1 Dec 1996,25.81214
4.5,0000 1 Dec 1996,26.31394
5.5,0000 1 Dec 1996,26.77022
6.5,0000 1 Dec 1996,26.9434
7.5,0000 1 Dec 1996,26.82027
1.5,0000 1 Jan 1997,25.88713
2.5,0000 1 Jan 1997,26.30311
3.5,0000 1 Jan 1997,26.82827
4.5,0000 1 Jan 1997,27.25118
5.5,0000 1 Jan 1997,27.38166
6.5,0000 1 Jan 1997,27.16808
7.5,0000 1 Jan 1997,26.75774
1.5,0000 1 Feb 1997,26.70195
2.5,0000 1 Feb 1997,27.2262
3.5,0000 1 Feb 1997,27.66126
4.5,0000 1 Feb 1997,27.84064
5.5,0000 1 Feb 1997,27.73493
6.5,0000 1 Feb 1997,27.49288
7.5,0000 1 Feb 1997,27.32605
1.5,0000 1 Mar 1997,27.42447
2.5,0000 1 Mar 1997,27.91562
3.5,0000 1 Mar 1997,28.13823
4.5,0000 1 Mar 1997,28.03955
5.5,0000 1 Mar 1997,27.75187
6.5,0000 1 Mar 1997,27.52757
7.5,0000 1 Mar 1997,27.46846
1.5,0000 1 Apr 1997,28.20856
2.5,0000 1 Apr 1997,28.4384
3.5,0000 1 Apr 1997,28.41608
4.5,0000 1 Apr 1997,28.23014
5.5,0000 1 Apr 1997,28.11105
6.5,0000 1 Apr 1997,28.15192
7.5,0000 1 Apr 1997,28.27465
1.5,0000 1 May 1997,28.39675
2.5,0000 1 May 1997,28.38943
3.5,0000 1 May 1997,28.28887
4.5,0000 1 May 1997,28.22489
5.5,0000 1 May 1997,28.29678
6.5,0000 1 May 1997,28.43002
7.5,0000 1 May 1997,28.46043
1.5,0000 1 Jun 1997,28.69162
2.5,0000 1 Jun 1997,28.61743
3.5,0000 1 Jun 1997,28.55691
4.5,0000 1 Jun 1997,28.69481
5.5,0000 1 Jun 1997,28.94453
6.5,0000 1 Jun 1997,29.10283
7.5,0000 1 Jun 1997,29.04143
1.5,0000 1 Jul 1997,28.58547
2.5,0000 1 Jul 1997,28.51386
3.5,0000 1 Jul 1997,28.56383
4.5,0000 1 Jul 1997,28.72817
5.5,0000 1 Jul 1997,28.83595
6.5,0000 1 Jul 1997,28.82547
7.5,0000 1 Jul 1997,28.79612
1.5,0000 1 Aug 1997,28.385
2.5,0000 1 Aug 1997,28.54509
3.5,0000 1 Aug 1997,28.80648
4.5,0000 1 Aug 1997,28.93579
5.5,0000 1 Aug 1997,28.90894
6.5,0000 1 Aug 1997,28.85309
7.5,0000 1 Aug 1997,28.81375
1.5,0000 1 Sep 1997,29.00338
2.5,0000 1 Sep 1997,29.21779
3.5,0000 1 Sep 1997,29.26669
4.5,0000 1 Sep 1997,29.16341
5.5,0000 1 Sep 1997,29.02237
6.5,0000 1 Sep 1997,28.90271
7.5,0000 1 Sep 1997,28.77337
1.5,0000 1 Oct 1997,29.32904
2.5,0000 1 Oct 1997,29.39413
3.5,0000 1 Oct 1997,29.26428
4.5,0000 1 Oct 1997,29.04097
5.5,0000 1 Oct 1997,28.85443
6.5,0000 1 Oct 1997,28.68057
7.5,0000 1 Oct 1997,28.19115
1.5,0000 1 Nov 1997,29.29562
2.5,0000 1 Nov 1997,29.18595
3.5,0000 1 Nov 1997,28.92878
4.5,0000 1 Nov 1997,28.70423
5.5,0000 1 Nov 1997,28.47321
6.5,0000 1 Nov 1997,27.99286
7.5,0000 1 Nov 1997,27.10867
1.5,0000 1 Dec 1997,29.25995
2.5,0000 1 Dec 1997,29.2382
3.5,0000 1 Dec 1997,29.15102
4.5,0000 1 Dec 1997,28.98226
5.5,0000 1 Dec 1997,28.42263
6.5,0000 1 Dec 1997,27.42038
7.5,0000 1 Dec 1997,26.08612
1.5,0000 1 Jan 1998,27.86751
2.5,0000 1 Jan 1998,27.9143
3.5,0000 1 Jan 1998,27.91017
4.5,0000 1 Jan 1998,27.60306
5.5,0000 1 Jan 1998,26.97333
6.5,0000 1 Jan 1998,26.10847
7.5,0000 1 Jan 1998,25.3885
1.5,0000 1 Feb 1998,28.95971
2.5,0000 1 Feb 1998,28.76326
3.5,0000 1 Feb 1998,28.11548
4.5,0000 1 Feb 1998,26.91241
5.5,0000 1 Feb 1998,25.41127
6.5,0000 1 Feb 1998,24.19956
7.5,0000 1 Feb 1998,23.56784
1.5,0000 1 Mar 1998,28.86204
2.5,0000 1 Mar 1998,28.416
3.5,0000 1 Mar 1998,27.3758
4.5,0000 1 Mar 1998,25.93529
5.5,0000 1 Mar 1998,24.72073
6.5,0000 1 Mar 1998,24.01768
7.5,0000 1 Mar 1998,23.73302
1.5,0000 1 Apr 1998,28.42183
2.5,0000 1 Apr 1998,27.48642
3.5,0000 1 Apr 1998,26.03754
4.5,0000 1 Apr 1998,24.74077
5.5,0000 1 Apr 1998,23.94081
6.5,0000 1 Apr 1998,23.52077
7.5,0000 1 Apr 1998,23.24791
1.5,0000 1 May 1998,27.17067
2.5,0000 1 May 1998,25.85761
3.5,0000 1 May 1998,24.72308
4.5,0000 1 May 1998,23.9838
5.5,0000 1 May 1998,23.54288
6.5,0000 1 May 1998,23.27509
7.5,0000 1 May 1998,23.05626
1.5,0000 1 Jun 1998,25.12079
2.5,0000 1 Jun 1998,24.22931
3.5,0000 1 Jun 1998,23.80245
4.5,0000 1 Jun 1998,23.62142
5.5,0000 1 Jun 1998,23.53557
6.5,0000 1 Jun 1998,23.44576
7.5,0000 1 Jun 1998,23.5273
1.5,0000 1 Jul 1998,24.05946
2.5,0000 1 Jul 1998,23.60312
3.5,0000 1 Jul 1998,23.52321
4.5,0000 1 Jul 1998,23.51051
5.5,0000 1 Jul 1998,23.45756
6.5,0000 1 Jul 1998,23.58825
7.5,0000 1 Jul 1998,24.0358
1.5,0000 1 Aug 1998,23.96123
2.5,0000 1 Aug 1998,23.77353
3.5,0000 1 Aug 1998,23.77215
4.5,0000 1 Aug 1998,23.73595
5.5,0000 1 Aug 1998,23.90516
6.5,0000 1 Aug 1998,24.417
7.5,0000 1 Aug 1998,25.16736
1.5,0000 1 Sep 1998,24.29423
2.5,0000 1 Sep 1998,23.93341
3.5,0000 1 Sep 1998,23.72826
4.5,0000 1 Sep 1998,23.75968
5.5,0000 1 Sep 1998,24.14128
6.5,0000 1 Sep 1998,24.88729
7.5,0000 1 Sep 1998,25.6945
1.5,0000 1 Oct 1998,24.39129
2.5,0000 1 Oct 1998,24.0374
3.5,0000 1 Oct 1998,23.87858
4.5,0000 1 Oct 1998,24.10334
5.5,0000 1 Oct 1998,24.77203
6.5,0000 1 Oct 1998,25.62777
7.5,0000 1 Oct 1998,26.20474
1.5,0000 1 Nov 1998,24.38363
2.5,0000 1 Nov 1998,24.09831
3.5,0000 1 Nov 1998,24.28859
4.5,0000 1 Nov 1998,24.96754
5.5,0000 1 Nov 1998,25.77796
6.5,0000 1 Nov 1998,26.36835
7.5,0000 1 Nov 1998,26.5266
1.5,0000 1 Dec 1998,24.02653
2.5,0000 1 Dec 1998,24.07579
3.5,0000 1 Dec 1998,24.63275
