SESS_binned,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage
"(-inf, 0.0]",19,21.11111111111111,19,22.35294117647059,37,41.11111111111111,22,25.882352941176475,14,22.22222222222222,13,21.311475409836063,18,25.0,18,26.08695652173913,15,16.666666666666664,14,16.470588235294116,27,30.0,16,18.823529411764707,16,17.77777777777778,17,20.0
"(0.0, 1.0]",71,78.88888888888889,66,77.64705882352942,53,58.88888888888889,63,74.11764705882354,49,77.77777777777779,48,78.68852459016394,54,75.0,51,73.91304347826086,75,83.33333333333334,71,83.52941176470588,63,70.0,69,81.17647058823529,74,82.22222222222221,68,80.0
