M,L,MON,LDC_SST_COLA_CESM1
1,3.5,0000 1 Feb 1991,27.89785
2,3.5,0000 1 Feb 1991,27.59918
3,3.5,0000 1 Feb 1991,27.87516
4,3.5,0000 1 Feb 1991,27.3992
5,3.5,0000 1 Feb 1991,27.59393
6,3.5,0000 1 Feb 1991,27.62351
7,3.5,0000 1 Feb 1991,27.86406
8,3.5,0000 1 Feb 1991,27.77719
9,3.5,0000 1 Feb 1991,28.27044
10,3.5,0000 1 Feb 1991,27.72504
1,4.5,0000 1 Feb 1991,27.56567
2,4.5,0000 1 Feb 1991,27.08475
3,4.5,0000 1 Feb 1991,27.74622
4,4.5,0000 1 Feb 1991,26.90574
5,4.5,0000 1 Feb 1991,27.12199
6,4.5,0000 1 Feb 1991,27.45103
7,4.5,0000 1 Feb 1991,27.60848
8,4.5,0000 1 Feb 1991,27.44608
9,4.5,0000 1 Feb 1991,28.20373
10,4.5,0000 1 Feb 1991,27.28128
1,5.5,0000 1 Feb 1991,26.68039
2,5.5,0000 1 Feb 1991,26.05265
3,5.5,0000 1 Feb 1991,27.14826
4,5.5,0000 1 Feb 1991,26.04326
5,5.5,0000 1 Feb 1991,26.16056
6,5.5,0000 1 Feb 1991,26.87692
7,5.5,0000 1 Feb 1991,26.86373
8,5.5,0000 1 Feb 1991,26.64087
9,5.5,0000 1 Feb 1991,27.67328
10,5.5,0000 1 Feb 1991,26.29567
1,6.5,0000 1 Feb 1991,25.62091
2,6.5,0000 1 Feb 1991,24.71828
3,6.5,0000 1 Feb 1991,26.30721
4,6.5,0000 1 Feb 1991,25.06949
5,6.5,0000 1 Feb 1991,25.08171
6,6.5,0000 1 Feb 1991,26.07837
7,6.5,0000 1 Feb 1991,26.05287
8,6.5,0000 1 Feb 1991,25.63131
9,6.5,0000 1 Feb 1991,26.92349
10,6.5,0000 1 Feb 1991,25.18891
1,7.5,0000 1 Feb 1991,24.82545
2,7.5,0000 1 Feb 1991,23.58607
3,7.5,0000 1 Feb 1991,25.64985
4,7.5,0000 1 Feb 1991,24.48681
5,7.5,0000 1 Feb 1991,24.29247
6,7.5,0000 1 Feb 1991,25.42141
7,7.5,0000 1 Feb 1991,25.59929
8,7.5,0000 1 Feb 1991,24.76993
9,7.5,0000 1 Feb 1991,26.3217
10,7.5,0000 1 Feb 1991,24.60919
1,8.5,0000 1 Feb 1991,24.62392
2,8.5,0000 1 Feb 1991,23.07216
3,8.5,0000 1 Feb 1991,25.43367
4,8.5,0000 1 Feb 1991,24.45374
5,8.5,0000 1 Feb 1991,23.98632
6,8.5,0000 1 Feb 1991,25.28683
7,8.5,0000 1 Feb 1991,25.56521
8,8.5,0000 1 Feb 1991,24.32385
9,8.5,0000 1 Feb 1991,26.21468
10,8.5,0000 1 Feb 1991,24.53868
1,9.5,0000 1 Feb 1991,24.754
2,9.5,0000 1 Feb 1991,23.11346
3,9.5,0000 1 Feb 1991,25.50952
4,9.5,0000 1 Feb 1991,24.69501
5,9.5,0000 1 Feb 1991,23.92011
6,9.5,0000 1 Feb 1991,25.55568
7,9.5,0000 1 Feb 1991,25.66955
8,9.5,0000 1 Feb 1991,24.16168
9,9.5,0000 1 Feb 1991,26.36275
10,9.5,0000 1 Feb 1991,24.71239
1,10.5,0000 1 Feb 1991,25.03044
2,10.5,0000 1 Feb 1991,23.40196
3,10.5,0000 1 Feb 1991,25.66244
4,10.5,0000 1 Feb 1991,24.93882
5,10.5,0000 1 Feb 1991,24.00122
6,10.5,0000 1 Feb 1991,26.01415
7,10.5,0000 1 Feb 1991,25.75089
8,10.5,0000 1 Feb 1991,24.17854
9,10.5,0000 1 Feb 1991,26.57359
10,10.5,0000 1 Feb 1991,24.93745
1,1.5,0000 1 Mar 1991,27.83017
2,1.5,0000 1 Mar 1991,27.85114
3,1.5,0000 1 Mar 1991,27.83579
4,1.5,0000 1 Mar 1991,27.93196
5,1.5,0000 1 Mar 1991,27.79754
6,1.5,0000 1 Mar 1991,27.66661
7,1.5,0000 1 Mar 1991,27.88628
8,1.5,0000 1 Mar 1991,27.8476
9,1.5,0000 1 Mar 1991,27.73148
10,1.5,0000 1 Mar 1991,27.81222
1,2.5,0000 1 Mar 1991,28.11023
2,2.5,0000 1 Mar 1991,28.13806
3,2.5,0000 1 Mar 1991,27.97332
4,2.5,0000 1 Mar 1991,28.20843
5,2.5,0000 1 Mar 1991,28.04137
6,2.5,0000 1 Mar 1991,27.863
7,2.5,0000 1 Mar 1991,28.15835
8,2.5,0000 1 Mar 1991,28.06022
9,2.5,0000 1 Mar 1991,28.00062
10,2.5,0000 1 Mar 1991,28.05393
1,3.5,0000 1 Mar 1991,27.86277
2,3.5,0000 1 Mar 1991,27.99064
3,3.5,0000 1 Mar 1991,27.61247
4,3.5,0000 1 Mar 1991,28.04766
5,3.5,0000 1 Mar 1991,27.80885
6,3.5,0000 1 Mar 1991,27.57988
7,3.5,0000 1 Mar 1991,27.96628
8,3.5,0000 1 Mar 1991,27.73501
9,3.5,0000 1 Mar 1991,27.86646
10,3.5,0000 1 Mar 1991,27.87313
1,4.5,0000 1 Mar 1991,27.13299
2,4.5,0000 1 Mar 1991,27.30794
3,4.5,0000 1 Mar 1991,26.85366
4,4.5,0000 1 Mar 1991,27.57317
