M,L,MON,LDC_SST_COLA_CESM1
2,7.5,0000 1 Jan 2000,25.6707
3,7.5,0000 1 Jan 2000,24.86799
4,7.5,0000 1 Jan 2000,25.76477
5,7.5,0000 1 Jan 2000,25.63657
6,7.5,0000 1 Jan 2000,25.84413
7,7.5,0000 1 Jan 2000,25.14927
8,7.5,0000 1 Jan 2000,24.77993
9,7.5,0000 1 Jan 2000,25.41663
10,7.5,0000 1 Jan 2000,25.25201
1,8.5,0000 1 Jan 2000,24.95749
2,8.5,0000 1 Jan 2000,25.10449
3,8.5,0000 1 Jan 2000,24.07294
4,8.5,0000 1 Jan 2000,25.18945
5,8.5,0000 1 Jan 2000,24.95299
6,8.5,0000 1 Jan 2000,25.20521
7,8.5,0000 1 Jan 2000,24.28791
8,8.5,0000 1 Jan 2000,23.88515
9,8.5,0000 1 Jan 2000,24.57602
10,8.5,0000 1 Jan 2000,24.62855
1,9.5,0000 1 Jan 2000,24.64898
2,9.5,0000 1 Jan 2000,24.81934
3,9.5,0000 1 Jan 2000,23.65971
4,9.5,0000 1 Jan 2000,24.98762
5,9.5,0000 1 Jan 2000,24.61275
6,9.5,0000 1 Jan 2000,24.82527
7,9.5,0000 1 Jan 2000,23.71578
8,9.5,0000 1 Jan 2000,23.37566
9,9.5,0000 1 Jan 2000,24.12305
10,9.5,0000 1 Jan 2000,24.30987
1,10.5,0000 1 Jan 2000,24.59682
2,10.5,0000 1 Jan 2000,24.88615
3,10.5,0000 1 Jan 2000,23.69903
4,10.5,0000 1 Jan 2000,25.06876
5,10.5,0000 1 Jan 2000,24.62965
6,10.5,0000 1 Jan 2000,24.65508
7,10.5,0000 1 Jan 2000,23.48971
8,10.5,0000 1 Jan 2000,23.31691
9,10.5,0000 1 Jan 2000,24.10402
10,10.5,0000 1 Jan 2000,24.28534
1,1.5,0000 1 Feb 2000,25.78357
2,1.5,0000 1 Feb 2000,25.73111
3,1.5,0000 1 Feb 2000,25.78323
4,1.5,0000 1 Feb 2000,25.77912
5,1.5,0000 1 Feb 2000,25.77935
6,1.5,0000 1 Feb 2000,25.76161
7,1.5,0000 1 Feb 2000,25.87179
8,1.5,0000 1 Feb 2000,25.77358
9,1.5,0000 1 Feb 2000,25.74742
10,1.5,0000 1 Feb 2000,25.7266
1,2.5,0000 1 Feb 2000,26.36919
2,2.5,0000 1 Feb 2000,26.23371
3,2.5,0000 1 Feb 2000,26.3759
4,2.5,0000 1 Feb 2000,26.34279
5,2.5,0000 1 Feb 2000,26.36005
6,2.5,0000 1 Feb 2000,26.25616
7,2.5,0000 1 Feb 2000,26.39582
8,2.5,0000 1 Feb 2000,26.33746
9,2.5,0000 1 Feb 2000,26.30027
10,2.5,0000 1 Feb 2000,26.14216
1,3.5,0000 1 Feb 2000,26.78011
2,3.5,0000 1 Feb 2000,26.57721
3,3.5,0000 1 Feb 2000,26.79227
4,3.5,0000 1 Feb 2000,26.72847
5,3.5,0000 1 Feb 2000,26.74934
6,3.5,0000 1 Feb 2000,26.54686
7,3.5,0000 1 Feb 2000,26.7236
8,3.5,0000 1 Feb 2000,26.77142
9,3.5,0000 1 Feb 2000,26.66783
10,3.5,0000 1 Feb 2000,26.30761
1,4.5,0000 1 Feb 2000,26.7026
2,4.5,0000 1 Feb 2000,26.54913
3,4.5,0000 1 Feb 2000,26.6865
4,4.5,0000 1 Feb 2000,26.73069
5,4.5,0000 1 Feb 2000,26.7352
6,4.5,0000 1 Feb 2000,26.54663
7,4.5,0000 1 Feb 2000,26.68685
8,4.5,0000 1 Feb 2000,26.91048
9,4.5,0000 1 Feb 2000,26.69756
10,4.5,0000 1 Feb 2000,25.94865
1,5.5,0000 1 Feb 2000,26.13048
2,5.5,0000 1 Feb 2000,25.95762
3,5.5,0000 1 Feb 2000,25.83136
4,5.5,0000 1 Feb 2000,26.06089
5,5.5,0000 1 Feb 2000,26.20649
6,5.5,0000 1 Feb 2000,26.06635
7,5.5,0000 1 Feb 2000,26.00344
8,5.5,0000 1 Feb 2000,26.44981
9,5.5,0000 1 Feb 2000,26.23277
10,5.5,0000 1 Feb 2000,25.19987
1,6.5,0000 1 Feb 2000,25.28284
2,6.5,0000 1 Feb 2000,25.00199
3,6.5,0000 1 Feb 2000,24.65782
4,6.5,0000 1 Feb 2000,25.03363
5,6.5,0000 1 Feb 2000,25.38391
6,6.5,0000 1 Feb 2000,25.30941
7,6.5,0000 1 Feb 2000,25.0034
8,6.5,0000 1 Feb 2000,25.60099
9,6.5,0000 1 Feb 2000,25.43731
10,6.5,0000 1 Feb 2000,24.19528
1,7.5,0000 1 Feb 2000,24.60563
2,7.5,0000 1 Feb 2000,24.22197
3,7.5,0000 1 Feb 2000,23.80076
4,7.5,0000 1 Feb 2000,24.07422
5,7.5,0000 1 Feb 2000,24.67256
6,7.5,0000 1 Feb 2000,24.65023
7,7.5,0000 1 Feb 2000,24.20047
8,7.5,0000 1 Feb 2000,24.67614
9,7.5,0000 1 Feb 2000,24.66312
10,7.5,0000 1 Feb 2000,23.35479
1,8.5,0000 1 Feb 2000,24.34186
2,8.5,0000 1 Feb 2000,23.90297
3,8.5,0000 1 Feb 2000,23.5397
4,8.5,0000 1 Feb 2000,23.62694
5,8.5,0000 1 Feb 2000,24.41448
6,8.5,0000 1 Feb 2000,24.41701
7,8.5,0000 1 Feb 2000,23.97521
8,8.5,0000 1 Feb 2000,24.07565
9,8.5,0000 1 Feb 2000,24.18793
10,8.5,0000 1 Feb 2000,22.99467
1,9.5,0000 1 Feb 2000,24.40314
2,9.5,0000 1 Feb 2000,23.9977
3,9.5,0000 1 Feb 2000,23.62824
4,9.5,0000 1 Feb 2000,23.61189
5,9.5,0000 1 Feb 2000,24.56591
6,9.5,0000 1 Feb 2000,24.55655
7,9.5,0000 1 Feb 2000,24.08619
8,9.5,0000 1 Feb 2000,23.90981
9,9.5,0000 1 Feb 2000,24.10282
10,9.5,0000 1 Feb 2000,23.13879
1,10.5,0000 1 Feb 2000,24.65562
2,10.5,0000 1 Feb 2000,24.3164
3,10.5,0000 1 Feb 2000,23.86687
4,10.5,0000 1 Feb 2000,23.84555
5,10.5,0000 1 Feb 2000,24.91633
6,10.5,0000 1 Feb 2000,24.76769
7,10.5,0000 1 Feb 2000,24.33509
8,10.5,0000 1 Feb 2000,24.08395
9,10.5,0000 1 Feb 2000,24.27267
10,10.5,0000 1 Feb 2000,23.5588
1,1.5,0000 1 Mar 2000,26.5347
2,1.5,0000 1 Mar 2000,26.41579
3,1.5,0000 1 Mar 2000,26.45116
4,1.5,0000 1 Mar 2000,26.47025
5,1.5,0000 1 Mar 2000,26.376
6,1.5,0000 1 Mar 2000,26.38231
7,1.5,0000 1 Mar 2000,26.40931
8,1.5,0000 1 Mar 2000,26.40305
9,1.5,0000 1 Mar 2000,26.42853
10,1.5,0000 1 Mar 2000,26.38347
1,2.5,0000 1 Mar 2000,26.91868
2,2.5,0000 1 Mar 2000,26.77289
3,2.5,0000 1 Mar 2000,26.77301
4,2.5,0000 1 Mar 2000,26.75073
5,2.5,0000 1 Mar 2000,26.63909
6,2.5,0000 1 Mar 2000,26.65972
7,2.5,0000 1 Mar 2000,26.66176
8,2.5,0000 1 Mar 2000,26.74856
9,2.5,0000 1 Mar 2000,26.71263
10,2.5,0000 1 Mar 2000,26.71943
1,3.5,0000 1 Mar 2000,26.79515
2,3.5,0000 1 Mar 2000,26.58849
3,3.5,0000 1 Mar 2000,26.61066
4,3.5,0000 1 Mar 2000,26.38721
5,3.5,0000 1 Mar 2000,26.394
6,3.5,0000 1 Mar 2000,26.49392
7,3.5,0000 1 Mar 2000,26.39688
8,3.5,0000 1 Mar 2000,26.55379
9,3.5,0000 1 Mar 2000,26.50626
10,3.5,0000 1 Mar 2000,26.57133
1,4.5,0000 1 Mar 2000,26.12547
2,4.5,0000 1 Mar 2000,25.88058
3,4.5,0000 1 Mar 2000,25.97599
4,4.5,0000 1 Mar 2000,25.48587
5,4.5,0000 1 Mar 2000,25.57927
6,4.5,0000 1 Mar 2000,25.85345
7,4.5,0000 1 Mar 2000,25.53354
8,4.5,0000 1 Mar 2000,25.83057
9,4.5,0000 1 Mar 2000,25.78963
10,4.5,0000 1 Mar 2000,25.87889
1,5.5,0000 1 Mar 2000,25.1739
2,5.5,0000 1 Mar 2000,24.93538
3,5.5,0000 1 Mar 2000,24.99233
4,5.5,0000 1 Mar 2000,24.51244
5,5.5,0000 1 Mar 2000,24.5063
6,5.5,0000 1 Mar 2000,24.84312
7,5.5,0000 1 Mar 2000,24.45983
8,5.5,0000 1 Mar 2000,24.85779
9,5.5,0000 1 Mar 2000,24.71759
10,5.5,0000 1 Mar 2000,24.84899
1,6.5,0000 1 Mar 2000,24.31608
2,6.5,0000 1 Mar 2000,24.12611
3,6.5,0000 1 Mar 2000,24.02407
4,6.5,0000 1 Mar 2000,23.80958
5,6.5,0000 1 Mar 2000,23.49186
6,6.5,0000 1 Mar 2000,23.87528
7,6.5,0000 1 Mar 2000,23.61496
8,6.5,0000 1 Mar 2000,23.96155
9,6.5,0000 1 Mar 2000,23.69416
10,6.5,0000 1 Mar 2000,23.95117
1,7.5,0000 1 Mar 2000,23.84924
2,7.5,0000 1 Mar 2000,23.7539
3,7.5,0000 1 Mar 2000,23.43016
4,7.5,0000 1 Mar 2000,23.52928
5,7.5,0000 1 Mar 2000,22.97434
6,7.5,0000 1 Mar 2000,23.28507
7,7.5,0000 1 Mar 2000,23.25626
8,7.5,0000 1 Mar 2000,23.45242
9,7.5,0000 1 Mar 2000,23.00441
10,7.5,0000 1 Mar 2000,23.59067
1,8.5,0000 1 Mar 2000,23.74799
2,8.5,0000 1 Mar 2000,23.73137
3,8.5,0000 1 Mar 2000,23.28876
4,8.5,0000 1 Mar 2000,23.40504
5,8.5,0000 1 Mar 2000,22.97894
6,8.5,0000 1 Mar 2000,23.21174
7,8.5,0000 1 Mar 2000,23.20147
8,8.5,0000 1 Mar 2000,23.28392
9,8.5,0000 1 Mar 2000,22.83336
10,8.5,0000 1 Mar 2000,23.73371
1,9.5,0000 1 Mar 2000,23.95344
2,9.5,0000 1 Mar 2000,23.97283
3,9.5,0000 1 Mar 2000,23.47035
4,9.5,0000 1 Mar 2000,23.53962
5,9.5,0000 1 Mar 2000,23.4083
6,9.5,0000 1 Mar 2000,23.49103
7,9.5,0000 1 Mar 2000,23.33913
8,9.5,0000 1 Mar 2000,23.51288
9,9.5,0000 1 Mar 2000,23.02435
10,9.5,0000 1 Mar 2000,24.1072
1,10.5,0000 1 Mar 2000,24.34457
2,10.5,0000 1 Mar 2000,24.32808
3,10.5,0000 1 Mar 2000,23.80568
4,10.5,0000 1 Mar 2000,23.88149
5,10.5,0000 1 Mar 2000,23.99686
6,10.5,0000 1 Mar 2000,24.00933
7,10.5,0000 1 Mar 2000,23.65599
8,10.5,0000 1 Mar 2000,24.07461
9,10.5,0000 1 Mar 2000,23.57967
10,10.5,0000 1 Mar 2000,24.54352
1,1.5,0000 1 Apr 2000,27.01899
2,1.5,0000 1 Apr 2000,27.04066
3,1.5,0000 1 Apr 2000,27.14195
4,1.5,0000 1 Apr 2000,27.15908
5,1.5,0000 1 Apr 2000,27.01634
6,1.5,0000 1 Apr 2000,27.00204
7,1.5,0000 1 Apr 2000,27.00708
8,1.5,0000 1 Apr 2000,27.06476
9,1.5,0000 1 Apr 2000,26.98028
10,1.5,0000 1 Apr 2000,27.00422
1,2.5,0000 1 Apr 2000,26.83636
2,2.5,0000 1 Apr 2000,26.78205
3,2.5,0000 1 Apr 2000,26.94308
4,2.5,0000 1 Apr 2000,26.97915
5,2.5,0000 1 Apr 2000,26.76406
6,2.5,0000 1 Apr 2000,26.58119
7,2.5,0000 1 Apr 2000,26.75499
8,2.5,0000 1 Apr 2000,26.89481
9,2.5,0000 1 Apr 2000,26.77559
10,2.5,0000 1 Apr 2000,26.76973
1,3.5,0000 1 Apr 2000,26.1669
2,3.5,0000 1 Apr 2000,26.03638
3,3.5,0000 1 Apr 2000,26.23478
4,3.5,0000 1 Apr 2000,26.38809
5,3.5,0000 1 Apr 2000,26.09709
6,3.5,0000 1 Apr 2000,25.59491
7,3.5,0000 1 Apr 2000,26.04196
8,3.5,0000 1 Apr 2000,26.39556
9,3.5,0000 1 Apr 2000,26.04354
10,3.5,0000 1 Apr 2000,26.17956
1,4.5,0000 1 Apr 2000,25.22756
2,4.5,0000 1 Apr 2000,25.03704
3,4.5,0000 1 Apr 2000,25.4123
4,4.5,0000 1 Apr 2000,25.63614
5,4.5,0000 1 Apr 2000,25.42821
6,4.5,0000 1 Apr 2000,24.45814
7,4.5,0000 1 Apr 2000,25.13702
8,4.5,0000 1 Apr 2000,25.68907
9,4.5,0000 1 Apr 2000,25.06014
10,4.5,0000 1 Apr 2000,25.40698
1,5.5,0000 1 Apr 2000,24.33825
2,5.5,0000 1 Apr 2000,24.14072
3,5.5,0000 1 Apr 2000,24.7545
4,5.5,0000 1 Apr 2000,25.06504
5,5.5,0000 1 Apr 2000,24.9448
6,5.5,0000 1 Apr 2000,23.62349
7,5.5,0000 1 Apr 2000,24.41131
8,5.5,0000 1 Apr 2000,25.10757
9,5.5,0000 1 Apr 2000,24.12474
10,5.5,0000 1 Apr 2000,24.79082
1,6.5,0000 1 Apr 2000,23.82812
2,6.5,0000 1 Apr 2000,23.711
3,6.5,0000 1 Apr 2000,24.49755
4,6.5,0000 1 Apr 2000,24.87583
5,6.5,0000 1 Apr 2000,24.82505
6,6.5,0000 1 Apr 2000,23.25206
7,6.5,0000 1 Apr 2000,24.06643
8,6.5,0000 1 Apr 2000,24.86156
9,6.5,0000 1 Apr 2000,23.66562
10,6.5,0000 1 Apr 2000,24.53308
1,7.5,0000 1 Apr 2000,23.69182
2,7.5,0000 1 Apr 2000,23.67261
3,7.5,0000 1 Apr 2000,24.46411
4,7.5,0000 1 Apr 2000,25.01116
5,7.5,0000 1 Apr 2000,24.91651
6,7.5,0000 1 Apr 2000,23.29929
7,7.5,0000 1 Apr 2000,24.0754
8,7.5,0000 1 Apr 2000,25.06774
9,7.5,0000 1 Apr 2000,23.70116
10,7.5,0000 1 Apr 2000,24.61115
1,8.5,0000 1 Apr 2000,23.87064
2,8.5,0000 1 Apr 2000,23.88477
3,8.5,0000 1 Apr 2000,24.59365
4,8.5,0000 1 Apr 2000,25.18227
5,8.5,0000 1 Apr 2000,25.08222
6,8.5,0000 1 Apr 2000,23.55932
7,8.5,0000 1 Apr 2000,24.30466
8,8.5,0000 1 Apr 2000,25.51642
9,8.5,0000 1 Apr 2000,24.00016
10,8.5,0000 1 Apr 2000,24.86404
1,9.5,0000 1 Apr 2000,24.22428
2,9.5,0000 1 Apr 2000,24.15501
3,9.5,0000 1 Apr 2000,24.948
4,9.5,0000 1 Apr 2000,25.3618
5,9.5,0000 1 Apr 2000,25.35482
6,9.5,0000 1 Apr 2000,24.00117
7,9.5,0000 1 Apr 2000,24.64568
8,9.5,0000 1 Apr 2000,26.014
9,9.5,0000 1 Apr 2000,24.43452
10,9.5,0000 1 Apr 2000,25.26426
1,10.5,0000 1 Apr 2000,24.70498
2,10.5,0000 1 Apr 2000,24.53614
3,10.5,0000 1 Apr 2000,25.51875
4,10.5,0000 1 Apr 2000,25.73834
5,10.5,0000 1 Apr 2000,25.75084
6,10.5,0000 1 Apr 2000,24.66786
7,10.5,0000 1 Apr 2000,25.14219
8,10.5,0000 1 Apr 2000,26.56671
9,10.5,0000 1 Apr 2000,24.91314
10,10.5,0000 1 Apr 2000,25.87693
1,1.5,0000 1 May 2000,26.76143
2,1.5,0000 1 May 2000,26.61649
3,1.5,0000 1 May 2000,26.7832
4,1.5,0000 1 May 2000,26.76525
5,1.5,0000 1 May 2000,26.85494
6,1.5,0000 1 May 2000,26.84835
7,1.5,0000 1 May 2000,26.89568
8,1.5,0000 1 May 2000,26.86544
9,1.5,0000 1 May 2000,26.5824
10,1.5,0000 1 May 2000,26.77972
1,2.5,0000 1 May 2000,26.28118
2,2.5,0000 1 May 2000,25.82984
3,2.5,0000 1 May 2000,26.07904
4,2.5,0000 1 May 2000,25.82913
5,2.5,0000 1 May 2000,26.42092
6,2.5,0000 1 May 2000,26.13057
7,2.5,0000 1 May 2000,26.40244
8,2.5,0000 1 May 2000,26.48688
9,2.5,0000 1 May 2000,25.78097
10,2.5,0000 1 May 2000,25.99431
1,3.5,0000 1 May 2000,25.60301
2,3.5,0000 1 May 2000,24.74348
3,3.5,0000 1 May 2000,25.0855
4,3.5,0000 1 May 2000,24.525
5,3.5,0000 1 May 2000,25.82718
6,3.5,0000 1 May 2000,25.2033
7,3.5,0000 1 May 2000,25.72875
8,3.5,0000 1 May 2000,25.87638
9,3.5,0000 1 May 2000,24.7004
10,3.5,0000 1 May 2000,24.96852
1,4.5,0000 1 May 2000,25.07165
2,4.5,0000 1 May 2000,23.85709
3,4.5,0000 1 May 2000,24.21835
4,4.5,0000 1 May 2000,23.53757
5,4.5,0000 1 May 2000,25.36878
6,4.5,0000 1 May 2000,24.4765
7,4.5,0000 1 May 2000,25.13831
8,4.5,0000 1 May 2000,25.34368
9,4.5,0000 1 May 2000,23.76348
10,4.5,0000 1 May 2000,24.09422
1,5.5,0000 1 May 2000,24.80159
2,5.5,0000 1 May 2000,23.39337
3,5.5,0000 1 May 2000,23.72674
4,5.5,0000 1 May 2000,23.27338
5,5.5,0000 1 May 2000,25.12905
6,5.5,0000 1 May 2000,24.22404
7,5.5,0000 1 May 2000,24.82735
8,5.5,0000 1 May 2000,25.04703
9,5.5,0000 1 May 2000,23.23458
10,5.5,0000 1 May 2000,23.71337
1,6.5,0000 1 May 2000,24.8594
2,6.5,0000 1 May 2000,23.36675
3,6.5,0000 1 May 2000,23.56192
4,6.5,0000 1 May 2000,23.52617
5,6.5,0000 1 May 2000,25.12464
6,6.5,0000 1 May 2000,24.25788
7,6.5,0000 1 May 2000,24.77836
8,6.5,0000 1 May 2000,25.11674
9,6.5,0000 1 May 2000,23.12539
10,6.5,0000 1 May 2000,23.69026
1,7.5,0000 1 May 2000,25.04802
2,7.5,0000 1 May 2000,23.60228
3,7.5,0000 1 May 2000,23.63914
4,7.5,0000 1 May 2000,23.93654
5,7.5,0000 1 May 2000,25.22845
6,7.5,0000 1 May 2000,24.41915
7,7.5,0000 1 May 2000,24.87712
8,7.5,0000 1 May 2000,25.42942
9,7.5,0000 1 May 2000,23.44016
10,7.5,0000 1 May 2000,23.87426
1,8.5,0000 1 May 2000,25.35106
2,8.5,0000 1 May 2000,23.99483
3,8.5,0000 1 May 2000,23.88031
4,8.5,0000 1 May 2000,24.33438
5,8.5,0000 1 May 2000,25.503
6,8.5,0000 1 May 2000,24.67175
7,8.5,0000 1 May 2000,25.15081
8,8.5,0000 1 May 2000,25.87854
9,8.5,0000 1 May 2000,23.9207
10,8.5,0000 1 May 2000,24.24571
1,9.5,0000 1 May 2000,25.77436
2,9.5,0000 1 May 2000,24.57566
3,9.5,0000 1 May 2000,24.32382
4,9.5,0000 1 May 2000,24.83076
5,9.5,0000 1 May 2000,25.93952
6,9.5,0000 1 May 2000,25.07107
7,9.5,0000 1 May 2000,25.52575
8,9.5,0000 1 May 2000,26.45468
9,9.5,0000 1 May 2000,24.53238
10,9.5,0000 1 May 2000,24.80681
1,10.5,0000 1 May 2000,26.35891
2,10.5,0000 1 May 2000,25.23824
3,10.5,0000 1 May 2000,24.99735
4,10.5,0000 1 May 2000,25.50316
5,10.5,0000 1 May 2000,26.48051
6,10.5,0000 1 May 2000,25.5971
7,10.5,0000 1 May 2000,26.07839
8,10.5,0000 1 May 2000,27.05997
9,10.5,0000 1 May 2000,25.21757
10,10.5,0000 1 May 2000,25.52339
1,1.5,0000 1 Jun 2000,26.11918
2,1.5,0000 1 Jun 2000,26.1801
3,1.5,0000 1 Jun 2000,26.63595
4,1.5,0000 1 Jun 2000,26.28162
5,1.5,0000 1 Jun 2000,26.2391
6,1.5,0000 1 Jun 2000,25.96581
7,1.5,0000 1 Jun 2000,26.05713
8,1.5,0000 1 Jun 2000,26.11761
9,1.5,0000 1 Jun 2000,26.27441
10,1.5,0000 1 Jun 2000,26.31209
1,2.5,0000 1 Jun 2000,25.17193
2,2.5,0000 1 Jun 2000,25.33196
3,2.5,0000 1 Jun 2000,26.25684
4,2.5,0000 1 Jun 2000,25.42567
5,2.5,0000 1 Jun 2000,25.4258
6,2.5,0000 1 Jun 2000,24.80867
7,2.5,0000 1 Jun 2000,24.95925
8,2.5,0000 1 Jun 2000,24.98919
9,2.5,0000 1 Jun 2000,25.52151
10,2.5,0000 1 Jun 2000,25.55209
1,3.5,0000 1 Jun 2000,24.29251
2,3.5,0000 1 Jun 2000,24.63041
3,3.5,0000 1 Jun 2000,26.00847
4,3.5,0000 1 Jun 2000,24.66736
5,3.5,0000 1 Jun 2000,24.74793
6,3.5,0000 1 Jun 2000,23.69982
7,3.5,0000 1 Jun 2000,24.01989
8,3.5,0000 1 Jun 2000,23.85364
9,3.5,0000 1 Jun 2000,24.75829
10,3.5,0000 1 Jun 2000,24.86642
1,4.5,0000 1 Jun 2000,23.8963
2,4.5,0000 1 Jun 2000,24.29307
3,4.5,0000 1 Jun 2000,26.03742
4,4.5,0000 1 Jun 2000,24.50487
5,4.5,0000 1 Jun 2000,24.48422
6,4.5,0000 1 Jun 2000,23.12157
7,4.5,0000 1 Jun 2000,23.66171
8,4.5,0000 1 Jun 2000,23.21316
9,4.5,0000 1 Jun 2000,24.24595
10,4.5,0000 1 Jun 2000,24.51431
1,5.5,0000 1 Jun 2000,23.88201
2,5.5,0000 1 Jun 2000,24.33275
3,5.5,0000 1 Jun 2000,26.28963
4,5.5,0000 1 Jun 2000,24.65184
5,5.5,0000 1 Jun 2000,24.68333
6,5.5,0000 1 Jun 2000,23.04333
7,5.5,0000 1 Jun 2000,23.77493
8,5.5,0000 1 Jun 2000,23.13106
9,5.5,0000 1 Jun 2000,24.13246
10,5.5,0000 1 Jun 2000,24.49208
1,6.5,0000 1 Jun 2000,24.10284
2,6.5,0000 1 Jun 2000,24.45222
3,6.5,0000 1 Jun 2000,26.55539
4,6.5,0000 1 Jun 2000,24.84886
5,6.5,0000 1 Jun 2000,25.02915
6,6.5,0000 1 Jun 2000,23.31565
7,6.5,0000 1 Jun 2000,24.02136
8,6.5,0000 1 Jun 2000,23.29654
9,6.5,0000 1 Jun 2000,24.37609
10,6.5,0000 1 Jun 2000,24.64742
1,7.5,0000 1 Jun 2000,24.46914
2,7.5,0000 1 Jun 2000,24.70039
3,7.5,0000 1 Jun 2000,26.78655
4,7.5,0000 1 Jun 2000,25.10983
5,7.5,0000 1 Jun 2000,25.47363
6,7.5,0000 1 Jun 2000,23.78402
7,7.5,0000 1 Jun 2000,24.35161
8,7.5,0000 1 Jun 2000,23.71511
9,7.5,0000 1 Jun 2000,24.90226
10,7.5,0000 1 Jun 2000,24.88995
1,8.5,0000 1 Jun 2000,25.0163
2,8.5,0000 1 Jun 2000,25.16633
3,8.5,0000 1 Jun 2000,27.09722
4,8.5,0000 1 Jun 2000,25.59238
5,8.5,0000 1 Jun 2000,25.87817
6,8.5,0000 1 Jun 2000,24.32893
7,8.5,0000 1 Jun 2000,24.82666
8,8.5,0000 1 Jun 2000,24.28545
9,8.5,0000 1 Jun 2000,25.47444
10,8.5,0000 1 Jun 2000,25.19407
1,9.5,0000 1 Jun 2000,25.65749
2,9.5,0000 1 Jun 2000,25.88369
3,9.5,0000 1 Jun 2000,27.57211
4,9.5,0000 1 Jun 2000,26.31234
5,9.5,0000 1 Jun 2000,26.41361
6,9.5,0000 1 Jun 2000,24.94587
7,9.5,0000 1 Jun 2000,25.45011
8,9.5,0000 1 Jun 2000,25.04499
9,9.5,0000 1 Jun 2000,26.13412
10,9.5,0000 1 Jun 2000,25.67223
1,10.5,0000 1 Jun 2000,26.38965
2,10.5,0000 1 Jun 2000,26.6853
3,10.5,0000 1 Jun 2000,28.22798
4,10.5,0000 1 Jun 2000,27.07235
5,10.5,0000 1 Jun 2000,27.00031
6,10.5,0000 1 Jun 2000,25.61587
7,10.5,0000 1 Jun 2000,26.15361
8,10.5,0000 1 Jun 2000,25.81904
9,10.5,0000 1 Jun 2000,26.85836
10,10.5,0000 1 Jun 2000,26.26807
1,1.5,0000 1 Jul 2000,25.91658
2,1.5,0000 1 Jul 2000,26.11453
3,1.5,0000 1 Jul 2000,25.90694
4,1.5,0000 1 Jul 2000,25.81412
5,1.5,0000 1 Jul 2000,25.63537
6,1.5,0000 1 Jul 2000,26.1649
7,1.5,0000 1 Jul 2000,26.11639
8,1.5,0000 1 Jul 2000,26.18524
9,1.5,0000 1 Jul 2000,25.60911
10,1.5,0000 1 Jul 2000,25.78095
1,2.5,0000 1 Jul 2000,25.12716
2,2.5,0000 1 Jul 2000,25.73362
3,2.5,0000 1 Jul 2000,25.06273
4,2.5,0000 1 Jul 2000,24.99656
5,2.5,0000 1 Jul 2000,24.75653
6,2.5,0000 1 Jul 2000,25.58755
7,2.5,0000 1 Jul 2000,25.47932
8,2.5,0000 1 Jul 2000,25.60445
9,2.5,0000 1 Jul 2000,24.71357
10,2.5,0000 1 Jul 2000,24.94983
1,3.5,0000 1 Jul 2000,24.67362
2,3.5,0000 1 Jul 2000,25.66438
3,3.5,0000 1 Jul 2000,24.52958
4,3.5,0000 1 Jul 2000,24.47505
5,3.5,0000 1 Jul 2000,24.27815
6,3.5,0000 1 Jul 2000,25.21307
7,3.5,0000 1 Jul 2000,25.13299
8,3.5,0000 1 Jul 2000,25.35979
9,3.5,0000 1 Jul 2000,24.28472
10,3.5,0000 1 Jul 2000,24.40271
1,4.5,0000 1 Jul 2000,24.71119
2,4.5,0000 1 Jul 2000,25.99045
3,4.5,0000 1 Jul 2000,24.48288
4,4.5,0000 1 Jul 2000,24.39872
5,4.5,0000 1 Jul 2000,24.3677
6,4.5,0000 1 Jul 2000,25.17242
7,4.5,0000 1 Jul 2000,25.27773
8,4.5,0000 1 Jul 2000,25.47849
9,4.5,0000 1 Jul 2000,24.43271
10,4.5,0000 1 Jul 2000,24.27138
1,5.5,0000 1 Jul 2000,24.90889
2,5.5,0000 1 Jul 2000,26.2257
3,5.5,0000 1 Jul 2000,24.6432
4,5.5,0000 1 Jul 2000,24.55411
5,5.5,0000 1 Jul 2000,24.60643
6,5.5,0000 1 Jul 2000,25.34088
7,5.5,0000 1 Jul 2000,25.64045
8,5.5,0000 1 Jul 2000,25.85287
9,5.5,0000 1 Jul 2000,24.77242
10,5.5,0000 1 Jul 2000,24.40213
1,6.5,0000 1 Jul 2000,25.0799
2,6.5,0000 1 Jul 2000,26.43605
3,6.5,0000 1 Jul 2000,24.94303
4,6.5,0000 1 Jul 2000,24.81954
5,6.5,0000 1 Jul 2000,24.98962
6,6.5,0000 1 Jul 2000,25.65529
7,6.5,0000 1 Jul 2000,26.00414
8,6.5,0000 1 Jul 2000,26.31859
9,6.5,0000 1 Jul 2000,25.19581
10,6.5,0000 1 Jul 2000,24.65157
1,7.5,0000 1 Jul 2000,25.48258
2,7.5,0000 1 Jul 2000,26.83999
3,7.5,0000 1 Jul 2000,25.40686
4,7.5,0000 1 Jul 2000,25.21046
5,7.5,0000 1 Jul 2000,25.56628
6,7.5,0000 1 Jul 2000,26.19152
7,7.5,0000 1 Jul 2000,26.51869
8,7.5,0000 1 Jul 2000,26.89745
9,7.5,0000 1 Jul 2000,25.68188
10,7.5,0000 1 Jul 2000,25.14912
1,8.5,0000 1 Jul 2000,26.08536
2,8.5,0000 1 Jul 2000,27.39409
3,8.5,0000 1 Jul 2000,26.12334
4,8.5,0000 1 Jul 2000,25.81962
5,8.5,0000 1 Jul 2000,26.33117
6,8.5,0000 1 Jul 2000,26.86337
7,8.5,0000 1 Jul 2000,27.12852
