L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC3,VAR_SST_CanSIPS_IC3,MEAN_SST_CanSIPS_IC3_ONETWO,VAR_SST_CanSIPS_IC3_ONETWO,MEAN_SST_CanSIPS_IC3_THREE,VAR_SST_CanSIPS_IC3_THREE,MEAN_SST_CanSIPS_IC3_FOUR,VAR_SST_CanSIPS_IC3_FOUR
1.5,1,2,JFM,26.176020000000026,1.4071576264827657,25.841486666666693,0.47323100188505074,25.80720333333336,1.1698865120574757,27.722370000000023,0.8073655525172384
1.5,2,3,FMA,26.715343333333355,0.8902433715057463,26.423656666666684,0.38773217357471446,26.54100666666669,0.7122640737471249,27.946353333333356,0.6053533398160915
1.5,3,4,MAM,27.206256666666686,0.5104054197816078,26.294753333333354,0.5073679405057464,26.93300666666669,0.46962940271264364,28.305980000000027,0.41513273682758123
1.5,4,5,AMJ,27.37192000000003,0.32809279268965236,25.408123333333357,0.6529029377126482,26.817200000000017,0.3703313855172466,28.550690000000024,0.26007381541379404
1.5,5,6,MJJ,27.037603333333355,0.507645334126435,24.339416666666686,0.917529469712647,26.21568000000002,0.6456090395862075,28.513926666666688,0.24967876547126677
1.5,6,7,JJA,26.46172000000002,0.7993105175172441,23.46227000000003,0.9667517194137955,25.496326666666686,0.8495035958160895,28.26449666666669,0.39093773964367606
1.5,7,8,JAS,26.129220000000018,1.0454201933793126,22.986313333333353,0.9148792391264351,25.09766000000002,0.9591331873103498,28.133556666666685,0.5885532473678162
1.5,8,9,ASO,25.87158333333336,1.1852314959195425,22.83894666666669,0.8145834184367836,24.848016666666688,1.027452601436784,27.976383333333352,0.7110246090229937
1.5,9,10,SON,25.96168666666669,1.451488476367814,23.081043333333355,0.6804289584022976,24.93582000000002,1.1988814588965582,28.054416666666686,0.8593875310919564
1.5,10,11,OND,26.038453333333358,1.8172537563678204,23.515523333333363,0.758993712885052,25.014910000000025,1.5375875423103547,28.126030000000018,0.914596975965519
1.5,11,12,NDJ,25.99692000000003,1.9782152602758554,24.059413333333357,0.8138404274023037,25.05947666666669,1.7053229473678204,28.036396666666686,0.9957693734367846
1.5,12,1,DJF,25.926233333333357,1.9403575064367762,24.84452000000002,0.7467615961379358,25.223360000000024,1.6640872328275744,27.79036666666669,1.014464722298847
2.5,1,3,FMA,26.18021666666669,1.2051414917816154,26.14451000000002,0.46189422644827827,26.047310000000024,1.0155564064482687,27.508126666666687,0.7215427296091957
2.5,2,4,MAM,26.811373333333357,0.6656371978850569,25.976623333333357,0.5332501825402398,26.523170000000025,0.6364280504482802,27.96462000000002,0.47264061337931645
2.5,3,5,AMJ,27.106180000000027,0.429062439586213,25.38962666666669,0.6921818096091947,26.537200000000023,0.49919537172413536,28.338710000000024,0.3173945464482713
2.5,4,6,MJJ,26.87922333333336,0.4538380480574686,24.43771000000002,0.6942436498965512,26.076943333333357,0.5361297770229858,28.37610333333335,0.2594886824023016
2.5,5,7,JJA,26.31969666666669,0.8444766996436835,23.62199333333336,0.8881356730574707,25.418433333333358,0.9243634264367876,28.115606666666686,0.4044288123678081
2.5,6,8,JAS,25.76869666666669,1.1234948803333238,23.206366666666685,0.8099660057471152,24.88754333333335,1.0445428018505754,27.75383666666669,0.6523176120574685
2.5,7,9,ASO,25.68895666666669,1.3761161494367724,23.319853333333352,0.7334140322298758,24.840850000000025,1.1392588377586077,27.732446666666696,0.8938641708505702
2.5,8,10,SON,25.647503333333354,1.49200015964369,23.639106666666688,0.6343857558160892,24.851853333333356,1.1969183460230013,27.691936666666688,0.9558337948160879
2.5,9,11,OND,25.777216666666686,1.76589324833333,24.138083333333352,0.5891425138505716,25.02673333333336,1.3897749588505868,27.79074666666669,1.0627972522298887
2.5,10,12,NDJ,25.806090000000022,2.032559127827583,24.63712000000002,0.6951561444137875,25.074326666666693,1.7065390627126567,27.796210000000023,1.0477082119655214
