SZN,LDC_SST_GFDL_SPEAR
JFM,26.38153693069307
FMA,26.957924836065573
MAM,27.421626358381502
AMJ,27.573782710280373
MJJ,27.195235052631578
JJA,26.66541622222222
JAS,26.342285266666668
ASO,26.239961083333334
SON,26.1841906
OND,26.250528375
NDJ,26.16885575
DJF,26.09591788888889
