M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
1,1.5,5,6,MJJ,27.461482999999998,0.156395269552757
2,1.5,5,6,MJJ,27.424011,0.1999665325127596
3,1.5,5,6,MJJ,27.451435666666665,0.1982912973081606
4,1.5,5,6,MJJ,27.490296999999998,0.15620929340103548
5,1.5,5,6,MJJ,27.457665333333335,0.19766736052919587
6,1.5,5,6,MJJ,27.474403666666667,0.18560727983781644
7,1.5,5,6,MJJ,27.448817000000002,0.19250481255965468
8,1.5,5,6,MJJ,27.449457666666667,0.17798540232195423
9,1.5,5,6,MJJ,27.430463666666665,0.17786170918953925
10,1.5,5,6,MJJ,27.452876333333332,0.22245423546540008
11,1.5,5,6,MJJ,27.468549333333332,0.17385792507540204
12,1.5,5,6,MJJ,27.464179,0.18334691089896518
13,1.5,5,6,MJJ,27.466949333333332,0.20752881050988436
14,1.5,5,6,MJJ,27.443285666666668,0.19919427379781615
15,1.5,5,6,MJJ,27.491503333333334,0.1599052781540234
1,1.5,6,7,JJA,26.999659,0.3269579538713796
2,1.5,6,7,JJA,26.95201266666667,0.35412343981333355
3,1.5,6,7,JJA,26.988839666666667,0.33271482014126463
4,1.5,6,7,JJA,26.983332,0.3419101369613791
5,1.5,6,7,JJA,26.976983,0.3785433071734474
6,1.5,6,7,JJA,26.943131333333334,0.31183728568092034
7,1.5,6,7,JJA,26.971042666666666,0.2926982726822985
8,1.5,6,7,JJA,26.976568,0.3984272765958614
9,1.5,6,7,JJA,26.967000666666667,0.34528337071678183
10,1.5,6,7,JJA,26.973652,0.3586417826786198
11,1.5,6,7,JJA,26.918244333333334,0.3753386927288495
12,1.5,6,7,JJA,27.005780333333334,0.3050873001619542
13,1.5,6,7,JJA,26.981257666666668,0.35676872338402377
14,1.5,6,7,JJA,26.967457666666668,0.3390050994943675
15,1.5,6,7,JJA,27.015434000000003,0.30889779434896625
1,1.5,7,8,JAS,26.664135666666667,0.47554077597712596
2,1.5,7,8,JAS,26.625246333333333,0.5206725846722973
3,1.5,7,8,JAS,26.735927333333333,0.5190971555581604
4,1.5,7,8,JAS,26.658905,0.5541777161499998
5,1.5,7,8,JAS,26.671827,0.48429935164241456
6,1.5,7,8,JAS,26.68132166666667,0.5536639112143673
7,1.5,7,8,JAS,26.698865333333334,0.5066320057154018
8,1.5,7,8,JAS,26.682910333333332,0.5220712155067811
9,1.5,7,8,JAS,26.622188,0.5728858722579284
10,1.5,7,8,JAS,26.680597,0.5055861119803452
11,1.5,7,8,JAS,26.667351666666665,0.5197796744143666
12,1.5,7,8,JAS,26.679079333333334,0.5553951787305745
13,1.5,7,8,JAS,26.657855333333334,0.542838576087816
14,1.5,7,8,JAS,26.687298333333334,0.5224755705936769
15,1.5,7,8,JAS,26.654283333333336,0.5957781439747133
1,1.5,8,9,ASO,26.61298233333333,0.6744177371702307
2,1.5,8,9,ASO,26.601147333333333,0.6192007343305765
