SZN,LDC_SST_NASA_GEOSS2S
JFM,24.73041171428571
FMA,25.216953285714283
MAM,25.690220408163263
AMJ,26.18024464285714
MJJ,26.93111342857143
JJA,26.75382
JAS,26.23482603174603
ASO,25.860994126984128
SON,25.758365142857144
OND,25.64509285714286
NDJ,25.230641071428572
DJF,24.771953999999997
