M,L,MON,LDC_SST_GFDL_SPEAR
4,1.5,0000 1 Mar 1995,27.5666
5,1.5,0000 1 Mar 1995,27.64275
6,1.5,0000 1 Mar 1995,27.50725
7,1.5,0000 1 Mar 1995,27.69982
8,1.5,0000 1 Mar 1995,27.69236
9,1.5,0000 1 Mar 1995,27.6087
10,1.5,0000 1 Mar 1995,27.62584
11,1.5,0000 1 Mar 1995,27.7456
12,1.5,0000 1 Mar 1995,27.77962
13,1.5,0000 1 Mar 1995,27.66607
14,1.5,0000 1 Mar 1995,27.5557
15,1.5,0000 1 Mar 1995,27.75346
1,2.5,0000 1 Mar 1995,27.4609
2,2.5,0000 1 Mar 1995,27.70255
3,2.5,0000 1 Mar 1995,27.5765
4,2.5,0000 1 Mar 1995,27.45395
5,2.5,0000 1 Mar 1995,27.58409
6,2.5,0000 1 Mar 1995,27.42251
7,2.5,0000 1 Mar 1995,27.50401
8,2.5,0000 1 Mar 1995,27.50719
9,2.5,0000 1 Mar 1995,27.57458
10,2.5,0000 1 Mar 1995,27.61485
11,2.5,0000 1 Mar 1995,27.70272
12,2.5,0000 1 Mar 1995,27.57363
13,2.5,0000 1 Mar 1995,27.50462
14,2.5,0000 1 Mar 1995,27.44791
15,2.5,0000 1 Mar 1995,27.59675
1,3.5,0000 1 Mar 1995,26.90454
2,3.5,0000 1 Mar 1995,27.26205
3,3.5,0000 1 Mar 1995,26.98762
4,3.5,0000 1 Mar 1995,26.94955
5,3.5,0000 1 Mar 1995,26.89908
6,3.5,0000 1 Mar 1995,26.8367
7,3.5,0000 1 Mar 1995,26.59533
8,3.5,0000 1 Mar 1995,26.76435
9,3.5,0000 1 Mar 1995,27.13228
10,3.5,0000 1 Mar 1995,27.09409
11,3.5,0000 1 Mar 1995,27.06537
12,3.5,0000 1 Mar 1995,26.57441
13,3.5,0000 1 Mar 1995,26.65393
14,3.5,0000 1 Mar 1995,26.76474
15,3.5,0000 1 Mar 1995,26.80578
1,4.5,0000 1 Mar 1995,26.12345
2,4.5,0000 1 Mar 1995,26.44603
3,4.5,0000 1 Mar 1995,26.28421
4,4.5,0000 1 Mar 1995,26.35857
5,4.5,0000 1 Mar 1995,26.21834
6,4.5,0000 1 Mar 1995,25.96389
7,4.5,0000 1 Mar 1995,25.47268
8,4.5,0000 1 Mar 1995,25.90538
9,4.5,0000 1 Mar 1995,26.58444
10,4.5,0000 1 Mar 1995,26.42755
11,4.5,0000 1 Mar 1995,26.1063
12,4.5,0000 1 Mar 1995,25.37021
13,4.5,0000 1 Mar 1995,25.68218
14,4.5,0000 1 Mar 1995,25.93697
15,4.5,0000 1 Mar 1995,25.932
1,5.5,0000 1 Mar 1995,25.50638
2,5.5,0000 1 Mar 1995,25.9082
3,5.5,0000 1 Mar 1995,25.7727
4,5.5,0000 1 Mar 1995,25.9707
5,5.5,0000 1 Mar 1995,25.86959
6,5.5,0000 1 Mar 1995,25.44862
7,5.5,0000 1 Mar 1995,24.83871
8,5.5,0000 1 Mar 1995,25.49799
9,5.5,0000 1 Mar 1995,26.27253
10,5.5,0000 1 Mar 1995,25.90972
11,5.5,0000 1 Mar 1995,25.28243
12,5.5,0000 1 Mar 1995,24.71374
13,5.5,0000 1 Mar 1995,25.1235
14,5.5,0000 1 Mar 1995,25.465
15,5.5,0000 1 Mar 1995,25.42968
1,6.5,0000 1 Mar 1995,25.30965
2,6.5,0000 1 Mar 1995,25.68235
3,6.5,0000 1 Mar 1995,25.61262
4,6.5,0000 1 Mar 1995,25.89148
5,6.5,0000 1 Mar 1995,25.89158
6,6.5,0000 1 Mar 1995,25.31838
7,6.5,0000 1 Mar 1995,24.79734
8,6.5,0000 1 Mar 1995,25.42284
9,6.5,0000 1 Mar 1995,26.15125
10,6.5,0000 1 Mar 1995,25.72166
11,6.5,0000 1 Mar 1995,24.93437
12,6.5,0000 1 Mar 1995,24.68168
13,6.5,0000 1 Mar 1995,25.01191
14,6.5,0000 1 Mar 1995,25.44997
15,6.5,0000 1 Mar 1995,25.35906
1,7.5,0000 1 Mar 1995,25.28877
2,7.5,0000 1 Mar 1995,25.78861
3,7.5,0000 1 Mar 1995,25.52577
4,7.5,0000 1 Mar 1995,25.87756
5,7.5,0000 1 Mar 1995,25.87887
6,7.5,0000 1 Mar 1995,25.44084
7,7.5,0000 1 Mar 1995,24.88655
8,7.5,0000 1 Mar 1995,25.44354
9,7.5,0000 1 Mar 1995,26.19122
10,7.5,0000 1 Mar 1995,25.71426
11,7.5,0000 1 Mar 1995,25.06171
12,7.5,0000 1 Mar 1995,24.89861
13,7.5,0000 1 Mar 1995,25.04938
14,7.5,0000 1 Mar 1995,25.57024
15,7.5,0000 1 Mar 1995,25.38596
1,8.5,0000 1 Mar 1995,25.08875
2,8.5,0000 1 Mar 1995,25.80906
3,8.5,0000 1 Mar 1995,25.3339
4,8.5,0000 1 Mar 1995,25.79069
5,8.5,0000 1 Mar 1995,25.72585
6,8.5,0000 1 Mar 1995,25.37229
7,8.5,0000 1 Mar 1995,24.77575
8,8.5,0000 1 Mar 1995,25.32089
9,8.5,0000 1 Mar 1995,26.21415
10,8.5,0000 1 Mar 1995,25.66496
11,8.5,0000 1 Mar 1995,25.17413
12,8.5,0000 1 Mar 1995,24.8602
13,8.5,0000 1 Mar 1995,24.90344
14,8.5,0000 1 Mar 1995,25.52995
15,8.5,0000 1 Mar 1995,25.31973
1,9.5,0000 1 Mar 1995,24.72477
2,9.5,0000 1 Mar 1995,25.6377
3,9.5,0000 1 Mar 1995,25.07268
4,9.5,0000 1 Mar 1995,25.48822
5,9.5,0000 1 Mar 1995,25.48592
6,9.5,0000 1 Mar 1995,25.1787
7,9.5,0000 1 Mar 1995,24.54394
8,9.5,0000 1 Mar 1995,25.15578
9,9.5,0000 1 Mar 1995,26.20431
10,9.5,0000 1 Mar 1995,25.54026
11,9.5,0000 1 Mar 1995,25.00975
12,9.5,0000 1 Mar 1995,24.72357
13,9.5,0000 1 Mar 1995,24.65784
14,9.5,0000 1 Mar 1995,25.3618
15,9.5,0000 1 Mar 1995,25.13289
1,10.5,0000 1 Mar 1995,24.63663
2,10.5,0000 1 Mar 1995,25.38124
3,10.5,0000 1 Mar 1995,24.91787
4,10.5,0000 1 Mar 1995,25.16608
5,10.5,0000 1 Mar 1995,25.36811
6,10.5,0000 1 Mar 1995,25.00574
7,10.5,0000 1 Mar 1995,24.59392
8,10.5,0000 1 Mar 1995,25.18379
9,10.5,0000 1 Mar 1995,26.18565
10,10.5,0000 1 Mar 1995,25.40277
11,10.5,0000 1 Mar 1995,24.81211
12,10.5,0000 1 Mar 1995,24.73051
13,10.5,0000 1 Mar 1995,24.44165
14,10.5,0000 1 Mar 1995,25.42898
15,10.5,0000 1 Mar 1995,25.016
1,1.5,0000 1 Apr 1995,27.54297
2,1.5,0000 1 Apr 1995,27.40657
3,1.5,0000 1 Apr 1995,27.59457
4,1.5,0000 1 Apr 1995,27.66065
5,1.5,0000 1 Apr 1995,27.73779
6,1.5,0000 1 Apr 1995,27.48928
7,1.5,0000 1 Apr 1995,27.47085
8,1.5,0000 1 Apr 1995,27.48736
9,1.5,0000 1 Apr 1995,27.33035
10,1.5,0000 1 Apr 1995,27.41796
11,1.5,0000 1 Apr 1995,27.38251
12,1.5,0000 1 Apr 1995,27.48386
13,1.5,0000 1 Apr 1995,27.52801
14,1.5,0000 1 Apr 1995,27.40547
15,1.5,0000 1 Apr 1995,27.60792
1,2.5,0000 1 Apr 1995,26.96967
2,2.5,0000 1 Apr 1995,26.70207
3,2.5,0000 1 Apr 1995,27.08882
4,2.5,0000 1 Apr 1995,27.15334
5,2.5,0000 1 Apr 1995,27.45109
6,2.5,0000 1 Apr 1995,26.9191
7,2.5,0000 1 Apr 1995,26.88041
8,2.5,0000 1 Apr 1995,26.809
9,2.5,0000 1 Apr 1995,26.81979
10,2.5,0000 1 Apr 1995,26.76272
11,2.5,0000 1 Apr 1995,26.78503
12,2.5,0000 1 Apr 1995,26.68246
13,2.5,0000 1 Apr 1995,26.99869
14,2.5,0000 1 Apr 1995,26.82714
15,2.5,0000 1 Apr 1995,27.0539
1,3.5,0000 1 Apr 1995,26.32429
2,3.5,0000 1 Apr 1995,25.8139
3,3.5,0000 1 Apr 1995,26.34479
4,3.5,0000 1 Apr 1995,26.39691
5,3.5,0000 1 Apr 1995,26.88939
6,3.5,0000 1 Apr 1995,26.25555
7,3.5,0000 1 Apr 1995,26.07177
8,3.5,0000 1 Apr 1995,25.96229
9,3.5,0000 1 Apr 1995,26.21844
10,3.5,0000 1 Apr 1995,26.03506
11,3.5,0000 1 Apr 1995,25.99081
12,3.5,0000 1 Apr 1995,25.67185
13,3.5,0000 1 Apr 1995,26.22395
14,3.5,0000 1 Apr 1995,26.15329
15,3.5,0000 1 Apr 1995,26.30453
1,4.5,0000 1 Apr 1995,25.95354
2,4.5,0000 1 Apr 1995,25.12577
3,4.5,0000 1 Apr 1995,25.76731
4,4.5,0000 1 Apr 1995,25.80903
5,4.5,0000 1 Apr 1995,26.33959
6,4.5,0000 1 Apr 1995,25.88758
7,4.5,0000 1 Apr 1995,25.50628
8,4.5,0000 1 Apr 1995,25.44938
9,4.5,0000 1 Apr 1995,25.74907
10,4.5,0000 1 Apr 1995,25.53631
11,4.5,0000 1 Apr 1995,25.34219
12,4.5,0000 1 Apr 1995,24.92642
13,4.5,0000 1 Apr 1995,25.60753
14,4.5,0000 1 Apr 1995,25.69634
15,4.5,0000 1 Apr 1995,25.79389
1,5.5,0000 1 Apr 1995,25.9628
2,5.5,0000 1 Apr 1995,24.87959
3,5.5,0000 1 Apr 1995,25.5742
4,5.5,0000 1 Apr 1995,25.54533
5,5.5,0000 1 Apr 1995,26.01248
6,5.5,0000 1 Apr 1995,25.83543
7,5.5,0000 1 Apr 1995,25.28601
8,5.5,0000 1 Apr 1995,25.34811
9,5.5,0000 1 Apr 1995,25.4688
10,5.5,0000 1 Apr 1995,25.40752
11,5.5,0000 1 Apr 1995,24.9739
12,5.5,0000 1 Apr 1995,24.79019
13,5.5,0000 1 Apr 1995,25.42224
14,5.5,0000 1 Apr 1995,25.54853
15,5.5,0000 1 Apr 1995,25.58154
1,6.5,0000 1 Apr 1995,26.04132
2,6.5,0000 1 Apr 1995,24.78283
3,6.5,0000 1 Apr 1995,25.59888
4,6.5,0000 1 Apr 1995,25.61175
5,6.5,0000 1 Apr 1995,25.94247
6,6.5,0000 1 Apr 1995,25.90429
7,6.5,0000 1 Apr 1995,25.31648
8,6.5,0000 1 Apr 1995,25.35216
9,6.5,0000 1 Apr 1995,25.3212
10,6.5,0000 1 Apr 1995,25.27414
11,6.5,0000 1 Apr 1995,24.87307
12,6.5,0000 1 Apr 1995,24.7943
13,6.5,0000 1 Apr 1995,25.44098
14,6.5,0000 1 Apr 1995,25.56318
15,6.5,0000 1 Apr 1995,25.65516
1,7.5,0000 1 Apr 1995,25.95611
2,7.5,0000 1 Apr 1995,24.64716
3,7.5,0000 1 Apr 1995,25.61316
4,7.5,0000 1 Apr 1995,25.58789
5,7.5,0000 1 Apr 1995,25.89246
6,7.5,0000 1 Apr 1995,25.75896
7,7.5,0000 1 Apr 1995,25.26111
8,7.5,0000 1 Apr 1995,25.08996
9,7.5,0000 1 Apr 1995,25.10214
10,7.5,0000 1 Apr 1995,25.0291
11,7.5,0000 1 Apr 1995,24.83681
12,7.5,0000 1 Apr 1995,24.79125
13,7.5,0000 1 Apr 1995,25.44332
14,7.5,0000 1 Apr 1995,25.44666
15,7.5,0000 1 Apr 1995,25.67846
1,8.5,0000 1 Apr 1995,25.70168
2,8.5,0000 1 Apr 1995,24.44606
3,8.5,0000 1 Apr 1995,25.52417
4,8.5,0000 1 Apr 1995,25.52285
5,8.5,0000 1 Apr 1995,25.68651
6,8.5,0000 1 Apr 1995,25.51657
7,8.5,0000 1 Apr 1995,25.00033
8,8.5,0000 1 Apr 1995,24.76752
9,8.5,0000 1 Apr 1995,24.8469
10,8.5,0000 1 Apr 1995,24.74248
11,8.5,0000 1 Apr 1995,24.78752
12,8.5,0000 1 Apr 1995,24.6951
13,8.5,0000 1 Apr 1995,25.31987
14,8.5,0000 1 Apr 1995,25.20381
15,8.5,0000 1 Apr 1995,25.72174
1,9.5,0000 1 Apr 1995,25.38984
2,9.5,0000 1 Apr 1995,24.33041
3,9.5,0000 1 Apr 1995,25.49866
4,9.5,0000 1 Apr 1995,25.52212
5,9.5,0000 1 Apr 1995,25.47476
6,9.5,0000 1 Apr 1995,25.21699
7,9.5,0000 1 Apr 1995,24.76699
8,9.5,0000 1 Apr 1995,24.62315
9,9.5,0000 1 Apr 1995,24.64946
10,9.5,0000 1 Apr 1995,24.83043
11,9.5,0000 1 Apr 1995,24.90226
12,9.5,0000 1 Apr 1995,24.68335
13,9.5,0000 1 Apr 1995,25.22316
14,9.5,0000 1 Apr 1995,24.87293
15,9.5,0000 1 Apr 1995,25.72854
1,10.5,0000 1 Apr 1995,25.19125
2,10.5,0000 1 Apr 1995,24.43344
3,10.5,0000 1 Apr 1995,25.74385
4,10.5,0000 1 Apr 1995,25.67023
5,10.5,0000 1 Apr 1995,25.47315
6,10.5,0000 1 Apr 1995,25.22405
7,10.5,0000 1 Apr 1995,25.00144
8,10.5,0000 1 Apr 1995,24.95264
9,10.5,0000 1 Apr 1995,24.72527
10,10.5,0000 1 Apr 1995,25.17328
11,10.5,0000 1 Apr 1995,25.24663
12,10.5,0000 1 Apr 1995,24.83238
13,10.5,0000 1 Apr 1995,25.39813
14,10.5,0000 1 Apr 1995,24.80672
15,10.5,0000 1 Apr 1995,25.96956
1,1.5,0000 1 May 1995,26.54682
2,1.5,0000 1 May 1995,26.53466
3,1.5,0000 1 May 1995,26.35752
4,1.5,0000 1 May 1995,26.60439
5,1.5,0000 1 May 1995,26.70272
6,1.5,0000 1 May 1995,26.42669
7,1.5,0000 1 May 1995,26.43908
8,1.5,0000 1 May 1995,26.48407
9,1.5,0000 1 May 1995,26.78483
10,1.5,0000 1 May 1995,26.20505
11,1.5,0000 1 May 1995,26.66462
12,1.5,0000 1 May 1995,26.62508
13,1.5,0000 1 May 1995,26.4132
14,1.5,0000 1 May 1995,26.63828
15,1.5,0000 1 May 1995,26.84535
1,2.5,0000 1 May 1995,25.72411
2,2.5,0000 1 May 1995,25.76851
3,2.5,0000 1 May 1995,25.34027
4,2.5,0000 1 May 1995,25.69391
5,2.5,0000 1 May 1995,25.93574
6,2.5,0000 1 May 1995,25.48955
7,2.5,0000 1 May 1995,25.67936
8,2.5,0000 1 May 1995,25.63078
9,2.5,0000 1 May 1995,26.09283
10,2.5,0000 1 May 1995,25.17008
11,2.5,0000 1 May 1995,25.86586
12,2.5,0000 1 May 1995,25.87146
13,2.5,0000 1 May 1995,25.59028
14,2.5,0000 1 May 1995,25.92849
15,2.5,0000 1 May 1995,26.1279
1,3.5,0000 1 May 1995,25.18464
2,3.5,0000 1 May 1995,25.30567
3,3.5,0000 1 May 1995,24.54544
4,3.5,0000 1 May 1995,25.01527
5,3.5,0000 1 May 1995,25.3012
6,3.5,0000 1 May 1995,24.86202
7,3.5,0000 1 May 1995,25.22516
8,3.5,0000 1 May 1995,24.99696
9,3.5,0000 1 May 1995,25.58475
10,3.5,0000 1 May 1995,24.36408
11,3.5,0000 1 May 1995,25.20607
12,3.5,0000 1 May 1995,25.27227
13,3.5,0000 1 May 1995,24.96934
14,3.5,0000 1 May 1995,25.39528
15,3.5,0000 1 May 1995,25.57825
1,4.5,0000 1 May 1995,25.06144
2,4.5,0000 1 May 1995,25.16078
3,4.5,0000 1 May 1995,24.33997
4,4.5,0000 1 May 1995,24.86971
5,4.5,0000 1 May 1995,24.91685
6,4.5,0000 1 May 1995,24.69059
7,4.5,0000 1 May 1995,25.26103
8,4.5,0000 1 May 1995,24.82909
9,4.5,0000 1 May 1995,25.35498
10,4.5,0000 1 May 1995,24.12294
11,4.5,0000 1 May 1995,24.98231
12,4.5,0000 1 May 1995,25.00119
13,4.5,0000 1 May 1995,24.74516
14,4.5,0000 1 May 1995,25.25864
15,4.5,0000 1 May 1995,25.35604
1,5.5,0000 1 May 1995,25.06441
2,5.5,0000 1 May 1995,25.21412
3,5.5,0000 1 May 1995,24.41108
4,5.5,0000 1 May 1995,24.9334
5,5.5,0000 1 May 1995,24.69245
6,5.5,0000 1 May 1995,24.7121
7,5.5,0000 1 May 1995,25.39048
8,5.5,0000 1 May 1995,24.80429
9,5.5,0000 1 May 1995,25.23668
10,5.5,0000 1 May 1995,24.08347
11,5.5,0000 1 May 1995,24.92129
12,5.5,0000 1 May 1995,24.9453
13,5.5,0000 1 May 1995,24.618
14,5.5,0000 1 May 1995,25.26602
15,5.5,0000 1 May 1995,25.36311
1,6.5,0000 1 May 1995,25.01581
2,6.5,0000 1 May 1995,25.19675
3,6.5,0000 1 May 1995,24.50425
4,6.5,0000 1 May 1995,24.93015
5,6.5,0000 1 May 1995,24.50568
6,6.5,0000 1 May 1995,24.62199
7,6.5,0000 1 May 1995,25.29838
8,6.5,0000 1 May 1995,24.71551
9,6.5,0000 1 May 1995,24.98424
10,6.5,0000 1 May 1995,24.08553
11,6.5,0000 1 May 1995,24.90508
12,6.5,0000 1 May 1995,24.91714
13,6.5,0000 1 May 1995,24.34615
14,6.5,0000 1 May 1995,25.26777
15,6.5,0000 1 May 1995,25.31641
1,7.5,0000 1 May 1995,24.92379
2,7.5,0000 1 May 1995,25.13058
3,7.5,0000 1 May 1995,24.57935
4,7.5,0000 1 May 1995,24.75832
5,7.5,0000 1 May 1995,24.37588
6,7.5,0000 1 May 1995,24.44897
7,7.5,0000 1 May 1995,24.9341
8,7.5,0000 1 May 1995,24.57707
9,7.5,0000 1 May 1995,24.69675
10,7.5,0000 1 May 1995,23.98928
11,7.5,0000 1 May 1995,24.71701
12,7.5,0000 1 May 1995,24.80991
13,7.5,0000 1 May 1995,23.8832
14,7.5,0000 1 May 1995,25.12213
15,7.5,0000 1 May 1995,25.02805
1,8.5,0000 1 May 1995,24.92999
2,8.5,0000 1 May 1995,25.15335
3,8.5,0000 1 May 1995,24.62482
4,8.5,0000 1 May 1995,24.71986
5,8.5,0000 1 May 1995,24.3292
6,8.5,0000 1 May 1995,24.39243
7,8.5,0000 1 May 1995,24.62114
8,8.5,0000 1 May 1995,24.58363
9,8.5,0000 1 May 1995,24.54706
10,8.5,0000 1 May 1995,24.05607
11,8.5,0000 1 May 1995,24.60432
12,8.5,0000 1 May 1995,24.73664
13,8.5,0000 1 May 1995,23.60357
14,8.5,0000 1 May 1995,25.08073
15,8.5,0000 1 May 1995,24.84054
1,9.5,0000 1 May 1995,25.34324
2,9.5,0000 1 May 1995,25.36524
3,9.5,0000 1 May 1995,24.93115
4,9.5,0000 1 May 1995,25.06275
5,9.5,0000 1 May 1995,24.52212
6,9.5,0000 1 May 1995,24.7981
7,9.5,0000 1 May 1995,24.87141
8,9.5,0000 1 May 1995,24.96919
9,9.5,0000 1 May 1995,24.86243
10,9.5,0000 1 May 1995,24.53671
11,9.5,0000 1 May 1995,24.82396
12,9.5,0000 1 May 1995,24.9312
13,9.5,0000 1 May 1995,23.93301
14,9.5,0000 1 May 1995,25.40117
15,9.5,0000 1 May 1995,25.07673
1,10.5,0000 1 May 1995,25.96798
2,10.5,0000 1 May 1995,25.81686
3,10.5,0000 1 May 1995,25.43567
4,10.5,0000 1 May 1995,25.78475
5,10.5,0000 1 May 1995,25.08527
6,10.5,0000 1 May 1995,25.44465
7,10.5,0000 1 May 1995,25.4074
8,10.5,0000 1 May 1995,25.42985
9,10.5,0000 1 May 1995,25.57534
10,10.5,0000 1 May 1995,25.28169
11,10.5,0000 1 May 1995,25.35949
12,10.5,0000 1 May 1995,25.35101
13,10.5,0000 1 May 1995,24.75464
14,10.5,0000 1 May 1995,25.9343
15,10.5,0000 1 May 1995,25.64071
1,1.5,0000 1 Jun 1995,26.45871
2,1.5,0000 1 Jun 1995,26.20514
3,1.5,0000 1 Jun 1995,26.20711
4,1.5,0000 1 Jun 1995,26.50699
5,1.5,0000 1 Jun 1995,26.30752
6,1.5,0000 1 Jun 1995,26.31737
7,1.5,0000 1 Jun 1995,26.34158
8,1.5,0000 1 Jun 1995,26.59776
9,1.5,0000 1 Jun 1995,26.4815
10,1.5,0000 1 Jun 1995,26.28538
11,1.5,0000 1 Jun 1995,26.39212
12,1.5,0000 1 Jun 1995,26.72222
13,1.5,0000 1 Jun 1995,26.20642
14,1.5,0000 1 Jun 1995,26.14993
15,1.5,0000 1 Jun 1995,26.26333
1,2.5,0000 1 Jun 1995,25.95032
2,2.5,0000 1 Jun 1995,25.56201
3,2.5,0000 1 Jun 1995,25.52349
4,2.5,0000 1 Jun 1995,26.054
5,2.5,0000 1 Jun 1995,25.57198
6,2.5,0000 1 Jun 1995,25.65376
7,2.5,0000 1 Jun 1995,25.67207
8,2.5,0000 1 Jun 1995,25.89688
9,2.5,0000 1 Jun 1995,26.10982
10,2.5,0000 1 Jun 1995,25.71903
11,2.5,0000 1 Jun 1995,25.75081
12,2.5,0000 1 Jun 1995,26.20229
13,2.5,0000 1 Jun 1995,25.58595
14,2.5,0000 1 Jun 1995,25.4452
15,2.5,0000 1 Jun 1995,25.59915
1,3.5,0000 1 Jun 1995,25.72543
2,3.5,0000 1 Jun 1995,25.35089
3,3.5,0000 1 Jun 1995,25.17628
4,3.5,0000 1 Jun 1995,25.95431
5,3.5,0000 1 Jun 1995,25.16533
6,3.5,0000 1 Jun 1995,25.41914
7,3.5,0000 1 Jun 1995,25.34917
8,3.5,0000 1 Jun 1995,25.52755
9,3.5,0000 1 Jun 1995,25.98252
10,3.5,0000 1 Jun 1995,25.48461
11,3.5,0000 1 Jun 1995,25.52903
12,3.5,0000 1 Jun 1995,25.90301
13,3.5,0000 1 Jun 1995,25.37764
14,3.5,0000 1 Jun 1995,25.12127
15,3.5,0000 1 Jun 1995,25.39396
1,4.5,0000 1 Jun 1995,25.75872
2,4.5,0000 1 Jun 1995,25.38251
3,4.5,0000 1 Jun 1995,25.07369
4,4.5,0000 1 Jun 1995,26.03895
5,4.5,0000 1 Jun 1995,25.11532
6,4.5,0000 1 Jun 1995,25.53612
7,4.5,0000 1 Jun 1995,25.33656
8,4.5,0000 1 Jun 1995,25.58634
9,4.5,0000 1 Jun 1995,26.08322
10,4.5,0000 1 Jun 1995,25.34067
11,4.5,0000 1 Jun 1995,25.55634
12,4.5,0000 1 Jun 1995,25.70801
13,4.5,0000 1 Jun 1995,25.38439
14,4.5,0000 1 Jun 1995,25.15461
15,4.5,0000 1 Jun 1995,25.45231
1,5.5,0000 1 Jun 1995,25.68708
2,5.5,0000 1 Jun 1995,25.32965
3,5.5,0000 1 Jun 1995,24.81964
4,5.5,0000 1 Jun 1995,25.94399
5,5.5,0000 1 Jun 1995,25.01598
6,5.5,0000 1 Jun 1995,25.54974
7,5.5,0000 1 Jun 1995,25.27039
8,5.5,0000 1 Jun 1995,25.56203
9,5.5,0000 1 Jun 1995,25.92678
10,5.5,0000 1 Jun 1995,25.11463
11,5.5,0000 1 Jun 1995,25.52006
12,5.5,0000 1 Jun 1995,25.41911
13,5.5,0000 1 Jun 1995,25.14163
14,5.5,0000 1 Jun 1995,25.09839
15,5.5,0000 1 Jun 1995,25.39264
1,6.5,0000 1 Jun 1995,25.39888
2,6.5,0000 1 Jun 1995,25.08691
3,6.5,0000 1 Jun 1995,24.40497
4,6.5,0000 1 Jun 1995,25.7358
5,6.5,0000 1 Jun 1995,24.77472
6,6.5,0000 1 Jun 1995,25.35811
7,6.5,0000 1 Jun 1995,25.05567
8,6.5,0000 1 Jun 1995,25.38102
9,6.5,0000 1 Jun 1995,25.63559
10,6.5,0000 1 Jun 1995,24.76811
11,6.5,0000 1 Jun 1995,25.3125
12,6.5,0000 1 Jun 1995,25.10493
13,6.5,0000 1 Jun 1995,24.79681
14,6.5,0000 1 Jun 1995,24.92698
15,6.5,0000 1 Jun 1995,25.33341
1,7.5,0000 1 Jun 1995,25.0743
2,7.5,0000 1 Jun 1995,24.98981
3,7.5,0000 1 Jun 1995,24.13757
4,7.5,0000 1 Jun 1995,25.52911
5,7.5,0000 1 Jun 1995,24.62582
6,7.5,0000 1 Jun 1995,25.2108
7,7.5,0000 1 Jun 1995,25.06291
8,7.5,0000 1 Jun 1995,25.17698
9,7.5,0000 1 Jun 1995,25.2803
10,7.5,0000 1 Jun 1995,24.70756
11,7.5,0000 1 Jun 1995,25.2419
12,7.5,0000 1 Jun 1995,25.00002
13,7.5,0000 1 Jun 1995,24.68652
14,7.5,0000 1 Jun 1995,24.82866
15,7.5,0000 1 Jun 1995,25.32302
1,8.5,0000 1 Jun 1995,24.94496
2,8.5,0000 1 Jun 1995,25.13185
3,8.5,0000 1 Jun 1995,24.32689
4,8.5,0000 1 Jun 1995,25.65505
5,8.5,0000 1 Jun 1995,24.90989
6,8.5,0000 1 Jun 1995,25.28608
7,8.5,0000 1 Jun 1995,25.33429
8,8.5,0000 1 Jun 1995,25.04437
9,8.5,0000 1 Jun 1995,25.35736
10,8.5,0000 1 Jun 1995,24.86017
11,8.5,0000 1 Jun 1995,25.56705
12,8.5,0000 1 Jun 1995,25.17116
13,8.5,0000 1 Jun 1995,24.94796
14,8.5,0000 1 Jun 1995,25.07368
15,8.5,0000 1 Jun 1995,25.59162
1,9.5,0000 1 Jun 1995,25.34576
2,9.5,0000 1 Jun 1995,25.55853
3,9.5,0000 1 Jun 1995,24.91429
4,9.5,0000 1 Jun 1995,26.1469
5,9.5,0000 1 Jun 1995,25.65769
6,9.5,0000 1 Jun 1995,25.73836
7,9.5,0000 1 Jun 1995,25.82785
8,9.5,0000 1 Jun 1995,25.32096
9,9.5,0000 1 Jun 1995,25.81252
10,9.5,0000 1 Jun 1995,25.48505
11,9.5,0000 1 Jun 1995,26.19591
12,9.5,0000 1 Jun 1995,25.57397
13,9.5,0000 1 Jun 1995,25.57169
14,9.5,0000 1 Jun 1995,25.66734
15,9.5,0000 1 Jun 1995,26.05166
1,10.5,0000 1 Jun 1995,25.82609
2,10.5,0000 1 Jun 1995,25.88283
3,10.5,0000 1 Jun 1995,25.46104
4,10.5,0000 1 Jun 1995,26.64614
5,10.5,0000 1 Jun 1995,26.28826
6,10.5,0000 1 Jun 1995,26.09223
7,10.5,0000 1 Jun 1995,26.15231
8,10.5,0000 1 Jun 1995,25.7157
9,10.5,0000 1 Jun 1995,26.32786
10,10.5,0000 1 Jun 1995,25.96861
11,10.5,0000 1 Jun 1995,26.7564
12,10.5,0000 1 Jun 1995,25.94536
13,10.5,0000 1 Jun 1995,26.01252
14,10.5,0000 1 Jun 1995,26.35993
15,10.5,0000 1 Jun 1995,26.55542
1,1.5,0000 1 Jul 1995,25.874
2,1.5,0000 1 Jul 1995,25.75937
3,1.5,0000 1 Jul 1995,26.0801
4,1.5,0000 1 Jul 1995,25.866
5,1.5,0000 1 Jul 1995,25.91984
6,1.5,0000 1 Jul 1995,25.79378
7,1.5,0000 1 Jul 1995,25.86036
8,1.5,0000 1 Jul 1995,25.84294
9,1.5,0000 1 Jul 1995,25.99283
10,1.5,0000 1 Jul 1995,25.77269
11,1.5,0000 1 Jul 1995,25.86446
12,1.5,0000 1 Jul 1995,25.70463
13,1.5,0000 1 Jul 1995,25.85037
14,1.5,0000 1 Jul 1995,25.85303
15,1.5,0000 1 Jul 1995,26.05351
1,2.5,0000 1 Jul 1995,25.44764
2,2.5,0000 1 Jul 1995,25.51086
3,2.5,0000 1 Jul 1995,25.79628
4,2.5,0000 1 Jul 1995,25.47941
5,2.5,0000 1 Jul 1995,25.69333
6,2.5,0000 1 Jul 1995,25.47506
7,2.5,0000 1 Jul 1995,25.52089
8,2.5,0000 1 Jul 1995,25.30528
9,2.5,0000 1 Jul 1995,25.87858
