M,L,MON,LDC_SST_GFDL_SPEAR
1,9.5,0000 1 Jan 1991,25.11684
2,9.5,0000 1 Jan 1991,26.16401
3,9.5,0000 1 Jan 1991,27.30007
4,9.5,0000 1 Jan 1991,25.95731
5,9.5,0000 1 Jan 1991,26.15905
6,9.5,0000 1 Jan 1991,25.66064
7,9.5,0000 1 Jan 1991,26.11322
8,9.5,0000 1 Jan 1991,25.33525
9,9.5,0000 1 Jan 1991,25.14985
10,9.5,0000 1 Jan 1991,27.57135
11,9.5,0000 1 Jan 1991,25.27481
12,9.5,0000 1 Jan 1991,26.20148
13,9.5,0000 1 Jan 1991,25.80674
14,9.5,0000 1 Jan 1991,26.00507
15,9.5,0000 1 Jan 1991,25.97176
1,10.5,0000 1 Jan 1991,25.23846
2,10.5,0000 1 Jan 1991,26.22827
3,10.5,0000 1 Jan 1991,27.70945
4,10.5,0000 1 Jan 1991,25.93133
5,10.5,0000 1 Jan 1991,26.34284
6,10.5,0000 1 Jan 1991,25.71302
7,10.5,0000 1 Jan 1991,26.11678
8,10.5,0000 1 Jan 1991,25.21921
9,10.5,0000 1 Jan 1991,25.18046
10,10.5,0000 1 Jan 1991,27.95146
11,10.5,0000 1 Jan 1991,25.27836
12,10.5,0000 1 Jan 1991,26.21893
13,10.5,0000 1 Jan 1991,25.83448
14,10.5,0000 1 Jan 1991,25.96324
15,10.5,0000 1 Jan 1991,26.00208
1,1.5,0000 1 Feb 1991,27.06537
2,1.5,0000 1 Feb 1991,27.06665
3,1.5,0000 1 Feb 1991,27.20963
4,1.5,0000 1 Feb 1991,27.17316
5,1.5,0000 1 Feb 1991,27.11688
6,1.5,0000 1 Feb 1991,27.28676
7,1.5,0000 1 Feb 1991,26.97759
8,1.5,0000 1 Feb 1991,27.0576
9,1.5,0000 1 Feb 1991,27.0911
10,1.5,0000 1 Feb 1991,27.29077
11,1.5,0000 1 Feb 1991,27.16945
12,1.5,0000 1 Feb 1991,27.30032
13,1.5,0000 1 Feb 1991,27.17006
14,1.5,0000 1 Feb 1991,26.95817
15,1.5,0000 1 Feb 1991,27.25968
1,2.5,0000 1 Feb 1991,27.3369
2,2.5,0000 1 Feb 1991,27.35849
3,2.5,0000 1 Feb 1991,27.59953
4,2.5,0000 1 Feb 1991,27.46076
5,2.5,0000 1 Feb 1991,27.39401
6,2.5,0000 1 Feb 1991,27.58205
7,2.5,0000 1 Feb 1991,27.2267
8,2.5,0000 1 Feb 1991,27.27147
9,2.5,0000 1 Feb 1991,27.31493
10,2.5,0000 1 Feb 1991,27.58068
11,2.5,0000 1 Feb 1991,27.55183
12,2.5,0000 1 Feb 1991,27.64053
13,2.5,0000 1 Feb 1991,27.47817
14,2.5,0000 1 Feb 1991,27.22176
15,2.5,0000 1 Feb 1991,27.59814
1,3.5,0000 1 Feb 1991,27.28472
2,3.5,0000 1 Feb 1991,27.36512
3,3.5,0000 1 Feb 1991,27.60346
4,3.5,0000 1 Feb 1991,27.34253
5,3.5,0000 1 Feb 1991,27.41374
6,3.5,0000 1 Feb 1991,27.42747
7,3.5,0000 1 Feb 1991,27.28941
8,3.5,0000 1 Feb 1991,27.19157
9,3.5,0000 1 Feb 1991,27.26413
10,3.5,0000 1 Feb 1991,27.45064
11,3.5,0000 1 Feb 1991,27.54439
12,3.5,0000 1 Feb 1991,27.66427
13,3.5,0000 1 Feb 1991,27.44392
14,3.5,0000 1 Feb 1991,27.23307
15,3.5,0000 1 Feb 1991,27.59242
1,4.5,0000 1 Feb 1991,27.00782
2,4.5,0000 1 Feb 1991,27.02961
3,4.5,0000 1 Feb 1991,27.11419
4,4.5,0000 1 Feb 1991,26.8555
5,4.5,0000 1 Feb 1991,27.13394
6,4.5,0000 1 Feb 1991,26.82186
7,4.5,0000 1 Feb 1991,27.08029
8,4.5,0000 1 Feb 1991,26.81632
9,4.5,0000 1 Feb 1991,26.85928
10,4.5,0000 1 Feb 1991,26.86337
11,4.5,0000 1 Feb 1991,27.13305
12,4.5,0000 1 Feb 1991,27.33564
13,4.5,0000 1 Feb 1991,27.0752
14,4.5,0000 1 Feb 1991,26.87305
15,4.5,0000 1 Feb 1991,27.12356
1,5.5,0000 1 Feb 1991,26.64146
2,5.5,0000 1 Feb 1991,26.63084
3,5.5,0000 1 Feb 1991,26.51508
4,5.5,0000 1 Feb 1991,26.22569
5,5.5,0000 1 Feb 1991,26.6321
6,5.5,0000 1 Feb 1991,26.11361
7,5.5,0000 1 Feb 1991,26.63754
8,5.5,0000 1 Feb 1991,26.29207
9,5.5,0000 1 Feb 1991,26.31342
10,5.5,0000 1 Feb 1991,26.19458
11,5.5,0000 1 Feb 1991,26.6141
12,5.5,0000 1 Feb 1991,26.80157
13,5.5,0000 1 Feb 1991,26.62937
14,5.5,0000 1 Feb 1991,26.28275
15,5.5,0000 1 Feb 1991,26.4677
1,6.5,0000 1 Feb 1991,26.31315
2,6.5,0000 1 Feb 1991,26.34978
3,6.5,0000 1 Feb 1991,26.09696
4,6.5,0000 1 Feb 1991,25.74253
5,6.5,0000 1 Feb 1991,26.10761
6,6.5,0000 1 Feb 1991,25.58391
7,6.5,0000 1 Feb 1991,26.27736
8,6.5,0000 1 Feb 1991,25.75273
9,6.5,0000 1 Feb 1991,25.9028
10,6.5,0000 1 Feb 1991,25.64897
11,6.5,0000 1 Feb 1991,26.28646
12,6.5,0000 1 Feb 1991,26.32144
13,6.5,0000 1 Feb 1991,26.27184
14,6.5,0000 1 Feb 1991,25.76498
15,6.5,0000 1 Feb 1991,26.03588
1,7.5,0000 1 Feb 1991,26.18251
2,7.5,0000 1 Feb 1991,26.17652
3,7.5,0000 1 Feb 1991,25.99704
4,7.5,0000 1 Feb 1991,25.4374
5,7.5,0000 1 Feb 1991,25.74334
6,7.5,0000 1 Feb 1991,25.32497
7,7.5,0000 1 Feb 1991,26.17575
8,7.5,0000 1 Feb 1991,25.38907
9,7.5,0000 1 Feb 1991,25.8441
10,7.5,0000 1 Feb 1991,25.40647
11,7.5,0000 1 Feb 1991,26.21895
12,7.5,0000 1 Feb 1991,26.04521
13,7.5,0000 1 Feb 1991,26.1541
14,7.5,0000 1 Feb 1991,25.48765
15,7.5,0000 1 Feb 1991,25.90533
1,8.5,0000 1 Feb 1991,26.21491
2,8.5,0000 1 Feb 1991,26.00642
3,8.5,0000 1 Feb 1991,26.03191
4,8.5,0000 1 Feb 1991,25.24269
5,8.5,0000 1 Feb 1991,25.56396
6,8.5,0000 1 Feb 1991,25.35431
7,8.5,0000 1 Feb 1991,26.30951
8,8.5,0000 1 Feb 1991,25.25158
9,8.5,0000 1 Feb 1991,26.00951
10,8.5,0000 1 Feb 1991,25.34767
11,8.5,0000 1 Feb 1991,26.29361
12,8.5,0000 1 Feb 1991,26.15017
13,8.5,0000 1 Feb 1991,26.14514
14,8.5,0000 1 Feb 1991,25.39995
15,8.5,0000 1 Feb 1991,25.99489
1,9.5,0000 1 Feb 1991,26.28888
2,9.5,0000 1 Feb 1991,25.79663
