M,L,MON,LDC_SST_NASA_GEOSS2S
2,1.5,0000 1 Sep 1997,29.55053
3,1.5,0000 1 Sep 1997,29.53943
4,1.5,0000 1 Sep 1997,29.56386
1,2.5,0000 1 Sep 1997,29.91936
2,2.5,0000 1 Sep 1997,29.92021
3,2.5,0000 1 Sep 1997,29.78963
4,2.5,0000 1 Sep 1997,29.87679
1,3.5,0000 1 Sep 1997,30.15705
2,3.5,0000 1 Sep 1997,30.16561
3,3.5,0000 1 Sep 1997,29.87419
4,3.5,0000 1 Sep 1997,29.97101
1,4.5,0000 1 Sep 1997,30.29456
2,4.5,0000 1 Sep 1997,30.18652
3,4.5,0000 1 Sep 1997,29.80991
4,4.5,0000 1 Sep 1997,29.92108
1,5.5,0000 1 Sep 1997,30.41698
2,5.5,0000 1 Sep 1997,30.12412
3,5.5,0000 1 Sep 1997,29.62842
4,5.5,0000 1 Sep 1997,29.79154
1,6.5,0000 1 Sep 1997,30.53462
2,6.5,0000 1 Sep 1997,30.15671
3,6.5,0000 1 Sep 1997,29.50019
4,6.5,0000 1 Sep 1997,29.76007
1,7.5,0000 1 Sep 1997,30.72275
2,7.5,0000 1 Sep 1997,30.03912
3,7.5,0000 1 Sep 1997,29.12267
4,7.5,0000 1 Sep 1997,29.47392
1,1.5,0000 1 Oct 1997,29.88814
2,1.5,0000 1 Oct 1997,29.91346
3,1.5,0000 1 Oct 1997,29.87613
4,1.5,0000 1 Oct 1997,30.04007
1,2.5,0000 1 Oct 1997,29.96257
2,2.5,0000 1 Oct 1997,29.99599
3,2.5,0000 1 Oct 1997,30.02139
4,2.5,0000 1 Oct 1997,30.02755
1,3.5,0000 1 Oct 1997,29.85185
2,3.5,0000 1 Oct 1997,30.0122
3,3.5,0000 1 Oct 1997,29.97856
4,3.5,0000 1 Oct 1997,29.69432
1,4.5,0000 1 Oct 1997,29.87159
2,4.5,0000 1 Oct 1997,30.06671
3,4.5,0000 1 Oct 1997,29.91685
4,4.5,0000 1 Oct 1997,29.35257
1,5.5,0000 1 Oct 1997,29.72011
2,5.5,0000 1 Oct 1997,30.15927
3,5.5,0000 1 Oct 1997,29.91662
4,5.5,0000 1 Oct 1997,29.0613
1,6.5,0000 1 Oct 1997,29.19241
2,6.5,0000 1 Oct 1997,30.21533
3,6.5,0000 1 Oct 1997,29.96778
4,6.5,0000 1 Oct 1997,28.45643
1,7.5,0000 1 Oct 1997,28.0913
2,7.5,0000 1 Oct 1997,30.09187
3,7.5,0000 1 Oct 1997,29.57171
4,7.5,0000 1 Oct 1997,27.57781
1,1.5,0000 1 Nov 1997,30.07841
2,1.5,0000 1 Nov 1997,29.91529
3,1.5,0000 1 Nov 1997,29.88317
4,1.5,0000 1 Nov 1997,29.72268
1,2.5,0000 1 Nov 1997,29.99194
2,2.5,0000 1 Nov 1997,29.74111
3,2.5,0000 1 Nov 1997,29.84878
4,2.5,0000 1 Nov 1997,29.63623
1,3.5,0000 1 Nov 1997,29.98944
2,3.5,0000 1 Nov 1997,29.5424
3,3.5,0000 1 Nov 1997,29.46547
4,3.5,0000 1 Nov 1997,29.36439
1,4.5,0000 1 Nov 1997,30.07378
2,4.5,0000 1 Nov 1997,29.66406
3,4.5,0000 1 Nov 1997,29.24443
4,4.5,0000 1 Nov 1997,29.25244
1,5.5,0000 1 Nov 1997,30.22013
2,5.5,0000 1 Nov 1997,29.53294
3,5.5,0000 1 Nov 1997,29.15842
4,5.5,0000 1 Nov 1997,29.10035
1,6.5,0000 1 Nov 1997,30.15891
2,6.5,0000 1 Nov 1997,29.00154
3,6.5,0000 1 Nov 1997,28.60095
4,6.5,0000 1 Nov 1997,28.37288
1,7.5,0000 1 Nov 1997,29.35333
2,7.5,0000 1 Nov 1997,27.83075
3,7.5,0000 1 Nov 1997,26.91219
4,7.5,0000 1 Nov 1997,26.69666
1,1.5,0000 1 Dec 1997,29.66695
2,1.5,0000 1 Dec 1997,29.6182
3,1.5,0000 1 Dec 1997,29.75859
4,1.5,0000 1 Dec 1997,29.6694
1,2.5,0000 1 Dec 1997,29.60928
2,2.5,0000 1 Dec 1997,29.21441
3,2.5,0000 1 Dec 1997,29.81272
4,2.5,0000 1 Dec 1997,29.60022
1,3.5,0000 1 Dec 1997,29.79132
2,3.5,0000 1 Dec 1997,28.85198
3,3.5,0000 1 Dec 1997,29.81186
4,3.5,0000 1 Dec 1997,29.43229
1,4.5,0000 1 Dec 1997,29.79195
2,4.5,0000 1 Dec 1997,28.34299
3,4.5,0000 1 Dec 1997,29.97478
4,4.5,0000 1 Dec 1997,28.99977
1,5.5,0000 1 Dec 1997,29.15383
2,5.5,0000 1 Dec 1997,27.50817
3,5.5,0000 1 Dec 1997,30.10686
4,5.5,0000 1 Dec 1997,27.97516
1,6.5,0000 1 Dec 1997,27.48812
2,6.5,0000 1 Dec 1997,26.32584
3,6.5,0000 1 Dec 1997,29.4679
4,6.5,0000 1 Dec 1997,26.33128
1,7.5,0000 1 Dec 1997,25.65038
2,7.5,0000 1 Dec 1997,25.47376
3,7.5,0000 1 Dec 1997,28.20103
4,7.5,0000 1 Dec 1997,24.8128
1,1.5,0000 1 Jan 1998,29.39821
2,1.5,0000 1 Jan 1998,29.38846
3,1.5,0000 1 Jan 1998,29.24924
4,1.5,0000 1 Jan 1998,29.45691
1,2.5,0000 1 Jan 1998,29.28033
2,2.5,0000 1 Jan 1998,29.51705
3,2.5,0000 1 Jan 1998,29.24245
4,2.5,0000 1 Jan 1998,29.55893
1,3.5,0000 1 Jan 1998,29.16306
2,3.5,0000 1 Jan 1998,29.6912
3,3.5,0000 1 Jan 1998,29.30055
4,3.5,0000 1 Jan 1998,29.29243
1,4.5,0000 1 Jan 1998,28.61221
2,4.5,0000 1 Jan 1998,29.145
3,4.5,0000 1 Jan 1998,28.85083
4,4.5,0000 1 Jan 1998,28.24827
1,5.5,0000 1 Jan 1998,27.46965
2,5.5,0000 1 Jan 1998,27.6148
3,5.5,0000 1 Jan 1998,27.72897
4,5.5,0000 1 Jan 1998,26.7101
1,6.5,0000 1 Jan 1998,26.22282
2,6.5,0000 1 Jan 1998,26.22097
3,6.5,0000 1 Jan 1998,26.48823
4,6.5,0000 1 Jan 1998,25.2729
1,7.5,0000 1 Jan 1998,25.35594
2,7.5,0000 1 Jan 1998,25.44257
3,7.5,0000 1 Jan 1998,25.63434
4,7.5,0000 1 Jan 1998,24.4046
1,1.5,0000 1 Feb 1998,29.09225
2,1.5,0000 1 Feb 1998,29.37846
3,1.5,0000 1 Feb 1998,28.909
4,1.5,0000 1 Feb 1998,29.00762
1,2.5,0000 1 Feb 1998,29.23781
2,2.5,0000 1 Feb 1998,29.58664
3,2.5,0000 1 Feb 1998,28.82207
4,2.5,0000 1 Feb 1998,29.10781
1,3.5,0000 1 Feb 1998,28.73195
2,3.5,0000 1 Feb 1998,29.53834
3,3.5,0000 1 Feb 1998,28.49283
4,3.5,0000 1 Feb 1998,29.04456
1,4.5,0000 1 Feb 1998,27.5742
2,4.5,0000 1 Feb 1998,28.56984
3,4.5,0000 1 Feb 1998,27.35244
4,4.5,0000 1 Feb 1998,28.31726
1,5.5,0000 1 Feb 1998,26.10339
2,5.5,0000 1 Feb 1998,27.27511
3,5.5,0000 1 Feb 1998,25.93004
4,5.5,0000 1 Feb 1998,27.21442
1,6.5,0000 1 Feb 1998,25.17522
2,6.5,0000 1 Feb 1998,26.03403
3,6.5,0000 1 Feb 1998,24.58236
4,6.5,0000 1 Feb 1998,25.88448
1,7.5,0000 1 Feb 1998,24.7531
2,7.5,0000 1 Feb 1998,25.59826
3,7.5,0000 1 Feb 1998,24.04738
4,7.5,0000 1 Feb 1998,25.27047
1,1.5,0000 1 Mar 1998,29.12342
2,1.5,0000 1 Mar 1998,29.17126
3,1.5,0000 1 Mar 1998,29.02199
4,1.5,0000 1 Mar 1998,29.48265
1,2.5,0000 1 Mar 1998,29.20538
2,2.5,0000 1 Mar 1998,28.97734
3,2.5,0000 1 Mar 1998,28.87904
4,2.5,0000 1 Mar 1998,29.45674
1,3.5,0000 1 Mar 1998,28.44314
2,3.5,0000 1 Mar 1998,27.97
3,3.5,0000 1 Mar 1998,27.91671
4,3.5,0000 1 Mar 1998,28.63608
1,4.5,0000 1 Mar 1998,27.01203
2,4.5,0000 1 Mar 1998,26.50388
3,4.5,0000 1 Mar 1998,26.47083
4,4.5,0000 1 Mar 1998,27.38333
1,5.5,0000 1 Mar 1998,25.55416
2,5.5,0000 1 Mar 1998,25.20205
3,5.5,0000 1 Mar 1998,25.11116
4,5.5,0000 1 Mar 1998,26.30504
1,6.5,0000 1 Mar 1998,24.70086
2,6.5,0000 1 Mar 1998,24.54976
3,6.5,0000 1 Mar 1998,24.56231
4,6.5,0000 1 Mar 1998,25.68194
1,7.5,0000 1 Mar 1998,24.27179
2,7.5,0000 1 Mar 1998,24.05372
3,7.5,0000 1 Mar 1998,23.99171
4,7.5,0000 1 Mar 1998,25.2815
1,1.5,0000 1 Apr 1998,29.50533
2,1.5,0000 1 Apr 1998,29.70554
3,1.5,0000 1 Apr 1998,29.08888
4,1.5,0000 1 Apr 1998,28.89557
1,2.5,0000 1 Apr 1998,29.01694
2,2.5,0000 1 Apr 1998,29.32025
3,2.5,0000 1 Apr 1998,28.09527
4,2.5,0000 1 Apr 1998,27.97093
1,3.5,0000 1 Apr 1998,28.11133
2,3.5,0000 1 Apr 1998,28.52761
3,3.5,0000 1 Apr 1998,26.56072
4,3.5,0000 1 Apr 1998,26.47371
1,4.5,0000 1 Apr 1998,26.90792
2,4.5,0000 1 Apr 1998,27.50457
3,4.5,0000 1 Apr 1998,25.31752
4,4.5,0000 1 Apr 1998,24.97605
1,5.5,0000 1 Apr 1998,26.20347
2,5.5,0000 1 Apr 1998,26.74978
3,5.5,0000 1 Apr 1998,24.74836
4,5.5,0000 1 Apr 1998,24.21371
1,6.5,0000 1 Apr 1998,25.71743
2,6.5,0000 1 Apr 1998,26.09331
3,6.5,0000 1 Apr 1998,24.54104
4,6.5,0000 1 Apr 1998,23.80659
1,7.5,0000 1 Apr 1998,25.19033
2,7.5,0000 1 Apr 1998,25.52728
3,7.5,0000 1 Apr 1998,24.18067
4,7.5,0000 1 Apr 1998,23.53426
1,1.5,0000 1 May 1998,28.6964
2,1.5,0000 1 May 1998,28.59988
3,1.5,0000 1 May 1998,28.48827
4,1.5,0000 1 May 1998,27.98325
1,2.5,0000 1 May 1998,27.87477
2,2.5,0000 1 May 1998,27.47019
3,2.5,0000 1 May 1998,27.35667
4,2.5,0000 1 May 1998,26.72932
1,3.5,0000 1 May 1998,26.80428
2,3.5,0000 1 May 1998,26.30427
3,3.5,0000 1 May 1998,26.21581
4,3.5,0000 1 May 1998,25.60819
1,4.5,0000 1 May 1998,25.96632
2,4.5,0000 1 May 1998,25.77761
3,4.5,0000 1 May 1998,25.44637
4,4.5,0000 1 May 1998,25.04405
1,5.5,0000 1 May 1998,25.40684
2,5.5,0000 1 May 1998,25.60967
3,5.5,0000 1 May 1998,25.02517
4,5.5,0000 1 May 1998,24.88901
1,6.5,0000 1 May 1998,24.83673
2,6.5,0000 1 May 1998,25.38887
3,6.5,0000 1 May 1998,24.53303
4,6.5,0000 1 May 1998,24.76253
1,7.5,0000 1 May 1998,24.23512
2,7.5,0000 1 May 1998,24.92196
3,7.5,0000 1 May 1998,23.9574
4,7.5,0000 1 May 1998,24.52961
1,1.5,0000 1 Jun 1998,26.70984
2,1.5,0000 1 Jun 1998,25.32772
3,1.5,0000 1 Jun 1998,25.80595
4,1.5,0000 1 Jun 1998,25.75075
1,2.5,0000 1 Jun 1998,25.80325
2,2.5,0000 1 Jun 1998,24.04006
3,2.5,0000 1 Jun 1998,25.12474
4,2.5,0000 1 Jun 1998,25.00361
1,3.5,0000 1 Jun 1998,25.197
2,3.5,0000 1 Jun 1998,23.49456
3,3.5,0000 1 Jun 1998,24.71293
4,3.5,0000 1 Jun 1998,24.60943
1,4.5,0000 1 Jun 1998,24.72607
2,4.5,0000 1 Jun 1998,23.37398
3,4.5,0000 1 Jun 1998,24.44993
4,4.5,0000 1 Jun 1998,24.45953
1,5.5,0000 1 Jun 1998,24.53053
2,5.5,0000 1 Jun 1998,23.28661
3,5.5,0000 1 Jun 1998,24.15492
4,5.5,0000 1 Jun 1998,24.47368
1,6.5,0000 1 Jun 1998,24.09631
2,6.5,0000 1 Jun 1998,22.98338
3,6.5,0000 1 Jun 1998,23.98006
4,6.5,0000 1 Jun 1998,24.28905
1,7.5,0000 1 Jun 1998,23.68693
2,7.5,0000 1 Jun 1998,22.72252
3,7.5,0000 1 Jun 1998,23.78086
4,7.5,0000 1 Jun 1998,23.92317
1,1.5,0000 1 Jul 1998,24.90225
2,1.5,0000 1 Jul 1998,23.9913
3,1.5,0000 1 Jul 1998,25.01521
4,1.5,0000 1 Jul 1998,24.99525
1,2.5,0000 1 Jul 1998,24.70231
2,2.5,0000 1 Jul 1998,23.3968
3,2.5,0000 1 Jul 1998,24.78061
4,2.5,0000 1 Jul 1998,24.73808
1,3.5,0000 1 Jul 1998,24.63918
2,3.5,0000 1 Jul 1998,23.27112
3,3.5,0000 1 Jul 1998,24.70658
4,3.5,0000 1 Jul 1998,24.77458
1,4.5,0000 1 Jul 1998,24.52118
2,4.5,0000 1 Jul 1998,23.31717
3,4.5,0000 1 Jul 1998,24.56464
4,4.5,0000 1 Jul 1998,24.52302
1,5.5,0000 1 Jul 1998,24.4034
2,5.5,0000 1 Jul 1998,23.06692
3,5.5,0000 1 Jul 1998,24.35487
4,5.5,0000 1 Jul 1998,24.02488
1,6.5,0000 1 Jul 1998,24.2193
2,6.5,0000 1 Jul 1998,22.72768
3,6.5,0000 1 Jul 1998,24.20668
4,6.5,0000 1 Jul 1998,23.68922
1,7.5,0000 1 Jul 1998,24.36012
2,7.5,0000 1 Jul 1998,22.80356
3,7.5,0000 1 Jul 1998,24.2882
4,7.5,0000 1 Jul 1998,23.64671
1,1.5,0000 1 Aug 1998,24.57702
2,1.5,0000 1 Aug 1998,24.21867
3,1.5,0000 1 Aug 1998,24.7978
4,1.5,0000 1 Aug 1998,25.06608
1,2.5,0000 1 Aug 1998,24.77736
2,2.5,0000 1 Aug 1998,24.12451
3,2.5,0000 1 Aug 1998,24.97122
4,2.5,0000 1 Aug 1998,25.08918
1,3.5,0000 1 Aug 1998,24.80312
2,3.5,0000 1 Aug 1998,24.13911
3,3.5,0000 1 Aug 1998,25.24041
4,3.5,0000 1 Aug 1998,25.13192
1,4.5,0000 1 Aug 1998,24.44276
2,4.5,0000 1 Aug 1998,24.09684
3,4.5,0000 1 Aug 1998,25.20823
4,4.5,0000 1 Aug 1998,24.85611
1,5.5,0000 1 Aug 1998,23.87842
2,5.5,0000 1 Aug 1998,23.8963
3,5.5,0000 1 Aug 1998,24.8053
4,5.5,0000 1 Aug 1998,24.40942
1,6.5,0000 1 Aug 1998,23.814
2,6.5,0000 1 Aug 1998,23.86928
3,6.5,0000 1 Aug 1998,24.51345
4,6.5,0000 1 Aug 1998,24.2061
1,7.5,0000 1 Aug 1998,24.25015
2,7.5,0000 1 Aug 1998,24.2964
3,7.5,0000 1 Aug 1998,24.6885
4,7.5,0000 1 Aug 1998,24.46322
1,1.5,0000 1 Sep 1998,23.96726
2,1.5,0000 1 Sep 1998,24.08362
3,1.5,0000 1 Sep 1998,24.60848
4,1.5,0000 1 Sep 1998,24.70625
1,2.5,0000 1 Sep 1998,23.8567
2,2.5,0000 1 Sep 1998,24.22425
3,2.5,0000 1 Sep 1998,24.47665
4,2.5,0000 1 Sep 1998,24.28841
1,3.5,0000 1 Sep 1998,23.72534
2,3.5,0000 1 Sep 1998,24.42994
3,3.5,0000 1 Sep 1998,24.44562
4,3.5,0000 1 Sep 1998,23.98926
1,4.5,0000 1 Sep 1998,23.50873
2,4.5,0000 1 Sep 1998,24.33272
3,4.5,0000 1 Sep 1998,24.19105
4,4.5,0000 1 Sep 1998,23.78399
1,5.5,0000 1 Sep 1998,23.4982
2,5.5,0000 1 Sep 1998,24.23773
3,5.5,0000 1 Sep 1998,24.08313
4,5.5,0000 1 Sep 1998,24.12548
1,6.5,0000 1 Sep 1998,24.03898
2,6.5,0000 1 Sep 1998,24.71276
3,6.5,0000 1 Sep 1998,24.53643
4,6.5,0000 1 Sep 1998,24.79935
1,7.5,0000 1 Sep 1998,24.73755
2,7.5,0000 1 Sep 1998,25.45127
3,7.5,0000 1 Sep 1998,25.34193
4,7.5,0000 1 Sep 1998,25.32697
1,1.5,0000 1 Oct 1998,24.23836
2,1.5,0000 1 Oct 1998,24.67233
3,1.5,0000 1 Oct 1998,24.67588
4,1.5,0000 1 Oct 1998,24.6871
1,2.5,0000 1 Oct 1998,23.94223
2,2.5,0000 1 Oct 1998,24.38129
3,2.5,0000 1 Oct 1998,24.17069
4,2.5,0000 1 Oct 1998,24.26942
1,3.5,0000 1 Oct 1998,23.41765
2,3.5,0000 1 Oct 1998,24.32075
3,3.5,0000 1 Oct 1998,23.86373
4,3.5,0000 1 Oct 1998,23.70721
1,4.5,0000 1 Oct 1998,23.23752
2,4.5,0000 1 Oct 1998,24.4738
3,4.5,0000 1 Oct 1998,23.64645
4,4.5,0000 1 Oct 1998,23.34203
1,5.5,0000 1 Oct 1998,23.71801
2,5.5,0000 1 Oct 1998,25.01221
3,5.5,0000 1 Oct 1998,23.83121
4,5.5,0000 1 Oct 1998,23.37838
1,6.5,0000 1 Oct 1998,24.61436
2,6.5,0000 1 Oct 1998,25.53788
3,6.5,0000 1 Oct 1998,24.21337
4,6.5,0000 1 Oct 1998,23.69649
1,7.5,0000 1 Oct 1998,25.21437
2,7.5,0000 1 Oct 1998,25.83437
3,7.5,0000 1 Oct 1998,24.66811
4,7.5,0000 1 Oct 1998,24.00683
1,1.5,0000 1 Nov 1998,24.36928
2,1.5,0000 1 Nov 1998,24.4176
3,1.5,0000 1 Nov 1998,24.47558
4,1.5,0000 1 Nov 1998,24.13436
1,2.5,0000 1 Nov 1998,24.20498
2,2.5,0000 1 Nov 1998,23.85801
3,2.5,0000 1 Nov 1998,24.29081
4,2.5,0000 1 Nov 1998,23.49854
1,3.5,0000 1 Nov 1998,24.32224
2,3.5,0000 1 Nov 1998,23.73177
3,3.5,0000 1 Nov 1998,24.74538
4,3.5,0000 1 Nov 1998,23.35818
1,4.5,0000 1 Nov 1998,24.85145
2,4.5,0000 1 Nov 1998,24.01269
3,4.5,0000 1 Nov 1998,25.53451
4,4.5,0000 1 Nov 1998,24.15539
1,5.5,0000 1 Nov 1998,25.5274
2,5.5,0000 1 Nov 1998,24.57874
3,5.5,0000 1 Nov 1998,26.33912
4,5.5,0000 1 Nov 1998,25.14664
1,6.5,0000 1 Nov 1998,26.15977
2,6.5,0000 1 Nov 1998,24.9421
3,6.5,0000 1 Nov 1998,26.67674
4,6.5,0000 1 Nov 1998,25.77719
1,7.5,0000 1 Nov 1998,26.46066
2,7.5,0000 1 Nov 1998,25.16602
3,7.5,0000 1 Nov 1998,26.76054
4,7.5,0000 1 Nov 1998,25.84106
1,1.5,0000 1 Dec 1998,23.64102
2,1.5,0000 1 Dec 1998,24.22723
3,1.5,0000 1 Dec 1998,24.0235
4,1.5,0000 1 Dec 1998,24.01388
1,2.5,0000 1 Dec 1998,23.61014
2,2.5,0000 1 Dec 1998,24.32888
3,2.5,0000 1 Dec 1998,24.11959
4,2.5,0000 1 Dec 1998,24.06459
1,3.5,0000 1 Dec 1998,24.18141
2,3.5,0000 1 Dec 1998,24.8504
3,3.5,0000 1 Dec 1998,24.7041
4,3.5,0000 1 Dec 1998,24.75546
1,4.5,0000 1 Dec 1998,24.98975
2,4.5,0000 1 Dec 1998,25.38977
3,4.5,0000 1 Dec 1998,25.47357
4,4.5,0000 1 Dec 1998,25.64641
1,5.5,0000 1 Dec 1998,25.69793
2,5.5,0000 1 Dec 1998,25.75006
3,5.5,0000 1 Dec 1998,26.01908
4,5.5,0000 1 Dec 1998,26.21018
1,6.5,0000 1 Dec 1998,25.9683
2,6.5,0000 1 Dec 1998,25.76335
3,6.5,0000 1 Dec 1998,26.25652
4,6.5,0000 1 Dec 1998,26.28856
1,7.5,0000 1 Dec 1998,26.08323
2,7.5,0000 1 Dec 1998,25.75113
3,7.5,0000 1 Dec 1998,26.37741
4,7.5,0000 1 Dec 1998,26.12967
1,1.5,0000 1 Jan 1999,24.59652
2,1.5,0000 1 Jan 1999,24.2809
3,1.5,0000 1 Jan 1999,24.83678
4,1.5,0000 1 Jan 1999,24.85535
1,2.5,0000 1 Jan 1999,24.87456
2,2.5,0000 1 Jan 1999,24.30424
3,2.5,0000 1 Jan 1999,25.44328
4,2.5,0000 1 Jan 1999,25.51373
1,3.5,0000 1 Jan 1999,25.26599
2,3.5,0000 1 Jan 1999,24.63467
3,3.5,0000 1 Jan 1999,26.21328
4,3.5,0000 1 Jan 1999,26.36609
1,4.5,0000 1 Jan 1999,25.59858
2,4.5,0000 1 Jan 1999,25.13093
3,4.5,0000 1 Jan 1999,26.82507
4,4.5,0000 1 Jan 1999,26.8705
1,5.5,0000 1 Jan 1999,25.81823
2,5.5,0000 1 Jan 1999,25.41747
3,5.5,0000 1 Jan 1999,26.96996
4,5.5,0000 1 Jan 1999,26.91927
1,6.5,0000 1 Jan 1999,25.90914
2,6.5,0000 1 Jan 1999,25.45917
3,6.5,0000 1 Jan 1999,26.83071
4,6.5,0000 1 Jan 1999,26.71364
1,7.5,0000 1 Jan 1999,26.00318
2,7.5,0000 1 Jan 1999,25.62973
3,7.5,0000 1 Jan 1999,26.708
4,7.5,0000 1 Jan 1999,26.49205
1,1.5,0000 1 Feb 1999,25.49706
2,1.5,0000 1 Feb 1999,25.89444
3,1.5,0000 1 Feb 1999,25.86636
4,1.5,0000 1 Feb 1999,25.50837
1,2.5,0000 1 Feb 1999,25.9005
2,2.5,0000 1 Feb 1999,26.33929
3,2.5,0000 1 Feb 1999,26.13971
4,2.5,0000 1 Feb 1999,25.93747
1,3.5,0000 1 Feb 1999,26.13946
2,3.5,0000 1 Feb 1999,26.44263
3,3.5,0000 1 Feb 1999,26.25899
4,3.5,0000 1 Feb 1999,26.37634
1,4.5,0000 1 Feb 1999,26.10573
2,4.5,0000 1 Feb 1999,26.1714
3,4.5,0000 1 Feb 1999,26.19606
4,4.5,0000 1 Feb 1999,26.61187
1,5.5,0000 1 Feb 1999,25.93213
2,5.5,0000 1 Feb 1999,25.69062
3,5.5,0000 1 Feb 1999,26.04656
4,5.5,0000 1 Feb 1999,26.52237
1,6.5,0000 1 Feb 1999,25.69895
2,6.5,0000 1 Feb 1999,25.41499
3,6.5,0000 1 Feb 1999,25.96632
4,6.5,0000 1 Feb 1999,26.30449
1,7.5,0000 1 Feb 1999,25.61496
2,7.5,0000 1 Feb 1999,25.54758
3,7.5,0000 1 Feb 1999,26.13195
4,7.5,0000 1 Feb 1999,26.26381
1,1.5,0000 1 Mar 1999,26.18147
2,1.5,0000 1 Mar 1999,26.12773
3,1.5,0000 1 Mar 1999,26.32423
4,1.5,0000 1 Mar 1999,26.58219
1,2.5,0000 1 Mar 1999,26.29636
2,2.5,0000 1 Mar 1999,26.19468
3,2.5,0000 1 Mar 1999,26.47195
4,2.5,0000 1 Mar 1999,26.76089
1,3.5,0000 1 Mar 1999,26.36053
2,3.5,0000 1 Mar 1999,26.19364
3,3.5,0000 1 Mar 1999,26.46964
4,3.5,0000 1 Mar 1999,26.55048
1,4.5,0000 1 Mar 1999,26.2122
2,4.5,0000 1 Mar 1999,26.0786
3,4.5,0000 1 Mar 1999,26.15956
4,4.5,0000 1 Mar 1999,26.13033
1,5.5,0000 1 Mar 1999,26.1123
2,5.5,0000 1 Mar 1999,25.92075
3,5.5,0000 1 Mar 1999,25.80534
4,5.5,0000 1 Mar 1999,25.63444
1,6.5,0000 1 Mar 1999,26.11238
2,6.5,0000 1 Mar 1999,25.70815
3,6.5,0000 1 Mar 1999,25.6975
4,6.5,0000 1 Mar 1999,25.42906
1,7.5,0000 1 Mar 1999,26.18786
2,7.5,0000 1 Mar 1999,25.6515
3,7.5,0000 1 Mar 1999,25.76299
4,7.5,0000 1 Mar 1999,25.35791
1,1.5,0000 1 Apr 1999,26.9617
2,1.5,0000 1 Apr 1999,26.75775
3,1.5,0000 1 Apr 1999,27.24447
4,1.5,0000 1 Apr 1999,27.1504
1,2.5,0000 1 Apr 1999,26.65615
2,2.5,0000 1 Apr 1999,26.42408
3,2.5,0000 1 Apr 1999,27.1093
4,2.5,0000 1 Apr 1999,26.76994
1,3.5,0000 1 Apr 1999,26.06882
2,3.5,0000 1 Apr 1999,25.95346
3,3.5,0000 1 Apr 1999,26.70775
4,3.5,0000 1 Apr 1999,26.15465
1,4.5,0000 1 Apr 1999,25.63088
2,4.5,0000 1 Apr 1999,25.68075
3,4.5,0000 1 Apr 1999,26.24496
4,4.5,0000 1 Apr 1999,25.51992
1,5.5,0000 1 Apr 1999,25.45781
2,5.5,0000 1 Apr 1999,25.48776
3,5.5,0000 1 Apr 1999,25.80658
4,5.5,0000 1 Apr 1999,25.04089
1,6.5,0000 1 Apr 1999,25.41506
2,6.5,0000 1 Apr 1999,25.43775
3,6.5,0000 1 Apr 1999,25.56128
4,6.5,0000 1 Apr 1999,24.73569
1,7.5,0000 1 Apr 1999,25.22956
2,7.5,0000 1 Apr 1999,25.30601
3,7.5,0000 1 Apr 1999,25.53883
4,7.5,0000 1 Apr 1999,24.409
1,1.5,0000 1 May 1999,27.04467
2,1.5,0000 1 May 1999,27.24415
3,1.5,0000 1 May 1999,26.84846
4,1.5,0000 1 May 1999,26.2906
1,2.5,0000 1 May 1999,26.47858
2,2.5,0000 1 May 1999,26.88516
3,2.5,0000 1 May 1999,26.16321
4,2.5,0000 1 May 1999,25.42822
1,3.5,0000 1 May 1999,25.64989
2,3.5,0000 1 May 1999,26.30339
3,3.5,0000 1 May 1999,25.41333
4,3.5,0000 1 May 1999,24.48421
1,4.5,0000 1 May 1999,25.12553
2,4.5,0000 1 May 1999,25.8126
3,4.5,0000 1 May 1999,24.71371
4,4.5,0000 1 May 1999,23.89499
1,5.5,0000 1 May 1999,24.81223
2,5.5,0000 1 May 1999,25.5584
3,5.5,0000 1 May 1999,24.46687
4,5.5,0000 1 May 1999,23.65754
1,6.5,0000 1 May 1999,24.67392
2,6.5,0000 1 May 1999,25.3562
3,6.5,0000 1 May 1999,24.34005
4,6.5,0000 1 May 1999,23.70808
1,7.5,0000 1 May 1999,24.24918
2,7.5,0000 1 May 1999,24.79125
3,7.5,0000 1 May 1999,24.2049
4,7.5,0000 1 May 1999,23.69925
1,1.5,0000 1 Jun 1999,26.47784
2,1.5,0000 1 Jun 1999,26.50525
3,1.5,0000 1 Jun 1999,26.45008
4,1.5,0000 1 Jun 1999,26.65712
1,2.5,0000 1 Jun 1999,26.06841
2,2.5,0000 1 Jun 1999,26.27486
3,2.5,0000 1 Jun 1999,25.94067
4,2.5,0000 1 Jun 1999,26.27782
1,3.5,0000 1 Jun 1999,25.80647
2,3.5,0000 1 Jun 1999,26.06779
3,3.5,0000 1 Jun 1999,25.41714
4,3.5,0000 1 Jun 1999,25.8993
1,4.5,0000 1 Jun 1999,25.60154
2,4.5,0000 1 Jun 1999,25.85267
3,4.5,0000 1 Jun 1999,25.01098
4,4.5,0000 1 Jun 1999,25.61201
1,5.5,0000 1 Jun 1999,25.285
2,5.5,0000 1 Jun 1999,25.57054
3,5.5,0000 1 Jun 1999,24.79995
4,5.5,0000 1 Jun 1999,25.48943
1,6.5,0000 1 Jun 1999,24.8638
2,6.5,0000 1 Jun 1999,25.23897
3,6.5,0000 1 Jun 1999,24.60015
4,6.5,0000 1 Jun 1999,25.23465
1,7.5,0000 1 Jun 1999,24.55415
