L,MON,LDC_SST_NASA_GEOSS2S
1.5,0000 1 Aug 1992,25.8358
2.5,0000 1 Aug 1992,25.83933
3.5,0000 1 Aug 1992,25.87307
4.5,0000 1 Aug 1992,25.68702
5.5,0000 1 Aug 1992,25.45736
6.5,0000 1 Aug 1992,25.35486
7.5,0000 1 Aug 1992,25.57502
1.5,0000 1 Sep 1992,25.97871
2.5,0000 1 Sep 1992,25.93647
3.5,0000 1 Sep 1992,25.76523
4.5,0000 1 Sep 1992,25.58949
5.5,0000 1 Sep 1992,25.53811
6.5,0000 1 Sep 1992,25.75468
7.5,0000 1 Sep 1992,26.10677
1.5,0000 1 Oct 1992,25.81804
2.5,0000 1 Oct 1992,25.55124
3.5,0000 1 Oct 1992,25.44256
4.5,0000 1 Oct 1992,25.54119
5.5,0000 1 Oct 1992,25.9113
6.5,0000 1 Oct 1992,26.37598
7.5,0000 1 Oct 1992,26.77535
1.5,0000 1 Nov 1992,25.69999
2.5,0000 1 Nov 1992,25.48783
3.5,0000 1 Nov 1992,25.54489
4.5,0000 1 Nov 1992,26.01819
5.5,0000 1 Nov 1992,26.63415
6.5,0000 1 Nov 1992,27.05388
7.5,0000 1 Nov 1992,27.24576
1.5,0000 1 Dec 1992,26.12564
2.5,0000 1 Dec 1992,26.06534
3.5,0000 1 Dec 1992,26.44136
4.5,0000 1 Dec 1992,27.05866
5.5,0000 1 Dec 1992,27.5462
6.5,0000 1 Dec 1992,27.70201
7.5,0000 1 Dec 1992,27.68234
1.5,0000 1 Jan 1993,26.65077
2.5,0000 1 Jan 1993,26.92768
3.5,0000 1 Jan 1993,27.42235
4.5,0000 1 Jan 1993,27.78547
5.5,0000 1 Jan 1993,27.83913
6.5,0000 1 Jan 1993,27.62565
7.5,0000 1 Jan 1993,27.43637
1.5,0000 1 Feb 1993,27.61159
2.5,0000 1 Feb 1993,28.28638
3.5,0000 1 Feb 1993,28.75708
4.5,0000 1 Feb 1993,28.85797
5.5,0000 1 Feb 1993,28.69838
6.5,0000 1 Feb 1993,28.61121
7.5,0000 1 Feb 1993,28.74752
1.5,0000 1 Mar 1993,28.49657
2.5,0000 1 Mar 1993,29.07156
3.5,0000 1 Mar 1993,29.23924
4.5,0000 1 Mar 1993,29.08903
5.5,0000 1 Mar 1993,28.92419
6.5,0000 1 Mar 1993,28.98095
7.5,0000 1 Mar 1993,29.27451
1.5,0000 1 Apr 1993,29.12557
2.5,0000 1 Apr 1993,29.31899
3.5,0000 1 Apr 1993,29.18644
4.5,0000 1 Apr 1993,29.08301
5.5,0000 1 Apr 1993,29.36187
6.5,0000 1 Apr 1993,29.71102
7.5,0000 1 Apr 1993,29.96848
1.5,0000 1 May 1993,28.91796
2.5,0000 1 May 1993,28.62264
3.5,0000 1 May 1993,28.33691
4.5,0000 1 May 1993,28.25667
5.5,0000 1 May 1993,28.50471
6.5,0000 1 May 1993,28.62624
7.5,0000 1 May 1993,28.49563
1.5,0000 1 Jun 1993,28.0638
2.5,0000 1 Jun 1993,27.57074
3.5,0000 1 Jun 1993,27.26928
4.5,0000 1 Jun 1993,27.35369
5.5,0000 1 Jun 1993,27.53291
6.5,0000 1 Jun 1993,27.41829
7.5,0000 1 Jun 1993,27.06144
1.5,0000 1 Jul 1993,26.9074
2.5,0000 1 Jul 1993,26.58081
3.5,0000 1 Jul 1993,26.60946
4.5,0000 1 Jul 1993,26.67753
5.5,0000 1 Jul 1993,26.50205
6.5,0000 1 Jul 1993,26.06845
7.5,0000 1 Jul 1993,25.80383
1.5,0000 1 Aug 1993,26.40909
2.5,0000 1 Aug 1993,26.35323
3.5,0000 1 Aug 1993,26.21438
4.5,0000 1 Aug 1993,25.88693
5.5,0000 1 Aug 1993,25.42342
6.5,0000 1 Aug 1993,25.16475
7.5,0000 1 Aug 1993,25.15527
1.5,0000 1 Sep 1993,26.28801
2.5,0000 1 Sep 1993,26.12336
3.5,0000 1 Sep 1993,25.71621
4.5,0000 1 Sep 1993,25.14224
5.5,0000 1 Sep 1993,24.79557
6.5,0000 1 Sep 1993,24.96931
7.5,0000 1 Sep 1993,25.36544
1.5,0000 1 Oct 1993,26.38031
2.5,0000 1 Oct 1993,25.86325
3.5,0000 1 Oct 1993,25.29858
4.5,0000 1 Oct 1993,24.87858
5.5,0000 1 Oct 1993,24.88914
6.5,0000 1 Oct 1993,25.0871
7.5,0000 1 Oct 1993,25.29884
1.5,0000 1 Nov 1993,26.20394
2.5,0000 1 Nov 1993,25.59904
3.5,0000 1 Nov 1993,25.10705
4.5,0000 1 Nov 1993,25.07605
5.5,0000 1 Nov 1993,25.27594
6.5,0000 1 Nov 1993,25.45918
7.5,0000 1 Nov 1993,25.4828
1.5,0000 1 Dec 1993,25.7073
2.5,0000 1 Dec 1993,25.22524
3.5,0000 1 Dec 1993,25.29865
4.5,0000 1 Dec 1993,25.60805
5.5,0000 1 Dec 1993,25.85311
6.5,0000 1 Dec 1993,25.86435
7.5,0000 1 Dec 1993,25.81531
1.5,0000 1 Jan 1994,26.1268
2.5,0000 1 Jan 1994,26.15722
3.5,0000 1 Jan 1994,26.18063
4.5,0000 1 Jan 1994,25.96638
5.5,0000 1 Jan 1994,25.69542
6.5,0000 1 Jan 1994,25.54029
7.5,0000 1 Jan 1994,25.51914
1.5,0000 1 Feb 1994,26.63395
2.5,0000 1 Feb 1994,26.79237
3.5,0000 1 Feb 1994,26.96626
4.5,0000 1 Feb 1994,27.07825
5.5,0000 1 Feb 1994,27.0095
6.5,0000 1 Feb 1994,26.95959
7.5,0000 1 Feb 1994,27.09845
1.5,0000 1 Mar 1994,27.40579
2.5,0000 1 Mar 1994,27.53386
3.5,0000 1 Mar 1994,27.37035
4.5,0000 1 Mar 1994,26.99704
5.5,0000 1 Mar 1994,26.66961
6.5,0000 1 Mar 1994,26.64098
7.5,0000 1 Mar 1994,26.86038
1.5,0000 1 Apr 1994,28.02576
2.5,0000 1 Apr 1994,28.07162
3.5,0000 1 Apr 1994,27.89414
4.5,0000 1 Apr 1994,27.66663
5.5,0000 1 Apr 1994,27.64729
6.5,0000 1 Apr 1994,27.87103
7.5,0000 1 Apr 1994,28.06717
1.5,0000 1 May 1994,27.64652
2.5,0000 1 May 1994,27.463
3.5,0000 1 May 1994,27.31134
4.5,0000 1 May 1994,27.49224
5.5,0000 1 May 1994,27.86893
6.5,0000 1 May 1994,28.1693
7.5,0000 1 May 1994,28.05537
1.5,0000 1 Jun 1994,27.52222
2.5,0000 1 Jun 1994,27.27958
3.5,0000 1 Jun 1994,27.32557
4.5,0000 1 Jun 1994,27.59378
5.5,0000 1 Jun 1994,27.87202
6.5,0000 1 Jun 1994,27.92145
7.5,0000 1 Jun 1994,27.73148
1.5,0000 1 Jul 1994,26.71652
2.5,0000 1 Jul 1994,26.73433
3.5,0000 1 Jul 1994,27.05695
4.5,0000 1 Jul 1994,27.42397
5.5,0000 1 Jul 1994,27.60357
6.5,0000 1 Jul 1994,27.56775
7.5,0000 1 Jul 1994,27.42266
1.5,0000 1 Aug 1994,26.29405
2.5,0000 1 Aug 1994,26.32132
3.5,0000 1 Aug 1994,26.53309
4.5,0000 1 Aug 1994,26.49669
5.5,0000 1 Aug 1994,26.19463
6.5,0000 1 Aug 1994,25.9406
7.5,0000 1 Aug 1994,26.02142
1.5,0000 1 Sep 1994,26.47491
2.5,0000 1 Sep 1994,26.40714
3.5,0000 1 Sep 1994,26.26308
4.5,0000 1 Sep 1994,25.9373
5.5,0000 1 Sep 1994,25.68332
6.5,0000 1 Sep 1994,25.75778
7.5,0000 1 Sep 1994,25.99825
1.5,0000 1 Oct 1994,27.18975
2.5,0000 1 Oct 1994,27.02871
3.5,0000 1 Oct 1994,26.61101
4.5,0000 1 Oct 1994,26.23872
5.5,0000 1 Oct 1994,26.14153
6.5,0000 1 Oct 1994,26.2311
7.5,0000 1 Oct 1994,26.31068
1.5,0000 1 Nov 1994,27.46885
2.5,0000 1 Nov 1994,27.1705
3.5,0000 1 Nov 1994,26.93012
4.5,0000 1 Nov 1994,26.89919
5.5,0000 1 Nov 1994,26.91561
6.5,0000 1 Nov 1994,26.85626
7.5,0000 1 Nov 1994,26.71825
1.5,0000 1 Dec 1994,27.49486
2.5,0000 1 Dec 1994,27.28379
3.5,0000 1 Dec 1994,27.26156
4.5,0000 1 Dec 1994,27.30928
5.5,0000 1 Dec 1994,27.2504
6.5,0000 1 Dec 1994,26.92772
7.5,0000 1 Dec 1994,26.44418
1.5,0000 1 Jan 1995,27.69742
2.5,0000 1 Jan 1995,27.71563
3.5,0000 1 Jan 1995,27.67662
4.5,0000 1 Jan 1995,27.41591
5.5,0000 1 Jan 1995,26.88298
6.5,0000 1 Jan 1995,26.38235
7.5,0000 1 Jan 1995,26.10318
1.5,0000 1 Feb 1995,27.69237
2.5,0000 1 Feb 1995,28.02641
3.5,0000 1 Feb 1995,28.15115
4.5,0000 1 Feb 1995,27.87126
5.5,0000 1 Feb 1995,27.47341
6.5,0000 1 Feb 1995,27.07129
7.5,0000 1 Feb 1995,26.84449
1.5,0000 1 Mar 1995,27.84874
2.5,0000 1 Mar 1995,27.85208
3.5,0000 1 Mar 1995,27.40111
4.5,0000 1 Mar 1995,26.77036
5.5,0000 1 Mar 1995,26.30095
6.5,0000 1 Mar 1995,26.0936
7.5,0000 1 Mar 1995,26.08485
1.5,0000 1 Apr 1995,27.75221
2.5,0000 1 Apr 1995,27.38026
3.5,0000 1 Apr 1995,26.79308
4.5,0000 1 Apr 1995,26.22717
5.5,0000 1 Apr 1995,26.00531
6.5,0000 1 Apr 1995,25.99316
7.5,0000 1 Apr 1995,26.04718
1.5,0000 1 May 1995,27.27682
2.5,0000 1 May 1995,26.698
3.5,0000 1 May 1995,26.17378
4.5,0000 1 May 1995,25.91743
5.5,0000 1 May 1995,25.89658
6.5,0000 1 May 1995,25.96691
7.5,0000 1 May 1995,25.83251
1.5,0000 1 Jun 1995,26.76337
2.5,0000 1 Jun 1995,26.26975
3.5,0000 1 Jun 1995,26.07613
4.5,0000 1 Jun 1995,26.14878
5.5,0000 1 Jun 1995,26.24339
6.5,0000 1 Jun 1995,26.01492
7.5,0000 1 Jun 1995,25.57001
1.5,0000 1 Jul 1995,26.35265
2.5,0000 1 Jul 1995,26.05737
3.5,0000 1 Jul 1995,25.99469
4.5,0000 1 Jul 1995,25.98621
5.5,0000 1 Jul 1995,25.84504
6.5,0000 1 Jul 1995,25.58209
7.5,0000 1 Jul 1995,25.42418
1.5,0000 1 Aug 1995,25.75579
2.5,0000 1 Aug 1995,25.63841
3.5,0000 1 Aug 1995,25.65638
4.5,0000 1 Aug 1995,25.54693
5.5,0000 1 Aug 1995,25.34136
6.5,0000 1 Aug 1995,25.29429
7.5,0000 1 Aug 1995,25.57087
1.5,0000 1 Sep 1995,25.13209
2.5,0000 1 Sep 1995,25.06126
3.5,0000 1 Sep 1995,24.96605
4.5,0000 1 Sep 1995,24.76644
5.5,0000 1 Sep 1995,24.65079
6.5,0000 1 Sep 1995,24.8327
7.5,0000 1 Sep 1995,25.26574
1.5,0000 1 Oct 1995,24.86821
2.5,0000 1 Oct 1995,24.52825
3.5,0000 1 Oct 1995,24.17031
4.5,0000 1 Oct 1995,24.08239
5.5,0000 1 Oct 1995,24.3947
6.5,0000 1 Oct 1995,24.97203
7.5,0000 1 Oct 1995,25.43422
1.5,0000 1 Nov 1995,24.71741
2.5,0000 1 Nov 1995,24.37776
3.5,0000 1 Nov 1995,24.26654
4.5,0000 1 Nov 1995,24.68079
5.5,0000 1 Nov 1995,25.36176
6.5,0000 1 Nov 1995,25.95412
7.5,0000 1 Nov 1995,26.20196
1.5,0000 1 Dec 1995,25.00192
2.5,0000 1 Dec 1995,24.94013
3.5,0000 1 Dec 1995,25.22978
4.5,0000 1 Dec 1995,25.73619
