L,MON,LDC_SST_NASA_GEOSS2S
3.5,0000 1 Dec 1998,24.62284
4.5,0000 1 Dec 1998,25.37487
5.5,0000 1 Dec 1998,25.91931
6.5,0000 1 Dec 1998,26.06919
7.5,0000 1 Dec 1998,26.08536
1.5,0000 1 Jan 1999,24.64239
2.5,0000 1 Jan 1999,25.03396
3.5,0000 1 Jan 1999,25.62001
4.5,0000 1 Jan 1999,26.10627
5.5,0000 1 Jan 1999,26.28123
6.5,0000 1 Jan 1999,26.22816
7.5,0000 1 Jan 1999,26.20824
1.5,0000 1 Feb 1999,25.69156
2.5,0000 1 Feb 1999,26.07924
3.5,0000 1 Feb 1999,26.30436
4.5,0000 1 Feb 1999,26.27127
5.5,0000 1 Feb 1999,26.04792
6.5,0000 1 Feb 1999,25.84619
7.5,0000 1 Feb 1999,25.88958
1.5,0000 1 Mar 1999,26.30391
2.5,0000 1 Mar 1999,26.43097
3.5,0000 1 Mar 1999,26.39357
4.5,0000 1 Mar 1999,26.14517
5.5,0000 1 Mar 1999,25.86821
6.5,0000 1 Mar 1999,25.73677
7.5,0000 1 Mar 1999,25.74007
1.5,0000 1 Apr 1999,27.02858
2.5,0000 1 Apr 1999,26.73987
3.5,0000 1 Apr 1999,26.22117
4.5,0000 1 Apr 1999,25.76913
5.5,0000 1 Apr 1999,25.44826
6.5,0000 1 Apr 1999,25.28744
7.5,0000 1 Apr 1999,25.12085
1.5,0000 1 May 1999,26.85697
2.5,0000 1 May 1999,26.23879
3.5,0000 1 May 1999,25.46271
4.5,0000 1 May 1999,24.88671
5.5,0000 1 May 1999,24.62376
6.5,0000 1 May 1999,24.51956
7.5,0000 1 May 1999,24.23615
1.5,0000 1 Jun 1999,26.52258
2.5,0000 1 Jun 1999,26.14044
3.5,0000 1 Jun 1999,25.79767
4.5,0000 1 Jun 1999,25.5193
5.5,0000 1 Jun 1999,25.28623
6.5,0000 1 Jun 1999,24.98439
7.5,0000 1 Jun 1999,24.74993
1.5,0000 1 Jul 1999,25.58351
2.5,0000 1 Jul 1999,25.02953
3.5,0000 1 Jul 1999,24.77652
4.5,0000 1 Jul 1999,24.66908
5.5,0000 1 Jul 1999,24.46126
6.5,0000 1 Jul 1999,24.22348
7.5,0000 1 Jul 1999,24.3092
1.5,0000 1 Aug 1999,24.81647
2.5,0000 1 Aug 1999,24.57445
3.5,0000 1 Aug 1999,24.43667
4.5,0000 1 Aug 1999,24.1683
5.5,0000 1 Aug 1999,23.94045
6.5,0000 1 Aug 1999,24.01613
7.5,0000 1 Aug 1999,24.43094
1.5,0000 1 Sep 1999,24.50916
2.5,0000 1 Sep 1999,24.2485
3.5,0000 1 Sep 1999,24.09795
4.5,0000 1 Sep 1999,24.0842
5.5,0000 1 Sep 1999,24.22088
6.5,0000 1 Sep 1999,24.64138
7.5,0000 1 Sep 1999,25.28221
1.5,0000 1 Oct 1999,24.52979
2.5,0000 1 Oct 1999,23.93469
3.5,0000 1 Oct 1999,23.57811
4.5,0000 1 Oct 1999,23.5305
5.5,0000 1 Oct 1999,23.89996
6.5,0000 1 Oct 1999,24.4909
7.5,0000 1 Oct 1999,25.05431
1.5,0000 1 Nov 1999,24.3831
2.5,0000 1 Nov 1999,23.92504
3.5,0000 1 Nov 1999,23.90854
4.5,0000 1 Nov 1999,24.42022
5.5,0000 1 Nov 1999,25.22782
6.5,0000 1 Nov 1999,25.838
7.5,0000 1 Nov 1999,26.09638
1.5,0000 1 Dec 1999,24.0734
2.5,0000 1 Dec 1999,24.11264
3.5,0000 1 Dec 1999,24.62047
4.5,0000 1 Dec 1999,25.40702
5.5,0000 1 Dec 1999,25.9425
6.5,0000 1 Dec 1999,26.16635
7.5,0000 1 Dec 1999,26.26998
1.5,0000 1 Jan 2000,24.69734
2.5,0000 1 Jan 2000,25.00732
3.5,0000 1 Jan 2000,25.51939
4.5,0000 1 Jan 2000,26.01085
5.5,0000 1 Jan 2000,26.28006
6.5,0000 1 Jan 2000,26.33363
7.5,0000 1 Jan 2000,26.44219
1.5,0000 1 Feb 2000,25.40243
2.5,0000 1 Feb 2000,25.96469
3.5,0000 1 Feb 2000,26.49853
4.5,0000 1 Feb 2000,26.81086
5.5,0000 1 Feb 2000,26.89956
6.5,0000 1 Feb 2000,26.89324
7.5,0000 1 Feb 2000,27.01472
1.5,0000 1 Mar 2000,26.43084
2.5,0000 1 Mar 2000,26.87694
3.5,0000 1 Mar 2000,27.13614
4.5,0000 1 Mar 2000,27.21379
5.5,0000 1 Mar 2000,27.22688
6.5,0000 1 Mar 2000,27.38886
7.5,0000 1 Mar 2000,27.66819
1.5,0000 1 Apr 2000,27.42803
2.5,0000 1 Apr 2000,27.53652
3.5,0000 1 Apr 2000,27.37551
4.5,0000 1 Apr 2000,27.15219
5.5,0000 1 Apr 2000,27.06593
6.5,0000 1 Apr 2000,27.24015
7.5,0000 1 Apr 2000,27.40649
1.5,0000 1 May 2000,27.53177
2.5,0000 1 May 2000,27.2464
3.5,0000 1 May 2000,26.86605
4.5,0000 1 May 2000,26.76586
5.5,0000 1 May 2000,26.88005
6.5,0000 1 May 2000,27.08541
7.5,0000 1 May 2000,27.008
1.5,0000 1 Jun 2000,26.91969
2.5,0000 1 Jun 2000,26.58853
3.5,0000 1 Jun 2000,26.39429
4.5,0000 1 Jun 2000,26.42704
5.5,0000 1 Jun 2000,26.58151
6.5,0000 1 Jun 2000,26.57515
7.5,0000 1 Jun 2000,26.32447
1.5,0000 1 Jul 2000,26.50861
2.5,0000 1 Jul 2000,26.43426
3.5,0000 1 Jul 2000,26.65107
4.5,0000 1 Jul 2000,26.88871
5.5,0000 1 Jul 2000,26.83573
6.5,0000 1 Jul 2000,26.57107
7.5,0000 1 Jul 2000,26.39554
1.5,0000 1 Aug 2000,25.89232
2.5,0000 1 Aug 2000,25.85788
3.5,0000 1 Aug 2000,25.97429
4.5,0000 1 Aug 2000,25.86362
5.5,0000 1 Aug 2000,25.63818
6.5,0000 1 Aug 2000,25.57666
7.5,0000 1 Aug 2000,25.87345
1.5,0000 1 Sep 2000,25.90668
2.5,0000 1 Sep 2000,25.86349
3.5,0000 1 Sep 2000,25.75181
4.5,0000 1 Sep 2000,25.57174
5.5,0000 1 Sep 2000,25.50593
6.5,0000 1 Sep 2000,25.79227
7.5,0000 1 Sep 2000,26.31657
1.5,0000 1 Oct 2000,25.94736
2.5,0000 1 Oct 2000,25.75784
3.5,0000 1 Oct 2000,25.64169
4.5,0000 1 Oct 2000,25.74631
5.5,0000 1 Oct 2000,26.21284
6.5,0000 1 Oct 2000,26.83885
7.5,0000 1 Oct 2000,27.36052
1.5,0000 1 Nov 2000,25.35677
2.5,0000 1 Nov 2000,25.10467
3.5,0000 1 Nov 2000,25.10353
4.5,0000 1 Nov 2000,25.35957
5.5,0000 1 Nov 2000,25.82714
6.5,0000 1 Nov 2000,26.24724
7.5,0000 1 Nov 2000,26.53223
1.5,0000 1 Dec 2000,25.67695
2.5,0000 1 Dec 2000,25.86428
3.5,0000 1 Dec 2000,26.39116
4.5,0000 1 Dec 2000,27.04781
5.5,0000 1 Dec 2000,27.57221
6.5,0000 1 Dec 2000,27.8419
7.5,0000 1 Dec 2000,27.95359
1.5,0000 1 Jan 2001,25.97637
2.5,0000 1 Jan 2001,26.36493
3.5,0000 1 Jan 2001,26.86058
4.5,0000 1 Jan 2001,27.32238
5.5,0000 1 Jan 2001,27.66899
6.5,0000 1 Jan 2001,27.8078
7.5,0000 1 Jan 2001,27.88659
1.5,0000 1 Feb 2001,26.6069
2.5,0000 1 Feb 2001,27.10836
3.5,0000 1 Feb 2001,27.46881
4.5,0000 1 Feb 2001,27.59467
5.5,0000 1 Feb 2001,27.51992
6.5,0000 1 Feb 2001,27.51258
7.5,0000 1 Feb 2001,27.62527
1.5,0000 1 Mar 2001,27.45425
2.5,0000 1 Mar 2001,27.89695
3.5,0000 1 Mar 2001,28.07792
4.5,0000 1 Mar 2001,28.06034
5.5,0000 1 Mar 2001,28.0356
6.5,0000 1 Mar 2001,28.25206
7.5,0000 1 Mar 2001,28.64123
1.5,0000 1 Apr 2001,28.06158
2.5,0000 1 Apr 2001,28.25723
3.5,0000 1 Apr 2001,28.24789
4.5,0000 1 Apr 2001,28.24798
5.5,0000 1 Apr 2001,28.54866
6.5,0000 1 Apr 2001,29.02901
7.5,0000 1 Apr 2001,29.57292
1.5,0000 1 May 2001,27.91063
2.5,0000 1 May 2001,27.83599
3.5,0000 1 May 2001,27.83971
4.5,0000 1 May 2001,28.07516
5.5,0000 1 May 2001,28.54688
6.5,0000 1 May 2001,29.02284
7.5,0000 1 May 2001,29.245
1.5,0000 1 Jun 2001,27.38468
2.5,0000 1 Jun 2001,27.18641
3.5,0000 1 Jun 2001,27.22169
4.5,0000 1 Jun 2001,27.49358
5.5,0000 1 Jun 2001,27.74995
6.5,0000 1 Jun 2001,27.73036
7.5,0000 1 Jun 2001,27.48512
1.5,0000 1 Jul 2001,27.28871
2.5,0000 1 Jul 2001,27.20603
3.5,0000 1 Jul 2001,27.28457
4.5,0000 1 Jul 2001,27.36257
5.5,0000 1 Jul 2001,27.29202
6.5,0000 1 Jul 2001,27.08665
7.5,0000 1 Jul 2001,26.98377
1.5,0000 1 Aug 2001,26.63578
2.5,0000 1 Aug 2001,26.76086
3.5,0000 1 Aug 2001,27.08092
4.5,0000 1 Aug 2001,27.22351
5.5,0000 1 Aug 2001,27.15891
6.5,0000 1 Aug 2001,27.19555
7.5,0000 1 Aug 2001,27.51241
1.5,0000 1 Sep 2001,26.61399
2.5,0000 1 Sep 2001,26.6811
3.5,0000 1 Sep 2001,26.66713
4.5,0000 1 Sep 2001,26.58456
5.5,0000 1 Sep 2001,26.65611
6.5,0000 1 Sep 2001,27.02217
7.5,0000 1 Sep 2001,27.51408
1.5,0000 1 Oct 2001,26.42098
2.5,0000 1 Oct 2001,26.41665
3.5,0000 1 Oct 2001,26.43152
4.5,0000 1 Oct 2001,26.50778
5.5,0000 1 Oct 2001,26.81301
6.5,0000 1 Oct 2001,27.26009
7.5,0000 1 Oct 2001,27.71411
1.5,0000 1 Nov 2001,26.18597
2.5,0000 1 Nov 2001,25.95741
3.5,0000 1 Nov 2001,26.00821
4.5,0000 1 Nov 2001,26.46292
5.5,0000 1 Nov 2001,27.0348
6.5,0000 1 Nov 2001,27.45662
7.5,0000 1 Nov 2001,27.58541
1.5,0000 1 Dec 2001,26.39928
2.5,0000 1 Dec 2001,26.63453
3.5,0000 1 Dec 2001,27.05812
4.5,0000 1 Dec 2001,27.54325
5.5,0000 1 Dec 2001,27.93304
6.5,0000 1 Dec 2001,28.06873
7.5,0000 1 Dec 2001,28.01309
1.5,0000 1 Jan 2002,26.87133
2.5,0000 1 Jan 2002,27.16671
3.5,0000 1 Jan 2002,27.43723
4.5,0000 1 Jan 2002,27.58275
5.5,0000 1 Jan 2002,27.55053
6.5,0000 1 Jan 2002,27.4216
7.5,0000 1 Jan 2002,27.29392
1.5,0000 1 Feb 2002,27.60715
2.5,0000 1 Feb 2002,28.21676
3.5,0000 1 Feb 2002,28.64705
4.5,0000 1 Feb 2002,28.74876
5.5,0000 1 Feb 2002,28.61087
6.5,0000 1 Feb 2002,28.48187
7.5,0000 1 Feb 2002,28.55441
1.5,0000 1 Mar 2002,28.05482
2.5,0000 1 Mar 2002,28.50113
3.5,0000 1 Mar 2002,28.6382
4.5,0000 1 Mar 2002,28.46588
5.5,0000 1 Mar 2002,28.26938
6.5,0000 1 Mar 2002,28.23443
7.5,0000 1 Mar 2002,28.4611
1.5,0000 1 Apr 2002,28.51637
2.5,0000 1 Apr 2002,28.45882
3.5,0000 1 Apr 2002,28.03181
4.5,0000 1 Apr 2002,27.62406
5.5,0000 1 Apr 2002,27.57979
6.5,0000 1 Apr 2002,27.86705
7.5,0000 1 Apr 2002,28.09828
1.5,0000 1 May 2002,28.0846
2.5,0000 1 May 2002,27.94577
3.5,0000 1 May 2002,27.88374
4.5,0000 1 May 2002,28.07709
5.5,0000 1 May 2002,28.39288
6.5,0000 1 May 2002,28.66949
7.5,0000 1 May 2002,28.71511
1.5,0000 1 Jun 2002,28.2036
2.5,0000 1 Jun 2002,28.21362
3.5,0000 1 Jun 2002,28.49855
4.5,0000 1 Jun 2002,28.87281
5.5,0000 1 Jun 2002,29.26262
6.5,0000 1 Jun 2002,29.44776
7.5,0000 1 Jun 2002,29.39752
1.5,0000 1 Jul 2002,28.13662
2.5,0000 1 Jul 2002,28.48831
3.5,0000 1 Jul 2002,29.0057
4.5,0000 1 Jul 2002,29.48685
5.5,0000 1 Jul 2002,29.686
6.5,0000 1 Jul 2002,29.68792
7.5,0000 1 Jul 2002,29.67234
1.5,0000 1 Aug 2002,27.72722
2.5,0000 1 Aug 2002,27.96751
3.5,0000 1 Aug 2002,28.36667
4.5,0000 1 Aug 2002,28.57289
5.5,0000 1 Aug 2002,28.63102
6.5,0000 1 Aug 2002,28.56309
7.5,0000 1 Aug 2002,28.64519
1.5,0000 1 Sep 2002,27.76301
2.5,0000 1 Sep 2002,27.90811
3.5,0000 1 Sep 2002,27.94736
4.5,0000 1 Sep 2002,27.85527
5.5,0000 1 Sep 2002,27.74776
6.5,0000 1 Sep 2002,27.7934
7.5,0000 1 Sep 2002,27.86312
1.5,0000 1 Oct 2002,28.15039
2.5,0000 1 Oct 2002,28.18803
3.5,0000 1 Oct 2002,28.1377
4.5,0000 1 Oct 2002,28.10024
5.5,0000 1 Oct 2002,28.21497
6.5,0000 1 Oct 2002,28.41779
7.5,0000 1 Oct 2002,28.55445
1.5,0000 1 Nov 2002,28.25346
2.5,0000 1 Nov 2002,28.12534
3.5,0000 1 Nov 2002,27.92231
4.5,0000 1 Nov 2002,27.86636
5.5,0000 1 Nov 2002,27.88914
6.5,0000 1 Nov 2002,27.85828
7.5,0000 1 Nov 2002,27.60497
1.5,0000 1 Dec 2002,27.95847
2.5,0000 1 Dec 2002,27.87268
3.5,0000 1 Dec 2002,27.90033
4.5,0000 1 Dec 2002,28.10725
5.5,0000 1 Dec 2002,28.31087
6.5,0000 1 Dec 2002,28.26843
7.5,0000 1 Dec 2002,27.82735
1.5,0000 1 Jan 2003,27.49424
2.5,0000 1 Jan 2003,27.50454
3.5,0000 1 Jan 2003,27.74804
4.5,0000 1 Jan 2003,27.96398
5.5,0000 1 Jan 2003,27.81081
6.5,0000 1 Jan 2003,27.43928
7.5,0000 1 Jan 2003,27.06935
1.5,0000 1 Feb 2003,27.42899
2.5,0000 1 Feb 2003,27.48329
3.5,0000 1 Feb 2003,27.45921
4.5,0000 1 Feb 2003,27.09595
5.5,0000 1 Feb 2003,26.59677
6.5,0000 1 Feb 2003,26.20808
7.5,0000 1 Feb 2003,26.17351
1.5,0000 1 Mar 2003,27.70005
2.5,0000 1 Mar 2003,27.46967
3.5,0000 1 Mar 2003,26.99083
4.5,0000 1 Mar 2003,26.43294
5.5,0000 1 Mar 2003,25.97831
6.5,0000 1 Mar 2003,25.81106
7.5,0000 1 Mar 2003,25.8616
1.5,0000 1 Apr 2003,27.72539
2.5,0000 1 Apr 2003,27.2866
3.5,0000 1 Apr 2003,26.75775
4.5,0000 1 Apr 2003,26.34705
5.5,0000 1 Apr 2003,26.16449
6.5,0000 1 Apr 2003,26.15128
7.5,0000 1 Apr 2003,26.13393
1.5,0000 1 May 2003,26.91182
2.5,0000 1 May 2003,26.34597
3.5,0000 1 May 2003,26.02686
4.5,0000 1 May 2003,25.98079
5.5,0000 1 May 2003,26.04851
6.5,0000 1 May 2003,26.03222
7.5,0000 1 May 2003,25.83726
1.5,0000 1 Jun 2003,26.52723
2.5,0000 1 Jun 2003,26.09451
3.5,0000 1 Jun 2003,25.79339
4.5,0000 1 Jun 2003,25.62421
5.5,0000 1 Jun 2003,25.58101
6.5,0000 1 Jun 2003,25.54642
7.5,0000 1 Jun 2003,25.4549
1.5,0000 1 Jul 2003,26.83544
2.5,0000 1 Jul 2003,26.64602
3.5,0000 1 Jul 2003,26.73905
4.5,0000 1 Jul 2003,26.87285
5.5,0000 1 Jul 2003,26.82312
6.5,0000 1 Jul 2003,26.6699
7.5,0000 1 Jul 2003,26.69316
1.5,0000 1 Aug 2003,26.33548
2.5,0000 1 Aug 2003,26.35575
3.5,0000 1 Aug 2003,26.50712
4.5,0000 1 Aug 2003,26.4587
5.5,0000 1 Aug 2003,26.28453
6.5,0000 1 Aug 2003,26.27261
7.5,0000 1 Aug 2003,26.55362
1.5,0000 1 Sep 2003,26.79137
2.5,0000 1 Sep 2003,26.84146
3.5,0000 1 Sep 2003,26.73414
4.5,0000 1 Sep 2003,26.50105
5.5,0000 1 Sep 2003,26.35182
6.5,0000 1 Sep 2003,26.44441
7.5,0000 1 Sep 2003,26.73879
1.5,0000 1 Oct 2003,26.54908
2.5,0000 1 Oct 2003,26.21911
3.5,0000 1 Oct 2003,25.85767
4.5,0000 1 Oct 2003,25.73485
5.5,0000 1 Oct 2003,25.9836
6.5,0000 1 Oct 2003,26.35905
7.5,0000 1 Oct 2003,26.60544
1.5,0000 1 Nov 2003,26.86175
2.5,0000 1 Nov 2003,26.58762
3.5,0000 1 Nov 2003,26.32156
4.5,0000 1 Nov 2003,26.26405
5.5,0000 1 Nov 2003,26.39367
6.5,0000 1 Nov 2003,26.53614
7.5,0000 1 Nov 2003,26.60234
1.5,0000 1 Dec 2003,26.65281
2.5,0000 1 Dec 2003,26.43204
3.5,0000 1 Dec 2003,26.33846
4.5,0000 1 Dec 2003,26.41283
5.5,0000 1 Dec 2003,26.47267
6.5,0000 1 Dec 2003,26.52073
7.5,0000 1 Dec 2003,26.43325
1.5,0000 1 Jan 2004,27.24616
2.5,0000 1 Jan 2004,27.54221
3.5,0000 1 Jan 2004,27.80489
4.5,0000 1 Jan 2004,27.89796
5.5,0000 1 Jan 2004,27.72741
6.5,0000 1 Jan 2004,27.28712
7.5,0000 1 Jan 2004,26.90732
1.5,0000 1 Feb 2004,27.55065
2.5,0000 1 Feb 2004,28.03859
3.5,0000 1 Feb 2004,28.21683
4.5,0000 1 Feb 2004,28.01387
5.5,0000 1 Feb 2004,27.62981
6.5,0000 1 Feb 2004,27.38387
7.5,0000 1 Feb 2004,27.43285
1.5,0000 1 Mar 2004,28.1687
2.5,0000 1 Mar 2004,28.46647
3.5,0000 1 Mar 2004,28.36088
4.5,0000 1 Mar 2004,28.15639
5.5,0000 1 Mar 2004,27.98209
6.5,0000 1 Mar 2004,28.04829
7.5,0000 1 Mar 2004,28.20197
1.5,0000 1 Apr 2004,28.16253
2.5,0000 1 Apr 2004,28.15936
3.5,0000 1 Apr 2004,28.01226
4.5,0000 1 Apr 2004,27.90762
5.5,0000 1 Apr 2004,27.93158
6.5,0000 1 Apr 2004,28.09877
7.5,0000 1 Apr 2004,28.22605
1.5,0000 1 May 2004,28.00102
2.5,0000 1 May 2004,27.86981
3.5,0000 1 May 2004,27.80584
4.5,0000 1 May 2004,27.96216
5.5,0000 1 May 2004,28.25542
6.5,0000 1 May 2004,28.5375
7.5,0000 1 May 2004,28.52931
1.5,0000 1 Jun 2004,27.74098
2.5,0000 1 Jun 2004,27.65217
3.5,0000 1 Jun 2004,27.70293
4.5,0000 1 Jun 2004,27.91079
5.5,0000 1 Jun 2004,28.14685
6.5,0000 1 Jun 2004,28.29408
7.5,0000 1 Jun 2004,28.20717
1.5,0000 1 Jul 2004,27.29768
2.5,0000 1 Jul 2004,27.39492
3.5,0000 1 Jul 2004,27.61229
4.5,0000 1 Jul 2004,27.81528
5.5,0000 1 Jul 2004,27.86084
6.5,0000 1 Jul 2004,27.68401
7.5,0000 1 Jul 2004,27.5483
1.5,0000 1 Aug 2004,27.40653
2.5,0000 1 Aug 2004,27.55656
3.5,0000 1 Aug 2004,27.77942
4.5,0000 1 Aug 2004,27.80967
5.5,0000 1 Aug 2004,27.66692
6.5,0000 1 Aug 2004,27.58541
7.5,0000 1 Aug 2004,27.59856
1.5,0000 1 Sep 2004,27.25412
2.5,0000 1 Sep 2004,27.23144
3.5,0000 1 Sep 2004,27.05832
4.5,0000 1 Sep 2004,26.78401
5.5,0000 1 Sep 2004,26.60764
6.5,0000 1 Sep 2004,26.68879
7.5,0000 1 Sep 2004,26.88225
1.5,0000 1 Oct 2004,27.18826
2.5,0000 1 Oct 2004,26.96137
3.5,0000 1 Oct 2004,26.62312
4.5,0000 1 Oct 2004,26.43686
5.5,0000 1 Oct 2004,26.59161
6.5,0000 1 Oct 2004,26.94099
7.5,0000 1 Oct 2004,27.14709
1.5,0000 1 Nov 2004,27.22397
2.5,0000 1 Nov 2004,27.06861
3.5,0000 1 Nov 2004,27.01077
4.5,0000 1 Nov 2004,27.17912
5.5,0000 1 Nov 2004,27.48403
6.5,0000 1 Nov 2004,27.74025
7.5,0000 1 Nov 2004,27.76663
1.5,0000 1 Dec 2004,26.9704
2.5,0000 1 Dec 2004,26.78407
3.5,0000 1 Dec 2004,26.83991
4.5,0000 1 Dec 2004,27.06561
5.5,0000 1 Dec 2004,27.28838
6.5,0000 1 Dec 2004,27.32658
7.5,0000 1 Dec 2004,27.14749
1.5,0000 1 Jan 2005,27.27597
2.5,0000 1 Jan 2005,27.52103
3.5,0000 1 Jan 2005,27.80804
4.5,0000 1 Jan 2005,27.99531
5.5,0000 1 Jan 2005,27.89542
6.5,0000 1 Jan 2005,27.57246
7.5,0000 1 Jan 2005,27.21246
1.5,0000 1 Feb 2005,27.48923
2.5,0000 1 Feb 2005,27.84514
3.5,0000 1 Feb 2005,28.04606
4.5,0000 1 Feb 2005,27.88128
5.5,0000 1 Feb 2005,27.44323
6.5,0000 1 Feb 2005,27.04114
7.5,0000 1 Feb 2005,26.94984
1.5,0000 1 Mar 2005,28.44074
2.5,0000 1 Mar 2005,28.85556
3.5,0000 1 Mar 2005,28.84596
4.5,0000 1 Mar 2005,28.47534
5.5,0000 1 Mar 2005,28.07497
6.5,0000 1 Mar 2005,27.94161
7.5,0000 1 Mar 2005,27.99385
1.5,0000 1 Apr 2005,28.38401
2.5,0000 1 Apr 2005,28.26169
3.5,0000 1 Apr 2005,27.78499
4.5,0000 1 Apr 2005,27.33765
5.5,0000 1 Apr 2005,27.15377
6.5,0000 1 Apr 2005,27.21966
7.5,0000 1 Apr 2005,27.20596
1.5,0000 1 May 2005,28.27704
2.5,0000 1 May 2005,27.99902
3.5,0000 1 May 2005,27.59386
4.5,0000 1 May 2005,27.3915
5.5,0000 1 May 2005,27.37098
6.5,0000 1 May 2005,27.36031
7.5,0000 1 May 2005,27.01286
1.5,0000 1 Jun 2005,27.49156
2.5,0000 1 Jun 2005,27.11007
3.5,0000 1 Jun 2005,26.87628
4.5,0000 1 Jun 2005,26.72919
5.5,0000 1 Jun 2005,26.59896
6.5,0000 1 Jun 2005,26.33889
7.5,0000 1 Jun 2005,25.98985
1.5,0000 1 Jul 2005,26.75214
2.5,0000 1 Jul 2005,26.55429
3.5,0000 1 Jul 2005,26.58984
4.5,0000 1 Jul 2005,26.49417
5.5,0000 1 Jul 2005,26.1952
6.5,0000 1 Jul 2005,25.75997
7.5,0000 1 Jul 2005,25.53049
1.5,0000 1 Aug 2005,26.39694
2.5,0000 1 Aug 2005,26.48287
3.5,0000 1 Aug 2005,26.53778
4.5,0000 1 Aug 2005,26.32848
5.5,0000 1 Aug 2005,26.04741
6.5,0000 1 Aug 2005,25.95075
7.5,0000 1 Aug 2005,26.19971
1.5,0000 1 Sep 2005,26.62686
2.5,0000 1 Sep 2005,26.69522
3.5,0000 1 Sep 2005,26.5872
4.5,0000 1 Sep 2005,26.41425
5.5,0000 1 Sep 2005,26.422
6.5,0000 1 Sep 2005,26.73271
7.5,0000 1 Sep 2005,27.14439
1.5,0000 1 Oct 2005,26.24618
2.5,0000 1 Oct 2005,25.87031
3.5,0000 1 Oct 2005,25.54218
4.5,0000 1 Oct 2005,25.49994
5.5,0000 1 Oct 2005,25.79388
6.5,0000 1 Oct 2005,26.29305
7.5,0000 1 Oct 2005,26.67826
1.5,0000 1 Nov 2005,25.81722
2.5,0000 1 Nov 2005,25.46859
3.5,0000 1 Nov 2005,25.45193
4.5,0000 1 Nov 2005,25.82273
5.5,0000 1 Nov 2005,26.35689
6.5,0000 1 Nov 2005,26.73955
7.5,0000 1 Nov 2005,26.83656
1.5,0000 1 Dec 2005,25.49713
2.5,0000 1 Dec 2005,25.49037
3.5,0000 1 Dec 2005,25.92366
4.5,0000 1 Dec 2005,26.52367
5.5,0000 1 Dec 2005,27.03642
6.5,0000 1 Dec 2005,27.3013
7.5,0000 1 Dec 2005,27.42784
1.5,0000 1 Jan 2006,25.76719
2.5,0000 1 Jan 2006,26.25215
3.5,0000 1 Jan 2006,26.85909
4.5,0000 1 Jan 2006,27.30736
5.5,0000 1 Jan 2006,27.42206
6.5,0000 1 Jan 2006,27.3939
7.5,0000 1 Jan 2006,27.3768
1.5,0000 1 Feb 2006,26.33516
2.5,0000 1 Feb 2006,26.8134
3.5,0000 1 Feb 2006,27.19844
4.5,0000 1 Feb 2006,27.41977
5.5,0000 1 Feb 2006,27.41831
6.5,0000 1 Feb 2006,27.31623
7.5,0000 1 Feb 2006,27.28795
1.5,0000 1 Mar 2006,27.11243
2.5,0000 1 Mar 2006,27.41239
3.5,0000 1 Mar 2006,27.44598
4.5,0000 1 Mar 2006,27.28387
5.5,0000 1 Mar 2006,27.16609
6.5,0000 1 Mar 2006,27.25324
7.5,0000 1 Mar 2006,27.46478
1.5,0000 1 Apr 2006,27.96454
2.5,0000 1 Apr 2006,28.00606
3.5,0000 1 Apr 2006,27.715
4.5,0000 1 Apr 2006,27.42437
5.5,0000 1 Apr 2006,27.47985
6.5,0000 1 Apr 2006,27.83059
7.5,0000 1 Apr 2006,28.19634
1.5,0000 1 May 2006,27.63549
2.5,0000 1 May 2006,27.36925
3.5,0000 1 May 2006,27.11565
4.5,0000 1 May 2006,27.06574
5.5,0000 1 May 2006,27.11887
6.5,0000 1 May 2006,27.19333
7.5,0000 1 May 2006,27.0444
1.5,0000 1 Jun 2006,27.53627
2.5,0000 1 Jun 2006,27.29855
3.5,0000 1 Jun 2006,27.32498
4.5,0000 1 Jun 2006,27.52147
5.5,0000 1 Jun 2006,27.68326
6.5,0000 1 Jun 2006,27.59738
7.5,0000 1 Jun 2006,27.34556
1.5,0000 1 Jul 2006,26.86157
2.5,0000 1 Jul 2006,26.72659
3.5,0000 1 Jul 2006,26.826
4.5,0000 1 Jul 2006,26.92923
5.5,0000 1 Jul 2006,26.77825
6.5,0000 1 Jul 2006,26.38302
7.5,0000 1 Jul 2006,26.09741
1.5,0000 1 Aug 2006,26.81186
2.5,0000 1 Aug 2006,26.82221
3.5,0000 1 Aug 2006,26.93815
4.5,0000 1 Aug 2006,26.80779
5.5,0000 1 Aug 2006,26.5025
6.5,0000 1 Aug 2006,26.2697
7.5,0000 1 Aug 2006,26.33148
1.5,0000 1 Sep 2006,27.23612
2.5,0000 1 Sep 2006,27.33252
3.5,0000 1 Sep 2006,27.32424
4.5,0000 1 Sep 2006,27.11267
5.5,0000 1 Sep 2006,26.88354
6.5,0000 1 Sep 2006,26.8277
7.5,0000 1 Sep 2006,26.87311
1.5,0000 1 Oct 2006,27.73475
2.5,0000 1 Oct 2006,27.74053
3.5,0000 1 Oct 2006,27.51809
4.5,0000 1 Oct 2006,27.29539
5.5,0000 1 Oct 2006,27.28659
6.5,0000 1 Oct 2006,27.3226
7.5,0000 1 Oct 2006,27.27423
1.5,0000 1 Nov 2006,27.74328
2.5,0000 1 Nov 2006,27.6311
3.5,0000 1 Nov 2006,27.5386
4.5,0000 1 Nov 2006,27.6165
5.5,0000 1 Nov 2006,27.7757
6.5,0000 1 Nov 2006,27.83892
7.5,0000 1 Nov 2006,27.60066
1.5,0000 1 Dec 2006,27.69913
