L,MON,LDC_SST_CanSIPS_IC3,LDC_SST_CanSIPS_IC3_ONETWO,LDC_SST_CanSIPS_IC3_THREE,LDC_SST_CanSIPS_IC3_FOUR
5.5,0000 1 Apr 1991,299.4725,296.7163,298.4973,301.2539
6.5,0000 1 Apr 1991,299.5685,297.2278,298.6695,301.2321
7.5,0000 1 Apr 1991,299.7665,297.953,298.9678,301.3101
8.5,0000 1 Apr 1991,299.8639,298.6629,299.2065,301.2948
9.5,0000 1 Apr 1991,299.8413,299.2643,299.3618,301.1401
10.5,0000 1 Apr 1991,299.8063,299.7415,299.5459,300.9291
1.5,0000 1 May 1991,300.9618,297.8326,300.1693,302.1968
2.5,0000 1 May 1991,300.507,297.3768,299.6016,301.993
3.5,0000 1 May 1991,300.0683,297.0085,299.1157,301.7382
4.5,0000 1 May 1991,299.8672,297.0339,298.9,301.5788
5.5,0000 1 May 1991,299.957,297.4473,299.0107,301.565
6.5,0000 1 May 1991,300.188,298.1198,299.2953,301.6371
7.5,0000 1 May 1991,300.3371,298.8433,299.591,301.6221
8.5,0000 1 May 1991,300.3283,299.4965,299.8065,301.4519
9.5,0000 1 May 1991,300.2599,299.9622,299.998,301.2364
10.5,0000 1 May 1991,300.2144,300.0146,300.1179,301.0717
1.5,0000 1 Jun 1991,300.8658,297.4332,299.9519,302.2156
2.5,0000 1 Jun 1991,300.469,297.2714,299.4765,302.0227
3.5,0000 1 Jun 1991,300.3131,297.3512,299.3088,301.9158
4.5,0000 1 Jun 1991,300.4628,297.8137,299.4774,301.9494
5.5,0000 1 Jun 1991,300.7323,298.5343,299.7982,302.006
6.5,0000 1 Jun 1991,300.8847,299.2718,300.0837,301.9455
7.5,0000 1 Jun 1991,300.8712,299.9258,300.2979,301.7511
8.5,0000 1 Jun 1991,300.7681,300.3778,300.4609,301.5296
9.5,0000 1 Jun 1991,300.6819,300.4179,300.5651,301.3792
10.5,0000 1 Jun 1991,300.5112,299.8386,300.3136,301.2685
1.5,0000 1 Jul 1991,300.4567,296.9417,299.406,302.1072
2.5,0000 1 Jul 1991,300.2357,297.3083,299.2425,301.9466
3.5,0000 1 Jul 1991,300.3987,297.7656,299.4177,301.954
4.5,0000 1 Jul 1991,300.6935,298.4064,299.736,302.0204
5.5,0000 1 Jul 1991,300.8559,299.189,300.0498,301.9657
6.5,0000 1 Jul 1991,300.813,299.9194,300.2711,301.7608
7.5,0000 1 Jul 1991,300.6961,300.4002,300.4058,301.5333
8.5,0000 1 Jul 1991,300.6366,300.468,300.5146,301.4037
9.5,0000 1 Jul 1991,300.553,299.9753,300.3569,301.3549
10.5,0000 1 Jul 1991,300.2383,298.9354,299.7733,301.2758
1.5,0000 1 Aug 1991,300.0971,296.4512,298.8907,302.0214
2.5,0000 1 Aug 1991,300.0323,297.3036,299.0285,301.8886
3.5,0000 1 Aug 1991,300.2547,298.1287,299.3567,301.8577
4.5,0000 1 Aug 1991,300.4114,298.886,299.6339,301.8004
5.5,0000 1 Aug 1991,300.4262,299.6414,299.8824,301.6379
6.5,0000 1 Aug 1991,300.3755,300.2042,300.1245,301.4131
7.5,0000 1 Aug 1991,300.3681,300.3854,300.3113,301.265
8.5,0000 1 Aug 1991,300.3379,299.8932,300.1865,301.1915
9.5,0000 1 Aug 1991,300.0718,298.8542,299.6028,301.122
10.5,0000 1 Aug 1991,299.464,297.569,298.6652,300.9312
1.5,0000 1 Sep 1991,300.1107,296.6638,298.8942,302.0169
2.5,0000 1 Sep 1991,300.1282,297.7804,299.1532,301.8894
3.5,0000 1 Sep 1991,300.1524,298.6071,299.3759,301.7256
4.5,0000 1 Sep 1991,300.1073,299.3092,299.5789,301.4882
5.5,0000 1 Sep 1991,300.067,299.7908,299.784,301.2455
6.5,0000 1 Sep 1991,300.1099,299.9061,299.9733,301.1178
7.5,0000 1 Sep 1991,300.1453,299.4114,299.8864,301.0981
8.5,0000 1 Sep 1991,299.9736,298.4526,299.3973,301.0762
9.5,0000 1 Sep 1991,299.475,297.2929,298.5581,300.925
10.5,0000 1 Sep 1991,298.7358,296.3402,297.7068,300.5792
1.5,0000 1 Oct 1991,300.4931,297.0084,299.1317,302.2859
2.5,0000 1 Oct 1991,300.4304,298.2838,299.3817,302.058
3.5,0000 1 Oct 1991,300.3522,299.1636,299.6215,301.7765
4.5,0000 1 Oct 1991,300.3026,299.715,299.9064,301.4907
5.5,0000 1 Oct 1991,300.3308,299.86,300.1129,301.3095
6.5,0000 1 Oct 1991,300.3459,299.3959,300.0304,301.2486
7.5,0000 1 Oct 1991,300.1708,298.4615,299.5455,301.2104
8.5,0000 1 Oct 1991,299.6566,297.3644,298.7523,301.0382
9.5,0000 1 Oct 1991,298.912,296.4685,297.925,300.6856
10.5,0000 1 Oct 1991,298.1949,295.9716,297.3294,300.2
1.5,0000 1 Nov 1991,300.6886,297.6404,299.3793,302.2109
2.5,0000 1 Nov 1991,300.4684,298.7955,299.5311,301.8727
3.5,0000 1 Nov 1991,300.3068,299.4725,299.718,301.5682
4.5,0000 1 Nov 1991,300.2675,299.6721,299.912,301.3666
5.5,0000 1 Nov 1991,300.2697,299.1767,299.8324,301.2958
6.5,0000 1 Nov 1991,300.1215,298.2241,299.401,301.2414
7.5,0000 1 Nov 1991,299.6328,297.1463,298.6119,301.0679
8.5,0000 1 Nov 1991,298.8924,296.2928,297.8035,300.6952
9.5,0000 1 Nov 1991,298.1744,295.8087,297.2253,300.1855
10.5,0000 1 Nov 1991,297.7345,295.7838,296.9566,299.7369
1.5,0000 1 Dec 1991,300.9724,298.5638,299.8402,302.1313
2.5,0000 1 Dec 1991,300.756,299.501,300.03,301.8312
3.5,0000 1 Dec 1991,300.7008,299.7977,300.2422,301.639
4.5,0000 1 Dec 1991,300.6966,299.4236,300.2122,301.566
5.5,0000 1 Dec 1991,300.5164,298.5454,299.7904,301.5092
6.5,0000 1 Dec 1991,299.9671,297.4619,298.9775,301.3211
7.5,0000 1 Dec 1991,299.1684,296.5707,298.1027,300.951
8.5,0000 1 Dec 1991,298.4364,296.0953,297.5041,300.4562
9.5,0000 1 Dec 1991,298.0368,296.1118,297.2856,300.0293
10.5,0000 1 Dec 1991,297.9307,296.5162,297.3341,299.7785
1.5,0000 1 Jan 1992,301.3783,299.7205,300.6081,302.0136
2.5,0000 1 Jan 1992,301.3491,300.3383,300.8927,301.9222
3.5,0000 1 Jan 1992,301.2758,300.1563,300.8774,301.8994
4.5,0000 1 Jan 1992,300.9446,299.3764,300.4013,301.8058
5.5,0000 1 Jan 1992,300.255,298.3325,299.5492,301.5129
6.5,0000 1 Jan 1992,299.3347,297.319,298.6171,300.977
7.5,0000 1 Jan 1992,298.5528,296.6767,297.9468,300.3575
8.5,0000 1 Jan 1992,298.1034,296.4827,297.5972,299.8636
9.5,0000 1 Jan 1992,297.9812,296.729,297.5213,299.63
10.5,0000 1 Jan 1992,297.9851,297.0945,297.562,299.5537
1.5,0000 1 Feb 1992,301.5134,300.3075,301.0446,301.9471
2.5,0000 1 Feb 1992,301.3674,300.3661,301.0522,301.8851
3.5,0000 1 Feb 1992,300.9469,299.7581,300.5739,301.7346
4.5,0000 1 Feb 1992,300.223,298.7497,299.7202,301.3905
5.5,0000 1 Feb 1992,299.3069,297.6886,298.7713,300.8337
6.5,0000 1 Feb 1992,298.571,296.8962,298.0547,300.2504
7.5,0000 1 Feb 1992,298.1715,296.6052,297.678,299.8285
8.5,0000 1 Feb 1992,298.0872,296.7356,297.5818,299.6618
9.5,0000 1 Feb 1992,298.0972,297.0896,297.615,299.6353
10.5,0000 1 Feb 1992,298.0722,297.527,297.6763,299.5505
1.5,0000 1 Mar 1992,301.6191,300.7647,301.3191,301.9706
2.5,0000 1 Mar 1992,301.2841,300.2074,300.9449,301.9034
3.5,0000 1 Mar 1992,300.5717,299.1773,300.1055,301.6278
4.5,0000 1 Mar 1992,299.6608,298.0098,299.1278,301.1565
5.5,0000 1 Mar 1992,298.9392,297.1007,298.4129,300.6398
6.5,0000 1 Mar 1992,298.5968,296.7525,298.0707,300.2673
7.5,0000 1 Mar 1992,298.5896,296.907,298.0544,300.1169
8.5,0000 1 Mar 1992,298.6592,297.3215,298.1297,300.0829
9.5,0000 1 Mar 1992,298.6576,297.8392,298.2151,299.9814
10.5,0000 1 Mar 1992,298.572,298.4117,298.298,299.7526
1.5,0000 1 Apr 1992,301.8032,299.9322,301.1974,302.3198
2.5,0000 1 Apr 1992,301.2724,298.9294,300.5227,302.0944
3.5,0000 1 Apr 1992,300.5415,297.9671,299.705,301.7606
4.5,0000 1 Apr 1992,299.8974,297.3583,299.0752,301.4039
5.5,0000 1 Apr 1992,299.5985,297.2213,298.8177,301.1905
6.5,0000 1 Apr 1992,299.6362,297.5069,298.8962,301.1653
7.5,0000 1 Apr 1992,299.7472,298.0017,299.0612,301.1829
8.5,0000 1 Apr 1992,299.7396,298.5204,299.146,301.0866
9.5,0000 1 Apr 1992,299.6127,299.0376,299.1842,300.8389
10.5,0000 1 Apr 1992,299.4608,299.4366,299.2745,300.5273
1.5,0000 1 May 1992,301.2741,298.6573,300.4921,302.1422
2.5,0000 1 May 1992,300.4386,297.6454,299.5188,301.8304
3.5,0000 1 May 1992,299.6433,296.9291,298.7537,301.3984
4.5,0000 1 May 1992,299.2179,296.7412,298.3733,301.052
5.5,0000 1 May 1992,299.1444,296.999,298.3469,300.885
6.5,0000 1 May 1992,299.1966,297.4672,298.427,300.8624
7.5,0000 1 May 1992,299.1439,297.9277,298.4619,300.7742
8.5,0000 1 May 1992,298.9774,298.4335,298.4951,300.4973
9.5,0000 1 May 1992,298.8569,298.8586,298.6335,300.1475
10.5,0000 1 May 1992,298.8853,298.9852,298.8652,299.9234
1.5,0000 1 Jun 1992,300.186,297.2182,299.1144,301.8708
2.5,0000 1 Jun 1992,299.3795,296.6541,298.3959,301.3841
3.5,0000 1 Jun 1992,299.0051,296.5293,298.118,300.9866
4.5,0000 1 Jun 1992,298.9731,296.8943,298.1454,300.8098
5.5,0000 1 Jun 1992,299.0885,297.4703,298.3258,300.8075
6.5,0000 1 Jun 1992,299.118,298.036,298.4842,300.754
7.5,0000 1 Jun 1992,299.0988,298.5752,298.666,300.5323
8.5,0000 1 Jun 1992,299.1024,299.0276,298.8869,300.2797
9.5,0000 1 Jun 1992,299.2316,299.1783,299.1824,300.1644
10.5,0000 1 Jun 1992,299.3876,298.7009,299.2255,300.206
1.5,0000 1 Jul 1992,299.4401,296.6007,298.3023,301.6671
2.5,0000 1 Jul 1992,298.9879,296.7933,298.0931,301.23
3.5,0000 1 Jul 1992,299.0396,297.1781,298.243,301.0784
4.5,0000 1 Jul 1992,299.2101,297.7027,298.4809,301.0647
5.5,0000 1 Jul 1992,299.2982,298.2801,298.7088,300.9876
6.5,0000 1 Jul 1992,299.3192,298.8719,298.9483,300.7559
7.5,0000 1 Jul 1992,299.3958,299.4089,299.2705,300.513
8.5,0000 1 Jul 1992,299.562,299.61,299.5931,300.4187
9.5,0000 1 Jul 1992,299.7356,299.153,299.6262,300.472
10.5,0000 1 Jul 1992,299.6595,298.163,299.1747,300.5655
1.5,0000 1 Aug 1992,299.0091,296.1909,297.884,301.4017
2.5,0000 1 Aug 1992,298.9031,296.9165,298.0372,301.1068
3.5,0000 1 Aug 1992,299.0429,297.5491,298.312,300.9914
4.5,0000 1 Aug 1992,299.1364,298.1355,298.5595,300.8879
5.5,0000 1 Aug 1992,299.2056,298.7596,298.8653,300.6823
6.5,0000 1 Aug 1992,299.3325,299.2899,299.2234,300.4883
7.5,0000 1 Aug 1992,299.5535,299.48,299.5894,300.4328
8.5,0000 1 Aug 1992,299.742,299.0761,299.6341,300.5216
9.5,0000 1 Aug 1992,299.7325,298.2057,299.2805,300.6367
10.5,0000 1 Aug 1992,299.3631,297.1344,298.5167,300.6133
1.5,0000 1 Sep 1992,298.9715,296.181,297.8619,301.3083
2.5,0000 1 Sep 1992,298.8195,297.2073,298.0004,301.0258
3.5,0000 1 Sep 1992,298.8001,297.8223,298.1265,300.7971
4.5,0000 1 Sep 1992,298.7538,298.3823,298.3185,300.4736
5.5,0000 1 Sep 1992,298.7713,298.9188,298.5945,300.1572
6.5,0000 1 Sep 1992,298.9337,299.137,298.9343,300.0158
7.5,0000 1 Sep 1992,299.1851,298.611,299.0183,300.1106
8.5,0000 1 Sep 1992,299.3252,297.5769,298.753,300.2785
9.5,0000 1 Sep 1992,299.1622,296.5296,298.1767,300.3497
10.5,0000 1 Sep 1992,298.7016,295.855,297.579,300.2223
1.5,0000 1 Oct 1992,298.9727,296.4525,297.8759,301.32
2.5,0000 1 Oct 1992,298.8216,297.5535,298.0119,300.9998
3.5,0000 1 Oct 1992,298.7982,298.3009,298.2326,300.6935
4.5,0000 1 Oct 1992,298.8571,298.8566,298.592,300.3954
5.5,0000 1 Oct 1992,299.0595,299.026,298.985,300.261
6.5,0000 1 Oct 1992,299.3266,298.5283,299.111,300.3198
7.5,0000 1 Oct 1992,299.414,297.5718,298.7947,300.4477
8.5,0000 1 Oct 1992,299.1492,296.5842,298.1317,300.4709
9.5,0000 1 Oct 1992,298.619,295.9406,297.5071,300.2892
10.5,0000 1 Oct 1992,298.1061,295.6342,297.1351,299.9556
1.5,0000 1 Nov 1992,299.136,297.1046,298.1034,301.2939
2.5,0000 1 Nov 1992,298.8918,298.1383,298.1877,300.8501
3.5,0000 1 Nov 1992,298.7865,298.8041,298.4568,300.4365
4.5,0000 1 Nov 1992,298.9361,298.953,298.8129,300.2511
5.5,0000 1 Nov 1992,299.2466,298.4037,298.985,300.3305
6.5,0000 1 Nov 1992,299.4443,297.43,298.7591,300.5147
7.5,0000 1 Nov 1992,299.2784,296.4938,298.2105,300.5652
8.5,0000 1 Nov 1992,298.7964,295.9077,297.6588,300.3737
9.5,0000 1 Nov 1992,298.2873,295.6742,297.2986,300.0447
10.5,0000 1 Nov 1992,298.0154,295.8199,297.2038,299.7771
1.5,0000 1 Dec 1992,299.1641,297.8072,298.2416,301.2285
2.5,0000 1 Dec 1992,298.9938,298.7477,298.5548,300.7538
3.5,0000 1 Dec 1992,299.1433,298.9329,298.9539,300.466
4.5,0000 1 Dec 1992,299.4143,298.376,299.0781,300.4632
5.5,0000 1 Dec 1992,299.5462,297.4186,298.8181,300.587
6.5,0000 1 Dec 1992,299.3311,296.5043,298.236,300.6339
7.5,0000 1 Dec 1992,298.8359,295.9038,297.6934,300.4292
8.5,0000 1 Dec 1992,298.3334,295.6885,297.3556,300.074
9.5,0000 1 Dec 1992,298.0327,295.8339,297.2485,299.7608
10.5,0000 1 Dec 1992,297.9691,296.3124,297.3023,299.6411
1.5,0000 1 Jan 1993,299.7035,299.0769,299.2043,301.2065
2.5,0000 1 Jan 1993,299.7846,299.4919,299.6014,300.9633
3.5,0000 1 Jan 1993,299.9848,299.0267,299.665,300.9445
4.5,0000 1 Jan 1993,300.0094,298.0369,299.3168,301.0305
5.5,0000 1 Jan 1993,299.6801,297.0633,298.6319,300.9855
6.5,0000 1 Jan 1993,299.0723,296.3726,297.9577,300.7388
7.5,0000 1 Jan 1993,298.4869,296.0943,297.5558,300.3463
8.5,0000 1 Jan 1993,298.1764,296.223,297.4467,300.0243
9.5,0000 1 Jan 1993,298.1488,296.6573,297.5423,299.8882
10.5,0000 1 Jan 1993,298.2571,297.2149,297.6977,299.889
1.5,0000 1 Feb 1993,300.4107,299.9349,300.0982,301.5702
2.5,0000 1 Feb 1993,300.671,299.6644,300.3215,301.6302
3.5,0000 1 Feb 1993,300.7147,298.8593,300.1053,301.6815
4.5,0000 1 Feb 1993,300.3772,297.8792,299.4899,301.5899
5.5,0000 1 Feb 1993,299.7323,297.0723,298.731,301.3222
6.5,0000 1 Feb 1993,299.096,296.6283,298.1732,300.9392
7.5,0000 1 Feb 1993,298.7683,296.5963,297.9698,300.6296
8.5,0000 1 Feb 1993,298.7831,296.9573,298.0865,300.4983
9.5,0000 1 Feb 1993,298.9142,297.4546,298.2698,300.4895
10.5,0000 1 Feb 1993,298.958,298.0065,298.4245,300.4241
1.5,0000 1 Mar 1993,300.9141,299.985,300.6462,301.7885
2.5,0000 1 Mar 1993,300.8587,299.23,300.3456,301.804
3.5,0000 1 Mar 1993,300.3932,298.2079,299.6371,301.6422
4.5,0000 1 Mar 1993,299.6584,297.288,298.7834,301.306
5.5,0000 1 Mar 1993,298.9777,296.7218,298.1436,300.8484
6.5,0000 1 Mar 1993,298.6284,296.5944,297.8638,300.4976
7.5,0000 1 Mar 1993,298.5971,296.8992,297.8994,300.3308
8.5,0000 1 Mar 1993,298.6679,297.3683,298.0413,300.2832
9.5,0000 1 Mar 1993,298.6678,297.8705,298.1605,300.1629
10.5,0000 1 Mar 1993,298.5724,298.3718,298.2484,299.9126
1.5,0000 1 Apr 1993,301.2823,299.5504,300.8319,302.0443
2.5,0000 1 Apr 1993,300.7672,298.7691,300.1501,301.9252
3.5,0000 1 Apr 1993,300.0308,297.8412,299.3212,301.618
4.5,0000 1 Apr 1993,299.3434,297.1107,298.6201,301.1702
5.5,0000 1 Apr 1993,299.0102,296.8911,298.2875,300.8213
6.5,0000 1 Apr 1993,299.0124,297.1654,298.2888,300.6897
7.5,0000 1 Apr 1993,299.1321,297.6382,298.4372,300.711
8.5,0000 1 Apr 1993,299.1713,298.1471,298.5585,300.6808
9.5,0000 1 Apr 1993,299.0895,298.6495,298.6468,300.4674
10.5,0000 1 Apr 1993,298.9697,299.0901,298.7504,300.2018
1.5,0000 1 May 1993,300.9015,298.4141,300.2116,301.9995
2.5,0000 1 May 1993,300.1316,297.6191,299.3304,301.6979
3.5,0000 1 May 1993,299.4145,296.9298,298.6047,301.2526
4.5,0000 1 May 1993,299.0555,296.7171,298.2491,300.9137
5.5,0000 1 May 1993,299.0276,296.9934,298.2408,300.7766
6.5,0000 1 May 1993,299.1632,297.5127,298.4145,300.7976
7.5,0000 1 May 1993,299.1823,298.1021,298.5572,300.7347
8.5,0000 1 May 1993,299.1107,298.732,298.7064,300.5186
9.5,0000 1 May 1993,298.9999,299.2882,298.8836,300.225
10.5,0000 1 May 1993,298.9967,299.4087,299.0917,300.0188
1.5,0000 1 Jun 1993,300.1082,297.4401,299.2405,301.7296
2.5,0000 1 Jun 1993,299.3299,297.0014,298.5121,301.2498
3.5,0000 1 Jun 1993,298.957,296.838,298.1716,300.8596
4.5,0000 1 Jun 1993,298.9561,297.0529,298.1603,300.7451
5.5,0000 1 Jun 1993,299.0823,297.502,298.3213,300.804
6.5,0000 1 Jun 1993,299.1416,298.0517,298.5168,300.7851
7.5,0000 1 Jun 1993,299.1151,298.6512,298.7411,300.5655
8.5,0000 1 Jun 1993,299.0884,299.1869,298.9897,300.2869
9.5,0000 1 Jun 1993,299.1247,299.3141,299.207,300.0666
10.5,0000 1 Jun 1993,299.1666,298.7325,299.0869,299.9934
1.5,0000 1 Jul 1993,299.4203,296.354,298.2791,301.578
2.5,0000 1 Jul 1993,298.9004,296.537,297.9643,301.1259
3.5,0000 1 Jul 1993,298.8416,296.8679,297.9732,300.8831
4.5,0000 1 Jul 1993,298.916,297.3289,298.1096,300.8174
5.5,0000 1 Jul 1993,298.8761,297.8667,298.2321,300.6711
6.5,0000 1 Jul 1993,298.7734,298.4417,298.3881,300.3472
7.5,0000 1 Jul 1993,298.6703,298.958,298.5705,299.9689
8.5,0000 1 Jul 1993,298.6907,299.0591,298.8011,299.7189
9.5,0000 1 Jul 1993,298.8134,298.4504,298.7571,299.6949
10.5,0000 1 Jul 1993,298.8009,297.2654,298.2973,299.8072
1.5,0000 1 Aug 1993,299.2624,296.2218,298.074,301.5082
2.5,0000 1 Aug 1993,299.0614,296.882,298.1126,301.2218
3.5,0000 1 Aug 1993,299.1128,297.4649,298.3083,301.0683
4.5,0000 1 Aug 1993,299.1385,298.0127,298.4361,300.9492
5.5,0000 1 Aug 1993,299.0577,298.5805,298.5498,300.6994
6.5,0000 1 Aug 1993,298.9671,299.1016,298.7379,300.3987
7.5,0000 1 Aug 1993,298.9786,299.2549,298.9769,300.1729
8.5,0000 1 Aug 1993,299.0887,298.7514,299.0002,300.1179
9.5,0000 1 Aug 1993,299.0527,297.6611,298.5603,300.1554
10.5,0000 1 Aug 1993,298.6714,296.4448,297.7656,300.0938
1.5,0000 1 Sep 1993,299.4421,296.4818,298.2912,301.6319
2.5,0000 1 Sep 1993,299.2373,297.3494,298.3354,301.317
3.5,0000 1 Sep 1993,299.0967,297.8934,298.3405,301.0081
4.5,0000 1 Sep 1993,298.8509,298.3694,298.2811,300.6222
5.5,0000 1 Sep 1993,298.6349,298.8407,298.3828,300.2056
6.5,0000 1 Sep 1993,298.591,298.913,298.5666,299.9185
7.5,0000 1 Sep 1993,298.7052,298.2215,298.5455,299.8682
8.5,0000 1 Sep 1993,298.6863,297.0137,298.0467,299.9379
9.5,0000 1 Sep 1993,298.348,295.858,297.2705,299.9263
10.5,0000 1 Sep 1993,297.7045,295.1341,296.5772,299.6273
1.5,0000 1 Oct 1993,299.6584,296.8828,298.508,301.6608
2.5,0000 1 Oct 1993,299.2947,297.7858,298.3859,301.2692
3.5,0000 1 Oct 1993,298.8805,298.3473,298.1766,300.7833
4.5,0000 1 Oct 1993,298.5105,298.7584,298.0973,300.2803
5.5,0000 1 Oct 1993,298.4235,298.7879,298.2716,299.9528
6.5,0000 1 Oct 1993,298.5247,298.0557,298.2494,299.9095
7.5,0000 1 Oct 1993,298.5698,296.854,297.8812,300.0051
8.5,0000 1 Oct 1993,298.268,295.7166,297.1662,299.9698
9.5,0000 1 Oct 1993,297.6981,295.0569,296.581,299.6463
10.5,0000 1 Oct 1993,297.1519,294.7909,296.2132,299.1814
1.5,0000 1 Nov 1993,299.3373,297.2385,298.2908,301.4112
2.5,0000 1 Nov 1993,298.7295,298.1423,297.9788,300.7475
3.5,0000 1 Nov 1993,298.221,298.6553,297.7991,300.0958
4.5,0000 1 Nov 1993,297.9881,298.579,297.7755,299.6606
5.5,0000 1 Nov 1993,297.9533,297.6391,297.5731,299.5378
6.5,0000 1 Nov 1993,297.8934,296.2292,297.0797,299.5606
7.5,0000 1 Nov 1993,297.5209,294.9963,296.3264,299.4493
8.5,0000 1 Nov 1993,296.9226,294.3451,295.7517,299.0799
9.5,0000 1 Nov 1993,296.4326,294.2364,295.5139,298.5936
10.5,0000 1 Nov 1993,296.2238,294.5642,295.5513,298.2421
1.5,0000 1 Dec 1993,298.9525,297.7194,298.0966,301.0294
2.5,0000 1 Dec 1993,298.3058,298.4356,297.7917,300.3241
3.5,0000 1 Dec 1993,298.0332,298.3987,297.7195,299.8366
4.5,0000 1 Dec 1993,297.9517,297.5525,297.5136,299.6464
5.5,0000 1 Dec 1993,297.8709,296.2361,297.0249,299.6217
6.5,0000 1 Dec 1993,297.4813,294.9712,296.2432,299.5031
7.5,0000 1 Dec 1993,296.926,294.2961,295.7006,299.128
8.5,0000 1 Dec 1993,296.4859,294.2,295.5374,298.6356
9.5,0000 1 Dec 1993,296.334,294.6271,295.667,298.2777
10.5,0000 1 Dec 1993,296.3894,295.3423,295.9111,298.1707
1.5,0000 1 Jan 1994,299.081,298.6875,298.6006,300.8256
2.5,0000 1 Jan 1994,298.862,298.7972,298.5486,300.4265
3.5,0000 1 Jan 1994,298.7998,297.9165,298.2509,300.3178
4.5,0000 1 Jan 1994,298.7126,296.5717,297.731,300.3145
5.5,0000 1 Jan 1994,298.3313,295.3321,296.979,300.2151
6.5,0000 1 Jan 1994,297.7399,294.6799,296.3939,299.8564
7.5,0000 1 Jan 1994,297.2126,294.5571,296.0756,299.3719
8.5,0000 1 Jan 1994,296.9295,294.9052,296.0349,298.9993
9.5,0000 1 Jan 1994,296.8922,295.5212,296.1646,298.8812
10.5,0000 1 Jan 1994,296.9265,296.1741,296.3495,298.9085
1.5,0000 1 Feb 1994,299.5893,299.2208,299.2635,300.9496
2.5,0000 1 Feb 1994,299.5436,298.4597,298.9912,300.8905
3.5,0000 1 Feb 1994,299.4215,297.2554,298.4712,300.899
4.5,0000 1 Feb 1994,299.009,296.1847,297.7182,300.7886
5.5,0000 1 Feb 1994,298.3981,295.5429,297.1086,300.4479
6.5,0000 1 Feb 1994,297.8438,295.3178,296.7637,299.9931
7.5,0000 1 Feb 1994,297.5645,295.503,296.6913,299.6319
8.5,0000 1 Feb 1994,297.5394,296.0054,296.8096,299.4956
9.5,0000 1 Feb 1994,297.6031,296.6181,296.9959,299.5056
10.5,0000 1 Feb 1994,297.6281,297.1893,297.1598,299.4463
1.5,0000 1 Mar 1994,300.1761,298.5278,299.6004,301.3844
2.5,0000 1 Mar 1994,299.9838,297.5511,299.0369,301.4406
3.5,0000 1 Mar 1994,299.5261,296.486,298.2774,301.3098
4.5,0000 1 Mar 1994,298.9077,295.7438,297.6324,300.9476
5.5,0000 1 Mar 1994,298.3486,295.4379,297.2261,300.4702
6.5,0000 1 Mar 1994,298.089,295.662,297.1343,300.1261
7.5,0000 1 Mar 1994,298.1128,296.1827,297.2454,300.0344
8.5,0000 1 Mar 1994,298.2124,296.8218,297.4279,300.1012
9.5,0000 1 Mar 1994,298.2373,297.4395,297.6277,300.075
10.5,0000 1 Mar 1994,298.1829,298.0949,297.8131,299.8573
