L,MON,LDC_SST_CanSIPS_IC3,LDC_SST_CanSIPS_IC3_ONETWO,LDC_SST_CanSIPS_IC3_THREE,LDC_SST_CanSIPS_IC3_FOUR
1.5,0000 1 Jan 1991,299.6681,298.8343,299.067,301.4312
2.5,0000 1 Jan 1991,299.6716,299.2094,299.3503,301.1461
3.5,0000 1 Jan 1991,299.8338,298.6126,299.3681,301.1189
4.5,0000 1 Jan 1991,299.8914,297.5701,299.0816,301.1671
5.5,0000 1 Jan 1991,299.6208,296.5309,298.4967,301.0785
6.5,0000 1 Jan 1991,299.086,295.8808,297.882,300.798
7.5,0000 1 Jan 1991,298.5233,295.6027,297.4318,300.3964
8.5,0000 1 Jan 1991,298.1789,295.7677,297.2635,300.0714
9.5,0000 1 Jan 1991,298.1069,296.2498,297.3337,299.9276
10.5,0000 1 Jan 1991,298.1476,296.8804,297.4921,299.9269
1.5,0000 1 Feb 1991,300.2692,299.6774,299.8822,301.6929
2.5,0000 1 Feb 1991,300.3961,299.3328,299.9398,301.666
3.5,0000 1 Feb 1991,300.3773,298.3587,299.6302,301.6859
4.5,0000 1 Feb 1991,300.0081,297.2604,298.9976,301.5233
5.5,0000 1 Feb 1991,299.3412,296.4797,298.2768,301.1529
6.5,0000 1 Feb 1991,298.7079,296.1075,297.7435,300.6682
7.5,0000 1 Feb 1991,298.3651,296.1819,297.5434,300.2995
8.5,0000 1 Feb 1991,298.3512,296.6323,297.66,300.1389
9.5,0000 1 Feb 1991,298.455,297.2331,297.883,300.1459
10.5,0000 1 Feb 1991,298.5227,297.8601,298.1023,300.0884
1.5,0000 1 Mar 1991,300.7922,299.6588,300.4127,301.9922
2.5,0000 1 Mar 1991,300.8451,298.9572,300.248,302.0356
3.5,0000 1 Mar 1991,300.5554,298.067,299.756,301.9206
4.5,0000 1 Mar 1991,300.0344,297.3854,299.1471,301.6388
5.5,0000 1 Mar 1991,299.5489,297.0183,298.6889,301.2949
6.5,0000 1 Mar 1991,299.3495,297.0638,298.5563,301.0662
7.5,0000 1 Mar 1991,299.4247,297.4556,298.6926,301.0219
8.5,0000 1 Mar 1991,299.5917,298.0103,298.9191,301.0798
9.5,0000 1 Mar 1991,299.6458,298.552,299.0772,301.042
10.5,0000 1 Mar 1991,299.5757,299.033,299.164,300.8647
1.5,0000 1 Apr 1991,300.8567,298.3131,300.1729,302.1152
2.5,0000 1 Apr 1991,300.6071,297.5749,299.7397,301.9941
3.5,0000 1 Apr 1991,300.1449,296.9179,299.1343,301.7558
4.5,0000 1 Apr 1991,299.674,296.6046,298.6459,301.4573
