SZN,LDC_SST_CanSIPS_IC4
JFM,26.114382178217845
FMA,26.550227868852485
MAM,26.833775722543372
AMJ,26.9130303738318
MJJ,26.57405315789476
JJA,26.22826500000002
JAS,25.943295333333356
ASO,25.805699166666688
SON,25.68232800000002
OND,25.71701250000002
NDJ,25.738638750000025
DJF,25.808018888888913
