SZN,OBS_MEAN_NINO3.4_L3
JFM,25.861
FMA,26.470333333333333
MAM,26.935238095238095
AMJ,26.979166666666664
MJJ,26.914666666666665
JJA,26.49
JAS,26.13925925925926
ASO,25.78
SON,25.631
OND,25.594444444444445
NDJ,25.482777777777773
DJF,25.489333333333335
