L,M,MON,LDC_SST_CanESM5
7.5,2,0000 1 Oct 1997,301.5598
8.5,2,0000 1 Oct 1997,301.0098
9.5,2,0000 1 Oct 1997,300.4937
10.5,2,0000 1 Oct 1997,300.1617
1.5,3,0000 1 Oct 1997,302.6228
2.5,3,0000 1 Oct 1997,302.5838
3.5,3,0000 1 Oct 1997,302.3103
4.5,3,0000 1 Oct 1997,302.021
5.5,3,0000 1 Oct 1997,301.9384
6.5,3,0000 1 Oct 1997,301.8805
7.5,3,0000 1 Oct 1997,301.4714
8.5,3,0000 1 Oct 1997,300.8965
9.5,3,0000 1 Oct 1997,300.248
10.5,3,0000 1 Oct 1997,299.904
1.5,4,0000 1 Oct 1997,302.6048
2.5,4,0000 1 Oct 1997,302.5655
3.5,4,0000 1 Oct 1997,302.31
4.5,4,0000 1 Oct 1997,302.0097
5.5,4,0000 1 Oct 1997,301.7784
6.5,4,0000 1 Oct 1997,301.5121
7.5,4,0000 1 Oct 1997,301.1641
8.5,4,0000 1 Oct 1997,300.6507
9.5,4,0000 1 Oct 1997,300.1544
10.5,4,0000 1 Oct 1997,299.8514
1.5,5,0000 1 Oct 1997,302.5321
2.5,5,0000 1 Oct 1997,302.3131
3.5,5,0000 1 Oct 1997,301.886
4.5,5,0000 1 Oct 1997,301.4729
5.5,5,0000 1 Oct 1997,301.2382
6.5,5,0000 1 Oct 1997,301.0747
7.5,5,0000 1 Oct 1997,300.7926
8.5,5,0000 1 Oct 1997,300.4654
9.5,5,0000 1 Oct 1997,300.1113
10.5,5,0000 1 Oct 1997,299.8261
1.5,6,0000 1 Oct 1997,302.6122
2.5,6,0000 1 Oct 1997,302.5431
3.5,6,0000 1 Oct 1997,302.2736
4.5,6,0000 1 Oct 1997,301.9455
5.5,6,0000 1 Oct 1997,301.6816
6.5,6,0000 1 Oct 1997,301.5309
7.5,6,0000 1 Oct 1997,301.3519
8.5,6,0000 1 Oct 1997,301.0876
9.5,6,0000 1 Oct 1997,300.7017
10.5,6,0000 1 Oct 1997,300.3886
1.5,7,0000 1 Oct 1997,302.648
2.5,7,0000 1 Oct 1997,302.6083
3.5,7,0000 1 Oct 1997,302.3252
4.5,7,0000 1 Oct 1997,302.0147
5.5,7,0000 1 Oct 1997,301.8293
6.5,7,0000 1 Oct 1997,301.8348
7.5,7,0000 1 Oct 1997,301.715
8.5,7,0000 1 Oct 1997,301.3274
9.5,7,0000 1 Oct 1997,300.7603
10.5,7,0000 1 Oct 1997,300.2724
1.5,8,0000 1 Oct 1997,302.5428
2.5,8,0000 1 Oct 1997,302.4626
3.5,8,0000 1 Oct 1997,302.2201
4.5,8,0000 1 Oct 1997,301.9538
5.5,8,0000 1 Oct 1997,301.7935
6.5,8,0000 1 Oct 1997,301.7722
7.5,8,0000 1 Oct 1997,301.5048
8.5,8,0000 1 Oct 1997,301.061
9.5,8,0000 1 Oct 1997,300.569
10.5,8,0000 1 Oct 1997,300.2334
1.5,9,0000 1 Oct 1997,302.5936
2.5,9,0000 1 Oct 1997,302.5316
3.5,9,0000 1 Oct 1997,302.2838
4.5,9,0000 1 Oct 1997,301.9702
5.5,9,0000 1 Oct 1997,301.9275
6.5,9,0000 1 Oct 1997,301.9309
7.5,9,0000 1 Oct 1997,301.8147
8.5,9,0000 1 Oct 1997,301.3349
9.5,9,0000 1 Oct 1997,300.7897
10.5,9,0000 1 Oct 1997,300.4332
1.5,10,0000 1 Oct 1997,302.6527
2.5,10,0000 1 Oct 1997,302.6789
3.5,10,0000 1 Oct 1997,302.4683
4.5,10,0000 1 Oct 1997,302.1786
5.5,10,0000 1 Oct 1997,302.0052
6.5,10,0000 1 Oct 1997,301.8982
7.5,10,0000 1 Oct 1997,301.5687
8.5,10,0000 1 Oct 1997,300.9814
9.5,10,0000 1 Oct 1997,300.2749
10.5,10,0000 1 Oct 1997,299.705
1.5,11,0000 1 Oct 1997,302.7357
2.5,11,0000 1 Oct 1997,302.7607
3.5,11,0000 1 Oct 1997,302.5888
4.5,11,0000 1 Oct 1997,302.3208
5.5,11,0000 1 Oct 1997,302.1026
6.5,11,0000 1 Oct 1997,301.9774
7.5,11,0000 1 Oct 1997,301.6498
8.5,11,0000 1 Oct 1997,301.1856
9.5,11,0000 1 Oct 1997,300.7084
10.5,11,0000 1 Oct 1997,300.4057
1.5,12,0000 1 Oct 1997,302.5015
2.5,12,0000 1 Oct 1997,302.3419
3.5,12,0000 1 Oct 1997,302.0678
4.5,12,0000 1 Oct 1997,301.8281
5.5,12,0000 1 Oct 1997,301.8435
6.5,12,0000 1 Oct 1997,301.7729
7.5,12,0000 1 Oct 1997,301.4084
8.5,12,0000 1 Oct 1997,300.7516
9.5,12,0000 1 Oct 1997,300.067
10.5,12,0000 1 Oct 1997,299.6661
1.5,13,0000 1 Oct 1997,302.5779
2.5,13,0000 1 Oct 1997,302.5832
3.5,13,0000 1 Oct 1997,302.3045
4.5,13,0000 1 Oct 1997,301.9857
5.5,13,0000 1 Oct 1997,301.8304
6.5,13,0000 1 Oct 1997,301.6432
7.5,13,0000 1 Oct 1997,301.2358
8.5,13,0000 1 Oct 1997,300.628
9.5,13,0000 1 Oct 1997,300.1341
10.5,13,0000 1 Oct 1997,299.7618
1.5,14,0000 1 Oct 1997,302.3934
2.5,14,0000 1 Oct 1997,302.2944
3.5,14,0000 1 Oct 1997,302.0202
4.5,14,0000 1 Oct 1997,301.6295
5.5,14,0000 1 Oct 1997,301.4719
6.5,14,0000 1 Oct 1997,301.4608
7.5,14,0000 1 Oct 1997,301.2937
8.5,14,0000 1 Oct 1997,300.8579
9.5,14,0000 1 Oct 1997,300.2577
10.5,14,0000 1 Oct 1997,299.8606
1.5,15,0000 1 Oct 1997,302.4943
2.5,15,0000 1 Oct 1997,302.3884
3.5,15,0000 1 Oct 1997,302.1294
4.5,15,0000 1 Oct 1997,301.8788
5.5,15,0000 1 Oct 1997,301.8336
6.5,15,0000 1 Oct 1997,301.6834
7.5,15,0000 1 Oct 1997,301.3517
8.5,15,0000 1 Oct 1997,300.7731
9.5,15,0000 1 Oct 1997,300.298
10.5,15,0000 1 Oct 1997,299.9496
1.5,16,0000 1 Oct 1997,302.5352
2.5,16,0000 1 Oct 1997,302.4828
3.5,16,0000 1 Oct 1997,302.2106
4.5,16,0000 1 Oct 1997,301.8755
5.5,16,0000 1 Oct 1997,301.7779
6.5,16,0000 1 Oct 1997,301.8141
7.5,16,0000 1 Oct 1997,301.6104
8.5,16,0000 1 Oct 1997,301.1586
9.5,16,0000 1 Oct 1997,300.7397
10.5,16,0000 1 Oct 1997,300.7144
1.5,17,0000 1 Oct 1997,302.6775
2.5,17,0000 1 Oct 1997,302.7518
3.5,17,0000 1 Oct 1997,302.5591
4.5,17,0000 1 Oct 1997,302.3105
5.5,17,0000 1 Oct 1997,302.1732
6.5,17,0000 1 Oct 1997,302.1875
7.5,17,0000 1 Oct 1997,301.787
8.5,17,0000 1 Oct 1997,301.2082
9.5,17,0000 1 Oct 1997,300.5447
10.5,17,0000 1 Oct 1997,300.2939
1.5,18,0000 1 Oct 1997,302.4858
2.5,18,0000 1 Oct 1997,302.3188
3.5,18,0000 1 Oct 1997,301.8673
4.5,18,0000 1 Oct 1997,301.4736
5.5,18,0000 1 Oct 1997,301.4173
6.5,18,0000 1 Oct 1997,301.4149
7.5,18,0000 1 Oct 1997,301.1854
8.5,18,0000 1 Oct 1997,300.6588
9.5,18,0000 1 Oct 1997,300.2177
10.5,18,0000 1 Oct 1997,300.0036
1.5,19,0000 1 Oct 1997,302.5349
2.5,19,0000 1 Oct 1997,302.5452
3.5,19,0000 1 Oct 1997,302.4066
4.5,19,0000 1 Oct 1997,302.2787
5.5,19,0000 1 Oct 1997,302.2186
6.5,19,0000 1 Oct 1997,302.0875
7.5,19,0000 1 Oct 1997,301.6219
8.5,19,0000 1 Oct 1997,300.8832
9.5,19,0000 1 Oct 1997,300.2318
10.5,19,0000 1 Oct 1997,299.8691
1.5,20,0000 1 Oct 1997,302.6431
2.5,20,0000 1 Oct 1997,302.6595
3.5,20,0000 1 Oct 1997,302.3183
4.5,20,0000 1 Oct 1997,301.9313
5.5,20,0000 1 Oct 1997,301.7957
6.5,20,0000 1 Oct 1997,301.8979
7.5,20,0000 1 Oct 1997,301.7991
8.5,20,0000 1 Oct 1997,301.3252
9.5,20,0000 1 Oct 1997,300.6592
10.5,20,0000 1 Oct 1997,300.1587
1.5,1,0000 1 Nov 1997,302.504
2.5,1,0000 1 Nov 1997,302.3214
3.5,1,0000 1 Nov 1997,302.0733
4.5,1,0000 1 Nov 1997,301.8898
5.5,1,0000 1 Nov 1997,301.5598
6.5,1,0000 1 Nov 1997,301.0336
7.5,1,0000 1 Nov 1997,300.3624
8.5,1,0000 1 Nov 1997,299.8362
9.5,1,0000 1 Nov 1997,299.5263
10.5,1,0000 1 Nov 1997,299.3206
1.5,2,0000 1 Nov 1997,302.5184
2.5,2,0000 1 Nov 1997,302.1566
3.5,2,0000 1 Nov 1997,301.6609
4.5,2,0000 1 Nov 1997,301.4378
5.5,2,0000 1 Nov 1997,301.4081
6.5,2,0000 1 Nov 1997,301.263
7.5,2,0000 1 Nov 1997,300.7925
8.5,2,0000 1 Nov 1997,300.2991
9.5,2,0000 1 Nov 1997,299.9836
10.5,2,0000 1 Nov 1997,299.781
1.5,3,0000 1 Nov 1997,302.5298
2.5,3,0000 1 Nov 1997,302.283
3.5,3,0000 1 Nov 1997,301.9657
4.5,3,0000 1 Nov 1997,301.753
5.5,3,0000 1 Nov 1997,301.6187
6.5,3,0000 1 Nov 1997,301.4139
7.5,3,0000 1 Nov 1997,300.9727
8.5,3,0000 1 Nov 1997,300.3863
9.5,3,0000 1 Nov 1997,299.8853
10.5,3,0000 1 Nov 1997,299.5928
1.5,4,0000 1 Nov 1997,302.4391
2.5,4,0000 1 Nov 1997,302.1707
3.5,4,0000 1 Nov 1997,301.8796
4.5,4,0000 1 Nov 1997,301.7885
5.5,4,0000 1 Nov 1997,301.8899
6.5,4,0000 1 Nov 1997,301.6547
7.5,4,0000 1 Nov 1997,301.0119
8.5,4,0000 1 Nov 1997,300.1759
9.5,4,0000 1 Nov 1997,299.6602
10.5,4,0000 1 Nov 1997,299.356
1.5,5,0000 1 Nov 1997,302.5637
2.5,5,0000 1 Nov 1997,302.3463
3.5,5,0000 1 Nov 1997,302.0602
4.5,5,0000 1 Nov 1997,301.8653
5.5,5,0000 1 Nov 1997,301.7626
6.5,5,0000 1 Nov 1997,301.5695
7.5,5,0000 1 Nov 1997,301.1398
8.5,5,0000 1 Nov 1997,300.6773
9.5,5,0000 1 Nov 1997,300.3251
10.5,5,0000 1 Nov 1997,300.0603
1.5,6,0000 1 Nov 1997,302.5232
2.5,6,0000 1 Nov 1997,302.3496
3.5,6,0000 1 Nov 1997,302.0409
4.5,6,0000 1 Nov 1997,301.8557
5.5,6,0000 1 Nov 1997,301.7224
6.5,6,0000 1 Nov 1997,301.4738
7.5,6,0000 1 Nov 1997,301.0238
8.5,6,0000 1 Nov 1997,300.4908
9.5,6,0000 1 Nov 1997,300.1752
10.5,6,0000 1 Nov 1997,299.9957
1.5,7,0000 1 Nov 1997,302.4926
2.5,7,0000 1 Nov 1997,302.226
3.5,7,0000 1 Nov 1997,301.9666
4.5,7,0000 1 Nov 1997,301.819
5.5,7,0000 1 Nov 1997,301.7224
6.5,7,0000 1 Nov 1997,301.243
7.5,7,0000 1 Nov 1997,300.5685
8.5,7,0000 1 Nov 1997,299.8577
9.5,7,0000 1 Nov 1997,299.4264
10.5,7,0000 1 Nov 1997,299.2475
1.5,8,0000 1 Nov 1997,302.6219
2.5,8,0000 1 Nov 1997,302.4027
3.5,8,0000 1 Nov 1997,301.9984
4.5,8,0000 1 Nov 1997,301.8006
5.5,8,0000 1 Nov 1997,301.5868
6.5,8,0000 1 Nov 1997,301.2373
7.5,8,0000 1 Nov 1997,300.4997
8.5,8,0000 1 Nov 1997,299.9297
9.5,8,0000 1 Nov 1997,299.6449
10.5,8,0000 1 Nov 1997,299.498
1.5,9,0000 1 Nov 1997,302.4565
2.5,9,0000 1 Nov 1997,302.1459
3.5,9,0000 1 Nov 1997,301.7089
4.5,9,0000 1 Nov 1997,301.5441
5.5,9,0000 1 Nov 1997,301.6988
6.5,9,0000 1 Nov 1997,301.773
7.5,9,0000 1 Nov 1997,301.5185
8.5,9,0000 1 Nov 1997,300.882
9.5,9,0000 1 Nov 1997,300.3041
10.5,9,0000 1 Nov 1997,299.8461
1.5,10,0000 1 Nov 1997,302.6165
2.5,10,0000 1 Nov 1997,302.3616
3.5,10,0000 1 Nov 1997,302.0435
4.5,10,0000 1 Nov 1997,301.8985
5.5,10,0000 1 Nov 1997,301.7715
6.5,10,0000 1 Nov 1997,301.3369
7.5,10,0000 1 Nov 1997,300.5815
8.5,10,0000 1 Nov 1997,299.8396
9.5,10,0000 1 Nov 1997,299.4156
10.5,10,0000 1 Nov 1997,299.2183
1.5,11,0000 1 Nov 1997,302.3904
2.5,11,0000 1 Nov 1997,302.053
3.5,11,0000 1 Nov 1997,301.5594
4.5,11,0000 1 Nov 1997,301.5802
5.5,11,0000 1 Nov 1997,301.7544
6.5,11,0000 1 Nov 1997,301.8645
7.5,11,0000 1 Nov 1997,301.3894
8.5,11,0000 1 Nov 1997,300.841
9.5,11,0000 1 Nov 1997,300.3226
10.5,11,0000 1 Nov 1997,299.9798
1.5,12,0000 1 Nov 1997,302.4491
2.5,12,0000 1 Nov 1997,302.102
3.5,12,0000 1 Nov 1997,301.7017
4.5,12,0000 1 Nov 1997,301.574
5.5,12,0000 1 Nov 1997,301.5503
6.5,12,0000 1 Nov 1997,301.3249
7.5,12,0000 1 Nov 1997,300.7843
8.5,12,0000 1 Nov 1997,300.1744
9.5,12,0000 1 Nov 1997,299.7319
10.5,12,0000 1 Nov 1997,299.4733
1.5,13,0000 1 Nov 1997,302.5265
2.5,13,0000 1 Nov 1997,302.278
3.5,13,0000 1 Nov 1997,301.9894
4.5,13,0000 1 Nov 1997,301.8423
5.5,13,0000 1 Nov 1997,301.7657
6.5,13,0000 1 Nov 1997,301.5173
7.5,13,0000 1 Nov 1997,301.006
8.5,13,0000 1 Nov 1997,300.474
9.5,13,0000 1 Nov 1997,300.0292
10.5,13,0000 1 Nov 1997,299.7803
1.5,14,0000 1 Nov 1997,302.5112
2.5,14,0000 1 Nov 1997,302.1869
3.5,14,0000 1 Nov 1997,301.7458
4.5,14,0000 1 Nov 1997,301.6165
5.5,14,0000 1 Nov 1997,301.5338
6.5,14,0000 1 Nov 1997,301.2285
7.5,14,0000 1 Nov 1997,300.6084
8.5,14,0000 1 Nov 1997,300.1105
9.5,14,0000 1 Nov 1997,299.8644
10.5,14,0000 1 Nov 1997,299.7441
1.5,15,0000 1 Nov 1997,302.5479
2.5,15,0000 1 Nov 1997,302.1799
3.5,15,0000 1 Nov 1997,301.8363
4.5,15,0000 1 Nov 1997,301.6297
5.5,15,0000 1 Nov 1997,301.5438
6.5,15,0000 1 Nov 1997,301.1491
7.5,15,0000 1 Nov 1997,300.4653
8.5,15,0000 1 Nov 1997,299.9086
9.5,15,0000 1 Nov 1997,299.4919
10.5,15,0000 1 Nov 1997,299.1915
1.5,16,0000 1 Nov 1997,302.3784
2.5,16,0000 1 Nov 1997,302.0073
3.5,16,0000 1 Nov 1997,301.4931
4.5,16,0000 1 Nov 1997,301.245
5.5,16,0000 1 Nov 1997,301.2505
6.5,16,0000 1 Nov 1997,301.2253
7.5,16,0000 1 Nov 1997,300.8302
8.5,16,0000 1 Nov 1997,300.2079
9.5,16,0000 1 Nov 1997,299.7706
10.5,16,0000 1 Nov 1997,299.494
1.5,17,0000 1 Nov 1997,302.4755
2.5,17,0000 1 Nov 1997,302.0755
3.5,17,0000 1 Nov 1997,301.6513
4.5,17,0000 1 Nov 1997,301.4838
5.5,17,0000 1 Nov 1997,301.5019
6.5,17,0000 1 Nov 1997,301.3368
7.5,17,0000 1 Nov 1997,300.8326
8.5,17,0000 1 Nov 1997,300.2931
9.5,17,0000 1 Nov 1997,299.8984
10.5,17,0000 1 Nov 1997,299.6497
1.5,18,0000 1 Nov 1997,302.527
2.5,18,0000 1 Nov 1997,302.2095
3.5,18,0000 1 Nov 1997,301.8171
4.5,18,0000 1 Nov 1997,301.506
5.5,18,0000 1 Nov 1997,301.1893
6.5,18,0000 1 Nov 1997,300.7473
7.5,18,0000 1 Nov 1997,300.1701
8.5,18,0000 1 Nov 1997,299.5951
9.5,18,0000 1 Nov 1997,299.2397
10.5,18,0000 1 Nov 1997,299.1125
1.5,19,0000 1 Nov 1997,302.4589
2.5,19,0000 1 Nov 1997,302.2225
3.5,19,0000 1 Nov 1997,301.8182
4.5,19,0000 1 Nov 1997,301.5705
5.5,19,0000 1 Nov 1997,301.4424
6.5,19,0000 1 Nov 1997,301.27
7.5,19,0000 1 Nov 1997,300.9382
8.5,19,0000 1 Nov 1997,300.4416
9.5,19,0000 1 Nov 1997,300.1748
10.5,19,0000 1 Nov 1997,299.9089
1.5,20,0000 1 Nov 1997,302.4893
2.5,20,0000 1 Nov 1997,302.2708
3.5,20,0000 1 Nov 1997,301.9314
4.5,20,0000 1 Nov 1997,301.7806
5.5,20,0000 1 Nov 1997,301.6685
6.5,20,0000 1 Nov 1997,301.3949
7.5,20,0000 1 Nov 1997,300.8576
8.5,20,0000 1 Nov 1997,300.1749
9.5,20,0000 1 Nov 1997,299.6378
10.5,20,0000 1 Nov 1997,299.2419
1.5,1,0000 1 Dec 1997,302.2435
2.5,1,0000 1 Dec 1997,301.9568
3.5,1,0000 1 Dec 1997,301.8096
4.5,1,0000 1 Dec 1997,301.9422
5.5,1,0000 1 Dec 1997,301.8272
6.5,1,0000 1 Dec 1997,301.4042
7.5,1,0000 1 Dec 1997,300.7012
8.5,1,0000 1 Dec 1997,300.2336
9.5,1,0000 1 Dec 1997,299.9053
10.5,1,0000 1 Dec 1997,299.6133
1.5,2,0000 1 Dec 1997,302.4098
2.5,2,0000 1 Dec 1997,302.1831
3.5,2,0000 1 Dec 1997,302.0677
4.5,2,0000 1 Dec 1997,302.0562
5.5,2,0000 1 Dec 1997,301.9295
6.5,2,0000 1 Dec 1997,301.515
7.5,2,0000 1 Dec 1997,300.8795
8.5,2,0000 1 Dec 1997,300.3982
9.5,2,0000 1 Dec 1997,300.0344
10.5,2,0000 1 Dec 1997,299.7565
1.5,3,0000 1 Dec 1997,302.2999
2.5,3,0000 1 Dec 1997,302.0632
3.5,3,0000 1 Dec 1997,301.9375
4.5,3,0000 1 Dec 1997,301.8114
5.5,3,0000 1 Dec 1997,301.3992
6.5,3,0000 1 Dec 1997,300.687
7.5,3,0000 1 Dec 1997,300.0115
8.5,3,0000 1 Dec 1997,299.6118
9.5,3,0000 1 Dec 1997,299.4028
10.5,3,0000 1 Dec 1997,299.2008
1.5,4,0000 1 Dec 1997,302.3685
2.5,4,0000 1 Dec 1997,302.2254
3.5,4,0000 1 Dec 1997,302.1508
4.5,4,0000 1 Dec 1997,302.0226
5.5,4,0000 1 Dec 1997,301.5238
6.5,4,0000 1 Dec 1997,300.8392
7.5,4,0000 1 Dec 1997,300.1883
8.5,4,0000 1 Dec 1997,299.8319
9.5,4,0000 1 Dec 1997,299.6369
10.5,4,0000 1 Dec 1997,299.3589
1.5,5,0000 1 Dec 1997,302.3047
2.5,5,0000 1 Dec 1997,301.9691
3.5,5,0000 1 Dec 1997,301.7486
4.5,5,0000 1 Dec 1997,301.6715
5.5,5,0000 1 Dec 1997,301.3443
6.5,5,0000 1 Dec 1997,300.6885
7.5,5,0000 1 Dec 1997,299.9883
8.5,5,0000 1 Dec 1997,299.5443
9.5,5,0000 1 Dec 1997,299.2393
10.5,5,0000 1 Dec 1997,298.9739
1.5,6,0000 1 Dec 1997,302.3621
2.5,6,0000 1 Dec 1997,302.1741
3.5,6,0000 1 Dec 1997,302.0517
4.5,6,0000 1 Dec 1997,301.9353
5.5,6,0000 1 Dec 1997,301.7125
6.5,6,0000 1 Dec 1997,301.2151
7.5,6,0000 1 Dec 1997,300.5246
8.5,6,0000 1 Dec 1997,299.9765
9.5,6,0000 1 Dec 1997,299.637
10.5,6,0000 1 Dec 1997,299.3629
1.5,7,0000 1 Dec 1997,302.4218
2.5,7,0000 1 Dec 1997,302.2548
3.5,7,0000 1 Dec 1997,302.1471
4.5,7,0000 1 Dec 1997,302.1224
5.5,7,0000 1 Dec 1997,301.7321
6.5,7,0000 1 Dec 1997,301.0657
7.5,7,0000 1 Dec 1997,300.2166
8.5,7,0000 1 Dec 1997,299.7495
9.5,7,0000 1 Dec 1997,299.4942
10.5,7,0000 1 Dec 1997,299.2866
1.5,8,0000 1 Dec 1997,302.3081
2.5,8,0000 1 Dec 1997,302.0923
3.5,8,0000 1 Dec 1997,301.9388
4.5,8,0000 1 Dec 1997,301.5981
5.5,8,0000 1 Dec 1997,300.9024
6.5,8,0000 1 Dec 1997,300.1221
7.5,8,0000 1 Dec 1997,299.579
8.5,8,0000 1 Dec 1997,299.4197
9.5,8,0000 1 Dec 1997,299.3427
10.5,8,0000 1 Dec 1997,299.106
1.5,9,0000 1 Dec 1997,302.4239
2.5,9,0000 1 Dec 1997,302.2104
3.5,9,0000 1 Dec 1997,301.9599
4.5,9,0000 1 Dec 1997,301.7356
5.5,9,0000 1 Dec 1997,301.3587
6.5,9,0000 1 Dec 1997,300.8489
7.5,9,0000 1 Dec 1997,300.331
8.5,9,0000 1 Dec 1997,299.9494
9.5,9,0000 1 Dec 1997,299.6367
10.5,9,0000 1 Dec 1997,299.2491
1.5,10,0000 1 Dec 1997,302.3405
2.5,10,0000 1 Dec 1997,302.1443
3.5,10,0000 1 Dec 1997,301.9622
4.5,10,0000 1 Dec 1997,301.7537
5.5,10,0000 1 Dec 1997,301.293
6.5,10,0000 1 Dec 1997,300.6611
7.5,10,0000 1 Dec 1997,300.0467
8.5,10,0000 1 Dec 1997,299.674
9.5,10,0000 1 Dec 1997,299.4112
10.5,10,0000 1 Dec 1997,299.1535
1.5,11,0000 1 Dec 1997,302.4565
2.5,11,0000 1 Dec 1997,302.32
3.5,11,0000 1 Dec 1997,302.1959
4.5,11,0000 1 Dec 1997,301.8749
5.5,11,0000 1 Dec 1997,301.3396
6.5,11,0000 1 Dec 1997,300.7739
7.5,11,0000 1 Dec 1997,300.3133
8.5,11,0000 1 Dec 1997,300.034
9.5,11,0000 1 Dec 1997,299.7137
10.5,11,0000 1 Dec 1997,299.2558
1.5,12,0000 1 Dec 1997,302.3472
2.5,12,0000 1 Dec 1997,302.0728
3.5,12,0000 1 Dec 1997,301.8136
4.5,12,0000 1 Dec 1997,301.5596
5.5,12,0000 1 Dec 1997,301.0976
6.5,12,0000 1 Dec 1997,300.5502
7.5,12,0000 1 Dec 1997,299.991
8.5,12,0000 1 Dec 1997,299.718
9.5,12,0000 1 Dec 1997,299.5433
10.5,12,0000 1 Dec 1997,299.3618
1.5,13,0000 1 Dec 1997,302.2388
2.5,13,0000 1 Dec 1997,301.8475
3.5,13,0000 1 Dec 1997,301.5663
4.5,13,0000 1 Dec 1997,301.317
5.5,13,0000 1 Dec 1997,300.7562
6.5,13,0000 1 Dec 1997,300.0097
7.5,13,0000 1 Dec 1997,299.4215
8.5,13,0000 1 Dec 1997,299.1902
9.5,13,0000 1 Dec 1997,299.13
10.5,13,0000 1 Dec 1997,299.0021
1.5,14,0000 1 Dec 1997,302.3711
2.5,14,0000 1 Dec 1997,302.0561
3.5,14,0000 1 Dec 1997,301.7676
4.5,14,0000 1 Dec 1997,301.6058
5.5,14,0000 1 Dec 1997,301.2618
6.5,14,0000 1 Dec 1997,300.7698
7.5,14,0000 1 Dec 1997,300.1381
8.5,14,0000 1 Dec 1997,299.7618
9.5,14,0000 1 Dec 1997,299.528
10.5,14,0000 1 Dec 1997,299.231
1.5,15,0000 1 Dec 1997,302.2709
2.5,15,0000 1 Dec 1997,301.8865
3.5,15,0000 1 Dec 1997,301.6463
4.5,15,0000 1 Dec 1997,301.272
5.5,15,0000 1 Dec 1997,300.7294
6.5,15,0000 1 Dec 1997,300.0941
7.5,15,0000 1 Dec 1997,299.653
8.5,15,0000 1 Dec 1997,299.4477
9.5,15,0000 1 Dec 1997,299.1992
10.5,15,0000 1 Dec 1997,298.8603
1.5,16,0000 1 Dec 1997,302.1452
2.5,16,0000 1 Dec 1997,301.8499
3.5,16,0000 1 Dec 1997,301.6593
4.5,16,0000 1 Dec 1997,301.5217
5.5,16,0000 1 Dec 1997,301.0235
6.5,16,0000 1 Dec 1997,300.428
7.5,16,0000 1 Dec 1997,299.7523
8.5,16,0000 1 Dec 1997,299.3873
9.5,16,0000 1 Dec 1997,299.0835
10.5,16,0000 1 Dec 1997,298.8396
1.5,17,0000 1 Dec 1997,302.475
2.5,17,0000 1 Dec 1997,302.2969
3.5,17,0000 1 Dec 1997,302.2317
4.5,17,0000 1 Dec 1997,302.0294
5.5,17,0000 1 Dec 1997,301.6417
6.5,17,0000 1 Dec 1997,300.8992
7.5,17,0000 1 Dec 1997,300.1763
8.5,17,0000 1 Dec 1997,299.592
9.5,17,0000 1 Dec 1997,299.2689
10.5,17,0000 1 Dec 1997,298.9739
1.5,18,0000 1 Dec 1997,302.3243
2.5,18,0000 1 Dec 1997,302.1519
3.5,18,0000 1 Dec 1997,302.0745
4.5,18,0000 1 Dec 1997,301.9288
5.5,18,0000 1 Dec 1997,301.315
6.5,18,0000 1 Dec 1997,300.6434
7.5,18,0000 1 Dec 1997,300.0517
8.5,18,0000 1 Dec 1997,299.8198
9.5,18,0000 1 Dec 1997,299.5861
10.5,18,0000 1 Dec 1997,299.3224
1.5,19,0000 1 Dec 1997,302.4394
2.5,19,0000 1 Dec 1997,302.08
3.5,19,0000 1 Dec 1997,301.8896
4.5,19,0000 1 Dec 1997,301.7143
5.5,19,0000 1 Dec 1997,301.4042
6.5,19,0000 1 Dec 1997,300.7646
7.5,19,0000 1 Dec 1997,300.176
8.5,19,0000 1 Dec 1997,299.7349
9.5,19,0000 1 Dec 1997,299.4114
10.5,19,0000 1 Dec 1997,299.0272
1.5,20,0000 1 Dec 1997,302.4712
2.5,20,0000 1 Dec 1997,302.2306
3.5,20,0000 1 Dec 1997,302.09
4.5,20,0000 1 Dec 1997,301.9441
5.5,20,0000 1 Dec 1997,301.5371
6.5,20,0000 1 Dec 1997,300.824
7.5,20,0000 1 Dec 1997,300.1224
8.5,20,0000 1 Dec 1997,299.7118
9.5,20,0000 1 Dec 1997,299.4677
10.5,20,0000 1 Dec 1997,299.2791
1.5,1,0000 1 Jan 1998,301.788
2.5,1,0000 1 Jan 1998,301.5637
3.5,1,0000 1 Jan 1998,301.5874
4.5,1,0000 1 Jan 1998,301.4113
5.5,1,0000 1 Jan 1998,300.981
6.5,1,0000 1 Jan 1998,300.3199
7.5,1,0000 1 Jan 1998,299.8369
8.5,1,0000 1 Jan 1998,299.493
9.5,1,0000 1 Jan 1998,299.1844
10.5,1,0000 1 Jan 1998,298.8796
1.5,2,0000 1 Jan 1998,301.9412
2.5,2,0000 1 Jan 1998,301.6663
3.5,2,0000 1 Jan 1998,301.4667
4.5,2,0000 1 Jan 1998,301.0055
5.5,2,0000 1 Jan 1998,300.4384
6.5,2,0000 1 Jan 1998,299.8336
7.5,2,0000 1 Jan 1998,299.4753
8.5,2,0000 1 Jan 1998,299.3175
9.5,2,0000 1 Jan 1998,299.1248
10.5,2,0000 1 Jan 1998,298.8309
1.5,3,0000 1 Jan 1998,301.7846
2.5,3,0000 1 Jan 1998,301.5905
3.5,3,0000 1 Jan 1998,301.393
4.5,3,0000 1 Jan 1998,301.0847
5.5,3,0000 1 Jan 1998,300.6134
6.5,3,0000 1 Jan 1998,300.2385
