L,M,MON,LDC_SST_CanESM5
9.5,14,0000 1 Jan 1991,299.8168
10.5,14,0000 1 Jan 1991,299.8729
1.5,15,0000 1 Jan 1991,300.3588
2.5,15,0000 1 Jan 1991,300.5909
3.5,15,0000 1 Jan 1991,300.8069
4.5,15,0000 1 Jan 1991,300.8954
5.5,15,0000 1 Jan 1991,300.7204
6.5,15,0000 1 Jan 1991,300.4286
7.5,15,0000 1 Jan 1991,300.1959
8.5,15,0000 1 Jan 1991,300.2095
9.5,15,0000 1 Jan 1991,300.3471
10.5,15,0000 1 Jan 1991,300.3702
1.5,16,0000 1 Jan 1991,300.2696
2.5,16,0000 1 Jan 1991,300.4254
3.5,16,0000 1 Jan 1991,300.6164
4.5,16,0000 1 Jan 1991,300.6387
5.5,16,0000 1 Jan 1991,300.4278
6.5,16,0000 1 Jan 1991,300.1638
7.5,16,0000 1 Jan 1991,300.0296
8.5,16,0000 1 Jan 1991,300.0349
9.5,16,0000 1 Jan 1991,300.0465
10.5,16,0000 1 Jan 1991,299.9559
1.5,17,0000 1 Jan 1991,300.2913
2.5,17,0000 1 Jan 1991,300.589
3.5,17,0000 1 Jan 1991,301.0183
4.5,17,0000 1 Jan 1991,301.2301
5.5,17,0000 1 Jan 1991,301.1051
6.5,17,0000 1 Jan 1991,300.7596
7.5,17,0000 1 Jan 1991,300.4336
8.5,17,0000 1 Jan 1991,300.4171
9.5,17,0000 1 Jan 1991,300.5543
10.5,17,0000 1 Jan 1991,300.6292
1.5,18,0000 1 Jan 1991,300.2767
2.5,18,0000 1 Jan 1991,300.6277
3.5,18,0000 1 Jan 1991,301.0307
4.5,18,0000 1 Jan 1991,301.2362
5.5,18,0000 1 Jan 1991,301.1078
6.5,18,0000 1 Jan 1991,300.8875
7.5,18,0000 1 Jan 1991,300.6645
8.5,18,0000 1 Jan 1991,300.5899
9.5,18,0000 1 Jan 1991,300.5292
10.5,18,0000 1 Jan 1991,300.4238
1.5,19,0000 1 Jan 1991,300.3106
2.5,19,0000 1 Jan 1991,300.6099
3.5,19,0000 1 Jan 1991,300.9626
4.5,19,0000 1 Jan 1991,301.1216
5.5,19,0000 1 Jan 1991,300.8775
6.5,19,0000 1 Jan 1991,300.4881
7.5,19,0000 1 Jan 1991,300.1793
8.5,19,0000 1 Jan 1991,300.1497
9.5,19,0000 1 Jan 1991,300.2131
10.5,19,0000 1 Jan 1991,300.1164
1.5,20,0000 1 Jan 1991,299.9648
2.5,20,0000 1 Jan 1991,299.9601
3.5,20,0000 1 Jan 1991,300.1765
4.5,20,0000 1 Jan 1991,300.4354
5.5,20,0000 1 Jan 1991,300.5071
6.5,20,0000 1 Jan 1991,300.3592
7.5,20,0000 1 Jan 1991,300.1845
8.5,20,0000 1 Jan 1991,300.0935
9.5,20,0000 1 Jan 1991,300.045
10.5,20,0000 1 Jan 1991,299.9612
1.5,1,0000 1 Feb 1991,300.9474
2.5,1,0000 1 Feb 1991,301.1685
3.5,1,0000 1 Feb 1991,301.1907
4.5,1,0000 1 Feb 1991,300.9704
5.5,1,0000 1 Feb 1991,300.7364
6.5,1,0000 1 Feb 1991,300.6129
7.5,1,0000 1 Feb 1991,300.6783
8.5,1,0000 1 Feb 1991,300.8209
9.5,1,0000 1 Feb 1991,300.8308
10.5,1,0000 1 Feb 1991,300.7092
1.5,2,0000 1 Feb 1991,300.6318
2.5,2,0000 1 Feb 1991,300.7736
3.5,2,0000 1 Feb 1991,300.7652
4.5,2,0000 1 Feb 1991,300.6551
5.5,2,0000 1 Feb 1991,300.5042
6.5,2,0000 1 Feb 1991,300.4173
