L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
8.5,0000 1 Sep 1991,300.0102,298.0996,299.2332,301.2003
9.5,0000 1 Sep 1991,299.6606,296.8137,298.4699,301.1173
10.5,0000 1 Sep 1991,299.1633,295.9407,297.784,300.9059
1.5,0000 1 Oct 1991,300.4295,296.6642,298.877,302.3803
2.5,0000 1 Oct 1991,300.3201,297.8325,299.0747,302.13
3.5,0000 1 Oct 1991,300.2142,298.8419,299.3333,301.826
4.5,0000 1 Oct 1991,300.175,299.6524,299.6586,301.5516
5.5,0000 1 Oct 1991,300.2722,299.9506,299.956,301.4169
6.5,0000 1 Oct 1991,300.3186,299.3516,299.8518,301.4107
7.5,0000 1 Oct 1991,300.1385,298.1591,299.2932,301.3853
8.5,0000 1 Oct 1991,299.6478,296.8331,298.3989,301.2197
9.5,0000 1 Oct 1991,299.0613,295.88,297.616,300.9376
10.5,0000 1 Oct 1991,298.5901,295.3333,297.1639,300.6715
1.5,0000 1 Nov 1991,300.737,297.4304,299.3004,302.286
2.5,0000 1 Nov 1991,300.5656,298.6315,299.4958,301.9851
3.5,0000 1 Nov 1991,300.4561,299.5471,299.7626,301.7351
4.5,0000 1 Nov 1991,300.4723,299.8982,300.0048,301.6173
5.5,0000 1 Nov 1991,300.4772,299.3255,299.9116,301.5869
6.5,0000 1 Nov 1991,300.2913,298.1638,299.3916,301.5213
7.5,0000 1 Nov 1991,299.8178,296.8807,298.553,301.3186
8.5,0000 1 Nov 1991,299.2103,295.982,297.7623,301.0097
9.5,0000 1 Nov 1991,298.7031,295.4272,297.247,300.7233
10.5,0000 1 Nov 1991,298.3975,295.251,297.0619,300.5001
1.5,0000 1 Dec 1991,301.0335,298.3967,299.7807,302.2133
2.5,0000 1 Dec 1991,300.873,299.4444,299.9919,301.9751
3.5,0000 1 Dec 1991,300.8186,299.8825,300.1995,301.8353
4.5,0000 1 Dec 1991,300.7851,299.4306,300.1305,301.7884
5.5,0000 1 Dec 1991,300.5699,298.3708,299.652,301.6991
6.5,0000 1 Dec 1991,300.0722,297.1187,298.8011,301.4989
7.5,0000 1 Dec 1991,299.4756,296.1754,297.9911,301.2273
8.5,0000 1 Dec 1991,298.9942,295.6203,297.4996,300.9839
9.5,0000 1 Dec 1991,298.7401,295.4802,297.3782,300.813
10.5,0000 1 Dec 1991,298.6115,295.7651,297.4281,300.6592
1.5,0000 1 Jan 1992,301.4548,299.6753,300.5429,302.1295
2.5,0000 1 Jan 1992,301.4213,300.3459,300.8053,302.0327
3.5,0000 1 Jan 1992,301.3044,299.9848,300.6893,301.9996
4.5,0000 1 Jan 1992,300.917,298.9828,300.0965,301.8714
5.5,0000 1 Jan 1992,300.2307,297.7046,299.1155,301.5798
6.5,0000 1 Jan 1992,299.456,296.6827,298.1825,301.1674
7.5,0000 1 Jan 1992,298.8477,295.9661,297.558,300.7872
8.5,0000 1 Jan 1992,298.4814,295.6509,297.2949,300.4991
9.5,0000 1 Jan 1992,298.2477,295.7564,297.2024,300.2744
10.5,0000 1 Jan 1992,298.0469,296.2011,297.1619,300.0452
1.5,0000 1 Feb 1992,301.5102,300.4093,300.9643,302.0421
2.5,0000 1 Feb 1992,301.2964,300.1812,300.8105,301.9753
3.5,0000 1 Feb 1992,300.819,299.2263,300.1551,301.7933
4.5,0000 1 Feb 1992,300.0888,297.9069,299.1383,301.453
5.5,0000 1 Feb 1992,299.3542,296.8217,298.2054,301.0523
6.5,0000 1 Feb 1992,298.84,296.0516,297.6306,300.7318
7.5,0000 1 Feb 1992,298.5609,295.7365,297.4123,300.5012
8.5,0000 1 Feb 1992,298.3746,295.8707,297.3542,300.299
9.5,0000 1 Feb 1992,298.1681,296.3143,297.3044,300.0732
10.5,0000 1 Feb 1992,298.0017,297.0436,297.3914,299.8075
1.5,0000 1 Mar 1992,301.5592,300.5343,301.184,302.0175
2.5,0000 1 Mar 1992,301.0842,299.6385,300.5694,301.8796
3.5,0000 1 Mar 1992,300.3418,298.3615,299.5415,301.5759
