SZN,OBS_MEAN_NINO3.4_L3
JFM,26.86727272727273
FMA,27.37205128205128
MAM,27.722962962962963
AMJ,27.84181818181818
MJJ,27.610877192982457
JJA,27.26
JAS,27.011333333333333
ASO,26.74222222222222
SON,26.657333333333334
OND,26.648333333333333
NDJ,26.56
DJF,26.583
