L,M,MON,LDC_SST_GEM52_NEMO
9.5,20,0000 1 Dec 1991,297.2856
10.5,20,0000 1 Dec 1991,296.8914
1.5,1,0000 1 Jan 1992,301.2076
2.5,1,0000 1 Jan 1992,301.0801
3.5,1,0000 1 Jan 1992,300.8996
4.5,1,0000 1 Jan 1992,300.5978
5.5,1,0000 1 Jan 1992,299.9153
6.5,1,0000 1 Jan 1992,298.9815
7.5,1,0000 1 Jan 1992,298.1413
8.5,1,0000 1 Jan 1992,297.6394
9.5,1,0000 1 Jan 1992,297.3973
10.5,1,0000 1 Jan 1992,297.2699
1.5,2,0000 1 Jan 1992,301.1417
2.5,2,0000 1 Jan 1992,300.9726
3.5,2,0000 1 Jan 1992,300.7072
4.5,2,0000 1 Jan 1992,300.0625
5.5,2,0000 1 Jan 1992,299.2744
6.5,2,0000 1 Jan 1992,298.2582
7.5,2,0000 1 Jan 1992,297.5322
8.5,2,0000 1 Jan 1992,296.8328
9.5,2,0000 1 Jan 1992,296.4576
10.5,2,0000 1 Jan 1992,296.3461
1.5,3,0000 1 Jan 1992,301.3942
2.5,3,0000 1 Jan 1992,301.4038
3.5,3,0000 1 Jan 1992,301.1851
4.5,3,0000 1 Jan 1992,300.5026
5.5,3,0000 1 Jan 1992,299.3608
6.5,3,0000 1 Jan 1992,298.3461
7.5,3,0000 1 Jan 1992,297.6425
8.5,3,0000 1 Jan 1992,297.3146
9.5,3,0000 1 Jan 1992,297.0162
10.5,3,0000 1 Jan 1992,296.7597
1.5,4,0000 1 Jan 1992,301.2654
2.5,4,0000 1 Jan 1992,301.1685
3.5,4,0000 1 Jan 1992,300.8552
4.5,4,0000 1 Jan 1992,300.1118
5.5,4,0000 1 Jan 1992,299.0925
6.5,4,0000 1 Jan 1992,298.0733
7.5,4,0000 1 Jan 1992,297.4073
8.5,4,0000 1 Jan 1992,296.9886
9.5,4,0000 1 Jan 1992,296.7866
10.5,4,0000 1 Jan 1992,296.7383
1.5,5,0000 1 Jan 1992,301.3452
2.5,5,0000 1 Jan 1992,301.318
3.5,5,0000 1 Jan 1992,301.0547
4.5,5,0000 1 Jan 1992,300.3847
5.5,5,0000 1 Jan 1992,299.3697
6.5,5,0000 1 Jan 1992,298.4329
7.5,5,0000 1 Jan 1992,297.7829
8.5,5,0000 1 Jan 1992,297.482
9.5,5,0000 1 Jan 1992,297.175
10.5,5,0000 1 Jan 1992,297.0041
1.5,6,0000 1 Jan 1992,301.2831
2.5,6,0000 1 Jan 1992,301.2625
3.5,6,0000 1 Jan 1992,301.2325
4.5,6,0000 1 Jan 1992,301.0995
5.5,6,0000 1 Jan 1992,300.5956
6.5,6,0000 1 Jan 1992,299.7564
7.5,6,0000 1 Jan 1992,298.8832
8.5,6,0000 1 Jan 1992,298.2525
9.5,6,0000 1 Jan 1992,297.9403
10.5,6,0000 1 Jan 1992,297.7935
1.5,7,0000 1 Jan 1992,301.3097
2.5,7,0000 1 Jan 1992,301.1941
3.5,7,0000 1 Jan 1992,300.8632
4.5,7,0000 1 Jan 1992,300.2137
5.5,7,0000 1 Jan 1992,299.1836
6.5,7,0000 1 Jan 1992,298.279
7.5,7,0000 1 Jan 1992,297.6923
8.5,7,0000 1 Jan 1992,297.4294
9.5,7,0000 1 Jan 1992,297.2084
10.5,7,0000 1 Jan 1992,297.0469
1.5,8,0000 1 Jan 1992,301.1793
2.5,8,0000 1 Jan 1992,301.0969
3.5,8,0000 1 Jan 1992,300.9108
4.5,8,0000 1 Jan 1992,300.2397
5.5,8,0000 1 Jan 1992,299.2191
6.5,8,0000 1 Jan 1992,298.2206
7.5,8,0000 1 Jan 1992,297.5546
8.5,8,0000 1 Jan 1992,297.1682
9.5,8,0000 1 Jan 1992,296.8253
10.5,8,0000 1 Jan 1992,296.6224
1.5,9,0000 1 Jan 1992,301.2204
2.5,9,0000 1 Jan 1992,301.2262
3.5,9,0000 1 Jan 1992,301.2755
4.5,9,0000 1 Jan 1992,301.1137
5.5,9,0000 1 Jan 1992,300.4925
6.5,9,0000 1 Jan 1992,299.6211
7.5,9,0000 1 Jan 1992,298.8044
8.5,9,0000 1 Jan 1992,298.1929
9.5,9,0000 1 Jan 1992,297.8085
10.5,9,0000 1 Jan 1992,297.3944
1.5,10,0000 1 Jan 1992,301.3336
2.5,10,0000 1 Jan 1992,301.3129
3.5,10,0000 1 Jan 1992,301.247
4.5,10,0000 1 Jan 1992,300.9295
5.5,10,0000 1 Jan 1992,300.1158
6.5,10,0000 1 Jan 1992,299.1443
7.5,10,0000 1 Jan 1992,298.3109
8.5,10,0000 1 Jan 1992,297.95
9.5,10,0000 1 Jan 1992,297.6806
10.5,10,0000 1 Jan 1992,297.3961
1.5,11,0000 1 Jan 1992,301.0908
2.5,11,0000 1 Jan 1992,301.1382
3.5,11,0000 1 Jan 1992,301.335
4.5,11,0000 1 Jan 1992,301.2269
5.5,11,0000 1 Jan 1992,300.3149
6.5,11,0000 1 Jan 1992,298.9811
7.5,11,0000 1 Jan 1992,297.9598
8.5,11,0000 1 Jan 1992,297.5061
9.5,11,0000 1 Jan 1992,297.3191
10.5,11,0000 1 Jan 1992,296.9903
1.5,12,0000 1 Jan 1992,301.2303
2.5,12,0000 1 Jan 1992,301.1686
3.5,12,0000 1 Jan 1992,301.0487
4.5,12,0000 1 Jan 1992,300.454
5.5,12,0000 1 Jan 1992,299.3669
6.5,12,0000 1 Jan 1992,298.3557
7.5,12,0000 1 Jan 1992,297.6609
8.5,12,0000 1 Jan 1992,297.3075
9.5,12,0000 1 Jan 1992,296.882
10.5,12,0000 1 Jan 1992,296.6422
1.5,13,0000 1 Jan 1992,301.2023
2.5,13,0000 1 Jan 1992,301.1781
3.5,13,0000 1 Jan 1992,301.158
4.5,13,0000 1 Jan 1992,300.8373
5.5,13,0000 1 Jan 1992,300.0222
6.5,13,0000 1 Jan 1992,299.0647
7.5,13,0000 1 Jan 1992,298.2718
8.5,13,0000 1 Jan 1992,297.804
9.5,13,0000 1 Jan 1992,297.4689
10.5,13,0000 1 Jan 1992,297.1758
1.5,14,0000 1 Jan 1992,301.2027
2.5,14,0000 1 Jan 1992,301.0381
3.5,14,0000 1 Jan 1992,300.6382
4.5,14,0000 1 Jan 1992,299.953
5.5,14,0000 1 Jan 1992,298.8918
6.5,14,0000 1 Jan 1992,297.9446
7.5,14,0000 1 Jan 1992,297.2589
8.5,14,0000 1 Jan 1992,296.8715
9.5,14,0000 1 Jan 1992,296.5826
10.5,14,0000 1 Jan 1992,296.3963
1.5,15,0000 1 Jan 1992,301.2531
2.5,15,0000 1 Jan 1992,301.1943
3.5,15,0000 1 Jan 1992,301.0647
4.5,15,0000 1 Jan 1992,300.5666
5.5,15,0000 1 Jan 1992,299.6327
6.5,15,0000 1 Jan 1992,298.5914
7.5,15,0000 1 Jan 1992,298.0223
8.5,15,0000 1 Jan 1992,297.7695
9.5,15,0000 1 Jan 1992,297.7366
10.5,15,0000 1 Jan 1992,297.6001
1.5,16,0000 1 Jan 1992,301.2776
2.5,16,0000 1 Jan 1992,301.1671
3.5,16,0000 1 Jan 1992,300.8242
4.5,16,0000 1 Jan 1992,300.2976
5.5,16,0000 1 Jan 1992,299.4695
6.5,16,0000 1 Jan 1992,298.5783
7.5,16,0000 1 Jan 1992,297.7687
8.5,16,0000 1 Jan 1992,297.3353
9.5,16,0000 1 Jan 1992,297.1953
10.5,16,0000 1 Jan 1992,297.1537
1.5,17,0000 1 Jan 1992,301.1698
2.5,17,0000 1 Jan 1992,301.192
3.5,17,0000 1 Jan 1992,301.2097
4.5,17,0000 1 Jan 1992,300.8759
5.5,17,0000 1 Jan 1992,300.1051
6.5,17,0000 1 Jan 1992,299.2156
7.5,17,0000 1 Jan 1992,298.2753
8.5,17,0000 1 Jan 1992,297.7603
9.5,17,0000 1 Jan 1992,297.3298
10.5,17,0000 1 Jan 1992,297.0444
1.5,18,0000 1 Jan 1992,301.0404
2.5,18,0000 1 Jan 1992,300.8809
3.5,18,0000 1 Jan 1992,300.6981
4.5,18,0000 1 Jan 1992,300.1902
5.5,18,0000 1 Jan 1992,299.39
6.5,18,0000 1 Jan 1992,298.3508
7.5,18,0000 1 Jan 1992,297.4482
8.5,18,0000 1 Jan 1992,296.8018
9.5,18,0000 1 Jan 1992,296.3667
10.5,18,0000 1 Jan 1992,296.0947
1.5,19,0000 1 Jan 1992,301.4268
2.5,19,0000 1 Jan 1992,301.4868
3.5,19,0000 1 Jan 1992,301.4501
4.5,19,0000 1 Jan 1992,301.0908
5.5,19,0000 1 Jan 1992,300.3832
6.5,19,0000 1 Jan 1992,299.4668
7.5,19,0000 1 Jan 1992,298.7486
8.5,19,0000 1 Jan 1992,298.1632
9.5,19,0000 1 Jan 1992,297.8675
10.5,19,0000 1 Jan 1992,297.5596
1.5,20,0000 1 Jan 1992,301.1679
2.5,20,0000 1 Jan 1992,301.1691
3.5,20,0000 1 Jan 1992,301.133
4.5,20,0000 1 Jan 1992,300.8824
5.5,20,0000 1 Jan 1992,300.2236
6.5,20,0000 1 Jan 1992,299.4391
7.5,20,0000 1 Jan 1992,298.7868
8.5,20,0000 1 Jan 1992,298.4229
9.5,20,0000 1 Jan 1992,298.1734
10.5,20,0000 1 Jan 1992,297.8841
1.5,1,0000 1 Feb 1992,301.3789
2.5,1,0000 1 Feb 1992,301.0226
3.5,1,0000 1 Feb 1992,300.4725
4.5,1,0000 1 Feb 1992,299.6729
5.5,1,0000 1 Feb 1992,298.8276
6.5,1,0000 1 Feb 1992,298.1588
7.5,1,0000 1 Feb 1992,297.8047
8.5,1,0000 1 Feb 1992,297.5484
9.5,1,0000 1 Feb 1992,297.2351
10.5,1,0000 1 Feb 1992,296.9532
1.5,2,0000 1 Feb 1992,301.174
2.5,2,0000 1 Feb 1992,300.7664
3.5,2,0000 1 Feb 1992,300.2116
4.5,2,0000 1 Feb 1992,299.3867
5.5,2,0000 1 Feb 1992,298.6201
6.5,2,0000 1 Feb 1992,298.0454
7.5,2,0000 1 Feb 1992,297.6984
8.5,2,0000 1 Feb 1992,297.4806
9.5,2,0000 1 Feb 1992,297.2119
10.5,2,0000 1 Feb 1992,297.124
1.5,3,0000 1 Feb 1992,301.4488
2.5,3,0000 1 Feb 1992,301.3471
3.5,3,0000 1 Feb 1992,300.9734
4.5,3,0000 1 Feb 1992,300.149
5.5,3,0000 1 Feb 1992,298.9987
6.5,3,0000 1 Feb 1992,298.0593
7.5,3,0000 1 Feb 1992,297.4774
8.5,3,0000 1 Feb 1992,297.1766
9.5,3,0000 1 Feb 1992,296.8428
10.5,3,0000 1 Feb 1992,296.649
1.5,4,0000 1 Feb 1992,301.2412
2.5,4,0000 1 Feb 1992,300.6397
3.5,4,0000 1 Feb 1992,299.8653
4.5,4,0000 1 Feb 1992,298.835
5.5,4,0000 1 Feb 1992,298.0869
6.5,4,0000 1 Feb 1992,297.5272
7.5,4,0000 1 Feb 1992,297.362
8.5,4,0000 1 Feb 1992,297.1038
9.5,4,0000 1 Feb 1992,296.7206
10.5,4,0000 1 Feb 1992,296.5503
1.5,5,0000 1 Feb 1992,301.3017
2.5,5,0000 1 Feb 1992,300.9368
3.5,5,0000 1 Feb 1992,300.2134
4.5,5,0000 1 Feb 1992,299.2351
5.5,5,0000 1 Feb 1992,298.4211
6.5,5,0000 1 Feb 1992,297.893
7.5,5,0000 1 Feb 1992,297.6257
8.5,5,0000 1 Feb 1992,297.3165
9.5,5,0000 1 Feb 1992,297.112
10.5,5,0000 1 Feb 1992,297.0338
1.5,6,0000 1 Feb 1992,301.3669
2.5,6,0000 1 Feb 1992,301.1362
3.5,6,0000 1 Feb 1992,300.6581
4.5,6,0000 1 Feb 1992,299.7823
5.5,6,0000 1 Feb 1992,298.8213
6.5,6,0000 1 Feb 1992,298.0035
7.5,6,0000 1 Feb 1992,297.4714
8.5,6,0000 1 Feb 1992,297.0688
9.5,6,0000 1 Feb 1992,296.768
10.5,6,0000 1 Feb 1992,296.6201
1.5,7,0000 1 Feb 1992,301.4862
2.5,7,0000 1 Feb 1992,301.1932
3.5,7,0000 1 Feb 1992,300.5772
4.5,7,0000 1 Feb 1992,299.7314
5.5,7,0000 1 Feb 1992,298.9266
6.5,7,0000 1 Feb 1992,298.2878
7.5,7,0000 1 Feb 1992,297.8039
8.5,7,0000 1 Feb 1992,297.3693
9.5,7,0000 1 Feb 1992,296.9938
10.5,7,0000 1 Feb 1992,296.7849
1.5,8,0000 1 Feb 1992,301.2567
2.5,8,0000 1 Feb 1992,300.8413
3.5,8,0000 1 Feb 1992,300.1389
4.5,8,0000 1 Feb 1992,299.1335
5.5,8,0000 1 Feb 1992,298.2918
6.5,8,0000 1 Feb 1992,297.6802
7.5,8,0000 1 Feb 1992,297.3349
8.5,8,0000 1 Feb 1992,296.9382
9.5,8,0000 1 Feb 1992,296.6431
10.5,8,0000 1 Feb 1992,296.5012
1.5,9,0000 1 Feb 1992,301.3128
2.5,9,0000 1 Feb 1992,300.8332
3.5,9,0000 1 Feb 1992,300.1155
4.5,9,0000 1 Feb 1992,299.2237
5.5,9,0000 1 Feb 1992,298.3987
6.5,9,0000 1 Feb 1992,297.8273
7.5,9,0000 1 Feb 1992,297.5176
8.5,9,0000 1 Feb 1992,297.356
9.5,9,0000 1 Feb 1992,297.1798
10.5,9,0000 1 Feb 1992,297.053
1.5,10,0000 1 Feb 1992,301.3948
2.5,10,0000 1 Feb 1992,301.1445
3.5,10,0000 1 Feb 1992,300.5005
4.5,10,0000 1 Feb 1992,299.3806
5.5,10,0000 1 Feb 1992,298.1603
6.5,10,0000 1 Feb 1992,297.3574
7.5,10,0000 1 Feb 1992,296.9502
8.5,10,0000 1 Feb 1992,296.6588
9.5,10,0000 1 Feb 1992,296.4037
10.5,10,0000 1 Feb 1992,296.2089
1.5,11,0000 1 Feb 1992,301.2932
2.5,11,0000 1 Feb 1992,301.0157
3.5,11,0000 1 Feb 1992,300.468
4.5,11,0000 1 Feb 1992,299.5756
5.5,11,0000 1 Feb 1992,298.6304
6.5,11,0000 1 Feb 1992,298.0206
7.5,11,0000 1 Feb 1992,297.7621
8.5,11,0000 1 Feb 1992,297.6361
9.5,11,0000 1 Feb 1992,297.5074
10.5,11,0000 1 Feb 1992,297.4088
1.5,12,0000 1 Feb 1992,301.2647
2.5,12,0000 1 Feb 1992,301.0111
3.5,12,0000 1 Feb 1992,300.4397
4.5,12,0000 1 Feb 1992,299.5304
5.5,12,0000 1 Feb 1992,298.5614
6.5,12,0000 1 Feb 1992,297.9211
7.5,12,0000 1 Feb 1992,297.6719
8.5,12,0000 1 Feb 1992,297.4733
9.5,12,0000 1 Feb 1992,297.3573
10.5,12,0000 1 Feb 1992,297.2921
1.5,13,0000 1 Feb 1992,301.4278
2.5,13,0000 1 Feb 1992,301.1689
3.5,13,0000 1 Feb 1992,300.3517
4.5,13,0000 1 Feb 1992,299.2294
5.5,13,0000 1 Feb 1992,298.24
6.5,13,0000 1 Feb 1992,297.7759
7.5,13,0000 1 Feb 1992,297.5989
8.5,13,0000 1 Feb 1992,297.5479
9.5,13,0000 1 Feb 1992,297.4308
10.5,13,0000 1 Feb 1992,297.3818
1.5,14,0000 1 Feb 1992,301.4779
2.5,14,0000 1 Feb 1992,301.3267
3.5,14,0000 1 Feb 1992,300.6607
4.5,14,0000 1 Feb 1992,299.6816
5.5,14,0000 1 Feb 1992,298.6182
6.5,14,0000 1 Feb 1992,297.9735
7.5,14,0000 1 Feb 1992,297.6047
8.5,14,0000 1 Feb 1992,297.2516
9.5,14,0000 1 Feb 1992,297.0118
10.5,14,0000 1 Feb 1992,296.7828
1.5,15,0000 1 Feb 1992,301.3669
2.5,15,0000 1 Feb 1992,301.0927
3.5,15,0000 1 Feb 1992,300.4778
4.5,15,0000 1 Feb 1992,299.5644
5.5,15,0000 1 Feb 1992,298.6068
6.5,15,0000 1 Feb 1992,297.9296
7.5,15,0000 1 Feb 1992,297.4257
8.5,15,0000 1 Feb 1992,297.075
9.5,15,0000 1 Feb 1992,296.728
10.5,15,0000 1 Feb 1992,296.5247
1.5,16,0000 1 Feb 1992,301.4947
2.5,16,0000 1 Feb 1992,301.3368
3.5,16,0000 1 Feb 1992,300.7719
4.5,16,0000 1 Feb 1992,299.8109
5.5,16,0000 1 Feb 1992,298.7104
6.5,16,0000 1 Feb 1992,297.8995
7.5,16,0000 1 Feb 1992,297.3297
8.5,16,0000 1 Feb 1992,296.9311
9.5,16,0000 1 Feb 1992,296.5312
10.5,16,0000 1 Feb 1992,296.2577
1.5,17,0000 1 Feb 1992,301.5467
2.5,17,0000 1 Feb 1992,301.4763
3.5,17,0000 1 Feb 1992,300.8229
4.5,17,0000 1 Feb 1992,299.8416
5.5,17,0000 1 Feb 1992,298.8113
6.5,17,0000 1 Feb 1992,298.2645
7.5,17,0000 1 Feb 1992,297.8998
8.5,17,0000 1 Feb 1992,297.6376
9.5,17,0000 1 Feb 1992,297.281
10.5,17,0000 1 Feb 1992,297.0276
1.5,18,0000 1 Feb 1992,301.1617
2.5,18,0000 1 Feb 1992,300.5987
3.5,18,0000 1 Feb 1992,299.7419
4.5,18,0000 1 Feb 1992,298.5144
5.5,18,0000 1 Feb 1992,297.5274
6.5,18,0000 1 Feb 1992,296.9503
7.5,18,0000 1 Feb 1992,296.8334
8.5,18,0000 1 Feb 1992,296.8733
9.5,18,0000 1 Feb 1992,296.7729
10.5,18,0000 1 Feb 1992,296.751
1.5,19,0000 1 Feb 1992,301.0673
2.5,19,0000 1 Feb 1992,300.5834
3.5,19,0000 1 Feb 1992,299.7566
4.5,19,0000 1 Feb 1992,298.5569
5.5,19,0000 1 Feb 1992,297.6072
6.5,19,0000 1 Feb 1992,296.9836
7.5,19,0000 1 Feb 1992,296.7147
8.5,19,0000 1 Feb 1992,296.4793
9.5,19,0000 1 Feb 1992,296.3719
10.5,19,0000 1 Feb 1992,296.367
1.5,20,0000 1 Feb 1992,301.4576
2.5,20,0000 1 Feb 1992,301.1581
3.5,20,0000 1 Feb 1992,300.423
4.5,20,0000 1 Feb 1992,299.2992
5.5,20,0000 1 Feb 1992,298.2518
6.5,20,0000 1 Feb 1992,297.597
7.5,20,0000 1 Feb 1992,297.2409
8.5,20,0000 1 Feb 1992,297.0202
9.5,20,0000 1 Feb 1992,296.8705
10.5,20,0000 1 Feb 1992,296.8275
1.5,1,0000 1 Mar 1992,301.4292
2.5,1,0000 1 Mar 1992,300.7273
3.5,1,0000 1 Mar 1992,299.6039
4.5,1,0000 1 Mar 1992,298.6031
5.5,1,0000 1 Mar 1992,297.9902
6.5,1,0000 1 Mar 1992,297.7437
7.5,1,0000 1 Mar 1992,297.4925
8.5,1,0000 1 Mar 1992,297.4738
9.5,1,0000 1 Mar 1992,297.4802
10.5,1,0000 1 Mar 1992,297.5523
1.5,2,0000 1 Mar 1992,301.4367
2.5,2,0000 1 Mar 1992,300.6749
3.5,2,0000 1 Mar 1992,299.5406
4.5,2,0000 1 Mar 1992,298.5149
5.5,2,0000 1 Mar 1992,297.9831
6.5,2,0000 1 Mar 1992,297.6668
7.5,2,0000 1 Mar 1992,297.5692
8.5,2,0000 1 Mar 1992,297.4197
9.5,2,0000 1 Mar 1992,297.4355
10.5,2,0000 1 Mar 1992,297.6081
1.5,3,0000 1 Mar 1992,301.2583
2.5,3,0000 1 Mar 1992,300.4636
3.5,3,0000 1 Mar 1992,299.3508
4.5,3,0000 1 Mar 1992,298.2885
5.5,3,0000 1 Mar 1992,297.6791
6.5,3,0000 1 Mar 1992,297.2704
7.5,3,0000 1 Mar 1992,296.9536
8.5,3,0000 1 Mar 1992,296.6599
9.5,3,0000 1 Mar 1992,296.5802
10.5,3,0000 1 Mar 1992,296.6887
1.5,4,0000 1 Mar 1992,301.4791
2.5,4,0000 1 Mar 1992,300.7755
3.5,4,0000 1 Mar 1992,299.655
4.5,4,0000 1 Mar 1992,298.6597
5.5,4,0000 1 Mar 1992,298.1014
6.5,4,0000 1 Mar 1992,297.8623
7.5,4,0000 1 Mar 1992,297.6219
8.5,4,0000 1 Mar 1992,297.3943
9.5,4,0000 1 Mar 1992,297.2386
10.5,4,0000 1 Mar 1992,297.1555
1.5,5,0000 1 Mar 1992,301.5404
2.5,5,0000 1 Mar 1992,300.995
3.5,5,0000 1 Mar 1992,300.0044
4.5,5,0000 1 Mar 1992,299.002
5.5,5,0000 1 Mar 1992,298.2268
6.5,5,0000 1 Mar 1992,297.8036
7.5,5,0000 1 Mar 1992,297.4915
8.5,5,0000 1 Mar 1992,297.3207
9.5,5,0000 1 Mar 1992,297.1858
10.5,5,0000 1 Mar 1992,297.1387
1.5,6,0000 1 Mar 1992,301.2286
2.5,6,0000 1 Mar 1992,300.4268
3.5,6,0000 1 Mar 1992,299.1082
4.5,6,0000 1 Mar 1992,298.0182
5.5,6,0000 1 Mar 1992,297.353
6.5,6,0000 1 Mar 1992,297.0672
7.5,6,0000 1 Mar 1992,296.9309
8.5,6,0000 1 Mar 1992,296.83
9.5,6,0000 1 Mar 1992,296.9078
10.5,6,0000 1 Mar 1992,297.0541
1.5,7,0000 1 Mar 1992,301.4641
2.5,7,0000 1 Mar 1992,300.879
3.5,7,0000 1 Mar 1992,299.8096
4.5,7,0000 1 Mar 1992,298.8125
5.5,7,0000 1 Mar 1992,298.2514
6.5,7,0000 1 Mar 1992,298.0658
7.5,7,0000 1 Mar 1992,297.9184
8.5,7,0000 1 Mar 1992,297.7006
9.5,7,0000 1 Mar 1992,297.4425
10.5,7,0000 1 Mar 1992,297.3198
1.5,8,0000 1 Mar 1992,301.4656
2.5,8,0000 1 Mar 1992,300.7609
3.5,8,0000 1 Mar 1992,299.811
4.5,8,0000 1 Mar 1992,298.9211
5.5,8,0000 1 Mar 1992,298.4725
6.5,8,0000 1 Mar 1992,298.2045
7.5,8,0000 1 Mar 1992,297.9568
8.5,8,0000 1 Mar 1992,297.7579
9.5,8,0000 1 Mar 1992,297.6514
10.5,8,0000 1 Mar 1992,297.6644
1.5,9,0000 1 Mar 1992,301.4221
2.5,9,0000 1 Mar 1992,300.7654
3.5,9,0000 1 Mar 1992,299.827
4.5,9,0000 1 Mar 1992,298.9039
5.5,9,0000 1 Mar 1992,298.2916
6.5,9,0000 1 Mar 1992,297.8814
7.5,9,0000 1 Mar 1992,297.6296
8.5,9,0000 1 Mar 1992,297.4981
9.5,9,0000 1 Mar 1992,297.424
10.5,9,0000 1 Mar 1992,297.4196
1.5,10,0000 1 Mar 1992,301.3912
2.5,10,0000 1 Mar 1992,300.6669
3.5,10,0000 1 Mar 1992,299.6498
4.5,10,0000 1 Mar 1992,298.7078
5.5,10,0000 1 Mar 1992,298.177
6.5,10,0000 1 Mar 1992,297.9529
7.5,10,0000 1 Mar 1992,297.8906
8.5,10,0000 1 Mar 1992,297.7823
9.5,10,0000 1 Mar 1992,297.6867
10.5,10,0000 1 Mar 1992,297.5488
1.5,11,0000 1 Mar 1992,301.2671
2.5,11,0000 1 Mar 1992,300.5224
3.5,11,0000 1 Mar 1992,299.5313
4.5,11,0000 1 Mar 1992,298.5426
5.5,11,0000 1 Mar 1992,298.0132
6.5,11,0000 1 Mar 1992,297.5855
7.5,11,0000 1 Mar 1992,297.397
8.5,11,0000 1 Mar 1992,297.1901
9.5,11,0000 1 Mar 1992,297.2393
10.5,11,0000 1 Mar 1992,297.2907
1.5,12,0000 1 Mar 1992,301.4041
2.5,12,0000 1 Mar 1992,300.8465
3.5,12,0000 1 Mar 1992,299.8703
4.5,12,0000 1 Mar 1992,298.8015
5.5,12,0000 1 Mar 1992,298.02
6.5,12,0000 1 Mar 1992,297.6086
7.5,12,0000 1 Mar 1992,297.2707
8.5,12,0000 1 Mar 1992,297.0353
9.5,12,0000 1 Mar 1992,296.7937
10.5,12,0000 1 Mar 1992,296.7956
1.5,13,0000 1 Mar 1992,301.2174
2.5,13,0000 1 Mar 1992,300.4078
3.5,13,0000 1 Mar 1992,299.499
4.5,13,0000 1 Mar 1992,298.662
5.5,13,0000 1 Mar 1992,298.2742
6.5,13,0000 1 Mar 1992,298.0137
7.5,13,0000 1 Mar 1992,297.8219
8.5,13,0000 1 Mar 1992,297.639
9.5,13,0000 1 Mar 1992,297.5553
10.5,13,0000 1 Mar 1992,297.6451
1.5,14,0000 1 Mar 1992,301.3455
2.5,14,0000 1 Mar 1992,300.7371
3.5,14,0000 1 Mar 1992,299.6927
4.5,14,0000 1 Mar 1992,298.7151
5.5,14,0000 1 Mar 1992,298.123
6.5,14,0000 1 Mar 1992,297.8622
7.5,14,0000 1 Mar 1992,297.6951
8.5,14,0000 1 Mar 1992,297.5171
9.5,14,0000 1 Mar 1992,297.4462
10.5,14,0000 1 Mar 1992,297.4867
1.5,15,0000 1 Mar 1992,301.4514
2.5,15,0000 1 Mar 1992,300.6899
3.5,15,0000 1 Mar 1992,299.6099
4.5,15,0000 1 Mar 1992,298.5094
5.5,15,0000 1 Mar 1992,297.932
6.5,15,0000 1 Mar 1992,297.6287
7.5,15,0000 1 Mar 1992,297.3983
8.5,15,0000 1 Mar 1992,297.2793
9.5,15,0000 1 Mar 1992,297.0721
10.5,15,0000 1 Mar 1992,297.1644
1.5,16,0000 1 Mar 1992,301.3517
2.5,16,0000 1 Mar 1992,300.639
3.5,16,0000 1 Mar 1992,299.5642
4.5,16,0000 1 Mar 1992,298.4119
5.5,16,0000 1 Mar 1992,297.6244
6.5,16,0000 1 Mar 1992,297.177
7.5,16,0000 1 Mar 1992,297.0111
8.5,16,0000 1 Mar 1992,296.9734
9.5,16,0000 1 Mar 1992,296.9262
10.5,16,0000 1 Mar 1992,297.0525
1.5,17,0000 1 Mar 1992,301.5761
2.5,17,0000 1 Mar 1992,301.0811
3.5,17,0000 1 Mar 1992,300.2182
4.5,17,0000 1 Mar 1992,299.3701
5.5,17,0000 1 Mar 1992,298.7565
6.5,17,0000 1 Mar 1992,298.4805
7.5,17,0000 1 Mar 1992,298.3017
8.5,17,0000 1 Mar 1992,298.2263
9.5,17,0000 1 Mar 1992,298.1227
10.5,17,0000 1 Mar 1992,298.1849
1.5,18,0000 1 Mar 1992,301.2259
2.5,18,0000 1 Mar 1992,300.5335
3.5,18,0000 1 Mar 1992,299.4743
4.5,18,0000 1 Mar 1992,298.5164
5.5,18,0000 1 Mar 1992,297.7011
6.5,18,0000 1 Mar 1992,297.293
7.5,18,0000 1 Mar 1992,296.943
8.5,18,0000 1 Mar 1992,296.7495
9.5,18,0000 1 Mar 1992,296.6471
10.5,18,0000 1 Mar 1992,296.6381
1.5,19,0000 1 Mar 1992,301.4591
2.5,19,0000 1 Mar 1992,300.9128
3.5,19,0000 1 Mar 1992,299.9153
4.5,19,0000 1 Mar 1992,298.9367
5.5,19,0000 1 Mar 1992,298.3334
6.5,19,0000 1 Mar 1992,298.1126
7.5,19,0000 1 Mar 1992,297.9277
8.5,19,0000 1 Mar 1992,297.685
9.5,19,0000 1 Mar 1992,297.4256
10.5,19,0000 1 Mar 1992,297.2887
1.5,20,0000 1 Mar 1992,301.569
2.5,20,0000 1 Mar 1992,300.8819
3.5,20,0000 1 Mar 1992,299.6466
4.5,20,0000 1 Mar 1992,298.3454
5.5,20,0000 1 Mar 1992,297.4505
6.5,20,0000 1 Mar 1992,297.0605
7.5,20,0000 1 Mar 1992,296.74
8.5,20,0000 1 Mar 1992,296.5938
9.5,20,0000 1 Mar 1992,296.5763
10.5,20,0000 1 Mar 1992,296.755
1.5,1,0000 1 Apr 1992,301.4837
2.5,1,0000 1 Apr 1992,300.6873
3.5,1,0000 1 Apr 1992,299.7131
4.5,1,0000 1 Apr 1992,298.885
5.5,1,0000 1 Apr 1992,298.4178
6.5,1,0000 1 Apr 1992,298.2425
7.5,1,0000 1 Apr 1992,298.0916
8.5,1,0000 1 Apr 1992,297.9865
