L,M,MON,LDC_SST_GEM52_NEMO
9.5,14,0000 1 Jan 1991,296.8286
10.5,14,0000 1 Jan 1991,296.8827
1.5,15,0000 1 Jan 1991,299.2317
2.5,15,0000 1 Jan 1991,299.0925
3.5,15,0000 1 Jan 1991,299.1931
4.5,15,0000 1 Jan 1991,299.235
5.5,15,0000 1 Jan 1991,298.8021
6.5,15,0000 1 Jan 1991,297.9961
7.5,15,0000 1 Jan 1991,297.333
8.5,15,0000 1 Jan 1991,296.9582
9.5,15,0000 1 Jan 1991,296.8421
10.5,15,0000 1 Jan 1991,296.5862
1.5,16,0000 1 Jan 1991,299.505
2.5,16,0000 1 Jan 1991,299.4403
3.5,16,0000 1 Jan 1991,299.4656
4.5,16,0000 1 Jan 1991,299.1969
5.5,16,0000 1 Jan 1991,298.4622
6.5,16,0000 1 Jan 1991,297.505
7.5,16,0000 1 Jan 1991,296.7252
8.5,16,0000 1 Jan 1991,296.1722
9.5,16,0000 1 Jan 1991,295.7867
10.5,16,0000 1 Jan 1991,295.5818
1.5,17,0000 1 Jan 1991,299.3072
2.5,17,0000 1 Jan 1991,299.183
3.5,17,0000 1 Jan 1991,299.2157
4.5,17,0000 1 Jan 1991,299.1684
5.5,17,0000 1 Jan 1991,298.9222
6.5,17,0000 1 Jan 1991,298.5594
7.5,17,0000 1 Jan 1991,298.0912
8.5,17,0000 1 Jan 1991,297.7268
9.5,17,0000 1 Jan 1991,297.4778
10.5,17,0000 1 Jan 1991,297.3217
1.5,18,0000 1 Jan 1991,299.5943
2.5,18,0000 1 Jan 1991,299.4854
3.5,18,0000 1 Jan 1991,299.3268
4.5,18,0000 1 Jan 1991,298.9281
5.5,18,0000 1 Jan 1991,298.3188
6.5,18,0000 1 Jan 1991,297.6265
7.5,18,0000 1 Jan 1991,296.9702
8.5,18,0000 1 Jan 1991,296.5034
9.5,18,0000 1 Jan 1991,296.265
10.5,18,0000 1 Jan 1991,296.2026
1.5,19,0000 1 Jan 1991,299.4459
2.5,19,0000 1 Jan 1991,299.1821
3.5,19,0000 1 Jan 1991,298.9904
4.5,19,0000 1 Jan 1991,298.6902
5.5,19,0000 1 Jan 1991,298.0878
6.5,19,0000 1 Jan 1991,297.2496
7.5,19,0000 1 Jan 1991,296.6665
8.5,19,0000 1 Jan 1991,296.4279
9.5,19,0000 1 Jan 1991,296.4291
10.5,19,0000 1 Jan 1991,296.2998
1.5,20,0000 1 Jan 1991,299.6548
2.5,20,0000 1 Jan 1991,299.5789
3.5,20,0000 1 Jan 1991,299.6077
4.5,20,0000 1 Jan 1991,299.4756
5.5,20,0000 1 Jan 1991,299.0285
6.5,20,0000 1 Jan 1991,298.2671
7.5,20,0000 1 Jan 1991,297.578
8.5,20,0000 1 Jan 1991,297.139
9.5,20,0000 1 Jan 1991,296.9792
10.5,20,0000 1 Jan 1991,296.7899
1.5,1,0000 1 Feb 1991,300.0556
2.5,1,0000 1 Feb 1991,300.0663
3.5,1,0000 1 Feb 1991,299.9227
4.5,1,0000 1 Feb 1991,299.2281
5.5,1,0000 1 Feb 1991,298.3331
6.5,1,0000 1 Feb 1991,297.5438
7.5,1,0000 1 Feb 1991,297.2383
8.5,1,0000 1 Feb 1991,297.1539
9.5,1,0000 1 Feb 1991,297.1568
10.5,1,0000 1 Feb 1991,297.1986
1.5,2,0000 1 Feb 1991,300.0315
2.5,2,0000 1 Feb 1991,299.9392
3.5,2,0000 1 Feb 1991,299.7677
4.5,2,0000 1 Feb 1991,299.3143
5.5,2,0000 1 Feb 1991,298.6599
6.5,2,0000 1 Feb 1991,298.0239
7.5,2,0000 1 Feb 1991,297.5753
8.5,2,0000 1 Feb 1991,297.4298
9.5,2,0000 1 Feb 1991,297.3578
10.5,2,0000 1 Feb 1991,297.2998
1.5,3,0000 1 Feb 1991,299.8759
2.5,3,0000 1 Feb 1991,299.7278
3.5,3,0000 1 Feb 1991,299.4783
4.5,3,0000 1 Feb 1991,298.8328
5.5,3,0000 1 Feb 1991,298.0109
6.5,3,0000 1 Feb 1991,297.2052
7.5,3,0000 1 Feb 1991,296.6305
8.5,3,0000 1 Feb 1991,296.1735
9.5,3,0000 1 Feb 1991,295.8329
10.5,3,0000 1 Feb 1991,295.7361
1.5,4,0000 1 Feb 1991,300.0002
2.5,4,0000 1 Feb 1991,299.9647
3.5,4,0000 1 Feb 1991,299.8668
4.5,4,0000 1 Feb 1991,299.5211
5.5,4,0000 1 Feb 1991,298.8618
6.5,4,0000 1 Feb 1991,298.0407
7.5,4,0000 1 Feb 1991,297.4473
8.5,4,0000 1 Feb 1991,297.1557
9.5,4,0000 1 Feb 1991,297.0635
10.5,4,0000 1 Feb 1991,296.9485
1.5,5,0000 1 Feb 1991,299.9662
