L,MON,LDC_SST_CanCM4i_IC3
3.5,0000 1 Apr 1992,301.4131
4.5,0000 1 Apr 1992,300.9269
5.5,0000 1 Apr 1992,300.7032
6.5,0000 1 Apr 1992,300.8631
7.5,0000 1 Apr 1992,301.1899
8.5,0000 1 Apr 1992,301.3093
9.5,0000 1 Apr 1992,301.1488
10.5,0000 1 Apr 1992,300.8338
1.5,0000 1 May 1992,301.7385
2.5,0000 1 May 1992,301.0928
3.5,0000 1 May 1992,300.3618
4.5,0000 1 May 1992,299.9648
5.5,0000 1 May 1992,300.03
6.5,0000 1 May 1992,300.2983
7.5,0000 1 May 1992,300.3625
8.5,0000 1 May 1992,300.1797
9.5,0000 1 May 1992,300.0091
10.5,0000 1 May 1992,300.0856
1.5,0000 1 Jun 1992,300.6359
2.5,0000 1 Jun 1992,299.8126
3.5,0000 1 Jun 1992,299.4114
4.5,0000 1 Jun 1992,299.4851
5.5,0000 1 Jun 1992,299.7682
6.5,0000 1 Jun 1992,299.8914
7.5,0000 1 Jun 1992,299.9031
8.5,0000 1 Jun 1992,299.9354
9.5,0000 1 Jun 1992,300.1663
10.5,0000 1 Jun 1992,300.5327
1.5,0000 1 Jul 1992,299.7309
2.5,0000 1 Jul 1992,299.3066
3.5,0000 1 Jul 1992,299.3924
4.5,0000 1 Jul 1992,299.702
5.5,0000 1 Jul 1992,299.9325
6.5,0000 1 Jul 1992,300.0583
7.5,0000 1 Jul 1992,300.2141
8.5,0000 1 Jul 1992,300.4944
9.5,0000 1 Jul 1992,300.8252
10.5,0000 1 Jul 1992,300.8842
1.5,0000 1 Aug 1992,299.0699
2.5,0000 1 Aug 1992,299.0201
3.5,0000 1 Aug 1992,299.3029
4.5,0000 1 Aug 1992,299.5601
5.5,0000 1 Aug 1992,299.7678
6.5,0000 1 Aug 1992,300.0198
7.5,0000 1 Aug 1992,300.4016
8.5,0000 1 Aug 1992,300.805
9.5,0000 1 Aug 1992,301.019
10.5,0000 1 Aug 1992,300.8271
1.5,0000 1 Sep 1992,298.9892
2.5,0000 1 Sep 1992,298.8956
3.5,0000 1 Sep 1992,298.9612
4.5,0000 1 Sep 1992,299.0034
5.5,0000 1 Sep 1992,299.1643
6.5,0000 1 Sep 1992,299.5681
7.5,0000 1 Sep 1992,300.1406
8.5,0000 1 Sep 1992,300.5349
9.5,0000 1 Sep 1992,300.5381
10.5,0000 1 Sep 1992,300.0877
1.5,0000 1 Oct 1992,299.1596
2.5,0000 1 Oct 1992,299.0132
3.5,0000 1 Oct 1992,299.0576
4.5,0000 1 Oct 1992,299.2611
5.5,0000 1 Oct 1992,299.7063
6.5,0000 1 Oct 1992,300.2921
7.5,0000 1 Oct 1992,300.7079
8.5,0000 1 Oct 1992,300.713
9.5,0000 1 Oct 1992,300.2592
10.5,0000 1 Oct 1992,299.7012
1.5,0000 1 Nov 1992,299.2454
2.5,0000 1 Nov 1992,299.0486
3.5,0000 1 Nov 1992,298.9958
4.5,0000 1 Nov 1992,299.3045
5.5,0000 1 Nov 1992,299.9238
6.5,0000 1 Nov 1992,300.4266
7.5,0000 1 Nov 1992,300.4759
8.5,0000 1 Nov 1992,300.0118
9.5,0000 1 Nov 1992,299.4299
10.5,0000 1 Nov 1992,299.1054
1.5,0000 1 Dec 1992,299.4394
2.5,0000 1 Dec 1992,299.3647
3.5,0000 1 Dec 1992,299.7312
4.5,0000 1 Dec 1992,300.3285
5.5,0000 1 Dec 1992,300.7706
6.5,0000 1 Dec 1992,300.7262
7.5,0000 1 Dec 1992,300.2186
8.5,0000 1 Dec 1992,299.6229
9.5,0000 1 Dec 1992,299.2674
10.5,0000 1 Dec 1992,299.2686
1.5,0000 1 Jan 1993,299.9539
2.5,0000 1 Jan 1993,300.2882
3.5,0000 1 Jan 1993,300.8236
4.5,0000 1 Jan 1993,301.1489
5.5,0000 1 Jan 1993,301.069
6.5,0000 1 Jan 1993,300.5273
7.5,0000 1 Jan 1993,299.9283
8.5,0000 1 Jan 1993,299.6352
9.5,0000 1 Jan 1993,299.7526
10.5,0000 1 Jan 1993,300.0819
1.5,0000 1 Feb 1993,300.8806
2.5,0000 1 Feb 1993,301.3913
3.5,0000 1 Feb 1993,301.6269
4.5,0000 1 Feb 1993,301.4798
5.5,0000 1 Feb 1993,300.9664
6.5,0000 1 Feb 1993,300.4047
7.5,0000 1 Feb 1993,300.1377
8.5,0000 1 Feb 1993,300.3068
9.5,0000 1 Feb 1993,300.6876
10.5,0000 1 Feb 1993,300.9083
1.5,0000 1 Mar 1993,301.4493
