L,MON,LDC_SST_CanCM4i_IC3
10.5,0000 1 Jul 1996,300.1105
1.5,0000 1 Aug 1996,298.5578
2.5,0000 1 Aug 1996,298.1895
3.5,0000 1 Aug 1996,298.1618
4.5,0000 1 Aug 1996,298.1813
5.5,0000 1 Aug 1996,298.1895
6.5,0000 1 Aug 1996,298.3303
7.5,0000 1 Aug 1996,298.7722
8.5,0000 1 Aug 1996,299.494
9.5,0000 1 Aug 1996,300.1429
10.5,0000 1 Aug 1996,300.4349
1.5,0000 1 Sep 1996,298.7423
2.5,0000 1 Sep 1996,298.519
3.5,0000 1 Sep 1996,298.4657
4.5,0000 1 Sep 1996,298.3921
5.5,0000 1 Sep 1996,298.4542
6.5,0000 1 Sep 1996,298.8441
7.5,0000 1 Sep 1996,299.5127
8.5,0000 1 Sep 1996,300.1181
9.5,0000 1 Sep 1996,300.2701
10.5,0000 1 Sep 1996,299.9013
1.5,0000 1 Oct 1996,298.8705
2.5,0000 1 Oct 1996,298.6534
3.5,0000 1 Oct 1996,298.5358
4.5,0000 1 Oct 1996,298.5162
5.5,0000 1 Oct 1996,298.8554
6.5,0000 1 Oct 1996,299.4778
7.5,0000 1 Oct 1996,300.0786
8.5,0000 1 Oct 1996,300.2552
9.5,0000 1 Oct 1996,299.993
10.5,0000 1 Oct 1996,299.6328
1.5,0000 1 Nov 1996,298.7788
2.5,0000 1 Nov 1996,298.6047
3.5,0000 1 Nov 1996,298.6899
4.5,0000 1 Nov 1996,299.1964
5.5,0000 1 Nov 1996,299.991
6.5,0000 1 Nov 1996,300.679
7.5,0000 1 Nov 1996,300.921
8.5,0000 1 Nov 1996,300.7015
9.5,0000 1 Nov 1996,300.3559
10.5,0000 1 Nov 1996,300.184
1.5,0000 1 Dec 1996,298.7374
2.5,0000 1 Dec 1996,298.6342
3.5,0000 1 Dec 1996,298.9667
4.5,0000 1 Dec 1996,299.6159
5.5,0000 1 Dec 1996,300.2243
6.5,0000 1 Dec 1996,300.4475
7.5,0000 1 Dec 1996,300.2098
8.5,0000 1 Dec 1996,299.8353
9.5,0000 1 Dec 1996,299.6282
10.5,0000 1 Dec 1996,299.7341
1.5,0000 1 Jan 1997,299.1384
2.5,0000 1 Jan 1997,299.5928
3.5,0000 1 Jan 1997,300.3065
4.5,0000 1 Jan 1997,300.9139
5.5,0000 1 Jan 1997,301.0952
6.5,0000 1 Jan 1997,300.8336
7.5,0000 1 Jan 1997,300.4516
8.5,0000 1 Jan 1997,300.2586
9.5,0000 1 Jan 1997,300.3742
10.5,0000 1 Jan 1997,300.667
1.5,0000 1 Feb 1997,300.0767
2.5,0000 1 Feb 1997,300.754
3.5,0000 1 Feb 1997,301.2455
4.5,0000 1 Feb 1997,301.3456
5.5,0000 1 Feb 1997,301.0953
6.5,0000 1 Feb 1997,300.7139
7.5,0000 1 Feb 1997,300.5037
8.5,0000 1 Feb 1997,300.5855
9.5,0000 1 Feb 1997,300.8564
10.5,0000 1 Feb 1997,301.0428
1.5,0000 1 Mar 1997,301.0233
2.5,0000 1 Mar 1997,301.5437
3.5,0000 1 Mar 1997,301.6672
4.5,0000 1 Mar 1997,301.466
5.5,0000 1 Mar 1997,301.1874
6.5,0000 1 Mar 1997,301.1068
7.5,0000 1 Mar 1997,301.3593
8.5,0000 1 Mar 1997,301.804
9.5,0000 1 Mar 1997,302.0371
10.5,0000 1 Mar 1997,301.969
1.5,0000 1 Apr 1997,301.4547
2.5,0000 1 Apr 1997,301.5949
3.5,0000 1 Apr 1997,301.4188
4.5,0000 1 Apr 1997,301.1695
5.5,0000 1 Apr 1997,301.113
6.5,0000 1 Apr 1997,301.3869
7.5,0000 1 Apr 1997,301.808
8.5,0000 1 Apr 1997,302.0359
9.5,0000 1 Apr 1997,302.0384
10.5,0000 1 Apr 1997,301.9031
1.5,0000 1 May 1997,301.7382
2.5,0000 1 May 1997,301.6214
3.5,0000 1 May 1997,301.4177
4.5,0000 1 May 1997,301.4188
5.5,0000 1 May 1997,301.7102
6.5,0000 1 May 1997,302.1088
7.5,0000 1 May 1997,302.2982
8.5,0000 1 May 1997,302.2641
9.5,0000 1 May 1997,302.0895
10.5,0000 1 May 1997,302.019
1.5,0000 1 Jun 1997,301.663
2.5,0000 1 Jun 1997,301.4669
3.5,0000 1 Jun 1997,301.4683
4.5,0000 1 Jun 1997,301.7306
5.5,0000 1 Jun 1997,302.1252
6.5,0000 1 Jun 1997,302.3215
7.5,0000 1 Jun 1997,302.2857
8.5,0000 1 Jun 1997,302.1427
9.5,0000 1 Jun 1997,302.0567
10.5,0000 1 Jun 1997,301.9729
1.5,0000 1 Jul 1997,301.6944
2.5,0000 1 Jul 1997,301.7328
3.5,0000 1 Jul 1997,302.0514
4.5,0000 1 Jul 1997,302.423
5.5,0000 1 Jul 1997,302.5787
6.5,0000 1 Jul 1997,302.4677
7.5,0000 1 Jul 1997,302.2285
8.5,0000 1 Jul 1997,302.0626
9.5,0000 1 Jul 1997,301.9338
10.5,0000 1 Jul 1997,301.5347
1.5,0000 1 Aug 1997,301.8036
2.5,0000 1 Aug 1997,302.1051
3.5,0000 1 Aug 1997,302.5052
4.5,0000 1 Aug 1997,302.6636
5.5,0000 1 Aug 1997,302.5284
6.5,0000 1 Aug 1997,302.2545
7.5,0000 1 Aug 1997,302.0732
8.5,0000 1 Aug 1997,301.9196
9.5,0000 1 Aug 1997,301.5607
10.5,0000 1 Aug 1997,300.706
1.5,0000 1 Sep 1997,302.1254
2.5,0000 1 Sep 1997,302.3448
3.5,0000 1 Sep 1997,302.4523
4.5,0000 1 Sep 1997,302.4023
5.5,0000 1 Sep 1997,302.2517
6.5,0000 1 Sep 1997,302.1505
7.5,0000 1 Sep 1997,302.0432
8.5,0000 1 Sep 1997,301.6826
9.5,0000 1 Sep 1997,300.8409
10.5,0000 1 Sep 1997,299.573
1.5,0000 1 Oct 1997,302.4582
2.5,0000 1 Oct 1997,302.4507
3.5,0000 1 Oct 1997,302.3422
4.5,0000 1 Oct 1997,302.1817
5.5,0000 1 Oct 1997,302.0964
6.5,0000 1 Oct 1997,302.0123
7.5,0000 1 Oct 1997,301.6488
8.5,0000 1 Oct 1997,300.8066
9.5,0000 1 Oct 1997,299.5804
10.5,0000 1 Oct 1997,298.5016
1.5,0000 1 Nov 1997,302.1828
2.5,0000 1 Nov 1997,301.8563
3.5,0000 1 Nov 1997,301.4805
4.5,0000 1 Nov 1997,301.3071
5.5,0000 1 Nov 1997,301.1799
6.5,0000 1 Nov 1997,300.6517
7.5,0000 1 Nov 1997,299.6209
8.5,0000 1 Nov 1997,298.2557
9.5,0000 1 Nov 1997,297.2618
10.5,0000 1 Nov 1997,296.8091
1.5,0000 1 Dec 1997,302.0139
2.5,0000 1 Dec 1997,301.726
3.5,0000 1 Dec 1997,301.5408
4.5,0000 1 Dec 1997,301.377
5.5,0000 1 Dec 1997,300.7639
6.5,0000 1 Dec 1997,299.6006
7.5,0000 1 Dec 1997,298.1172
8.5,0000 1 Dec 1997,297.0576
9.5,0000 1 Dec 1997,296.6723
10.5,0000 1 Dec 1997,296.7326
1.5,0000 1 Jan 1998,301.602
2.5,0000 1 Jan 1998,301.392
3.5,0000 1 Jan 1998,301.2217
4.5,0000 1 Jan 1998,300.6127
5.5,0000 1 Jan 1998,299.3665
6.5,0000 1 Jan 1998,297.8327
7.5,0000 1 Jan 1998,296.8029
8.5,0000 1 Jan 1998,296.4477
9.5,0000 1 Jan 1998,296.5117
10.5,0000 1 Jan 1998,296.6466
1.5,0000 1 Feb 1998,301.6936
2.5,0000 1 Feb 1998,301.3957
3.5,0000 1 Feb 1998,300.6989
4.5,0000 1 Feb 1998,299.4932
5.5,0000 1 Feb 1998,298.0027
6.5,0000 1 Feb 1998,296.9339
7.5,0000 1 Feb 1998,296.5269
8.5,0000 1 Feb 1998,296.5795
9.5,0000 1 Feb 1998,296.7154
10.5,0000 1 Feb 1998,296.8032
1.5,0000 1 Mar 1998,301.651
2.5,0000 1 Mar 1998,301.0118
3.5,0000 1 Mar 1998,299.8513
4.5,0000 1 Mar 1998,298.3685
5.5,0000 1 Mar 1998,297.2867
6.5,0000 1 Mar 1998,296.8164
7.5,0000 1 Mar 1998,296.8107
8.5,0000 1 Mar 1998,296.8679
9.5,0000 1 Mar 1998,296.8346
10.5,0000 1 Mar 1998,296.8181
1.5,0000 1 Apr 1998,301.0958
2.5,0000 1 Apr 1998,299.9778
3.5,0000 1 Apr 1998,298.4051
4.5,0000 1 Apr 1998,297.2057
5.5,0000 1 Apr 1998,296.6697
6.5,0000 1 Apr 1998,296.659
7.5,0000 1 Apr 1998,296.7207
8.5,0000 1 Apr 1998,296.7687
9.5,0000 1 Apr 1998,296.8957
10.5,0000 1 Apr 1998,297.2023
1.5,0000 1 May 1998,299.846
2.5,0000 1 May 1998,298.1731
3.5,0000 1 May 1998,296.9817
4.5,0000 1 May 1998,296.5514
5.5,0000 1 May 1998,296.6547
6.5,0000 1 May 1998,296.8231
7.5,0000 1 May 1998,296.9072
8.5,0000 1 May 1998,297.0316
9.5,0000 1 May 1998,297.2731
10.5,0000 1 May 1998,297.9014
1.5,0000 1 Jun 1998,298.0682
2.5,0000 1 Jun 1998,296.8252
3.5,0000 1 Jun 1998,296.3743
4.5,0000 1 Jun 1998,296.4346
5.5,0000 1 Jun 1998,296.5057
6.5,0000 1 Jun 1998,296.5086
7.5,0000 1 Jun 1998,296.5986
8.5,0000 1 Jun 1998,296.8866
9.5,0000 1 Jun 1998,297.5479
10.5,0000 1 Jun 1998,298.4852
1.5,0000 1 Jul 1998,297.0886
2.5,0000 1 Jul 1998,296.4511
3.5,0000 1 Jul 1998,296.5098
4.5,0000 1 Jul 1998,296.6289
5.5,0000 1 Jul 1998,296.6973
6.5,0000 1 Jul 1998,296.8123
7.5,0000 1 Jul 1998,297.1119
8.5,0000 1 Jul 1998,297.7556
9.5,0000 1 Jul 1998,298.6725
10.5,0000 1 Jul 1998,299.3975
1.5,0000 1 Aug 1998,297.394
2.5,0000 1 Aug 1998,297.14
3.5,0000 1 Aug 1998,297.2621
4.5,0000 1 Aug 1998,297.3645
5.5,0000 1 Aug 1998,297.4008
6.5,0000 1 Aug 1998,297.5039
7.5,0000 1 Aug 1998,298.0413
8.5,0000 1 Aug 1998,298.9877
9.5,0000 1 Aug 1998,299.7991
10.5,0000 1 Aug 1998,300.0146
1.5,0000 1 Sep 1998,297.3851
2.5,0000 1 Sep 1998,297.0383
3.5,0000 1 Sep 1998,297.0176
4.5,0000 1 Sep 1998,297.0443
5.5,0000 1 Sep 1998,297.1447
6.5,0000 1 Sep 1998,297.6592
7.5,0000 1 Sep 1998,298.5464
8.5,0000 1 Sep 1998,299.351
9.5,0000 1 Sep 1998,299.5637
10.5,0000 1 Sep 1998,299.1575
1.5,0000 1 Oct 1998,297.3236
2.5,0000 1 Oct 1998,296.9827
3.5,0000 1 Oct 1998,296.744
4.5,0000 1 Oct 1998,296.6357
5.5,0000 1 Oct 1998,297.1559
6.5,0000 1 Oct 1998,298.2148
7.5,0000 1 Oct 1998,299.0646
8.5,0000 1 Oct 1998,299.1711
9.5,0000 1 Oct 1998,298.6624
10.5,0000 1 Oct 1998,298.2622
1.5,0000 1 Nov 1998,297.3342
2.5,0000 1 Nov 1998,296.8474
3.5,0000 1 Nov 1998,296.5478
4.5,0000 1 Nov 1998,296.7501
5.5,0000 1 Nov 1998,297.5627
6.5,0000 1 Nov 1998,298.3274
7.5,0000 1 Nov 1998,298.4929
8.5,0000 1 Nov 1998,298.0302
9.5,0000 1 Nov 1998,297.6114
10.5,0000 1 Nov 1998,297.5371
1.5,0000 1 Dec 1998,296.9942
2.5,0000 1 Dec 1998,296.5466
3.5,0000 1 Dec 1998,296.7852
4.5,0000 1 Dec 1998,297.6062
5.5,0000 1 Dec 1998,298.3315
6.5,0000 1 Dec 1998,298.3456
7.5,0000 1 Dec 1998,297.7313
8.5,0000 1 Dec 1998,297.2186
9.5,0000 1 Dec 1998,297.0515
10.5,0000 1 Dec 1998,297.2334
1.5,0000 1 Jan 1999,297.4841
2.5,0000 1 Jan 1999,297.4842
3.5,0000 1 Jan 1999,297.9625
4.5,0000 1 Jan 1999,298.5025
5.5,0000 1 Jan 1999,298.4722
6.5,0000 1 Jan 1999,297.7978
7.5,0000 1 Jan 1999,297.2086
8.5,0000 1 Jan 1999,296.9281
9.5,0000 1 Jan 1999,296.9873
10.5,0000 1 Jan 1999,297.1812
1.5,0000 1 Feb 1999,298.6302
2.5,0000 1 Feb 1999,299.05
3.5,0000 1 Feb 1999,299.3221
4.5,0000 1 Feb 1999,299.1503
5.5,0000 1 Feb 1999,298.5041
6.5,0000 1 Feb 1999,297.8256
7.5,0000 1 Feb 1999,297.3804
8.5,0000 1 Feb 1999,297.2865
9.5,0000 1 Feb 1999,297.3195
10.5,0000 1 Feb 1999,297.3423
1.5,0000 1 Mar 1999,299.645
2.5,0000 1 Mar 1999,299.72
3.5,0000 1 Mar 1999,299.3229
4.5,0000 1 Mar 1999,298.4223
5.5,0000 1 Mar 1999,297.4613
6.5,0000 1 Mar 1999,296.8396
7.5,0000 1 Mar 1999,296.636
8.5,0000 1 Mar 1999,296.6638
9.5,0000 1 Mar 1999,296.7094
10.5,0000 1 Mar 1999,296.8748
1.5,0000 1 Apr 1999,299.951
2.5,0000 1 Apr 1999,299.3916
3.5,0000 1 Apr 1999,298.4012
4.5,0000 1 Apr 1999,297.4078
5.5,0000 1 Apr 1999,296.7491
6.5,0000 1 Apr 1999,296.5645
7.5,0000 1 Apr 1999,296.5668
8.5,0000 1 Apr 1999,296.6697
9.5,0000 1 Apr 1999,296.8268
10.5,0000 1 Apr 1999,297.1492
1.5,0000 1 May 1999,299.4507
2.5,0000 1 May 1999,298.5114
3.5,0000 1 May 1999,297.6055
4.5,0000 1 May 1999,296.9979
5.5,0000 1 May 1999,296.8104
6.5,0000 1 May 1999,296.7634
7.5,0000 1 May 1999,296.787
8.5,0000 1 May 1999,296.9214
9.5,0000 1 May 1999,297.2359
10.5,0000 1 May 1999,297.8339
1.5,0000 1 Jun 1999,299.0089
2.5,0000 1 Jun 1999,298.1254
3.5,0000 1 Jun 1999,297.4431
4.5,0000 1 Jun 1999,297.1741
5.5,0000 1 Jun 1999,297.0728
6.5,0000 1 Jun 1999,297.0324
7.5,0000 1 Jun 1999,297.0174
8.5,0000 1 Jun 1999,297.1916
9.5,0000 1 Jun 1999,297.7325
10.5,0000 1 Jun 1999,298.5776
1.5,0000 1 Jul 1999,298.3194
2.5,0000 1 Jul 1999,297.4901
3.5,0000 1 Jul 1999,297.0895
4.5,0000 1 Jul 1999,296.9563
5.5,0000 1 Jul 1999,296.8835
6.5,0000 1 Jul 1999,296.8586
7.5,0000 1 Jul 1999,297.0242
8.5,0000 1 Jul 1999,297.6259
9.5,0000 1 Jul 1999,298.5001
10.5,0000 1 Jul 1999,299.1933
1.5,0000 1 Aug 1999,297.8682
2.5,0000 1 Aug 1999,297.3207
3.5,0000 1 Aug 1999,297.0652
4.5,0000 1 Aug 1999,296.9469
5.5,0000 1 Aug 1999,296.8866
6.5,0000 1 Aug 1999,296.982
7.5,0000 1 Aug 1999,297.4399
8.5,0000 1 Aug 1999,298.2695
9.5,0000 1 Aug 1999,298.9978
10.5,0000 1 Aug 1999,299.2478
1.5,0000 1 Sep 1999,297.9515
2.5,0000 1 Sep 1999,297.5831
3.5,0000 1 Sep 1999,297.3454
4.5,0000 1 Sep 1999,297.1226
5.5,0000 1 Sep 1999,297.0422
6.5,0000 1 Sep 1999,297.4248
7.5,0000 1 Sep 1999,298.285
8.5,0000 1 Sep 1999,299.0774
9.5,0000 1 Sep 1999,299.3844
10.5,0000 1 Sep 1999,299.1439
1.5,0000 1 Oct 1999,297.9424
2.5,0000 1 Oct 1999,297.4999
3.5,0000 1 Oct 1999,297.1696
4.5,0000 1 Oct 1999,296.9327
5.5,0000 1 Oct 1999,297.1843
6.5,0000 1 Oct 1999,297.9178
7.5,0000 1 Oct 1999,298.6373
8.5,0000 1 Oct 1999,298.8163
9.5,0000 1 Oct 1999,298.4308
10.5,0000 1 Oct 1999,298
1.5,0000 1 Nov 1999,297.6427
2.5,0000 1 Nov 1999,297.2386
3.5,0000 1 Nov 1999,296.9989
4.5,0000 1 Nov 1999,297.2026
5.5,0000 1 Nov 1999,297.8201
6.5,0000 1 Nov 1999,298.4982
7.5,0000 1 Nov 1999,298.7015
8.5,0000 1 Nov 1999,298.4235
9.5,0000 1 Nov 1999,298.102
10.5,0000 1 Nov 1999,298.0104
1.5,0000 1 Dec 1999,297.0963
2.5,0000 1 Dec 1999,296.5542
3.5,0000 1 Dec 1999,296.6874
4.5,0000 1 Dec 1999,297.3135
5.5,0000 1 Dec 1999,298.0182
6.5,0000 1 Dec 1999,298.1227
7.5,0000 1 Dec 1999,297.7682
8.5,0000 1 Dec 1999,297.4307
9.5,0000 1 Dec 1999,297.3646
10.5,0000 1 Dec 1999,297.5806
1.5,0000 1 Jan 2000,297.3093
2.5,0000 1 Jan 2000,297.2895
3.5,0000 1 Jan 2000,297.678
4.5,0000 1 Jan 2000,298.2158
5.5,0000 1 Jan 2000,298.3774
6.5,0000 1 Jan 2000,298.101
7.5,0000 1 Jan 2000,297.762
8.5,0000 1 Jan 2000,297.6403
9.5,0000 1 Jan 2000,297.8016
10.5,0000 1 Jan 2000,298.0819
1.5,0000 1 Feb 2000,298.6889
2.5,0000 1 Feb 2000,299.2628
3.5,0000 1 Feb 2000,299.8091
4.5,0000 1 Feb 2000,300.0247
5.5,0000 1 Feb 2000,299.7693
6.5,0000 1 Feb 2000,299.3327
7.5,0000 1 Feb 2000,299.0662
8.5,0000 1 Feb 2000,299.1515
9.5,0000 1 Feb 2000,299.4426
10.5,0000 1 Feb 2000,299.6571
1.5,0000 1 Mar 2000,299.6003
2.5,0000 1 Mar 2000,299.8467
3.5,0000 1 Mar 2000,299.7413
4.5,0000 1 Mar 2000,299.2346
5.5,0000 1 Mar 2000,298.6068
6.5,0000 1 Mar 2000,298.1661
7.5,0000 1 Mar 2000,298.0464
8.5,0000 1 Mar 2000,298.1184
9.5,0000 1 Mar 2000,298.181
10.5,0000 1 Mar 2000,298.267
1.5,0000 1 Apr 2000,300.2958
2.5,0000 1 Apr 2000,300.1416
3.5,0000 1 Apr 2000,299.5964
4.5,0000 1 Apr 2000,298.91
5.5,0000 1 Apr 2000,298.4202
6.5,0000 1 Apr 2000,298.3308
7.5,0000 1 Apr 2000,298.4127
8.5,0000 1 Apr 2000,298.4684
9.5,0000 1 Apr 2000,298.5347
10.5,0000 1 Apr 2000,298.7198
1.5,0000 1 May 2000,300.1081
2.5,0000 1 May 2000,299.4009
3.5,0000 1 May 2000,298.6054
4.5,0000 1 May 2000,297.973
5.5,0000 1 May 2000,297.7604
6.5,0000 1 May 2000,297.7398
7.5,0000 1 May 2000,297.7957
8.5,0000 1 May 2000,297.911
9.5,0000 1 May 2000,298.2225
10.5,0000 1 May 2000,298.8206
1.5,0000 1 Jun 2000,299.5992
2.5,0000 1 Jun 2000,298.9032
3.5,0000 1 Jun 2000,298.3996
4.5,0000 1 Jun 2000,298.312
5.5,0000 1 Jun 2000,298.4094
6.5,0000 1 Jun 2000,298.5099
7.5,0000 1 Jun 2000,298.6184
8.5,0000 1 Jun 2000,298.8589
9.5,0000 1 Jun 2000,299.368
10.5,0000 1 Jun 2000,300.0289
1.5,0000 1 Jul 2000,299.1217
2.5,0000 1 Jul 2000,298.5736
3.5,0000 1 Jul 2000,298.4396
4.5,0000 1 Jul 2000,298.5679
5.5,0000 1 Jul 2000,298.6596
6.5,0000 1 Jul 2000,298.6885
7.5,0000 1 Jul 2000,298.8542
8.5,0000 1 Jul 2000,299.2918
9.5,0000 1 Jul 2000,299.9136
10.5,0000 1 Jul 2000,300.4143
1.5,0000 1 Aug 2000,298.9572
2.5,0000 1 Aug 2000,298.706
3.5,0000 1 Aug 2000,298.7733
4.5,0000 1 Aug 2000,298.8769
5.5,0000 1 Aug 2000,298.9637
6.5,0000 1 Aug 2000,299.1015
7.5,0000 1 Aug 2000,299.4374
8.5,0000 1 Aug 2000,299.9396
9.5,0000 1 Aug 2000,300.345
10.5,0000 1 Aug 2000,300.4138
1.5,0000 1 Sep 2000,298.868
2.5,0000 1 Sep 2000,298.6746
3.5,0000 1 Sep 2000,298.6716
4.5,0000 1 Sep 2000,298.7142
5.5,0000 1 Sep 2000,298.8918
6.5,0000 1 Sep 2000,299.394
7.5,0000 1 Sep 2000,300.1004
8.5,0000 1 Sep 2000,300.6953
9.5,0000 1 Sep 2000,300.8738
10.5,0000 1 Sep 2000,300.6061
1.5,0000 1 Oct 2000,298.9096
2.5,0000 1 Oct 2000,298.6183
3.5,0000 1 Oct 2000,298.4002
4.5,0000 1 Oct 2000,298.316
5.5,0000 1 Oct 2000,298.628
6.5,0000 1 Oct 2000,299.2455
7.5,0000 1 Oct 2000,299.8182
8.5,0000 1 Oct 2000,299.9673
9.5,0000 1 Oct 2000,299.6853
10.5,0000 1 Oct 2000,299.2802
1.5,0000 1 Nov 2000,298.6096
2.5,0000 1 Nov 2000,298.2617
3.5,0000 1 Nov 2000,298.0333
4.5,0000 1 Nov 2000,298.2306
5.5,0000 1 Nov 2000,298.8417
6.5,0000 1 Nov 2000,299.5046
7.5,0000 1 Nov 2000,299.7182
8.5,0000 1 Nov 2000,299.4425
9.5,0000 1 Nov 2000,299.113
10.5,0000 1 Nov 2000,298.9962
1.5,0000 1 Dec 2000,298.6149
2.5,0000 1 Dec 2000,298.48
3.5,0000 1 Dec 2000,298.7973
4.5,0000 1 Dec 2000,299.4758
5.5,0000 1 Dec 2000,300.1256
6.5,0000 1 Dec 2000,300.3345
7.5,0000 1 Dec 2000,300.1006
8.5,0000 1 Dec 2000,299.7628
9.5,0000 1 Dec 2000,299.5973
10.5,0000 1 Dec 2000,299.7236
1.5,0000 1 Jan 2001,298.8594
2.5,0000 1 Jan 2001,299.0538
3.5,0000 1 Jan 2001,299.5445
4.5,0000 1 Jan 2001,300.0532
5.5,0000 1 Jan 2001,300.1859
6.5,0000 1 Jan 2001,299.8593
7.5,0000 1 Jan 2001,299.4145
8.5,0000 1 Jan 2001,299.134
9.5,0000 1 Jan 2001,299.1729
10.5,0000 1 Jan 2001,299.4236
1.5,0000 1 Feb 2001,299.6281
2.5,0000 1 Feb 2001,300.0393
3.5,0000 1 Feb 2001,300.3331
4.5,0000 1 Feb 2001,300.3074
5.5,0000 1 Feb 2001,299.8792
6.5,0000 1 Feb 2001,299.2924
7.5,0000 1 Feb 2001,298.8902
8.5,0000 1 Feb 2001,298.8344
9.5,0000 1 Feb 2001,299.0248
10.5,0000 1 Feb 2001,299.1638
1.5,0000 1 Mar 2001,300.5646
2.5,0000 1 Mar 2001,300.8172
3.5,0000 1 Mar 2001,300.7115
4.5,0000 1 Mar 2001,300.1594
5.5,0000 1 Mar 2001,299.4594
6.5,0000 1 Mar 2001,298.9497
7.5,0000 1 Mar 2001,298.8573
8.5,0000 1 Mar 2001,298.9822
9.5,0000 1 Mar 2001,299.0988
10.5,0000 1 Mar 2001,299.1103
1.5,0000 1 Apr 2001,300.8549
2.5,0000 1 Apr 2001,300.6742
3.5,0000 1 Apr 2001,300.1224
4.5,0000 1 Apr 2001,299.4606
5.5,0000 1 Apr 2001,299.0228
6.5,0000 1 Apr 2001,298.9939
7.5,0000 1 Apr 2001,299.1992
8.5,0000 1 Apr 2001,299.3769
9.5,0000 1 Apr 2001,299.4637
10.5,0000 1 Apr 2001,299.5409
1.5,0000 1 May 2001,300.5229
2.5,0000 1 May 2001,299.7981
3.5,0000 1 May 2001,298.999
4.5,0000 1 May 2001,298.5368
5.5,0000 1 May 2001,298.5719
6.5,0000 1 May 2001,298.7679
7.5,0000 1 May 2001,298.9107
8.5,0000 1 May 2001,299.04
9.5,0000 1 May 2001,299.261
10.5,0000 1 May 2001,299.6649
1.5,0000 1 Jun 2001,299.8326
2.5,0000 1 Jun 2001,298.9661
3.5,0000 1 Jun 2001,298.421
4.5,0000 1 Jun 2001,298.4025
5.5,0000 1 Jun 2001,298.591
6.5,0000 1 Jun 2001,298.7257
7.5,0000 1 Jun 2001,298.8358
8.5,0000 1 Jun 2001,299.0659
9.5,0000 1 Jun 2001,299.5264
10.5,0000 1 Jun 2001,300.1362
1.5,0000 1 Jul 2001,299.5729
2.5,0000 1 Jul 2001,299.0282
3.5,0000 1 Jul 2001,298.9242
4.5,0000 1 Jul 2001,299.1058
5.5,0000 1 Jul 2001,299.293
6.5,0000 1 Jul 2001,299.4203
7.5,0000 1 Jul 2001,299.5069
8.5,0000 1 Jul 2001,299.7507
9.5,0000 1 Jul 2001,300.1437
10.5,0000 1 Jul 2001,300.4814
1.5,0000 1 Aug 2001,299.0221
2.5,0000 1 Aug 2001,298.738
3.5,0000 1 Aug 2001,298.8244
4.5,0000 1 Aug 2001,298.9607
5.5,0000 1 Aug 2001,299.0428
6.5,0000 1 Aug 2001,299.1802
7.5,0000 1 Aug 2001,299.5449
8.5,0000 1 Aug 2001,300.1041
9.5,0000 1 Aug 2001,300.5753
10.5,0000 1 Aug 2001,300.6946
1.5,0000 1 Sep 2001,299.2853
2.5,0000 1 Sep 2001,299.1324
3.5,0000 1 Sep 2001,299.1547
4.5,0000 1 Sep 2001,299.2398
5.5,0000 1 Sep 2001,299.3971
6.5,0000 1 Sep 2001,299.7334
7.5,0000 1 Sep 2001,300.2267
8.5,0000 1 Sep 2001,300.6495
9.5,0000 1 Sep 2001,300.7743
10.5,0000 1 Sep 2001,300.4587
1.5,0000 1 Oct 2001,299.1627
2.5,0000 1 Oct 2001,298.9921
3.5,0000 1 Oct 2001,298.9617
4.5,0000 1 Oct 2001,299.0274
5.5,0000 1 Oct 2001,299.4143
6.5,0000 1 Oct 2001,299.9947
7.5,0000 1 Oct 2001,300.4778
8.5,0000 1 Oct 2001,300.5205
9.5,0000 1 Oct 2001,300.1197
10.5,0000 1 Oct 2001,299.6129
1.5,0000 1 Nov 2001,299.2776
2.5,0000 1 Nov 2001,299.0261
3.5,0000 1 Nov 2001,298.9622
4.5,0000 1 Nov 2001,299.3112
5.5,0000 1 Nov 2001,299.9301
6.5,0000 1 Nov 2001,300.5031
7.5,0000 1 Nov 2001,300.6364
8.5,0000 1 Nov 2001,300.3302
9.5,0000 1 Nov 2001,299.9123
10.5,0000 1 Nov 2001,299.6862
1.5,0000 1 Dec 2001,299.1471
2.5,0000 1 Dec 2001,298.9552
3.5,0000 1 Dec 2001,299.1533
4.5,0000 1 Dec 2001,299.5706
5.5,0000 1 Dec 2001,299.9936
6.5,0000 1 Dec 2001,300.0082
7.5,0000 1 Dec 2001,299.5929
8.5,0000 1 Dec 2001,299.0474
9.5,0000 1 Dec 2001,298.7318
10.5,0000 1 Dec 2001,298.7687
1.5,0000 1 Jan 2002,299.718
2.5,0000 1 Jan 2002,299.9719
3.5,0000 1 Jan 2002,300.4025
4.5,0000 1 Jan 2002,300.7568
5.5,0000 1 Jan 2002,300.7472
6.5,0000 1 Jan 2002,300.2881
7.5,0000 1 Jan 2002,299.7004
8.5,0000 1 Jan 2002,299.3141
9.5,0000 1 Jan 2002,299.2982
10.5,0000 1 Jan 2002,299.4637
1.5,0000 1 Feb 2002,300.4741
2.5,0000 1 Feb 2002,300.9034
3.5,0000 1 Feb 2002,301.174
4.5,0000 1 Feb 2002,301.051
5.5,0000 1 Feb 2002,300.49
6.5,0000 1 Feb 2002,299.7968
7.5,0000 1 Feb 2002,299.3521
8.5,0000 1 Feb 2002,299.3249
9.5,0000 1 Feb 2002,299.5097
10.5,0000 1 Feb 2002,299.6335
1.5,0000 1 Mar 2002,301.1758
2.5,0000 1 Mar 2002,301.3497
