L,BIAS_ABS
1.5,1.1082263157894605
2.5,1.3544315789473385
3.5,1.60759473684208
4.5,1.9425578947368178
5.5,2.092978947368391
6.5,2.2850740740740525
7.5,2.554868518518502
8.5,2.7775351851851644
9.5,2.989424074074045
10.5,3.0769907407407167
