SZN,LDC_SST_NASA_GEOSS2S
JFM,26.059502957746478
FMA,26.573282674418603
MAM,27.071917540983605
AMJ,27.51375622516556
MJJ,27.489104736842105
JJA,27.37198095238095
JAS,27.285995714285715
ASO,27.148744404761903
SON,27.02071757142857
OND,26.93716017857143
NDJ,26.479123035714284
DJF,26.031194444444445
