M,L,MON,LDC_SST_NCEP_CFSv2
1,6.5,0000 1 Jan 1991,27.1109
2,6.5,0000 1 Jan 1991,27.50582
3,6.5,0000 1 Jan 1991,26.74602
4,6.5,0000 1 Jan 1991,26.0722
5,6.5,0000 1 Jan 1991,28.0441
6,6.5,0000 1 Jan 1991,27.21002
7,6.5,0000 1 Jan 1991,27.76073
8,6.5,0000 1 Jan 1991,26.82712
9,6.5,0000 1 Jan 1991,26.35335
10,6.5,0000 1 Jan 1991,26.8543
11,6.5,0000 1 Jan 1991,27.95731
12,6.5,0000 1 Jan 1991,26.93741
13,6.5,0000 1 Jan 1991,26.68734
14,6.5,0000 1 Jan 1991,26.91925
15,6.5,0000 1 Jan 1991,26.3853
16,6.5,0000 1 Jan 1991,27.0114
17,6.5,0000 1 Jan 1991,26.33036
18,6.5,0000 1 Jan 1991,26.49806
19,6.5,0000 1 Jan 1991,27.38841
20,6.5,0000 1 Jan 1991,27.31687
21,6.5,0000 1 Jan 1991,26.88078
22,6.5,0000 1 Jan 1991,26.84894
23,6.5,0000 1 Jan 1991,26.51043
24,6.5,0000 1 Jan 1991,26.77926
1,7.5,0000 1 Jan 1991,26.34148
2,7.5,0000 1 Jan 1991,27.00229
3,7.5,0000 1 Jan 1991,25.8829
4,7.5,0000 1 Jan 1991,25.44485
5,7.5,0000 1 Jan 1991,27.307
6,7.5,0000 1 Jan 1991,26.56273
7,7.5,0000 1 Jan 1991,27.14245
8,7.5,0000 1 Jan 1991,26.126
9,7.5,0000 1 Jan 1991,25.53109
10,7.5,0000 1 Jan 1991,26.2711
11,7.5,0000 1 Jan 1991,27.31791
12,7.5,0000 1 Jan 1991,26.29084
13,7.5,0000 1 Jan 1991,25.64044
14,7.5,0000 1 Jan 1991,26.01606
15,7.5,0000 1 Jan 1991,25.62955
16,7.5,0000 1 Jan 1991,26.40573
17,7.5,0000 1 Jan 1991,25.70741
18,7.5,0000 1 Jan 1991,25.7698
19,7.5,0000 1 Jan 1991,26.59925
20,7.5,0000 1 Jan 1991,26.63765
21,7.5,0000 1 Jan 1991,26.12839
22,7.5,0000 1 Jan 1991,26.19453
23,7.5,0000 1 Jan 1991,25.9683
24,7.5,0000 1 Jan 1991,25.88476
1,8.5,0000 1 Jan 1991,25.86635
2,8.5,0000 1 Jan 1991,26.69441
3,8.5,0000 1 Jan 1991,25.15927
4,8.5,0000 1 Jan 1991,25.19861
5,8.5,0000 1 Jan 1991,26.75283
6,8.5,0000 1 Jan 1991,26.18879
7,8.5,0000 1 Jan 1991,26.80438
8,8.5,0000 1 Jan 1991,25.76944
9,8.5,0000 1 Jan 1991,24.94564
10,8.5,0000 1 Jan 1991,25.90341
11,8.5,0000 1 Jan 1991,27.10968
12,8.5,0000 1 Jan 1991,26.05773
13,8.5,0000 1 Jan 1991,25.00305
14,8.5,0000 1 Jan 1991,25.68066
15,8.5,0000 1 Jan 1991,25.32897
16,8.5,0000 1 Jan 1991,26.29283
17,8.5,0000 1 Jan 1991,25.45936
18,8.5,0000 1 Jan 1991,25.27131
19,8.5,0000 1 Jan 1991,26.1484
20,8.5,0000 1 Jan 1991,26.42633
21,8.5,0000 1 Jan 1991,25.72221
22,8.5,0000 1 Jan 1991,25.98688
23,8.5,0000 1 Jan 1991,25.63939
24,8.5,0000 1 Jan 1991,25.1641
1,1.5,0000 1 Feb 1991,26.60758
2,1.5,0000 1 Feb 1991,26.53776
3,1.5,0000 1 Feb 1991,27.15346
4,1.5,0000 1 Feb 1991,26.95583
5,1.5,0000 1 Feb 1991,26.90926
6,1.5,0000 1 Feb 1991,26.7029
7,1.5,0000 1 Feb 1991,27.00267
8,1.5,0000 1 Feb 1991,27.20496
9,1.5,0000 1 Feb 1991,27.17644
10,1.5,0000 1 Feb 1991,27.16501
11,1.5,0000 1 Feb 1991,27.10466
12,1.5,0000 1 Feb 1991,27.2934
13,1.5,0000 1 Feb 1991,26.86661
