SZN,LDC_SST_NASA_GEOSS2S
JFM,27.838709523809523
FMA,27.922174285714284
MAM,28.347548
AMJ,28.136948214285717
MJJ,28.33489875
JJA,28.072107804878048
JAS,28.11952761904762
ASO,27.89688761904762
SON,28.116525285714285
OND,28.274843428571426
NDJ,28.205213142857144
DJF,28.00034757142857
